item,cnt
be,945
draw,15
to,617
an,163
image,46
guy,3
brett,1
why,8
do,55
certain,13
matter,12
one,84
and,780
the,2109
desire,6
answer,8
this,184
question,24
as,289
involuntary,2
response,15
itself,23
it,325
seem,30
important,17
that,247
should,11
have,229
some,40
objective,4
quality,7
about,32
insight,2
into,42
history,33
society,13
knowledge,8
rather,23
than,44
point,19
a,623
merely,12
personal,6
obsession,3
american,25
film-maker,5
maya,1
deren,1
say,33
somewhere,1
always,9
precede,1
analysis,13
remark,6
which,198
sound,4
if,38
make,45
artist,68
's,220
challenge,4
academic,6
dryness,1
formalism,1
but,119
not,145
actually,2
part,17
of,1509
same,20
phenomenon,6
whether,7
result,4
in,642
exclamation,1
how,17
beautiful,7
',43
or,83
new,45
reading,4
recourse,1
book,47
document,8
source,6
underscore,1
perception,8
somehow,1
already,6
air,3
effort,7
recapture,4
art,175
entangle,1
with,176
remake,1
identity,7
mean,14
contemporary,16
struggle,7
article,11
come,17
out,24
familiar,7
experience,12
particular,9
set,9
without,5
at,79
first,22
know,12
attempt,9
account,17
for,196
feeling,3
look,12
intermittently,1
so-called,1
colonial,18
latin,30
america,27
church,16
museum,7
private,5
collection,8
i,69
become,27
magnetise,1
by,174
figure,14
angel,34
they,172
extraordinarily,3
resplendent,1
material,13
splendour,2
dress,30
spiritual,1
psychic,1
intensity,2
presence,4
go,15
together,6
marvellous,1
freedom,4
delicacy,1
tendency,7
expand,1
fill,1
picture,9
space,10
hybrid,4
human,7
wing,4
incorporate,2
far,33
incongruity,1
composite,2
supernatural,2
hint,4
further/far,3
latent,1
meaning,7
these,55
painting,47
produce,24
spanish,40
decade,4
after,12
conquest,9
represent,15
christianising,1
old,8
centre,5
inca,6
culture,44
peru,3
bolivia,2
especially,15
main,17
paint,11
indian,33
mestizo,9
command,3
european,24
lodge,1
mind,3
try,8
there,57
something,8
special,4
depiction,3
post-conquest,2
so,41
what,37
could,23
systematic,2
study,9
occasionally,3
follow,10
up,25
clue,2
across,7
reference,10
catalogue,2
soon,4
learn,7
theme,14
most,37
popular,30
indigenous,8
complex,9
iconographic,1
programme,3
mission,1
establish,4
word,14
course,19
problematic,4
will,18
return,9
little,10
later,4
all,34
begin,10
process,12
copy,3
oblige,1
force,12
abandon,2
own,28
form,23
representation,7
way,38
period,21
sheer,1
copying,1
take,23
off,1
develop,6
differently,2
context,10
flourish,5
investigate,4
clear,7
only,40
other,50
read,9
site,3
play,5
simply,9
transcription,3
power,9
conqueror,2
coercive,2
annihilate,1
existing,3
belief,10
impose,2
christianity,3
nor,5
obviously,7
simple,8
expression,10
resistance,8
assault,3
both,50
thing,9
once,9
more,75
beyond,3
unitary,1
idea,21
authorship,1
peruvian,1
historian,17
luis,6
enrique,2
tord,3
write,11
empire,5
profound,2
impact,4
on,147
many,19
aspect,15
serious,3
blow,1
suffer,1
andean,1
people,12
administer,1
priest,3
missionary,3
eradicate,1
ancestral,1
emotional,2
disturbance,1
well,23
great,16
change,9
conception,9
world,30
enforce,1
conformity,1
orthodoxy,4
spaniard,5
institute,3
ecclesiastical,1
visita,1
inspection,1
intend,4
extirpate,1
idolatory,1
persist,1
long,6
sphere,7
range,10
subject,30
genre,5
permit,2
extremely,2
narrow,1
fact,18
religious,13
portrait,14
time,27
effectively,3
no,34
thought,8
recorded,1
discourse,10
outside,6
framework,1
institution,5
university,4
example,32
found,2
dominican,1
from,137
beginning,1
instrument,5
thinking,2
early,24
year,12
dr,3
friar,1
discover,4
deeply,2
impressed,1
sacred,1
create,9
artistic,14
technique,4
bring,2
those,23
see,20
catechism,2
bible,1
hour,1
hymnal,1
used,3
