item,cnt
homicide,38
this,297
chapter,37
deal,20
with,222
the,2701
approach,30
of,1786
criminal,82
law,205
to,1257
behaviour,14
which,269
cause,132
or,333
risk,87
death,117
murder,143
manslaughter,127
and,756
several,10
other,119
offence,420
be,1932
discuss,20
one,128
recurrent,1
issue,32
here,38
whether,80
english,64
respond,3
proportionately,1
different,17
degree,32
culpability,23
manifest,6
in,703
case,200
where,132
7.1,1
finality,2
for,354
practical,16
purpose,7
culpable,9
another,58
person,104
's,117
may,147
fairly,14
regard,39
as,329
most,65
serious,121
calendar,1
there,219
an,198
argument,79
that,631
treason,2
a,909
more,85
since,39
it,414
strike,10
at,78
very,10
foundation,5
state,17
social,31
organization,1
but,180
so,96
rare,2
surely,21
permissible,3
treat,15
form,51
crime,70
reason,45
not,264
difficult,11
find,17
harm,92
by,248
many,53
remediable,1
whereas,20
absolutely,2
irremediable,1
even,44
violence,53
leave,20
some,114
permanent,2
physical,66
disfigurement,1
psychological,11
effect,41
victim,58
retain,11
he,116
she,73
life,77
therefore,36
possibility,13
far,22
pleasure,2
achievement,1
final,3
make,46
proper,20
inflict,10
on,197
who,96
choose,10
offender,13
absence,3
excuse,10
justification,21
although,22
arise,11
from,122
natural,6
illness,3
disease,3
each,22
year,62
see,44
large,7
number,23
accident,14
also,45
act,128
omission,25
amount,18
1987,4
statistics,1
show,18
"20,000",1
accidental,2
"7,000",1
occur,12
home,12
"6,000",1
work,5
"5,000",1
road,18
comparison,1
record,7
600,2
include,27
all,52
figure,2
relatively,9
small,3
when,60
compare,6
american,6
city,1
no,91
satisfaction,2
still,18
awkward,2
question,54
confront,4
example,29
we,40
satisfy,2
fact,33
than,79
word,18
do,126
pick,3
out,40
heinous,12
kill,56
boundary,9
freeze,1
tradition,1
ought,22
wide,24
application,13
activity,16
carry,25
sphere,6
thus,29
if,133
would,169
excessive,11
sweep,2
now,28
into,40
sufficient,30
create,21
enforce,2
design,5
ensure,10
safe,4
condition,9
goods,2
building,2
argue,30
2,17
spread,2
net,2
potential,8
great,9
will,38
up,9
point,25
process,2
seem,42
accept,16
social-defence,1
depart,4
principle,45
set,16
3,8
7.2,1
requirement,37
distinguish,9
between,67
shall,5
two,59
have,297
certain,16
common,15
element,76
must,50
prove,17
defendant,64
within,34
day,5
causation,1
elsewhere,3
rule,39
legacy,2
time,32
medical,14
science,2
rudimentary,1
substantial,14
lapse,2
injury,62
unsafe,1
pronounce,1
conduct,53
event,6
nowadays,1
problem,27
quite,6
reverse,2
generally,12
able,4
determine,10
d's,11
innovation,1
such,107
life-support,2
machine,2
mean,15
can,69
prolong,1
month,9
instance,2
recent,16
stabbing,1
die,10
half,4
after,14
incident,5
keep,12
