item,cnt
a,491
non-punitive,12
paradigm,9
of,1115
probation,65
practice,38
some,44
sobering,1
thought,5
l.r.,1
singer,5
lawrence,1
be,1119
an,99
assistant,1
chief,1
officer,11
with,230
merseyside,1
service,24
beforehand,2
he,82
work,70
as,159
for,267
berkshire,1
and,766
later,5
research,34
somerset,7
where,44
undertake,18
the,1514
report,16
here,7
which,77
describe,24
originate,1
from,108
doctoral,1
into,31
generic,2
have,308
present,15
in,569
book,2
adult,11
juvenile,1
supervision,7
beyond,5
care-control,1
dilemma,2
1989,20
gower,1
summary,7
government,3
white,11
paper,20
crime,3
justice,5
protect,3
public,10
propose,6
radical,1
change,18
henceforth,1
will,54
no,44
longer,3
alternative,6
to,611
punishment,27
but,71
form,6
this,176
article,8
challenge,6
conceptual,3
practical,9
appropriateness,3
apply,11
notion,6
context,7
it,164
argue,6
concerned,12
establish,4
rule,7
probationer,10
not,178
inflict,3
pain,8
on,129
they,294
base,12
joint,1
supervisory,1
aim,13
support,15
surveillance,5
implement,3
through,16
method,16
counselling,8
assist,6
direct,11
monitoring,6
illustrate,3
reference,4
make,49
alcohol,39
education,10
course,55
develop,5
offender,35
trouble,10
drink,46
efficacy,2
project,21
demonstrate,7
by,133
result,19
three,26
year,65
evaluation,20
study,47
cover,5
152,2
conclude,7
affirmation,1
disciplined,3
character,2
current,6
that,235
successfully,2
reintegrate,2
community,44
's,67
employment,1
established,3
social,133
knowledge,24
skill,11
value,9
strength,4
weakness,2
assertion,1
contain,2
home,177
office,12
1990a,2
can,47
conceive,2
issue,9
take,34
concept,8
demanding,6
successful,6
model,30
understand,3
provide,23
framework,2
contrast,4
future,5
plan,2
inappropriately,2
transform,1
new,6
approach,11
p.,36
18,3
para.,6
4.3,1
punitive,3
anticipate,3
underpin,2
definition,7
reside,1
restriction,7
liberty,19
enforcement,1
order,14
go,38
emphasize,6
loss,8
involve,39
carry,9
out,34
term,20
rather,32
than,107
activity,13
during,21
4.4,1
notwithstanding,1
popular,2
appeal,3
political,9
capital,1
derive,1
such,34
humane-sounding,1
statement,3
nevertheless,3
at,64
variance,1
traditional,4
understanding,3
meaning,2
discourse,1
dictionary,1
clearly,13
specify,3
central,6
feature,2
infliction,4
per,235
se,3
hudson,1
1987,10
implication,8
discrepancy,1
examine,11
third,11
final,7
section,102
however,45
consideration,3
give,29
first,28
second,24
these,82
mean,10
review,19
seek,7
only,51
more,172
also,32
effective,19
time,37
when,42
secretary,1
invite,2
move,5
centre,13
stage,8
criminal,8
system,37
nacro,1
1990,17
17,8
may,54
seem,15
misguided,1
unnecessarily,1
pedantic,1
just,20
word,3
after,25
all,53
nothing,4
convenient,1
rhetoric,1
merit,1
lip-service,1
manager,2
practitioner,22
poise,1
window,1
opportunity,5
fail,4
acknowledge,4
fundamental,1
axiom,1
namely,2
language,3
reflect,20
shape,1
reality,2
davies,1
1981,7
point,19
speech,1
basic,4
tool,2
worker,41
what,47
we,76
say,21
influence,13
think,28
turn,2
do,92
if,33
assimilate,1
glossary,1
inevitably,2
sort,6
follow,10
stark,1
question,16
therefore,18
put,14
business,1
answer,12
unfold,1
summarize,11
because,28
neither,4
aspire,1
nor,5
wish,9
concern,14
about,43
problem,71
drink-related,3
offending,6
old,27
indeed,9
bochel,2
1976,7
show,41
establishment,12
england,6
wales,3
inextricably,1
link,8
almost,11
century,3
outline,2
once,5
again,5
misuse,2
key,5
require,12
community-based,1
intervention,17
state,13
implicate,1
wide,6
variety,4
drunken,1
driving,1
offence,17
disorder,9
domestic,1
violence,2
21,1
4.,1
14,4
vision,1
note,7
part,23
programme,7
so,37
learn,7
sensibly,1
relative,39
different,32
amount,6
safe,3
consume,6
pitfall,1
avoid,3
e.g.,1
competitive,1
drinking,15
buy,1
round,1
37,3
7.11,1
something,7
simplification,1
useful,5
introduction,1
origin,3
furthermore,7
highlight,2
suitability,1
refer,38
type,25
test,18
1985,6
management,12
face,7
fact,11
nearly,5
one,75
supervise,4
area,12
either,15
know,17
or,206
suspected,1
aware,4
',24
frustration,2
able,9
effectively,4
problematic,1
client,71
partnership,1
voluntary,5
sector,2
determined,1
aec,35
1986,17
inquiry,1
information,16
"1,257",1
indicate,21
virtually,1
great,22
pre-,1
post-sentence,1
cite,1
pre-offence,1
twenty-nine,1
cent,222
case,32
specialist,6
appoint,1
towards,8
end,14
launch,2
run,8
ever,4
since,5
educate,1
facilitate,2
lasting,1
subsequent,5
use,40
drug,11
interrelated,1
objective,18
without,13
significance,10
how,47
complement,2
serve,4
own,18
trinity,2
protection,4
prevention,1
reoffend,2
reintegration,1
35,4
7.3,1
1,8
increase,14
inform,2
prudent,2
2,25
instil,3
reinforce,4
responsible,5
attitude,12
behaviour,22
3,21
encourage,3
maintenance,2
appropriate,5
reduction,3
personally,2
socially,4
level,29
unit,8
intake,3
meet,2
structured,2
group,38
individual,28
contact,6
six,16
session,20
sandwich,1
between,57
one-to-one,2
interview,16
hold,5
immediately,3
before,21
initial,4
meeting,1
two,49
leader,5
clarify,1
participant,50
expect,12
standard,3
contract,2
condition,12
attendance,7
agreement,10
complete,13
various,5
assignment,2
sign,2
each,18
entail,2
personalized,1
well,16
formulation,1
follow-up,4
supervising,1
employ,3
material,2
technique,6
including,5
checklist,1
magazine,1
newspaper,1
clipping,1
quizze,1
video,1
brainstorm,1
exercise,4
discussion,4
diary,9
role,30
play,8
menary,2
primarily,12
intend,2
young,7
subject,10
special,1
schedule,5
11,9
4a(ii),1
act,13
1982,3
most,22
commit,7
serious,11
and/or,2
possess,2
substantial,1
number,36
previous,16
conviction,8
short,5
seriously,3
risk,14
far,24
become,11
trap,1
revolving,1
door,1
custody,13
development,5
both,28
accord,8
constitute,3
example,28
recent,6
guidance,1
sentencer,1
devote,2
increasing,4
resource,5
persistent,3
combine,3
constructive,2
increasingly,2
who,96
stand,1
receive,20
custodial,4
sentence,8
1990b,4
description,4
already,2
nature,12
appreciate,4
instead,8
plainly,1
evident,5
spell,1
you,34
keep,8
throughout,2
attempt,7
reduce,8
accepted,1
healthy,10
must,17
willing,3
help,17
other,136
experience,5
member,27
attend,2
8,6
consist,3
introductory,1
assessment,50
lateness,1
count,2
absence,1
unlike,3
prison,3
inmate,2
sit,4
back,2
passively,1
solely,1
elsewhere,5
regard,6
setting,2
overarching,1
anything,7
solve,1
mitigate,1
personal,3
induce,1
conform,1
acceptable,1
four,6
distinguishable,1
related,3
there,53
eight,5
although,33
enable,2
register,5
tutor,2
explanation,4
get,28
consider,49
way,17
past,3
importance,6
introduce,1
measurement,10
concentration,2
content,1
necessary,6
recording,1
consumption,2
duration,3
fifth,5
entitle,1
focus,8
directing,1
start,2
clear,9
extend,4
enforce,1
allow,5
depth,1
examination,3
over,28
last,30
five,22
week,15
identify,16
risky,2
circumstance,12
situation,9
lead,13
lessening,1
identified,1
4,10
similarly,4
assisting,2
simply,8
handout,1
important,11
handle,1
pub,6
incorporate,1
previously,8
discuss,2
difficulty,9
i.e.,1
homework,1
real,2
set,10
up,16
probably,8
good,27
illustration,1
action,11
come,12
logic,1
ultimate,1
conclusion,9
half,11
sponsor,1
evening,1
purpose,4
practising,1
purchase,1
non-alcoholic,2
monitor,5
substance,1
basis,7
place,15
best,4
twenty,7
ago,2
advisory,2
council,7
penal,1
observe,3
punitiveness,1
british,1
suspension,2
quote,2
238,1
remain,12
less,52
true,3
now,5
then,17
statistics,5
efficient,1
imprisonment,2
1988/89,1
rate,15
110,1
cost,2
average,12
£288,1
compare,43
£19,1
yet,5
hard,3
any,21
effect,17
likely,31
likelihood,2
high,18
7,7
would,31
appear,13
reconviction,6
those,113
given,3
reconvict,7
within,16
release,3
5,8
methodological,1
objection,1
could,20
period,8
prisoner,3
whereas,6
impose,2
moreover,3
commission,2
relatively,7
extensive,4
entrenched,1
career,1
population,3
generally,16
sample,23
early,6
design,2
1988,7
while,11
simultaneously,2
assess,6
impact,8
upon,8
common,4
table,16
below,3
comparison,5
person,22
commence,5
enter,4
nationally,8
theft,1
fraud,1
twice,1
many,16
amongst,4
reverse,2
burglary,1
damage,1
similarity,1
identical,1
proportion,26
record,5
violent,1
indictable,1
large,7
drink-driving,1
25,6
array,1
surprising,2
seven,6
10,6
28,10
ten,6
connection,5
relevant,10
84,7
prior,2
possibility,5
petty,1
discount,1
20,3
another,6
male,46
94,1
age,21
seventeen,2
twenty-four,1
61,4
reach,6
local,2
neighbouring,1
court,4
day,12
specified,3
requirement,5
operate,2
light,4
at-risk,2
status,10
further/far,5
91,1
being,1
ordinary,1
statutory,2
licence,2
parole,1
youth,1
dramatically,1
63,6
31,5
1990c,1
46,4
highly,1
convict,2
profile,13
80,4
additional,2
comprehensive,3
extent,12
achieve,13
stated,1
collection,1
analysis,9
questionnaire,8
consumer,2
relation,17
obtain,1
gradually,1
prove,4
itself,4
unambiguous,1
success,8
akt,4
item,1
multiple,2
choice,5
like,9
overall,11
alcoholic,1
detoxification,3
legal,5
limit,8
medical,20
accordingly,1
administer,2
straightforward,1
evaluate,10
specifically,12
surprise,1
reader,2
outset,2
gap,1
56,3
beer,2
drive,4
two-thirds,2
long,8
burn,1
body,2
71,3
sober,1
three-quarters,5
equivalent,1
77,3
correct,1
78,5
accelerate,1
process,39
79,1
cold,1
shower,2
cup,1
strong,2
coffee,1
score,5
calculate,1
reveal,3
9.5,2
14.3,1
finish,2
50.5,1
abstract,2
associate,10
whether,18
fluke,2
occurrence,2
distinct,2
genuine,2
wilcoxon,3
match,3
pair,1
spss,1
statistically,3
significant,29
z=,2
10.,1
1839,1
2-tailed,2
p=0.0000,2
necessarily,3
automatically,1
consonant,1
recently,2
acquire,1
find,24
themselves,13
unable,2
break,1
pattern,4
festinger,1
1957,1
measure,18
overcome,1
potential,4
dpq,5
devise,1
likert-style,1
comprise,2
possible,18
attract,1
twenty-five,1
aspect,7
tell,9
right,11
regarding,3
rank,1
strongly,6
agree,4
disagree,3
enjoy,3
yourself,4
spoil,1
enjoyment,1
ask,14
always,5
never,5
frequency,3
instance,2
occur,10
drunk,1
even,10
leave,8
cash,1
deal,9
crisis,6
miss,2
meal,1
want,6
grand,1
total,3
check,2
against,16
fall,6
continuum,4
range,8
very,15
low,9
upward,1
trend,7
indicative,1
lowering,1
represent,5
shift,3
precisely,2
downward,2
72,2
medium,3
difference,40
merely,1
z=-7.7565,1
bear,3
mind,5
worth,2
88,6
57,2
admit,45
mostly,2
continue,1
intoxicate,1
60,3
rarely,3
determine,4
much,19
too,5
debatable,1
authoritative,2
somewhat,2
tough,1
guideline,1
consultation,13
health,37
profession,3
moderate,2
36,4
female,50
22,8
advise,1
cut,4
down,12
weekly,2
danger,1
deliberate,1
under-recording,1
emphasis,9
honest,2
oneself,1
resolve,1
policy,2
reward,1
punish,2
underscore,1
cheat,5
comment,13
typical,2
i,55
truth,1
bit,1
why,9
same,12
see,23
truthful,2
lad,1
theirs,1
mine,1
excellent,4
brilliant,1
nobody,1
easy,3
40,1
32,1
nine,7
zone,1
39,5
4.9595,1
tail,3
p=,1
0–0000,1
feedback,2
conduct,1
ensure,1
confidentiality,1
semi-structured,1
guide,3
expectation,10
transcript,1
121,1
page,1
superficially,1
relevance,4
applicability,2
warrant,1
brief,3
mention,2
response,2
worthwhile,3
none,3
should,15
discontinue,1
vast,2
majority,7
usefulness,2
lot,6
job,2
depend,4
realise,2
road,1
accident,2
affect,7
quite,5
considerably,7
cater,1
need,23
particularly,16
really,4
assistance,2
especially,2
fourth,1
frankly,1
return,4
minimum,2
attention,8
following,2
ta,2
whatever,3
anywhere,1
frightened,1
bad,11
thing,6
chance,5
speak,1
again',2
naughty,1
boy,1
idea,4
finally,8
oppose,2
greatly,1
control,15
temper,6
waste,1
money,1
target,1
positive,5
favourable,1
might,20
sufficient,1
criterion,19
outside,4
acid,1
index,2
immediate,2
manage,1
law,2
twelve,11
month,18
thanks,1
department,5
avon,1
police,4
indicator,2
spite,2
often,14
above,7
95,2
away,8
yea,1
stupid,1
idiot,1
benefit,5
random,3
allocation,1
experimental,1
directly,1
attribute,5
inevitable,1
phillpotts,1
lancucki,2
1979,5
offer,4
provisional,1
optimism,1
"5,000",1
list,2
january,1
1971,3
fairly,2
soon,1
discharge,2
sooner,1
few,7
41,2
particular,11
phillpott,1
finding,7
53,4
preconviction,2
24,3
progress,1
improvement,2
42,8
discipline,2
espouse,2
connecting,2
thread,2
penalty,2
19,5
4.5,1
conceptually,1
flawed,1
reason,8
defining,1
child,28
school,7
living,5
restrict,3
intention,1
employer,2
teacher,2
prescribe,4
employees/pupil,1
intent,1
engagement,1
participate,6
patently,1
absurd,1
