item,cnt
how,22
to,698
recognize,17
fossil,327
be,1904
not,142
rare,23
we,99
have,563
see,75
millions,2
of,1857
may,84
make,43
up,35
the,3103
rock,149
themselves,22
cram,1
together,33
layer,4
after,16
form,132
formation,7
thousands,9
foot,11
thick,9
present,36
land,28
surface,44
a,892
thin,7
skin,4
on,199
top,12
record,46
past,12
preserve,129
in,957
once,11
scientist,5
begin,8
collect,11
life,63
they,611
soon,3
come,16
across,20
problem,14
order,10
and,885
arrange,10
huge,2
variety,32
recover,10
understand,3
what,19
find,122
need,7
classify,12
organism,47
into,93
particular,27
kind,76
more,114
or,172
less,21
similar,46
impose,2
an,110
would,32
otherwise,8
vast,7
chaotic,1
mass,5
different,66
apparently,4
unrelated,6
relic,2
urge,1
natural,13
world,22
appear,9
innate,1
characteristic,27
human,2
being,1
place,17
for,165
everything,4
it,308
but,174
animal,181
plant,91
live,77
than,64
just,11
attempt,4
convenient,1
way,41
slot,2
category,3
like,132
stamp,2
album,1
neatness,1
convenience,2
classification,16
supposed,3
reflect,12
great,43
ordering,1
process,8
that,351
itself,10
give,34
rise,13
diversity,7
alive,7
today,61
evolution,22
look,50
only,64
also,57
closely,13
relate,28
evolutionary,18
sense,5
put,2
another,16
share,6
common,43
ancestor,32
so,85
when,40
at,124
grimacing,1
gesture,1
chimpanzee,5
wonder,1
almost,31
ludicrous,1
parallel,3
with,340
own,10
behaviour,2
this,318
part,63
whole,30
host,5
behavioural,1
anatomical,1
similarity,9
show,66
without,21
doubt,8
ought,1
ape,1
all,89
primate,2
distant,7
diminutive,3
caricature,1
drive,2
man,14
further/far,2
apart,3
from,284
shared,1
ancestral,4
species,268
term,7
as,240
advanced,7
although,35
dominate,9
by,144
virtue,2
number,75
adaptability,1
few,62
people,2
offend,1
last,15
century,2
thought,1
which,257
extinct,23
probably,45
three,8
million,17
year,30
enough,25
family,5
likeness,1
remain,23
',6
tea-time,1
most,142
popular,9
attraction,1
zoo,2
over,33
word,3
caution,2
here,36
indicate,2
relationship,7
significance,2
some,205
can,142
misleading,2
because,42
superficially,6
resemble,16
one,161
often,74
these,162
resemblance,9
product,3
mode,15
both,33
tortoise,6
armadillo,4
carry,16
around,15
suit,1
armour,2
first,29
glance,6
might,11
think,6
little,38
far,18
investigation,1
cold-blooded,7
reptile,38
lay,6
egg,3
while,13
many,153
respect,2
typical,20
warm-blooded,10
mammal,34
bear,12
young,16
obviously,11
spite,5
even,68
care,2
necessary,4
get,9
much,50
evidence,20
go,13
living,126
directly,6
whether,12
warm,8
indirect,1
depend,1
careful,4
study,19
bit,3
bone,14
palaeontologist,6
detective,1
try,7
reconstruct,3
full,6
story,6
fragmentary,4
clue,2
he,13
must,19
follow,4
any,41
red,3
herring,1
will,25
result,8
basis,6
ambiguous,1
distinguish,12
snake,5
eel,1
do,57
thorough,1
familiarity,1
fauna,23
information,2
complete,23
shall,7
next,3
chapter,12
carrying,1
comparison,4
too,11
curious,12
inaccurate,1
picture,2
distantly,5
related,27
slow,9
worm,9
left,10
right,19
amphisbaenid,1
bottom,24
descend,2
reach,8
shape,33
along,13
separate,13
pathway,1
run,9
earth,5
least,8
's,9
history,37
perhaps,23
fortunate,2
fraction,2
truly,8
stupendous,1
total,6
since,21
cambrian,47
task,1
catalogue,1
600,3
impossible,2
surprising,9
new,20
discover,11
daily,1
indeed,2
amateur,7
collector,9
good,27
chance,9
if,34
hard,28
learn,1
there,117
increase,11
precambrian,9
example,42
conquering,1
alone,9
multitude,2
opportunity,3
colonizing,1
within,21
marine,41
environment,27
believe,5
overall,6
richness,1
establish,11
early,74
say,5
silurian,33
period,27
sea,96
time,55
then,17
course,20
inhabit,4
change,31
several,22
major,25
episode,1
extinction,8
6,14
cast,8
character,6
totally,3
approximately,1
same,32
300,1
repeatedly,4
limestone,69
age,35
shelled,3
brachiopod,65
dozens,4
whereas,3
eocene,19
no,38
gastropod,45
unknown,4
beginning,1
start,10
become,47
easy,14
acquire,12
preservable,1
possible,19
broadly,4
group,149
nearly,9
correspond,3
division,12
broad,15
base,12
continue,8
evolve,24
throughout,4
following,1
include,48
however,17
colonization,2
take,24
200,1
direct,8
familiar,15
fit,6
onwards,5
call,5
phyla,14
singular,2
phylum,28
identify,11
properly,1
stage,8
determine,3
belong,17
originate,5
ultimately,4
derive,22
cell,13
shroud,1
obscurity,1
hide,1
stretch,5
7,11
each,15
answer,6
now,26
light,7
out,30
about,46
structure,45
protein,1
sophisticated,4
already,4
define,6
framework,1
completely,7
construct,6
opposite,3
end,37
scale,9
small,69
unit,5
usually,36
use,42
strictly,1
accurate,7
precisely,2
where,45
refer,3
population,2
interbreed,2
under,12
condition,12
produce,17
offspring,1
capable,7
reproduce,4
practice,2
peculiarity,3
plumage,1
colour,35
reliably,2
set,5
other,139
never,11
know,55
until,6
somebody,2
invent,1
machine,1
back,37
ourselves,3
rather,47
practical,1
consistent,4
difference,6
patchy,4
nature,6
particularly,38
large,114
vertebrate,29
specimen,131
inestimable,1
value,3
why,10
museum,3
material,20
every,11
unique,7
scientific,7
name,37
christen,3
describe,20
illustrate,8
publish,2
journal,1
two,42
tyrannosaurus,11
rex,4
latin,2
greek,5
mean,6
tyrant,2
lizard,8
king,3
appropriately,1
specific,6
dinosaur,59
genus,38
mr,1
jones,2
eventually,2
jonesi,1
incidentally,2
generic,2
always,10
capital,2
letter,1
commonly,5
encounter,5
beautiful,9
very,77
everyday,2
master,3
quickly,3
ponderous,2
sound,2
ring,2
advantage,10
language,2
nomenclature,1
international,1
between,27
hand,9
series,8
intermediate,1
increasing,1
inclusiveness,1
plural,1
superfamily,3
cluster,3
class,33
combine,8
complicated,9
serve,10
useful,4
function,16
countless,1
economical,1
single,19
worry,1
book,17
mollusca,3
mollusc,43
majority,12
shell,92
gastropoda,2
snail,10
bivalvia,3
clam,9
mussel,5
scallop,1
etc,1
trilobite,86
thing,7
difficult,19
generally,27
garden,6
dahlia,1
chrysanthemum,1
fuchsia,1
compare,17
partly,10
level,4
still,41
argue,4
examine,3
commone,10
important,49
reader,4
able,8
collection,4
certain,18
special,5
feature,17
confidently,1
plate,65
contain,12
likely,14
differ,5
choose,1
illustration,1
detail,32
account,5
simple,27
work,2
towards,3
complex,15
somewhat,9
selfishly,1
impression,11
tree,27
shellfish,1
fish,65
correct,4
single-celled,3
actively,3
primaeval,1
soup,1
unicellular,1
old,13
geological,15
fact,9
himself,1
side,20
long,128
true,15
really,16
apply,4
highly,18
outlive,1
populate,2
move,8
arrangement,9
procedure,1
extremely,10
tiny,19
discuss,3
late,26
concerned,3
chip,1
such,55
conceal,3
matrix,19
essential,2
clean,8
off,13
enclosing,8
mislead,1
superficial,3
rule,2
cleaning,1
field,8
pile,1
rubble,1
frayed,1
temper,1
protozoa,2
2,7
heterogeneous,1
including,14
those,27
lead,6
autonomous,1
existence,4
microscopic,2
skeleton,54
therefore,4
lack,12
flexible,8
amoeba,1
protoplasmic,1
blob,1
imagination,3
protozoan,4
potential,2
fossilization,3
secrete,4
test,6
again,11
easily,20
spot,2
importance,5
return,5
later,5
testate,1
extend,17
gigantic,2
size,35
occur,49
conspicuous,14
coin-like,1
nummulite,7
builder,3
england,39
numerous,31
mediterranean,2
eastwards,2
thickness,1
pyramid,2
egypt,2
block,2
gizehensis,2
p.,35
64,3
giant,27
foraminiferan,4
rock-forming,1
carboniferous,64
deep,15
ooze,1
require,6
microscope,3
flourish,6
permian,22
fusuline,4
instead,2
coin,3
spindle-shaped,2
round,3
cross-section,1
taper,3
sequence,2
russia,3
orient,1
divide,15
chamber,15
internally,2
internal,38
seem,44
exceptionally,7
shallow,13
tropics,1
tethyan,1
region,17
sponge,31
porifera,1
1,2
3,11
many-celled,1
individual,26
specialize,8
loosely,4
aggregate,1
property,3
rebuild,1
colony,38
mash,1
locality,18
abundant,25
former,4
prominent,10
reef-building,1
association,4
bryozoan,14
fossilize,7
skeletal,9
element,5
fine,45
branching,10
spicule,4
associate,8
tissue,5
fused,2
rigid,3
composition,1
glass,4
compose,28
silica,2
calcareous,7
calcium,15
carbonate,11
representative,10
especially,14
deep-sea,1
variable,2
cup,10
flask,1
spherical,5
cauliflower-like,1
flat,13
fold,7
encrusting,4
successful,13
bore,3
spicular,1
well,29
widely,9
distribute,4
cretaceous,71
europe,21
north,21
america,21
well-preserved,10
inside,8
flint,4
originally,3
deposit,19
chalk,10
resistant,5
weathering,4
behind,6
erode,1
away,14
incorporate,2
sediment,32
unusual,9
dig,6
suburban,1
london,2
journey,1
raphidonema,1
faringdonense,1
berkshire,1
calcite,40
obtain,8
gravel,2
type,27
cup-shaped,1
rapidly,9
expand,4
narrow,6
minutely,3
porous,2
external,22
cover,20
irregular,3
bumps.,1
report,2
triassic,19
france,7
germany,9
italy,4
switzerland,2
vary,15
deal,5
height,3
cm,101
unconsolidated,1
adherent,1
sand,8
grain,3
remove,3
stout,10
pin,1
coral,56
coelenterata,1
4,9
5,11
9,7
coelenterate,9
varied,16
organize,2
definite,1
mouth,11
surround,4
tentacle,8
stomach,3
circlet,2
typify,2
radial,5
symmetry,19
jelly-like,1
consistency,1
jellyfish,4
anemone,2
hydroid,2
keep,5
schoolroom,1
fresh,8
water,56
tank,2
main,3
design,6
either,4
attach,21
wave,3
flower,10
polyp,6
free,6
floating,5
hang,4
down,11
hair,2
medusa,1
stinging,2
paralyse,1
prey,12
soft-bodied,3
cavity,3
1000,1
ago,6
swarm,7
drift,6
medusae,1
free-floating,3
primitive,25
ancient,10
develop,15
ability,2
anthozoa,1
lithistid,1
pemmatite,2
arcticus,1
arctic,8
island,4
spitzbergen,1
weather,7
unweathered,1
sometimes,21
bath,1
bun-shaped,1
pit,2
diameter,29
rely,2
differential,1
polished,2
section,15
rugose,10
palaeosmilia,1
essentially,2
support,14
body,31
happen,10
ordovician,51
secretion,1
thus,2
could,24
overcome,1
rigidity,2
soft,18
grow,29
hundreds,4
house,3
solitary,4
inception,1
colonial,7
mound-like,1
reef,14
contribute,4
construction,7
prime,2
site,22
besides,2
palaeozoic,40
day,5
massive,6
case,20
cut,4
polish,4
57,3
detailed,8
build,5
general,10
obvious,10
radially,1
spoke,2
bicycle,1
wheel,2
septa,9
basic,4
four-rayed,1
corallite,7
alongside,4
low,27
cushion,3
millimetre,3
absent,1
inconspicuous,3
tabulate,3
devonian,40
heliophyllum,2
corniculum,1
silicified,1
gently,4
curved,4
note,10
occupy,15
length,49
mesozoic,30
scleractinian,3
mineral,5
aragonite,5
chemically,2
atom,1
six-fold,1
fundamentally,1
rugosa,2
oddly,1
beautifully,9
jurassic,52
tropical,7
stylina,2
alveolata,1
recrystallize,1
crystal,5
yellow,5
european,4
rounded,1
½,2
i,6
line,28
edge,7
short,6
expose,1
clump,1
nattheim,1
asia,3
minor,3
us,2
entire,2
10,12
graptolite,33
hemichordata,3
regard,6
ally,10
cousin,1
tube-dwelling,1
hemichordate,2
chordate,14
flattened,6
retain,17
serrated,1
saw,1
tooth,41
crushed,1
tube,16
theca,1
zooid,7
shrub-like,1
slender,14
branch,24
bushy,4
dendroidea-dendroid,1
root,15
floor,7
few-branched,1
graptoloidea,1
planktonic,7
graptoloid,10
dendroid,3
prolific,2
disappear,6
survive,34
relative,18
thecae,1
identification,7
date,5
spread,5
experience,3
assemblage,8
shale,24
approximate,1
deposition,3
tend,14
predominantly,2
oceanic,3
preservation,18
inner,4
shelf,2
habitat,20
near,7
shore,4
question,4
excite,1
argument,10
whatever,4
explanation,4
used,2
absence,4
eight-branched,1
dichograptus,2
octobrachiatus,1
eight,2
equal,4
microscopical,2
destroy,6
widespread,18
eastern,2
united,2
states,2
texas,1
britain,2
canada,9
australia,7
6cm,1
bivalve,49
view,10
sideways,2
fundamental,2
distinction,2
brachiopoda,1
8,15
11,3
12,6
inevitably,1
invertebrate,12
during,33
profusion,1
inshore,1
frequently,8
component,8
valve,37
bivalved,1
drawing,1
below,13
profound,3
anatomy,3
filter-fed,1
organic,6
particle,11
bring,5
current,12
harvest,2
lophophore,6
cilia,2
dual,1
purpose,1
create,2
catch,4
food,29
substrate,2
stalk,8
hole,5
through,29
enter,1
method,8
food-gathering,2
inactive,2
sufficiently,1
dull,1
anticipate,1
lingula,4
famous,14
-like,1
evolutionarily,1
proliferation,3
diversification,6
suffer,4
dramatic,4
adapt,17
bank,1
hence,7
1o,2
smooth,4
corrugated,3
ornament,6
rib,18
margin,21
wavy,8
deeply,4
spine,31
exterior,6
loop,3
double,2
fantastic,1
spiral,10
whorl,13
presumably,6
efficiency,2
quite,24
tooth-and-socket,1
hinge,9
suggest,10
decline,6
i00,1
cause,2
commensurate,2
filter-feeding,5
oust,1
attractive,6
idea,6
prove,5
success,5
habit,41
adopt,6
burrow,14
swim,14
fall,4
phosphate,4
plus,1
development,6
imperfect,2
inarticulate,3
shiny,5
lustre,7
best,2
hinged,1
articulata,1
comprise,1
though,6
articulate,3
prominence,2
combination,4
quick,3
modern,15
distinctive,20
recognition,1
spiriferid,2
ii,1
unlikely,5
confused,4
above,15
sheer,1
abundance,6
feel,2
macrocoelia,1
expansa,1
slab,2
mould,25
trace,3
original,37
fine-grained,16
sandstone,12
dissolve,5
leave,18
sort,9
ribbing,8
strong,15
hollow,2
shelly,1
band,2
meifod,1
wales,7
precise,1
expert,6
knowledge,3
20,8
spiriferina,2
walcotti,1
elegant,3
characterize,4
throw,2
wide,22
faint,2
concentric,3
growth,11
lias,4
close,12
worldwide,5
exceed,8
3cm,2
lamp,1
terebratula,3
maximum,5
pilocene,1
east,2
anglia,1
die,5
imply,4
circular,3
opening,8
apex,2
fleshy,2
pass,6
tertiary,24
adult,6
mat,2
bryozoa,6
col.,1
13,2
leaf-like,2
hummocky,1
centimetre,14
seaweed,3
strand,1
white,8
net,5
dark,9
weed,1
rock-former,1
high,19
exclusively,2
proper,2
lens,5
reveal,6
minute,8
entrap,1
passing,3
microorganism,2
edible,3
recent,11
specialized,8
modify,10
snap,2
remarkably,6
miniaturized,1
parrot,1
head,24
prevent,4
settling,1
larva,4
unwanted,2
alien,3
vacated,1
home,2
deduce,7
astogeny,1
filter-feeder,4
benthic,2
box,1
worth,3
urchin,27
matted,1
delicately,1
overlook,2
immediately,2
twig-like,1
trepostome,1
bed,11
net-like,2
fenestrellid,1
upper,9
latter,4
screw-like,2
archimedes,3
p.65,1
filling,1
appearance,9
twig,2
usual,7
sandy,2
silty,2
range,17
compact,4
hump,1
cobweb-like,1
exceptional,4
delicacy,2
detract,1
beauty,4
display,5
abyss,1
gardener,1
who,5
protect,6
vegetable,1
against,6
marauding,1
horde,1
slug,4
transition,5
diverse,8
concern,2
well-developed,3
readily,2
muscular,3
variously,1
locomotion,4
swimming,6
creature,5
flatworm,1
acquisition,2
before,12
octopuse,2
secondarily,1
lose,9
means,12
protection,1
span,2
replace,3
unlike,10
ever,6
measure,11
weight,2
biomass,1
biosphere,1
squid,5
ocean,18
match,5
organization,3
achieve,8
octopus,1
intricate,1
over-estimate,1
pattern,16
community,2
fill,12
ecological,6
role,6
available,7
voracious,1
hunter,10
graze,1
alga,11
feed,21
muddy,2
larval,3
ciliated,3
object,2
plankton,4
ready,1
settle,3
assume,6
mature,3
bottom-dwelling,5
disperse,2
distance,3
colonize,3
vacant,2
volcanic,2
surtsey,1
attain,5
considerable,10
dimension,6
notorious,1
15,8
m,1
ammonite,15
nautiloid,22
hydnoceras,1
tuberosum,1
york.this,1
relief,6
hydnocera,1
knob,5
surviving,1
actually,6
lentil-shaped,1
hexactinellid,1
coeloptychium,2
agaricoide,1
westphalia,1
extract,7
elsewhere,3
cap,1
cyathophyllum,1
sp,2
devon,2
gap,4
wall,6
halysite,1
escharoide,1
chain,2
ohio,1
usa,15
slightly,9
oval,3
link,5
brain,3
coeloria,1
labyrinthiformis,1
scleractinia,1
miocene,10
antigua,1
meander,1
dense,3
meshwork,1
labyrinth,1
dictyonema,3
flabelliforme,1
geologist,2
light-coloured,1
regular,4
lingulid,1
beani,1
yorkshire,4
tongue-shaped,1
contrast,2
clay,8
pliocence,1
septastraea,1
forbesi,1
maryland,3
polygonal,2
outline,6
twelve,2
fragment,12
tuning-fork,1
didymograptus,2
murchisoni,2
bedding,6
black,9
flatten,10
tuning,1
fork,3
5cm,1
spirifer,1
striatus,1
kildare,1
ireland,3
barachiopod,1
apertural,3
deflect,1
downwards,5
v,1
63,2
rhynchonellid,1
cyclothyris,2
difformis,1
ribbed,4
beak,1
project,1
convex,7
3–3½cm,1
fenestrellina,2
plebeia,1
stand,6
background,2
5–6,1
14,3
trigoniid,2
scabrotrigonia,1
thoracica,1
tennessee,1
chop,1
robust,5
powerful,15
5½,1
aviculopecten,1
planoradiatus,1
derbyshire,3
remarkable,5
banding,1
v-shaped,2
pectinid,2
groove,7
widen,1
ear,1
16,3
desmoulia,1
conglobata,1
pliocene,5
befit,1
relatively,20
slice,1
longway,1
columella,1
twist,2
corkscrew,1
17,4
cenoceras,1
pseudolineatus,1
dorset,1
largely,10
gently-curving,1
suture,22
peculiar,9
archimede,1
sublaxus,1
whilst,1
examination,1
recognizable,1
miniature,4
helter-skelter,1
philosopher,1
inventor,1
screw,1
extensive,2
consider,7
various,12
skilled,1
business,5
literature,1
turn,8
fascinating,3
weird,1
touch,2
upon,4
tellin,2
tellinella,1
rostralis,1
elongated,2
shovel-like,1
tongue,2
belgium,2
clams,1
enclose,2
pair,14
mirror,3
image,3
springy,1
ligament,1
gaping,2
attitude,2
position,8
danger,2
threaten,3
muscle,9
tightly,3
shut,1
force,1
open,4
scar,10
interior,5
efficient,13
socket,1
device,4
movement,5
gregariously,2
mud,8
depth,9
maintain,2
contact,3
siphon,6
permit,2
passage,2
oxygen,3
tough,3
thread,1
byssus,1
enable,6
turbulent,2
situation,2
inhospitable,2
free-swimming,3
escape,5
predator,21
clap,2
wood,3
lie,11
home-made,1
21,3
adaptation,6
globular,3
plate-like,1
razor,2
ensis,1
greatly,8
avoid,2
sculpture,5
poleumita,1
discor,1
infilling,2
topmost,1
break,9
disc,4
occasional,1
courser,1
outer,3
perimeter,3
raised,2
ridge,3
stratum,2
comparable,4
wenlock,2
dudley,1
antiquity,2
ideal,1
inoceramus,1
metre,10
tridacna,1
goliath,1
greedily,1
trap,2
diver,1
legend,1
dubious,1
veracity,1
doubtful,1
molluscan,7
established,1
radiate,3
nich,4
steady,1
canter,1
brisk,1
gallop,1
pp.,1
73–6,1
ancestry,1
sized,1
nucula,1
arise,6
affect,3
lee,1
mesozoic-tertiary,1
event,2
extirpate,1
conservatism,1
short-lived,1
bizarre,4
survivor,7
extraordinary,8
rudist,1
47,3
cone,5
rest,13
lid,3
effect,1
un-clammish,1
entomb,1
half,3
representation,1
sculptural,1
pelecypod,1
lamellibranch,1
accept,2
two-shelled,1
fortunately,4
18,5
puppy,1
dog,2
tail,18
something,10
repulsive,1
successfully,7
financial,1
proportion,4
aesthetic,1
quality,1
helically-coiled,2
creeping,3
organ,5
eye,29
rasp,3
radula,3
pointed,6
mountain,1
stream,1
confine,3
strongly,3
zon,1
ecologically,1
area,14
accord,7
relation,2
tide,1
mark,4
degree,3
exposure,1
diet,2
jumble,1
displace,4
microhabitat,1
grazer,5
modified,5
poison,1
dart,2
employ,1
neat,1
perfectly,10
nutritious,1
specialist,7
concentrate,2
clear,7
you,6
limpet,4
symmetrocapulus,1
tessonii,1
wrinkle,1
lucky,2
les,1
moutiers,1
en,1
cinglais,1
limpet-like,1
sundial,1
architectonica,1
millegranosa,1
wash,1
spire,7
beaded,1
sharp,5
outside,4
discriminate,2
fairly,1
uncommon,5
subtropical,2
meet,3
orciano,1
harpagodes,1
wrightii,1
oolitic,2
oyster,4
dead,4
real,2
rarity,2
oolite,1
gloucestershire,2
lengthy,1
job,5
thereafter,1
chisel,1
needle,2
prise,1
remember,2
tool,1
typhis,4
pungens,1
adhere,2
spiny,6
aperture,10
rim,2
frequent,4
japan,1
demonstrate,4
tens,4
delicate,13
fragile,4
coil,10
upward,1
cap-like,1
plane,10
ram,1
horn,5
visible,12
externally,2
overlap,2
tracery,1
prickle,1
flare,1
siphonate,1
operculum,2
withdraw,1
replicate,1
busycon,1
