item,cnt
action,29
and,1077
inaction,2
in,760
the,2372
city,114
susanne,3
macgregor,9
ben,1
pimlott,1
essay,3
this,192
book,12
do,64
not,152
amount,3
to,709
a,555
programme,32
but,110
they,182
be,1128
intend,5
provide,29
springboard,1
for,236
one,66
aim,18
analyse,2
problem,77
which,192
economic,56
growth,15
alone,7
have,290
fail,6
cure,1
consider,4
possible,4
new,65
form,23
of,1414
public,81
big,7
single,5
difficulty,2
draw,7
attention,10
urban,94
poverty,52
that,306
it,229
simply,9
some,54
most,37
worrying,1
manifestation,5
get,8
bad,11
like,17
poor,44
themselves,11
inner,91
long,16
with,141
we,57
ever,7
since,28
industrial,8
revolution,5
create,13
mass,4
society,33
condition,30
dweller,3
give,16
rise,20
anxiety,5
among,15
well,22
off,11
variously,1
regard,8
as,288
cause,26
moral,17
outrage,1
threat,5
order,37
or,108
stain,1
on,266
nation,3
's,127
conscience,2
meanwhile,5
housing,21
sanitation,1
lack,9
education,17
other,71
perennial,6
ill,4
associate,4
overcrowd,1
routinely,1
denounce,1
by,218
political,65
leader,7
social,176
reformer,1
central,24
objective,5
post-war,10
welfare,34
state,40
indeed,18
alleviate,2
over,34
whom,4
beveridge,5
five,7
giant,2
want,14
disease,2
ignorance,3
squalor,5
idleness,2
so,36
hold,9
sway,1
early,38
1940s,5
1950s,3
belief,4
widely,8
combination,5
government,121
intervention,6
town,7
planning,6
house,15
health,5
provision,9
security,8
permanent,2
male,5
full,7
employment,14
together,4
an,136
increase,45
real,8
wage,4
would,42
reduce,12
suffer,10
due,5
manageable,1
proportion,10
1964,4
labour,27
elect,2
tide,1
impatience,1
at,96
slackening,1
pace,2
reform,24
also,30
optimism,7
little,11
more,91
than,50
fuel,2
technological,1
change,43
need,52
remove,4
main,16
deprivation,23
1981,45
disillusion,1
swiftly,2
follow,10
work,22
peter,4
townsend,10
show,22
far,22
from,120
preside,2
elimination,2
wilson,15
actually,8
prevent,6
feature,12
worsening,3
bosanquet,1
1972,7
evidence,20
begin,8
mount,2
much,43
paternalism,2
period,21
almost,6
many,40
solve,2
neither,8
butler,1
act,12
1944,1
nor,12
introduction,6
comprehensive,5
school,5
high,26
child,19
under-achieve,1
reconstruction,3
seem,17
nothing,3
even,29
encourage,17
crime,114
mental,1
illness,1
part,36
country,12
old,10
tension,7
between,76
cultural,4
group,17
immigrant,2
black,47
brown,1
white,14
increasingly,8
large,13
section,9
youth,22
police,139
come,21
identify,6
key,21
inner-city,27
issue,38
unemployment,48
turn,14
lingering,1
growing,12
malaise,4
into,40
crisis,8
united,16
states,15
britain,33
outbreak,8
violence,31
dramatically,2
bring,11
plight,1
notice,1
1980s,20
time,25
when,32
manufacturing,2
industry,4
collapse,7
outlook,1
unskilled,2
look,12
particularly,15
bleak,1
frustration,1
boil,1
series,6
riot,88
london,22
bristol,6
birmingham,9
liverpool,10
elsewhere,6
all,55
spontaneous,2
outburst,3
none,5
contrary,5
claim,12
politically,3
inspire,1
orchestrate,1
except,3
northern,2
ireland,1
where,18
exist,4
grand,1
devastating,1
