item,cnt
methodology,12
the,2594
areal,28
interpolation,19
problem,101
estimate,44
population,113
use,230
remote,8
sensing,8
in,858
a,816
gi,227
framework,10
mitchel,1
langford,1
david,4
j.,2
maguire,1
and,1199
unwin,2
introduction,7
data,332
integration,13
be,1555
one,67
of,1746
fundamental,1
operation,46
burrough,6
1986,21
it,222
involve,38
transformation,4
so,37
that,334
they,119
report,33
at,135
comparable,3
geographical,23
scale,35
projection,2
set,59
unit,46
need,57
for,463
arise,12
because,25
many,65
question,18
which,203
scientist,14
social,23
investigate,7
require,39
from,172
wide,18
range,25
source,51
only,52
on,292
disparate,1
spatial,109
base/basis,4
especially,12
geographer,6
information,93
synthesis,1
very,36
heart,1
discipline,5
difficulty,17
integrate,9
compound,3
by,260
fact,11
there,106
few,21
standard,20
govern,5
way,34
collect,20
hearnshaw,2
et,65
al.,65
1989,77
example,69
highlight,5
context,13
leicestershire,4
county,5
midlands,2
england,7
show,43
link,37
enumeration,3
district,13
ed,20
ward,31
parish,2
postcode,5
similarly,3
openshaw,15
domesday,1
system,157
available,44
25,9
different,48
incompatible,1
type,42
strategy,6
map,166
have,300
receive,5
considerable,17
attention,20
over,31
past,5
decade,11
robinson,1
1984,18
although,22
still,12
number,57
to,958
solve,5
contrast,9
compare,14
these,114
aspect,25
fairly,3
well,33
develop,38
understand,7
this,282
chapter,28
we,101
concentrate,11
most,43
intractable,1
all,71
full,7
description,7
process,66
present,36
flowerdew,6
green,5
4,23
published,1
attempt,19
provide,43
solution,21
cross-area,3
aggregation,8
or,111
goodchild,7
lam,7
1980,8
1983,24
summarize,10
classify,7
1987,36
several,18
give,58
can,133
define,24
as,292
transfer,6
zone,18
second,27
target,15
overlapping,1
non-hierarchical,2
where,28
nest,2
hierarchically,1
into,70
uk,58
administrative,6
exactly,6
simple,26
however,68
overlap,1
more,74
complex,18
here,24
nature,25
illustrate,18
with,208
an,181
common,14
know,26
about,44
year,30
choropleth,1
mapping,7
produce,22
aggregate,5
selected,2
arbitrary,6
decennial,1
census,26
record,12
individual,17
people,21
household,4
but,65
almost,10
various,17
ensure,10
not,76
recover,1
unfortunately,3
generally,11
choose,6
non-statistical,1
reason,7
differ,2
often,29
unstable,1
time,45
make,72
any,43
comparative,1
analysis,44
problematical,1
particularly,19
important,40
study,58
necessary,12
find,15
denominator,2
order,13
incidence,2
property,9
proportion,5
some,96
total,18
numerator,1
might,25
count,15
sector,6
who,15
say,6
cancer,22
yet,23
health,45
possible,44
appropriate,18
at-risk,1
compute,1
reliable,4
ratio,3
relate,20
what,37
term,25
imposed,2
no,33
landscape,1
reality,6
1981,21
increasingly,8
create,24
natural,55
such,128
soil,15
association,9
outcrop,1
particular,29
rock,3
utilize,3
either,10
point,41
method,30
will,63
examine,23
turn,4
essentially,3
usually,10
centroid,10
surrogate,4
then,40
apply,8
conventional,2
crude,3
match,6
minimum,10
distance,16
near,7
neighbour,2
technique,28
slightly,4
less,26
generate,13
continuous,1
surface,8
overlain,1
interpolated,1
value,24
unsuitable,1
estimation,10
tobler,3
1979,5
out,43
danger,2
remove,8
martin,5
1988,54
describe,34
algorithm,14
spreading,1
function,14
allocate,5
neighbouring,1
grid,46
square,36
incorporate,10
's,52
idea,4
intermediate,2
between,56
point-in-polygon,2
locate,6
boundary,25
relatively,7
unsophisticated,2
reasonably,2
fast,3
seem,30
work,76
satisfactorily,1
much,38
large,31
than,68
also,67
situation,12
polygon-in-polygon,1
obtain,18
reasonable,10
within,40
decision,9
rule,3
decide,3
do,26
case,35
cross,4
accurate,5
normally,2
true,6
cross-areal,1
suggest,33
two,33
polygon,31
overlay,38
pycnophylactic,1
elsewhere,2
wagner,1
above,20
alike,2
other,71
purely,1
area,123
extra,5
truly,2
integrated,2
jackson,3
mason,2
certain,11
potentially,8
useful,20
additional,8
intelligent,5
theoretically,1
sound,4
general,23
statistical,15
approach,49
poisson,7
regression,6
binary,7
variable,27
he,20
predict,16
characteristic,24
parliamentary,1
constituency,2
lancashire,2
level,28
party,2
affiliation,1
member,10
parliament,1
similar,13
enable,2
inform,5
distribution,36
land-cover,15
infer,1
classified,3
landsat,6
thematic,4
mapper,1
tm,3
image,23
both,39
national,28
kilometre,7
basic,14
suitable,12
satellite,13
image-processing,1
identify,31
land,25
cover,26
