item,cnt
singularity,227
structure,39
it,352
have,277
be,1427
see,57
that,394
inevitably,1
occur,37
in,750
the,1925
solution,541
describe,126
interaction,54
region,223
of,779
collide,64
plane,85
wave,272
use,91
line,58
element,45
6.20,15
we,33
this,387
8.1,6
where,87
f(u),4
and,686
g(v),4
monotonically,3
decreasing,5
function,136
for,213
positive,6
argument,4
therefore,29
inevitable,2
some,19
kind,13
will,58
on,114
hypersurface,35
f,33
+,1
g,38
=,12
0,10
can,171
also,121
from,79
6.17,1
which,224
two,59
opposing,8
mutually,6
focus,10
each,13
other,33
as,177
contraction,3
here,22
become,31
unbounded,21
anticipate,2
by,343
discussion,5
section,70
5.3,1
now,40
appropriate,44
to,511
consider,90
whether,5
caustic,2
form,91
way,17
correspond,15
mere,1
coordinate,94
or,69
they,65
necessarily,15
curvature,88
khan-penrose,25
point,52
out,21
previously,4
ii,64
iii,50
contain,48
approaching,64
character,9
significance,8
these,157
must,37
chapter,45
accord,7
general,59
theory,1
relativity,2
space-time,83
represent,11
a,445
connected,1
c,41
∞,1
hausdorff,1
manifold,3
m,30
together,7
with,162
locally,1
lorentz,1
metric,68
indicate,16
incomplete,6
geodesic,17
curve,3
bounded,3
acceleration,1
hawking,1
ellis,5
1973,2
definition,6
smooth,8
do,35
not,82
any,31
irregular,1
follow,31
may,175
normally,4
only,48
at,56
boundary,100
unfortunately,2
no,13
single,6
yet,4
find,26
applicable,1
all,42
situation,18
one,24
more,31
useful,5
attach,2
singular,10
b,55
bundle,5
-boundary,6
construction,4
projection,6
into,25
natural,3
higher-dimensional,1
riemannian,2
standard,3
frame,9
over,2
definite,1
induce,2
affine,1
connection,1
determine,15
give,122
end,6
cauchy,21
sequence,4
converge,1
then,77
project,1
down,1
make,7
classification,3
scheme,5
devise,1
schmidt,3
1977,7
maximal,1
four-dimensional,1
divide,4
three,8
basic,5
type,23
quasiregular,15
non-scalar,12
scalar,25
riemann,11
tensor,31
k,22
location,1
if,78
non-empty,1
there,45
possibility,4
either,15
q,11
regular,12
embed,2
large,5
such,34
r,7
an,73
interior,6
extendable,3
through,19
classify,1
k-,4
component,56
first,41
derivative,6
evaluate,7
orthonormal,1
parallel,4
propagate,4
along,14
ending,1
0-,1
call,1
ppon,2
alternatively,5
true,1
case,139
categorize,1
alternating,1
symbol,1
bound,6
tend,3
polynomial,10
most,13
familiar,11
class,40
include,32
big,1
bang,1
black,3
hole,4
closely,1
's,29
intuitive,1
concept,2
real,24
physical,8
approach,31
quantity,2
diverge,6
observer,5
feel,4
tidal,3
force,3
much,2
less,6
well,11
understand,2
fully,1
investigate,6
example,9
finite,6
limit,6
effect,8
test,1
particle,5
fall,2
infinite,5
but,27
move,3
arbitrarily,5
close,3
untoward,1
finally,5
reasonable,5
completely,2
near,1
including,3
those,18
who,9
itself,1
following,7
global,9
particular,35
analyse,12
detail,17
iv,70
exact,16
khan,10
penrose,13
1971,10
3,9
however,61
clear,10
particularly,9
impulsive,40
gravitational,48
question,5
szekeres,40
1972,12
aligned,10
linear,14
polarization,41
work,6
generalize,10
sbytov,3
1976,2
arbitrary,39
same,28
result,17
recently,4
counterexample,5
conclusion,5
obtain,86
non-aligned,6
chandrasekhar,23
xanthopoulos,16
1986c,1
degenerate,17
ferrari,33
Ibañez,31
1987b,2
algebraically,4
feinstein,11
1989,28
remain,5
extension,33
focusing,13
exceptional,11
later,7
present,19
simply,16
observe,19
omit,1
another,28
propose,1
stoyanov,9
1979,13
prove,5
incorrect,2
satisfy,43
required,7
condition,77
10.2,20
apply,34
electromagnetic,23
complicated,4
answer,1
conclusive,1
generally,3
expect,5
combination,11
usually,3
purely,2
bell,7
1974,4
show,62
could,4
easily,12
remove,13
transformation,78
conformally,4
flat,21
14,3
full,4
analysis,5
clarke,7
hayward,8
d,13
electrovac,1
1987a,1
papacostas,1
1988,30
further/far,15
without,4
construct,3
17.2,1
interpret,7
horizon,52
surface,33
conclude,8
onto,4
significant,4
exception,3
convenient,33
stage,2
invariant,4
rindler,1
1986,9
8.2,9
order,25
existence,8
sufficient,1
merely,5
2,26
i,20
j,2
would,20
course,6
number,11
theorem,10
apart,5
early,2
date,1
tipler,10
1980,7
fact,30
straightforward,1
generalization,17
1965b,1
hawk,1
p.263,1
quote,2
directly,3
let,1
least,8
suppose,1
globally,3
define,15
commute,1
space-like,24
killing,14
vector,28
field,37
δ,6
x,14
y,12
generate,28
symmetry,7
1,15
null,30
convergence,1
hold,1
six,1
non-zero,11
p,15
partial,1
s,15
everywhere,6
tangent,2
non-compact,1
direction,3
normal,3
interesting,4
seem,4
require,17
thus,46
exclude,2
involve,22
1987,29
nor,1
colliding,23
collision,42
addition,12
incompleteness,2
say,1
nothing,3
about,4
exist,10
very,10
Ferrari-Ibañez,13
1986b,1
respectively,15
part,16
schwarzschild,17
kerr,22
10.5,6
13.3,8
when,72
time-like,14
latter,2
possible,33
pass,7
miss,2
far,23
vacuum,21
replace,21
subclass,2
front,11
geodesically,1
illustrate,13
proof,2
imply,8
killing-cauchy,5
mutual,2
yurtsever,16
unstable,4
against,3
plane-symmetric,2
perturbation,10
likely,3
generic,4
feature,10
support,1
presence,9
small,5
amount,1
dust,1
change,10
necessary,13
take,35
specific,4
achieve,5
instability,1
demonstrate,9
initial,64
slight,1
variation,3
explicitly,6
algebraic,5
although,13
perhaps,1
should,9
remark,2
rather,9
than,10
alternative,17
emphasize,1
role,1
necessity,1
assumption,1
strict,2
asymptotic,5
inhomogeneous,3
kasner,16
initially,10
he,19
constant,55
align,17
explicit,14
expression,24
relate,17
exponent,3
data,22
pose,1
choice,4
interacting,1
precise,2
sense,2
always,6
produce,5
all-embracing,1
subsequent,9
paper,13
reach,6
already,10
discuss,16
reconsider,2
clearly,23
apparent,4
extend,16
naive,1
figure,39
3.2,1
3.3,1
subsequently,5
look,5
back,4
naked,1
correct,2
provide,13
cosmic,1
censorship,1
hypothesis,1
artificial,1
v,65
u,27
different,27
negative,6
value,22
matzner,5
1984,11
because,7
obvious,2
concentrate,6
note,33
since,20
both,26
8.3,8
8.4,6
transform,12
put,30
8.5,4
effectively,3
appear,14
priori,2
reason,3
prevent,1
continuation,2
notice,10
common,4
proceed,3
property,12
minkowski,5
three-space,1
consist,3
nested,1
two-surface,1
actually,2
zero,13
accordingly,5
fold,20
interpretation,3
raise,1
problem,39
absence,1
second,19
entire,4
once,2
wavefront,12
above,31
state,2
even,7
violate,1
causality,1
prior,7
resolution,1
family,11
continue,5
up,7
final,2
identify,4
topological,6
clarify,3
enter,1
start,6
apparently,3
contrast,3
neighbouring,4
8.6,4
increase,5
indefinitely,1
ε,2
distance,2
cross,4
before,4
terminate,1
argue,6
essentially,8
non-causality,1
introduction,1
consequence,1
preserve,1
causal,1
relation,5
formulate,3
many,9
misleading,1
adequately,1
non-causal,1
arise,4
attempt,8
two-dimensional,1
diagram,3
preferable,1
picture,3
three-dimensional,2
draw,1
four,4
separately,2
differently,1
shaped,1
artificially,1
curved,4
adequate,1
representation,4
intrinsically,1
geometry,1
opposite,2
side,2
so,21
schematic,1
previous,17
background,2
consequently,1
assume,5
turn,7
almost,1
develop,19
derive,11
4,7
8.7,4
sandwich,3
shaded,1
behind,2
equivalent,18
after,5
regard,3
idealization,1
similar,9
thoroughly,1
konkowski,2
helliwell,2
thick,1
convert,1
w,14
depend,8
½,5
considering,2
geodesics,1
conserved,1
momentum,1
besides,1
energy,3
integral,15
equation,146
8.8,5
7.2,5
7.8,5
8.9,1
integrate,22
8.10,1
immediately,21
avoid,2
manifest,2
what,2
associate,7
distribution,4
just,2
set,14
specify,8
incorporate,2
4.4,1
4.1,1
emerge,1
deduce,6
non-unique,3
extended,1
beyond,8
extra,2
lead,15
usual,6
unique,6
future,8
publish,4
between,16
1970,3
step,18
little,3
substantial,1
subject,4
derivation,4
6,4
mention,6
special,7
purpose,3
6.22a-f,3
differential,1
6.22a,4
6.24,3
9.1,2
7.3,3
9.2,1
main,26
6.22d,5
e,9
reduce,14
9.3,10
9.4,4
write,23
9.5,1
remaining,10
6.22,11
9.6,3
multiple,3
cancel,3
term,73
leading,4
expansion,2
9.7,1
-m,2
continuous,17
across,13
9.8,1
restrict,3
range,10
satisfying,7
9.9,3
choose,10
9.10,1
3.6,2
i.,3
weyl,17
introduce,12
new,41
9.11,1
9.12,1
9.13,2
9.14,2
exactly,7
9.15,1
still,7
freedom,3
6.7,3
sometimes,2
retain,5
restriction,5
rise,5
quite,1
simple,11
method,47
corresponding,1
alternately,2
interchang,1
suggested,1
9.16,1
9.17,1
brinkmann,1
9.18,2
9.19,1
profile,11
9.20,1
9.21,1
9.,1
l,4
recall,2
4.5,1
compute,1
9.22,1
similarly,7
distribution-valued,3
investigation,1
obviously,1
confirm,3
rigorous,1
calculation,1
behaviour,4
9,5
linearly,1
polarize,1
namely,4
given,2
6.22b,4
decrease,2
