item,cnt
human,128
resource,24
and,1163
system,211
design,153
concept,42
the,2801
contribution,11
role,15
as,381
a,971
controller,2
business,3
of,1629
machine,51
process,95
can,263
be,2265
pursue,5
more,154
or,292
less,33
independently,7
property,4
people,63
nevertheless,16
always,27
involve,40
designer,43
himself,10
being,5
he,296
product,17
will,152
shape,2
behaviour,24
many,59
worker,52
other,130
user,23
fundamentally,4
activity,53
meaningless,1
unless,10
it,418
direct,18
towards,13
serve,4
some,95
need,69
in,945
spite,5
all,70
this,315
itself,18
often,35
think,27
about,118
execute,2
without,30
any,51
formal,22
consideration,20
inevitably,9
engineer,11
architect,1
devote,4
most,65
attention,12
expertise,16
to,997
devise,4
mechanism,27
building,3
so,83
on,288
which,356
support,25
effectively,7
than,113
those,40
currently,16
available,36
new,31
must,59
not,273
very,58
different,68
from,173
old,8
one,134
for,400
variety,21
reason,35
do,138
job,60
perfectly,1
but,198
well,46
enough,5
justify,2
existence,2
usually,50
basis,31
copy,3
remove,3
possible,38
fault,12
there,238
such,132
commonality,1
component,6
course,21
shortage,2
imagination,2
lead,14
development,36
progressive,1
iterative,1
happen,25
suit,6
operator,136
because,77
they,146
skill,161
transfer,8
along,3
line,19
engineering,9
point,47
view,27
hardware,17
technology,51
central,10
tag,1
basically,3
work,130
nineteenth,3
century,7
transport,2
example,93
coach,1
horse,1
serious,11
competitor,1
steam-engined,1
train,9
nor,5
man,47
with,255
spade,1
productive,3
steam,3
shovel,1
early,23
power,23
derive,3
source,15
animal,2
muscle,5
output,22
obviously,13
superior,5
that,358
mind,13
put,7
up,32
inconvenience,1
uncomfortable,1
awkward,2
use,147
even,44
take,75
pride,1
develop,52
enable,6
difficult,22
inexperienced,1
could,19
attitude,23
reinforce,5
by,288
second,11
wave,2
provide,72
instrumentation,2
way,52
sensing,1
record,14
data,41
give,31
accurate,3
reliable,5
detect,9
directly,9
sense,18
at,142
stage,26
typical,3
manipulate,13
control,68
present,15
instrument,3
cause,7
apply,13
consequence,17
occur,12
result,40
changed,1
reading,5
loop,4
hick,1
bates,1
1950,4
recently,2
third,6
have,274
responsibility,14
continuous,17
best,16
computer,31
moderately,1
flexible,4
range,34
program,4
remain,21
monitor,11
performance,85
selector,2
appropriate,35
determine,10
changing,8
short-term,8
objective,36
may,142
keep,10
setting-up,2
shutting-down,1
also,110
partially,3
delegate,3
supervisory,4
sheridan,1
johannsen,1
1976,4
information,101
flow,24
these,137
three,11
phase,15
show,21
fig.,37
1.1,2
no,55
means,11
universal,3
fact,17
restrict,11
high,34
aircraft,6
tool,10
chemical,2
plant,25
station,10
edwards,2
lees,1
1974,4
still,14
where,50
vehicle,2
drive,7
manufacturing,16
production,20
task,181
assist,7
only,60
hand-tool,1
simple,22
powered,3
craft-work,1
surgery,2
plenty,1
although,27
now,18
perhaps,3
common,25
leisure,9
paid,1
supply,5
manual,18
labourer,2
active,10
sportsman,1
general,25
working,30
function,74
level,65
senior,11
partner,2
operation,22
provider,2
physically,8
demand,19
case,33
ergonomic,1
requirement,24
should,82
make,56
ability,35
adaptive,2
limitation,16
including,9
incorporate,12
advanced,7
depend,21
skilled,25
social,23
economic,15
technical,22
socially,1
public,5
easily,13
accept,16
automatic,12
when,57
seek,1
reassurance,1
safe,3
study,37
who,50
responsible,7
assess,10
reliability,9
assessment,8
individual,63
know,29
much,51
procedure,48
trust,4
action,50
if,91
seem,36
calm,1
competent,5
mature,4
nervous,4
airline,2
passenger,2
comfort,1
belief,3
middle-aged,2
pilot,3
see,28
sit,7
flight,4
deck,4
fly,2
aeroplane,1
equally,12
importantly,1
live,3
vicinity,1
large,32
would,29
kindly,1
idea,11
under,12
spot,1
assume,21
exactly,3
what,104
economically,10
true,10
inordinately,1
expensive,9
construct,12
continue,10
intervention,8
sea,1
space,2
ensure,10
equipment,13
rough,1
handling,2
condition,17
necessary,23
ruggedising,1
military,11
personnel,14
care,6
technically,3
state,14
art,9
efficient,6
largely,2
monitoring,2
dynamic,7
dealing,1
minor,1
perturbation,1
application,11
basic,17
rule,14
safety,20
part,42
might,40
programme,15
go,24
through,36
step-change,1
shut-down,2
certain,10
parameter,10
exceed,1
prescribed,1
limit,14
circumstance,7
specify,7
operating,13
instruction,37
mandatory,4
characteristically,2
response,18
maintenance,15
wish,6
particular,106
sub-system,23
shut,4
down,9
receive,6
input,13
meet,12
purpose,40
interaction,24
presence,2
social/,1
mention,11
above,8
act,6
ultimate,3
back-stop,1
thing,19
badly,6
wrong,8
extreme,11
untoward,1
event,28
fire,1
an,196
earthquake,1
bomb,1
alternatively,2
unanticipated,1
combination,9
within,73
either,28
base,37
complex,30
diagnosis,13
innovative,2
design-type,1
how,54
cope,9
avoid,11
catastrophe,2
energy,19
longer,1
channel,6
intend,13
release,1
toxic,1
substance,1
both,19
stem,2
two,42
kind,54
compatible,1
require,57
hand,28
routine,24
precise,5
obedience,1
established,3
suddenly,4
face,17
respond,13
creative,4
manner,2
totally,5
outside,9
superficially,1
solution,5
carry,15
out,41
call,24
unforeseen,1
emergency,4
arise,11
snag,3
approach,31
firstly,3
time,46
introduce,5
we,11
get,19
into,55
trouble,6
secondly,3
maintain,9
familiarity,3
operate,13
regularly,1
intervene,1
experience,48
conceptual,5
knowledge,37
last,6
proposition,5
manipulative,4
surgeon,1
deal,16
during,11
over,7
manually,3
form,43
essentially,14
decision,34
initiate,3
single,6
close,6
valve,2
start,13
stand-by,1
pump,2
clear,13
whether,17
effectiveness,5
quite,8
dependent,3
nuclear,5
room,16
question,30
desk,4
expect,13
appear,16
total,24
presentation,24
dangerous,4
situation,84
person,61
shift-charge,1
upon,1
policy,8
issue,25
before,16
selection,21
training,122
staff,20
various,27
low,14
previous,5
book,16
series,15
body,5
relatively,11
rare,3
developed,14
country,61
employ,6
considerable,21
element,7
extensive,22
processing,7
tracking,1
machinery,3
highly,15
dexterous,1
potential,15
informal,3
detail,29
discussion,24
man-machine,25
allocation,27
p.,21
35,1
quantify,2
describe,42
interactive,3
harmony,2
imply,13
confrontation,1
aptly,2
consider,39
cooperation,3
persuasion,1
something,14
somewhere,1
achieve,25
assistance,2
disposal,1
well-designed,1
aid,26
progress,8
toward,2
obstacle,4
overcome,1
nature,8
variability,2
material,32
environment,14
move,18
aim,7
efficiency,6
quantity,1
quality,20
achievement,5
preservation,1
own,28
health,5
neighbourhood,1
unnecessary,2
begin,12
bodily,1
aspect,16
posture,3
force,19
exert,2
work-space,4
full-time,2
slight,2
departure,1
optimum,3
problem,50
long,14
term,73
strained,1
ligament,1
tendon,1
constrain,1
physical,36
dimension,5
position,12
feel,1
movement,8
inadequate,10
content,13
e.g.,24
poor,8
lighting,4
relevant,26
cue,2
structure,20
coding,2
dial,4
chart,35
screen,6
correspondingly,14
create,11
too,20
quickly,1
unexpectedly,1
duration,1
particularly,22
repetitive,8
main,19
capacity,28
stamina,2
principle,36
leave,6
flexibility,17
change,56
modify,8
batch,2
unchanging,1
boring,1
casual,1
visitor,2
factory,3
clothing,1
trade,3
size,11
colour,3
style,10
customer,6
incidentally,5
producer,5
account,3
consumer,4
ergonomics,40
specialist,18
represent,12
implicit,4
just,13
ergonomist,20
relationship,16
discuss,16
unique,5
