item,cnt
the,2264
school,298
framework,12
a,561
model,24
to,986
link,13
personality,6
characteristic,12
preference,4
for,339
science,159
john,3
head,7
introduction,10
in,997
recent,22
year,35
there,84
have,395
be,1445
steady,2
accumulation,2
of,1706
evidence,36
that,457
and,1432
allied,2
affective,3
factor,32
play,10
crucial,16
role,26
determining,1
subject,74
choice,32
student,35
success,14
unfortunately,4
this,216
tend,36
fragmentary,1
collection,3
separate,12
discrete,4
piece,2
information,17
lack,24
synthesizing,1
theory,9
provide,45
cohesion,2
predictive,2
power,18
few,25
which,268
develop,22
date,4
may,44
correct,1
as,335
far,29
they,414
go,16
but,84
clearly,19
incomplete,1
example,58
roe,1
1952,1
eiduson,1
1962,4
mcclelland,1
suggest,54
male,31
scientist,18
often,40
experience,66
lonely,1
childhood,2
perhaps,6
suffer,13
social,119
isolation,1
through,38
illness,2
or,184
family,18
circumstance,10
so,45
strong,4
interest,41
surrounding,1
material,19
world,40
below,5
average,5
other,106
people,82
relationship,26
maslow,1
1966,6
hudson,1
1968,2
see,86
an,130
emotionally,3
undemanding,1
activity,22
appeal,6
boy,62
move,9
from,167
calm,1
latency,1
turbulence,1
adolescence,8
even,52
if,46
these,122
description,2
valid,1
still,13
leave,6
open,7
number,30
question,35
particularly,23
why,13
same,19
mechanism,6
do,83
not,138
operate,12
with,225
girl,133
arise,3
literature,20
we,94
empirical,3
study,73
at,139
chelsea,2
college,7
it,293
now,30
possible,17
offer,16
compatible,1
all,61
also,84
considerable,16
potential,11
what,54
know,15
about,80
person,7
choose,12
association,17
between,75
more,148
fully,2
review,8
by,233
1979,14
need,52
only,58
take,52
note,18
most,77
salient,1
feature,22
obvious,9
one,83
sex,48
difference,63
predominance,1
physical,13
engineering,10
throughout,10
western,4
can,82
no,45
longer,3
satisfactorily,1
attribute,22
cognitive,1
too,12
small,7
nor,7
institutional,5
equal,17
opportunity,25
education,121
employment,32
make,71
any,23
popular,5
woman,100
furthermore,6
those,61
who,56
opt,7
show,28
clear,27
both,56
mature,2
professional,24
reticent,2
dislike,1
overt,4
emotional,7
expression,4
themselves,23
depend,7
upon,41
partner,2
personal,21
initiative,14
will,52
authoritarian,4
conservative,1
control,26
thinking,8
quite,9
early,30
on,213
find,51
aged,1
14,4
significantly,6
than,106
peer,3
rigid,2
although,29
seem,23
low,26
self-esteem,5
term,38
socially,6
sexually,1
attractive,4
age,18
13,6
very,53
high,48
proportion,16
attract,6
scientific,15
career,23
thereafter,1
decline,9
disillusionment,1
extend,1
right,3
secondary-school,2
into,72
undergraduate,1
period,32
contrast,19
minority,12
express,8
swing,1
middle,10
late,9
teen,1
some,98
come,25
use,63
sentence,4
completion,1
test,6
pupil,128
part,30
research,24
programme,7
analysis,23
response,17
different,65
12,3
attitude,43
complexity,5
reciprocal,2
nature,20
while,36
exploitative,3
relation,24
stem,6
she,24
mother,2
produce,16
like,17
bad,9
patch,1
once,3
learn,7
understand,15
each,20
become,40
good,18
friend,1
help,8
problem,58
similar,18
when,44
ask,16
banal,1
parent,18
source,10
money,5
firm,11
self-identity,1
ambition,3
insight,1
such,69
i,39
main,19
he/she,1
feel,10
proud,1
finding,6
give,43
clue,1
