item,cnt
the,2403
development,41
of,1791
darwin,141
's,116
general,36
biological,56
theorizing,13
m.j.s.,1
hodge,5
charles,8
1809–1882,1
be,1660
only,76
twenty,4
seven,3
when,63
he,213
return,8
in,1078
1836,1
from,199
five-year,1
voyage,4
hms,1
beagle,2
what,69
more,113
within,48
next,10
five,1
year,57
reach,7
all,90
those,63
conclusion,17
theory,58
that,587
book,8
to,1009
expound,1
three,25
decade,4
later,13
for,319
by,314
1841,2
have,416
work,31
out,29
not,255
origin,33
species,216
natural,66
selection,104
but,142
also,53
it,425
seem,33
generation,41
or,201
reproduction,7
including,16
heredity,4
variation,105
and,952
so,95
on,211
pangenesis,15
this,221
chapter,9
survey,4
over,35
remarkable,2
early,47
period,24
analysis,16
draw,11
throughout,8
do,112
last,8
gruber,1
1974,13
herbert,4
1977,32
ghiselin,1
1975,13
ruse,2
1975a,1
b,10
1979,28
schweber,3
1980,54
kottler,1
1978,21
manier,1
sulloway,1
1982a,4
kohn,3
ospovat,2
1981,32
sloan,4
1983a,1
derive,8
study,68
present,38
writer,4
1982,28
1986,3
&,80
where,38
full,5
reference,3
make,67
documentary,1
source,12
secondary,9
literature,3
such,124
a,708
can,166
serve,3
than,96
mere,5
biographical,1
curiosity,1
final,10
section,2
will,87
suggest,31
how,44
may,106
clarify,2
some,99
issue,13
current,5
interest,9
historian,1
philosopher,7
biologist,13
free,3
we,99
many,76
mistaken,1
myth,9
about,67
himself,6
these,82
mostly,3
trace,10
own,22
misleading,3
reminiscence,1
life,43
relentlessly,1
reaffirm,2
since,29
at,156
1959,2
centennial,1
symposia,1
example,45
bbc-tv,1
series,4
they,225
nonetheless,4
discredit,1
scholarly,1
industry,1
now,31
grow,18
up,37
around,7
rich,2
manuscript,2
archive,1
one,140
romantic,2
really,3
wordsworthian,1
individualist,1
dear,1
literary,1
guardian,1
english,1
national,3
cultural,29
stereotype,1
depict,2
young,15
as,354
lone,1
sporting,1
gentleman,1
an,160
amateur,1
beetle-collector,1
see,78
nature,21
she,16
simply,11
look,10
with,253
clear,17
gaze,1
genius,1
unimpeded,1
any,70
scientific,7
training,3
theological,1
prejudice,1
professional,1
ambition,2
another,29
whiggish,1
anachronistic,1
thought,12
consist,7
molecule,1
comprise,3
just,18
two,75
atom,1
idea,21
evolution,42
intellectual,4
reduce,13
moment,4
discovery,2
whereby,6
move,10
no,56
coherent,1
fortunately,1
there,89
single,20
antidote,2
effective,7
against,20
both,46
start,8
again,16
most,82
decisive,6
new,39
identity,5
committed,1
man,19
science,38
zealous,1
discipleship,1
lyell,23
1797–1875,1
view,34
geology,6
biogeography,5
ecology,17
romantic-individualist,1
because,53
protégé,3
once,10
invest,5
institutional,1
context,8
would,68
suppress,1
evolution-plus-natural-selection,1
force,22
reconstruct,1
narrative,1
subsequent,8
unknowing,1
step,9
towards,7
position,8
deliberate,2
departure,1
initially,7
share,3
mentor,3
1834–7,1
acceptance,2
complete,5
mid-1834,1
sail,1
horn,1
volume,8
principle,12
1830–3,1
apply,23
entire,3
system,22
physical,33
organic,8
world,12
alike,2
south,8
america,5
beyond,12
whole,19
earth,8
henceforth,2
provided,3
framework,2
preoccupation,3
problem,41
extinction,50
cause,41
change,84
presume,2
persist,4
undiminished,1
into,46
human,100
future,7
time,55
habitable,1
dry,3
land,10
destroy,4
subsidence,1
erosion,2
region,4
while,45
produce,35
sediment,1
consolidation,1
lava,1
eruption,1
elevationary,1
earthquake,1
action,17
other,132
equally,7
long,25
succession,6
fauna,8
flora,2
bring,12
continual,1
one-by-one,1
replacement,3
epistemological,3
rationale,2
presumption,1
persistence,1
ideal,8
explanation,44
real,9
existing,5
verae,1
causae,1
like,28
friend,1
undergraduate,1
hero,1
physicist,1
john,6
herschel,1
1792–1871,1
follow,22
notably,4
scottish,1
thomas,4
reid,1
1710–1796,1
who,39
moral,4
superior,4
evidential,2
credentials,2
newtonian,6
gravitational,5
cartesian,1
ethereal,1
vortex,2
invoke,2
explanatory,8
should,39
ideally,2
know,37
exist,10
through,32
direct,17
observation,10
independently,2
fact,31
supposed,6
explain,38
unlike,9
well-evidenced,1
planet,2
',12
orbit,4
argument,27
go,23
themselves,14
sole,1
evidence,40
existence,13
conjectural,2
swinging,1
pendulum,1
fall,7
stone,1
down,9
here,12
therefore,12
exemplify,1
analogy,16
active,3
accessible,1
although,12
often,35
practice,7
past,8
terrestrial,13
celestial,3
astronomy,2
then,59
systematic,2
wherein,3
1834,2
theorize,4
thinking,5
develop,22
accordingly,5
successive,6
disagreement,2
continue,8
accept,8
teach,3
sea,22
climate,9
adaptational,2
consideration,9
alone,6
