item,cnt
integrate,6
service,99
for,474
the,2200
under,41
fives,21
attempt,21
to,1317
policy,27
in,808
islington,12
1983–8,1
margaret,2
boushel,2
clare,1
debenham,2
lisa,2
dresner,2
and,1289
anna,2
gorbach,2
during,22
1980s,4
claire,1
work,100
london,8
borough,15
of,1197
within,36
social,77
pre-school,7
child,284
this,236
chapter,12
be,1713
an,153
account,14
way,67
they,588
perceive,6
develop,19
integrated,19
provision,46
barrier,11
attitude,20
system,23
which,172
encounter,7
first,38
section,11
provide,41
overview,1
1983,12
next,8
describe,23
create,11
a,899
clear,14
under-fives,18
third,7
look,49
at,196
faltering,1
progress,35
towards,16
fourth,3
examine,7
formidable,2
that,514
pose,4
by,219
reorganisation,2
local,41
authority,24
cut,14
demise,2
inner,5
education,117
conclude,3
with,453
mixture,1
resignation,4
determination,2
background,5
multi-ethnic,1
city,3
population,4
"29,000",1
1982,8
44,1
per,13
cent,11
have,611
use,32
facility,16
29,2
on,212
full-time,6
15,3
part-time,5
basis,6
between,40
1988,26
gradually,2
increase,11
so,40
there,98
12,4
's,194
day,62
centre,33
about,126
70,1
playgroup,35
350,1
assisted,1
child-minding,4
place,66
fund,10
partially,2
or,131
totally,3
department,28
"1,075",1
824,1
nursery,31
school,253
beacon,13
mencap,4
project,9
offer,29
care,61
five,6
week,21
over,35
one,113
year,65
age,17
categorise,5
as,294
severe,28
learning,66
difficulty,88
unlike,2
council,23
community,64
free,2
collect,2
from,175
home,66
special,115
bus,3
available,20
demand,10
existence,4
many,50
past,7
cater,5
up,61
thirty,3
wide,15
range,9
disability,85
need,193
it,373
half,4
number,36
roll,1
since,19
continue,11
fall,5
increasingly,7
see,67
resource,18
multiple,5
addition,12
elfreda,3
rathbone,3
organisation,13
voluntary,14
help,33
people,121
learn,27
run,11
small,29
some,91
emerge,2
early,36
playscheme,2
through,39
parent,193
initiative,9
adventure,1
playground,6
establish,18
worker,50
subsequently,2
support,89
into,78
mainstream,32
include,25
primary,5
secondary,4
neighbouring,1
moderate,5
emotional,7
behavioural,9
autistic,1
physical,17
three,19
these,54
offered,1
2,7
all,113
come,47
ethnic,7
though,13
rarely,6
actively,3
positively,3
reflect,9
type,1
carer,3
residential,30
unit,15
design,6
mind,10
but,151
most,32
base,18
specialist,46
setting,4
example,26
field,9
end,19
house,17
open,19
respite,11
round,11
clock,1
fight,7
prevent,2
long-stay,2
placement,29
far,45
join,11
another,27
leigh,1
road,1
also,70
thirteen,1
short-term,3
long-term,1
reduce,3
eleven,1
none,15
wheelchair,4
access,22
only,40
any,40
experience,62
health,33
team,21
major,13
responsibility,25
assess,6
recommend,6
physiotherapist,2
occupational,1
speech,8
therapist,3
doctor,12
psychologist,41
visitor,8
network,9
teacher,56
ilea,12
who,103
visit,38
before,19
due,4
start,17
group,89
meet,31
regular,5
coordinate,5
discuss,14
professional,97
issue,24
discussion,16
individual,53
take,83
decide,17
',39
different,47
option,5
often,35
member,27
delegate,2
advise,5
course,36
action,8
aim,11
ensure,6
treatment,4
possible,25
enable,13
full,12
potential,6
however,36
all-white,1
operate,6
without,7
directly,3
involve,33
generally,10
commit,3
give,52
good,32
treat,3
because,59
contact,20
considerable,7
influence,9
steer,1
jointly,1
attend,24
two,41
hear,8
cover,4
aware,8
do,168
not,307
adequate,2
when,92
become,50
extent,5
implication,12
vacancy,1
arise,11
appoint,4
someone,5
specialise,1
might,27
effect,10
draw,13
family,66
stage,20
instead,11
reason,12
prove,2
key,4
step,7
development,26
debate,5
