item,cnt
white,4
mythology,5
t,1
if,131
so-called,8
poststructuralism,37
be,1519
the,3112
product,18
of,2487
a,1021
single,38
historical,146
moment,20
then,62
that,776
probably,1
not,280
may,39
1968,5
but,206
rather,92
algerian,3
war,19
independence,2
no,101
doubt,4
itself,138
both,58
symptom,2
and,854
in,863
this,291
respect,19
it,856
significant,9
sartre,206
althusser,116
derrida,63
lyotard,9
among,6
other,214
all,127
either,16
bear,5
algeria,2
or,218
personally,1
involved,4
with,234
event,67
let,4
we,132
begin,28
instead,32
Héléne,1
cixous,11
's,297
remarkable,3
account,41
what,92
like,33
to,1156
grow,1
up,54
as,651
an,214
french,24
jewish,1
girl,1
at,114
time,89
i,48
learn,4
everything,11
from,203
first,45
spectacle,1
see,33
how,73
superior,1
plutocratic,1
civilized,1
world,35
found,7
power,59
on,168
repression,5
population,2
who,39
have,401
suddenly,1
become,57
invisible,5
proletarian,2
immigrant,1
worker,1
minority,5
right,4
colour,1
woman,4
human,43
course,18
perceive,4
tool,1
dirty,1
stupid,1
lazy,1
underhanded,1
etc,4
thanks,1
some,29
annihilating,1
dialectical,43
magic,1
great,9
noble,1
advanced,1
country,6
establish,23
themselves,19
by,247
expel,1
strange,2
exclude,14
dismiss,9
enslave,1
commonplace,1
gesture,5
history,741
there,71
two,51
race,4
master,7
slave,6
criticize,14
for,317
lack,9
politics,34
theory,84
social,34
accord,66
criterion,3
perhaps,18
so,82
they,208
would,49
political,57
consideration,1
such,161
those,33
describe,32
here,45
which,436
precisely,13
point,50
know,24
articulate,25
passage,3
unnervingly,1
weave,2
capitalist,2
economic,18
exploitation,4
racism,6
colonialism,11
sexism,2
together,16
unexpectedly,4
structure,76
hegelian,38
dialectic,59
lot,1
say,35
already,28
english-speaking,1
about,32
much,26
accusatory,1
mode,31
voice,2
opposing,2
class-based,1
verity,2
tradition,17
apparently,11
secure,1
ground,16
objection,11
amount,17
narrative,22
intriguing,1
similarity,5
bring,19
out,37
extent,26
challenge,6
just,32
institution,4
also,99
theoretical,44
system,31
left,4
disturbing,1
conventional,13
assumption,17
constitute,56
correspondingly,2
difficult,11
place,45
cite,3
example,32
strike,2
include,12
form,145
oppression,12
she,6
question,91
show,50
allegation,1
misinterpret,1
simplify,1
hegel,33
text,25
do,123
problem,94
involve,42
way,67
read,3
absorbed,1
adapt,2
nor,28
implication,7
therefore,88
marxism,139
well,22
can,239
simply,47
another,28
new,53
invocation,3
gulag,1
argue,71
something,12
more,92
specific,29
insofar,21
inherit,1
implicate,4
link,14
between,85
knowledge,100
last,17
hundred,4
year,16
phenomenon,16
eurocentrism,5
universalize,1
unfolding,3
rational,7
negative,11
european,20
imperialism,17
after,28
declare,2
africa,1
marx,33
though,26
critical,21
british,5
conclude,2
colonization,2
india,2
ultimately,3
best,5
because,36
into,71
evolutionary,2
western,41
thus,55
create,11
condition,34
future,9
class,38
struggle,17
arrogant,1
arrogate,1
mean,71
story,6
only,94
fredric,2
jameson,3
wresting,1
freedom,11
realm,7
necessity,11
always,67
creation,4
subjection,1
final,7
appropriation,8
europe,11
why,26
promise,3
liberation,4
entail,2
forgotten,1
reality,13
support,1
progress,13
throughout,5
century,12
depend,12
distinction,7
selfsame,2
ownself,1
limit,15
now,22
menace,1
my-own-good,1
truly,3
nothing,13
theorize,7
escape,2
elsewhere,3
outside,22
absolutely,7
settle,2
