item,cnt
aristocratic,14
life,14
98–1108,1
a,466
the,2110
ruling,6
class,9
it,291
resource,8
and,536
means,4
of,1378
self-aggrandizement,1
i,23
wealth,4
to,674
he,429
that,240
hath,1
shall,2
be,843
give,11
truism,2
early,39
medieval,3
society,8
because,20
lords,45
own,43
large,17
tract,1
land,20
at,107
time,33
when,58
opportunity,13
for,275
exploitation,4
particularly,8
favourable,6
could,73
add,5
this,86
profit,16
from,129
toll,4
custom,13
on,180
increasing,6
trade,6
they,421
hardly,7
avoid,2
substantial,10
increase,13
in,670
course,11
eleventh,17
century,82
but,121
fly,1
ointment,1
prince,94
',40
point,21
view,19
lie,18
fact,22
advantage,6
now,26
more,62
widely,2
shared,1
than,46
have,226
past,7
some,43
case,26
most,29
strikingly,2
normandy,30
landed,2
gain,15
castellan,37
make,39
expense,5
comital,23
demesne,26
there,56
thus,7
real,4
danger,4
not,92
impoverishment,1
closing,1
gap,4
between,42
other,59
lesser,6
just,13
display,8
liberality,1
increasingly,4
important,23
element,4
princely,33
political,33
armoury,1
renewed,5
effort,1
enrich,1
themselves,15
therefore,22
demand,11
prima,1
facie,1
seem,11
likely,11
join,4
with,155
layman,6
ecclesiastic,2
encourage,3
extensive,1
forest,1
clearance,1
characterize,4
french,27
countryside,5
proof,9
lack,6
famous,9
letter,14
archbishop,2
rheims,4
baldwin,10
v,23
flanders,44
praise,2
activity,6
drain,2
ditch,2
coastal,1
area,19
presumably,1
after,24
dunkirk,1
inundation,1
1014–42,1
last,9
subside,1
explicit,2
evidence,6
an,78
interest,18
agricultural,3
expansion,5
wine-growing,2
develop,4
markedly,5
much,16
visit,5
by,200
duke,30
burgundy,17
aquitaine,22
perhaps,9
also,35
suggestive,1
ducal,5
initiative,1
hand,20
unlikely,1
who,62
grant,20
out,18
part,16
feudal,23
tenure,4
or,85
count,84
toulouse,24
slow,4
consolidate,4
major,5
contributor,1
progress,2
encouragement,1
widespread,5
again,13
vanguard,2
robert,29
frisian,6
ii,36
offering,1
protection,15
merchant,8
cross,3
county,20
peace,25
duration,2
fair,4
least,24
as,255
provision,1
coinage,3
suitable,2
reasonably,1
small,10
deal,1
sufficiently,2
abundant,1
