item,cnt
1,3
introduction,4
morwenna,4
griffiths,6
and,1078
margaret,5
whitford,6
philosophy,105
be,1960
in,851
urgent,1
need,63
of,1806
a,825
feminist,149
perspective,33
for,322
century,12
the,2151
practice,20
have,458
overwhelmingly,2
prerogative,1
man,155
but,218
it,527
only,63
recently,7
that,716
analysis,12
make,79
possible,25
to,1203
see,136
distorting,1
effect,23
this,331
historical,3
fact,49
article,5
book,19
demonstrate,4
variety,5
way,123
where,31
bias,6
occur,5
how,41
might,43
redress,4
they,487
also,48
show,31
matter,31
importance,17
as,498
well,25
philosopher,57
idea,38
interrelate,1
with,180
philosophical,47
most,38
writing,5
would,78
not,392
recognise,22
unlike,7
academic,5
much,43
personal,17
polemical,3
poetical,1
or,316
allusive,1
yet,17
part,31
feminism,42
concerned,12
essentially,10
activity,16
redraw,1
concept,30
reclaim,1
language,11
redefine,1
what,178
count,5
significant,7
important,22
daly,18
1984,14
call,24
name,2
reconceptualisation,3
which,339
attempt,20
direct,10
vital,2
bearing,4
on,209
central,22
issue,33
political,57
expect,6
epistemology,10
ontology,3
mind,21
ethics,11
at,128
same,27
time,28
rearticulate,1
these,101
basic,7
necessarily,12
take,66
over,21
use,42
already,17
available,9
so,91
do,197
may,105
import,2
entail,6
entangle,2
apparently,17
neutral,6
implication,13
reiterate,1
reinforce,10
assumption,17
challenge,3
point,75
explicitly,12
by,232
several,5
contributor,13
volume,6
mary,15
midgley,9
jean,8
grimshaw,12
joanna,3
hodge,7
anne,6
seller,7
from,190
practical,7
both,53
content,9
western,17
male-dominated,3
male-biased,1
statement,4
any,65
one,211
set,18
true,18
general,9
spite,5
no,76
means,25
speak,10
single,2
voice,5
even,42
agree,9
among,9
themselves,47
about,134
understand,17
since,28
nature,40
subject,30
preoccupation,7
method,6
itself,17
disagreement,3
then,63
could,38
say,64
male,59
close,5
look,34
some,99
conceptualise,12
long,9
tradition,37
surprising,4
change,33
school,5
prescription,1
rise,4
fall,4
sometimes,24
up,26
again,11
new,22
guise,1
all,108
kind,33
continually,4
thinker,2
previous,5
inspiration,2
argument,27
can,155
often,51
distinguish,15
predecessor,2
read,6
discuss,27
conversely,1
bitterly,1
oppose,4
common,12
ancestor,1
result,17
web,1
overlapping,1
different,60
conceiving,1
presently,1
characteristic,8
englishspeaking,1
world,32
including,11
united,2
kingdom,1
analytic,8
1955,1
1975,2
particularly,12
strong,13
hold,20
here,40
form,35
conceptual,11
linguistic,1
axiomatic,1
empirical,6
question,68
second-order,1
reason,51
logic,2
clarification,1
thought,23
first-order,1
empirically,1
base,12
learn,6
nothing,14
plainly,2
sex,32
gender,23
non-philosophical,1
if,101
narrow,5
sense,25
introduce,4
into,55
discourse,13
immediately,4
block,2
slogan,2
pose,2
limit,9
those,57
who,85
talk,16
coherence,3
presence,5
absence,2
rational,46
treat,64
theoretical,6
methodological,4
category,14
structure,14
