item,cnt
revival,5
under,44
law,244
1911–1914,1
few,41
contemporary,3
would,243
have,596
expect,14
balfour,35
's,186
retirement,2
to,1181
lead,22
a,938
unionist,408
recovery,11
the,3276
party,485
be,1766
in,1097
mutinous,2
condition,7
november,17
1911,45
and,1095
there,126
no,108
apparent,3
successor,5
who,118
even,54
half,20
of,1563
political,43
gift,1
nor,16
it,488
clear,22
that,578
departure,6
universally,2
desire,3
at,206
national,77
union,49
conference,24
day,13
later,10
leo,1
maxse,1
booe,1
off,15
platform,6
constituency,45
everywhere,1
pass,15
resolution,15
regret,3
decision,24
great,62
many,49
crocodile,1
tear,2
shed,1
for,475
since,22
such,79
an,159
elevated,1
view,33
principle,12
leadership,22
they,362
unable,4
accept,32
just,19
drive,10
own,46
leader,80
from,176
office,88
shock,1
cause,22
by,337
go,63
thus,26
do,148
something,15
steady,2
certainly,25
produce,11
real,32
determination,6
settle,14
affair,8
with,257
less,27
friction,2
than,117
fashionable,1
late,13
main,5
contender,3
austen,26
chamberlain,41
walter,15
long,55
represent,9
two,27
different,15
establishment,1
edwardian,3
opposite,3
world,23
birmingham,18
wiltshire,1
but,323
situation,18
complicated,3
intervention,2
outsider,4
edward,5
carson,19
andrew,1
bonar,49
strong,27
group,11
emerge,7
behind,8
about,57
equal,5
number,18
backer,2
or,90
thereupon,1
fall,15
out,57
contest,12
rather,45
announce,10
he,627
not,249
stand,10
official,12
nomination,2
make,117
officer,10
whip,19
solidly,1
draw,7
some,58
support,52
among,7
tariff,38
reformer,8
urge,8
on,271
goulding,3
max,4
aitken,10
refuse,17
withdraw,4
unless,8
continued,3
candidature,5
allow,15
win,20
against,55
remember,4
liberal,133
as,392
lansdowne,13
lords,32
entirely,8
loyal,6
referendum,5
pledge,6
bulk,4
english,8
county,17
member,21
man,90
talent,1
morning,7
friday,2
10,6
neither,14
secure,10
majority,30
supporter,18
each,10
contentedly,1
follow,20
other,65
meeting,28
hold,36
following,9
monday,3
preparation,2
vote,46
take,62
provide,19
way,33
suggest,22
balcarre,1
both,51
should,45
so,111
elect,19
unanimously,3
also,58
turn,24
down,26
balcarres,1
remarkable,1
advice,14
mess,1
thing,29
bind,5
succeed,11
within,18
year,71
face,15
proposition,1
without,38
option,2
agree,15
back,23
fewer,1
mp,38
any,63
three,16
beginning,5
week,10
now,47
unanimous,2
choice,6
robert,16
sanders,20
report,13
election,76
meet,21
13,5
evident,1
satisfaction,3
carlton,8
quite,17
admirably,1
harry,3
chaplin,2
chair,1
very,40
success,17
good,43
come,46
into,54
room,3
means,11
inclined,2
acquiesce,2
