item,cnt
foreword,1
alan,1
simpson,2
's,35
tribute,1
to,750
he,66
co-author,3
i,116
and,969
friend,1
professor,2
a.,40
r.,5
collar,4
c.b.e.,1
ll.d.,1
f.r.s.,1
emeritus,1
of,1498
aeronautical,2
engineering,8
in,894
the,2414
university,5
bristol,5
distinguished,1
scientist,2
former,2
vice-chancellor,2
that,511
die,1
at,114
home,2
on,131
12th,1
february,2
1986,2
just,17
ten,2
day,3
before,45
78th,1
birthday,2
only,87
a,1101
short,1
time,25
we,1012
book,12
be,2031
publish,1
roderick,10
eminence,1
as,375
an,147
scholar,1
well,12
know,41
however,87
also,106
man,2
exceptional,2
personal,1
warmth,1
charm,1
every,5
sense,4
gentleman,1
gentle,1
nevertheless,4
when,99
occasion,3
demand,1
it,422
do,71
during,3
turbulent,1
period,3
which,240
become,38
show,45
great,34
courage,1
firmness,1
latter,8
always,15
nice,1
possible,28
way,42
interest,6
wide,2
for,332
example,180
sport,1
cricket,1
tennis,1
football,1
both,46
variety,5
good,12
music,1
play,1
violin,2
verse,1
read,2
extensively,2
compose,2
inspire,1
or,114
provoke,1
match,1
could,22
recite,1
from,123
memory,1
particularly,6
w.,1
s.,2
gilbert,2
game,1
puzzle,1
chess,1
cribbage,1
mathematical,4
conundrum,1
crossword,2
zenith,1
any,74
less,7
than,35
twenty,2
minute,1
art,1
active,2
member,3
savage,1
president,2
local,1
sullivan,1
society,1
many,16
year,8
much,15
hospital,3
work,23
several,3
up,14
retirement,3
have,382
chairman,4
south,1
west,1
regional,1
management,1
board,1
visitor,1
charitable,1
works,1
extensive,2
rotary,1
club,1
governor,1
school,1
college,1
notably,1
r.m.c.s.,1
shrivenham,1
liveryman,1
guild,1
air,1
pilot,1
navigator,1
mention,1
but,105
few,7
activity,2
perfect,3
committee,8
love,1
productive,1
chair,1
innate,1
within,4
ability,3
put,19
they,79
ease,3
so,205
give,165
abstract,1
maximum,2
amount,3
information,2
this,359
evident,4
a.r.c,1
council,1
chairmanship,2
culminate,1
vice-chancellorship,1
one,68
25,11
over,3
above,35
those,25
these,80
height,1
other,46
administrative,1
often,23
express,20
desire,2
return,3
mathematics,1
particular,22
write,170
sequel,3
famous,1
with,257
r.a.,1
frazer,3
w.j.,1
duncan,3
elementary,19
matrix,589
agree,2
not,164
until,15
seven,2
after,11
begin,25
then,307
abate,1
extent,2
allow,1
long,3
necessary,12
discussion,8
appropriate,12
recall,2
1938,1
print,1
nine,1
u.k.,1
u.s.a.,2
translate,1
into,36
russian,1
czech,1
finally,24
republish,1
hardback,1
1983,1
following,13
pioneering,2
application,5
problem,55
undertake,1
by,368
n.p.l.,1
teddington,1
1930s,1
certainly,2
junior,1
partnership,1
who,1
style,1
able,8
perceive,1
area,1
contribution,9
late,4
confide,1
far,22
happy,1
title,1
must,70
more,46
tailor,1
need,24
student,5
view,23
condescending,1
regard,10
himself,1
subject,12
say,45
writing,1
new,27
earnest,1
realise,1
lose,3
none,3
skill,1
research,1
awe,1
now,186
easy,4
suffer,1
arthritis,2
follow,48
owe,4
lack,2
flexibility,1
finger,2
condition,13
develop,4
find,156
difficult,7
deter,1
between,10
1980,1
1984,1
complete,14
400,1
page,1
manuscript,1
average,1
meet,2
three,40
hour,1
constantly,1
revise,1
exchange,1
criticise,1
end,6
hand,8
everything,1
whole,5
rewrite,1
about,5
five,2
seek,8
thing,2
order,151
remove,13
all,121
ambiguity,1
assist,1
reader,33
if,323
mean,9
rewrit,2
100,5
would,27
gladly,1
meticulous,1
never,1
pedantic,1
last,59
possibly,2
fine,1
theorem,70
xii,5
xv,3
chapter,21
1,211
1985,1
shortly,2
serious,1
fall,1
perhaps,6
precipitate,1
leukaemia,1
fail,3
recover,6
despite,1
repeated,6
blood,1
transfusion,1
stage,14
scarcely,1
bearable,1
extremely,1
painful,1
clarity,1
thought,1
process,20
evidently,35
still,3
totally,1
unimpaired,1
sunday,1
death,1
although,10
very,35
weak,1
anxious,1
discuss,21
technical,1
matter,4
among,5
revision,1
6,29
