item,cnt
the,418
ninth,1
british,4
library,6
research,26
lecture,2
computer,51
and,130
humanities,30
anthony,3
kenny,3
1992,1
scholar,25
in,159
like,9
researcher,4
other,17
subject,6
make,18
use,39
of,328
for,58
word-processing,1
catalogue,3
book,13
they,43
departmental,1
also,4
desk-top,2
publishing,1
this,30
generic,1
be,205
not,33
i,23
topic,3
want,4
to,158
talk,1
about,3
actual,2
feature,14
that,50
which,46
derive,1
from,21
special,2
characteristic,3
university,4
lecturer,1
increasing,1
teach,2
purpose,2
but,25
too,4
lie,2
outside,2
scope,1
can,20
divide,2
into,9
three,8
main,1
kind,12
depend,2
on,39
nature,1
object,2
study,52
a,138
may,18
string,2
as,38
natural,2
language,10
processing,5
or,24
analysis,9
literary,11
text,16
number,5
discrete,1
item,3
event,1
social,6
economic,1
history,13
icon,1
whether,4
visual,1
art,4
acoustic,1
musicology,2
course,5
individual,1
discipline,17
more,26
than,21
one,24
these,8
type,4
student,11
style,11
will,17
statistical,11
frequency,3
lexical,3
grammatical,3
identify,6
he,11
chosen,2
historian,5
have,64
occasion,1
search,5
through,6
analyse,1
primary,1
source,3
machine-readable,1
form,8
large,4
part,6
electronic,3
data,15
take,8
works,8
only,12
small,3
proportion,2
concern,1
pattern,1
recognition,1
digitization,1
image,1
it,46
recently,3
become,13
possible,8
score,1
directly,2
input,1
without,9
mediation,1
alphanumeric,1
code,1
all,16
an,30
endeavour,2
replace,1
intuition,1
with,34
quantification,3
linguist,2
literature,11
musicologist,1
seek,2
similarity,1
difference,3
between,7
common,5
question,8
what,7
statistics,6
define,1
how,4
far,1
aggregate,1
similarly,1
technique,4
give,3
objective,1
substance,1
intuitively,1
sense,4
historical,5
process,1
trend,1
seem,6
pass,4
stage,4
each,4
correspond,1
roughly,1
decade,7
first,7
period,5
pioneering,1
work,24
abortive,1
attempt,3
at,17
machine,1
translation,1
early,9
concordance,25
authorship,14
morton,8
ellegard,1
mosteller,3
wallace,3
conference,1
computing,9
1964–7,1
specialised,1
anthropology,1
1962,1
linguistics,4
1970,1
during,1
many,12
major,3
produce,5
by,33
publish,3
traditional,8
hard,4
copy,4
project,14
interdisciplinary,1
team,1
including,1
senior,2
information,4
scientist,3
responsible,1
custom-designed,1
software,11
last,6
until,3
end,3
sixties,1
second,5
seventies,2
eighties,2
learn,2
write,3
own,6
program,4
easier,1
master,1
significantly,1
development,8
widespread,1
availability,2
pre-designed,1
package,6
such,12
ocp,1
oxford,10
construction,2
spss,2
science,5
mean,5
humanist,8
independent,2
expert,2
operate,1
most,15
low-level,1
assistance,1
particular,15
provide,9
material,4
monograph,2
once,4
matter,2
trumpete,1
commonplace,1
note,1
elaboration,1
footnote,1
compute,1
centre,3
set,4
up,8
liege,1
tubingen,1
place,3
while,1
system,5
there,18
temptation,1
fit,1
rather,5
design,4
hand,5
begin,2
develop,3
source-oriented,1
entry,2
famous,1
clio,1
throughout,3
despite,1
growing,2
independence,1
still,4
collaboration,2
usually,1
proximity,1
colleague,3
advent,1
cheap,1
microcomputer,2
mid-eighties,1
typical,1
likely,2
find,7
do,18
home,2
personal,2
attach,1
no,15
doubt,8
network,1
engage,1
much,9
less,5
interactively,1
result,6
revolution,2
familiar,2
nowadays,2
tell,1
germany,1
doctoral,1
just,5
word,20
some,6
shortly,1
case,6
where,8
so,5
already,1
european,1
country,1
building,1
database,3
unstructured,1
text-archive,1
structured,1
preoccupation,2
cd-rom,2
significance,1
classic,2
complete,4
ancient,3
ibycus,2
implementation,1
thesaurus,1
linguae,1
graecae,1
english,5
version,1
dictionary,4
conduct,3
would,12
lifetime,1
if,12
twenty,2
volume,1
archaeology,2
understand,2
now,6
say,5
automatically,2
consider,1
any,7
however,2
level,3
low,1
general,2
unambiguously,1
useful,2
consist,1
employment,1
perform,1
humdrum,2
task,2
time,12
unaided,2
human,4
quotation,1
determination,1
contingency,1
table,1
classification,1
iconic,1
activity,1
leave,4
little,2
visible,1
trace,2
published,1
scale,2
ambitious,1
undertake,3
methodical,1
demonstration,1
enrich,1
domain,1
fundamentally,1
new,22
finding,1
demonstrate,1
validity,1
automatic,1
two,6
example,2
discuss,1
recent,6
paper,11
manfred,2
thaller,2
france,2
gian,1
piero,1
zarri,1
know,6
reseda,1
allow,2
artificial,1
intelligence,1
apply,1
concerning,1
hundred,2
year,9
war,1
well,5
ai,3
circle,1
virtually,1
because,7
complicated,2
could,9
explicit,2
support,2
group,2
again,3
1981–7,1
volkswagenstiftung,1
fund,1
arcos,1
photograph,1
three-dimensional,1
archaeological,2
drawing,1
convert,1
lend,2
themselves,3
easily,1
method,12
cluster,1
prototype,2
vanguard,1
technical,2
unfortunately,1
price,1
high,3
out,11
financial,1
reach,1
community,4
win,2
reclaim,1
almost,1
remark,1
parent,1
fact,2
we,10
look,5
effect,2
spectacular,2
creation,1
whole,1
computational,1
widely,2
feel,3
perfecting,1
tool,3
data-collection,1
corpora,1
testbed,1
theory,3
perhaps,4
dramatic,2
opportunity,1
linguistic,2
national,1
corpus,6
collaborative,1
venture,1
involve,2
publisher,1
oup,1
longman,1
chambers,1
lancaster,1
aim,1
100,1
million,1
contemporary,1
spoken,1
written,1
raw,1
empirical,1
wide,1
variety,2
start,1
january,1
1991,2
grant,1
dti,1
serc,1
when,5
should,4
unparalleled,1
resource,1
lexicographer,1
technologist,1
test-bed,1
theoretical,1
spite,2
multiplication,1
basic,1
surprisingly,2
difficult,4
point,3
specific,1
area,5
solid,2
uncontroverted,1
gain,1
scholarship,4
achieve,3
technology,4
hope,3
enthusiast,2
hold,2
revolutionise,1
humanistic,3
prove,1
over,2
unrealistic,1
sometimes,4
initial,3
claim,8
exaggerate,1
testament,8
reveal,1
true,4
lineament,1
bible,3
ignorantly,1
worship,1
even,9
hubris,1
deliver,1
often,7
disappointing,1
showpiece,1
scholarly,3
really,2
anxious,1
see,4
both,4
respect,3
original,4
contribution,4
within,2
b,3
clearly,2
sadly,1
single,4
handful,2
seminal,1
illustrate,1
field,2
myself,1
stylistics,1
limited,1
success,4
outset,1
highly,1
suspicious,1
numerical,3
suspicion,1
particularly,1
strong,1
among,2
biblical,2
principal,1
t.m.,1
knox,1
ago,1
spirit,1
moveth,1
listeth,1
reduce,1
term,2
alone,2
cope,1
hostility,1
irrational,1
inconsistent,1
long,4
notice,3
base,5
argument,2
occurrence,5
hapax,2
legomena,2
occur,2
given,1
author,15
count,1
context,5
perverse,1
insist,1
counting,1
stop,1
go,4
further/far,1
since,2
before,1
invention,1
extensive,1
helpful,1
determine,3
precise,1
's,14
vocabulary,2
enable,2
favourite,1
phrase,1
trick,1
lengthy,1
call,4
month,1
tedious,2
labour,1
aid,2
comparatively,1
difficulty,1
who,9
mainframe,2
commonly,1
ask,3
print-out,1
then,3
consult,2
manner,2
turn,2
page,2
sheaf,1
several,2
printer,1
business,1
facility,1
micro-ocp,1
generate,4
screen,2
pc,1
text-base,1
whenever,1
need,6
thus,3
you,6
arthur,1
hugh,1
clough,2
massive,1
contain,5
poem,2
leaf,1
command,1
print,1
think,2
same,1
differ,2
hand-made,1
way,3
tiny,2
function,1
frequent,1
regard,3
unimportant,1
figure,1
cruden,2
scripture,1
interestingly,1
focus,2
heading,1
virgil,1
bellum,1
declension,1
neuter,1
singular,1
nominative,1
noun,1
basis,4
analytical,3
compile,1
barbara,1
timothy,1
friberg,3
baker,1
1981,2
word-list,1
exploit,1
meaning,2
