item,cnt
1,13
introduction,4
linguistic,40
form,78
and,680
function,24
the,2711
of,1707
language,149
analysis,59
discourse,306
be,1767
necessarily,8
in,1101
use,130
as,403
such,80
it,383
can,125
not,246
restrict,3
to,1098
description,31
independent,1
purpose,25
or,205
which,393
those,50
design,2
serve,6
human,14
affair,4
while,11
some,114
linguist,16
may,128
concentrate,17
on,214
determine,29
formal,29
property,9
a,1043
analyst,98
commit,2
an,183
investigation,12
what,239
that,529
for,297
approach,33
have,399
long,14
tradition,2
manifest,1
innumerable,1
volume,1
grammar,10
functional,3
less,18
well,24
document,1
attempt,25
provide,28
even,27
general,47
set,48
label,1
principal,2
result,10
vague,1
often,20
confusing,2
terminology,1
we,458
will,123
adopt,4
only,55
two,53
term,81
describe,73
major,4
emphasise,11
this,263
division,8
analytic,10
convenience,1
would,87
unlikely,6
any,65
occasion,25
natural,7
utterance,86
fulfil,1
one,134
total,2
exclusion,1
other,71
expression,74
content,22
transactional,8
involved,6
express,22
social,19
relation,10
personal,27
attitude,3
interactional,6
distinction,10
stand,5
correspondence,1
dichotomy,1
representative,2
expressive,1
find,45
Bühler,1
1934,2
referential,2
emotive,1
jakobson,1
1960,1
ideational,1
interpersonal,2
halliday,3
1970b,1
descriptive,8
social-expressive,1
lyons,14
1977,32
view,49
philosopher,4
tend,7
limited,6
society,4
they,201
frequently,11
acknowledge,1
perform,7
many,16
communicative,26
nonetheless,1
make,109
assumption,13
most,36
important,16
communication,9
information,47
thus,31
32,3
observe,10
notion,39
readily,5
feeling,3
mood,1
but,117
suggest,46
he,372
primarily,22
interested,12
intentional,1
transmission,3
factual,4
propositional,3
similarly,14
bennett,1
1976,9
5,17
remark,17
seem,42
likely,25
matter,7
speaker,290
's,121
seek,10
either,4
inform,5
hearer,64
something,20
enjoin,1
action,11
upon,9
value,8
transmit,1
embed,8
cultural,2
mythology,1
all,51
believe,11
faculty,1
enable,14
race,2
develop,6
diverse,1
culture,7
each,53
with,178
distinctive,1
custom,1
religious,1
observance,1
law,4
oral,2
pattern,7
trading,1
so,54
moreover,8
acquisition,4
written,71
permit,12
development,6
within,49
these,59
philosophy,2
science,3
literature,8
see,58
goody,8
possible,51
by,197
ability,5
transfer,3
through,7
man,42
utilise,2
knowledge,32
forebear,1
shall,72
call,28
convey,9
assume,47
writer,46
mind,6
efficient,2
transference,2
situation,31
message,10
orient,1
recipient,8
get,23
informative,5
detail,21
correct,17
if,105
policeman,2
give,39
direction,7
traveller,1
doctor,4
tell,13
nurse,2
how,55
administer,1
medicine,1
patient,2
householder,1
put,10
insurance,1
claim,21
shop,4
assistant,1
explain,4
relative,3
merit,1
type,48
knitting,1
wool,1
scientist,4
experiment,6
case,37
should,50
say,110
write,31
clear,23
there,122
unfortunate,1
disastrous,1
consequence,3
real,4
world,20
properly,3
understand,10
whereas,10
psycho-linguist,1
pay,12
particular,77
attention,16
sociologist,1
sociolinguist,3
particularly,20
concerned,13
establish,10
maintain,7
relationship,19
sociological,1
anthropological,1
phatic,1
comment,11
conventional,10
open,8
talk-exchange,1
close,7
conversational,62
negotiate,3
role-relationship,2
peer-solidarity,1
exchange,5
turn,15
conversation,64
saving,1
face,5
both,30
cf.,10
labov,3
1972a,2
brown,7
levinson,3
1978,6
sacks,5
schegloff,1
&,25
jefferson,1
1974,10
lakoff,1
1973,6
clearly,17
great,16
deal,13
everyday,6
interaction,11
characterise,26
rather,37
than,52
when,64
stranger,1
shiver,1
at,103
bus-stop,1
icy,1
wind,1
i,190
goodness,2
cold,1
difficult,11
suppose,8
primary,5
intention,10
much,19
more,76
reasonable,14
indicate,36
readiness,1
friendly,1
talk,84
indeed,14
ordinary,8
appear,38
consist,9
individual,53
present,36
listener,6
weather,1
course,31
quoted,1
example,56
british,5
english,20
however,50
casual,3
contain,22
phrase,21
echo,1
intend,21
contribution,47
take,57
instance,8
information-giving,1
woman,15
bus,2
way,61
mutual,2
friend,8
behave,4
out,58
bed,2
too,16
soon,2
after,27
operation,2
conclude,2
she,141
aye,6
awfy,3
=,2
sc,1
awful,1
might,56
summary,3
neighbour,3
then,71
reflectively,1
supportively,1
utter,11
throughout,7
first,61
pirsig,1
313,1
pace,3
intrigue,1
go,64
anywhere,1
just,42
fill,5
time,114
day,7
no,36
point,87
like,57
rocking,1
chair,7
issue,10
here,41
sharing,1
common,17
importance,8
ground,3
agree,3
illustrate,12
length,2
different,72
appearance,4
agreement,3
also,69
stress,2
repeating,1
part,52
preceding,22
1978:117,1
note,23
genre,11
whose,8
relationships-'thank,1
you',1
letter,11
love,1
game,1
etc,6
speak,40
manner,7
production,11
from,141
spoken,46
somewhat,2
demand,2
language-producer,1
available,14
full,6
range,11
voice,9
quality,7
effect,26
facial,2
postural,1
gestural,1
system,14
arm,3
always,10
override,1
word,40
who,52
really,7
lean,3
forward,2
smile,3
warm,3
breathy,1
interpret,45
mean,21
another,35
same,46
away,12
brow,1
pucker,1
sneering,1
nasal,1
paralinguistic,5
cue,11
deny,3
generally,12
ignore,7
feature,79
book,12
since,29
data,55
quote,4
co-operative,3
adult,2
exploit,5
resource,3
against,10
verbal,10
meaning,39
reinforce,1
control,3
process,27
under,12
circumstance,9
considerably,1
demanding,1
must,53
monitor,3
whether,14
match,2
current,3
simultaneously,1
plan,3
next,20
fit,6
into,42
overall,4
want,15
monitoring,1
own,15
performance,2
reception,1
permanent,2
record,18
early,12
unusual,2
do,161
remind,3
contrary,1
look,32
over,23
already,16
pause,16
between,45
fear,1
interlocutor,5
interrupt,2
choose,6
up,33
dictionary,2
necessary,15
check,2
progress,1
reorder,1
change,21
about,149
considerable,2
pressure,2
keep,7
during,6
period,5
allot,1
characteristically,3
know,41
pass,4
lip,2
hear,11
undertake,10
active,4
public,5
repair,3
cross,2
rewrite,1
privacy,1
study,27
advantage,2
wish,21
modify,1
accessible,4
acceptable,6
access,7
immediate,5
feedback,1
simply,19
imagine,5
reader,41
reaction,7
interesting,9
behaviour,8
choice,3
conduct,2
piece,22
business,2
person,22
writing,15
face-to-face,1
prefer,3
variety,5
reason,2
transaction,1
able,13
minute-by-minute,1
suffer,1
disadvantage,1
expose,3
'leaking',1
ekman,1
friesen,1
1969,3
concisely,1
response,10
whichever,1
react,5
representation,18
text,153
far,25
consider,67
very,44
difference,16
speech,56
before,35
discuss,29
differ,5
section,13
problem,33
represent,21
place,46
discussion,33
technical,2
refer,35
act,11
chapter,35
6,14
printed,13
familiar,4
differently,4
edition,3
type-face,4
size,3
paper,3
column,1
still,11
presentation,2
minimally,2
order,16
where,45
disputed,2
reading,5
editor,3
usually,7
feel,7
obliged,5
crux,1
hamlet,2
o,1
sullied,1
flesh,1
melt,1
ii.129,1
dover,2
wilson,3
interpretation,86
second,25
quarto,1
sallied,1
folio,1
solid,1
doubt,4
identity,2
sequence,15
replicate,2
alone,1
guarantee,2
adequate,5
following,34
extract,44
dialogue,1
pride,1
prejudice,1
mr.,2
bennet,1
you,131
abuse,1
child,38
delight,1
vex,1
compassion,1
poor,2
nerve,2
mistake,3
dear,1
high,8
respect,13
old,16
mention,17
consideration,18
twenty,2
year,26
least,9
reproduce,15
require,22
punctuation,3
convention,14
lineation,3
read,19
gobbledygook,1
assign,8
character,4
sentence,135
paragraph,53
author,16
organisation,6
staging,2
work,34
preserve,5
expository,3
prose,3
indication,7
argument,12
contribute,8
experience,48
title,15
heading,1
sub-division,1
sub-heading,1
chunk,16
rarely,8
become,13
crucial,1
reproduction,2
poetry,1
seventeenth-century,1
poet,1
create,6
poem,2
shape,2
diamond,1
butterfly,1
largely,5
incomprehensible,1
reach,4
beyond,2
material,4
handwritten,6
purple,1
ink,1
curlicue,1
neutral,1
version,16
produce,32
shopping,2
list,12
slogan,1
spray-painted,1
hoarding,1
notice,12
emboss,1
metal,1
plate,1
hold,11
relevant,76
accurately,2
original,14
typographical,1
lack,4
obvious,10
newspaper,6
item,9
several,10
lay-out,1
publisher,4
regularly,6
conscious,2
manipulation,3
medium,3
jane,4
austen,1
contrast,6
italic,2
nay,1
elizabeth,1
fair,2
think,32
respectable,1
hurt,2
ill,2
body,4
perfect,1
queen,5
victoria,2
underline,3
journal,2
emphasis,5
lord,2
melbourne,1
kind,11
fatherly,1
thursday,1
28,5
june,5
1838,1
deliberately,3
constitute,20
illustration,4
govern,1
spelling,7
standardised,2
fact,27
standardisation,1
manipulate,2
idiosyncratic,1
achieve,2
special,1
winnie-the-pooh,1
outside,1
owl,1
house,14
inset,1
line,8
capital,2
plez,1
cnoke,1
rnsr,1
reqid,1
lose,3
standard,19
incomplete,4
inadequate,1
because,36
longer,3
citing,1
mark,21
insertion,1
sic,1
citation,2
disclaim,1
responsibility,1
aberrant,1
simplifying,1
effort,7
legible,1
uncertainty,1
rise,4
cruce,1
prescription,1
school,12
essay,2
normally,12
push,1
once-for-all,1
never,3
again,18
sense,17
young,20
large,17
painstakingly,1
token,6
re-interpret,1
light,7
page,5
drawing,1
animal,1
report,11
lion,5
table,3
goldfish,1
bowl,1
five-year-old,1
below,5
transliterate,1
wo,1
fish,2
ti,1
2,20
cat,5
dwon,1
steis,1
3,17
qwt,2
dsthhb,1
thelion,1
eat,3
down,17
stairs,1
without,11
disturb,2
transliteration,2
reasonably,4
figure,2
nine,7
straight,2
back,9
stroke,1
charitable,1
interpretive,2
render,4
i.e.,11
unhatted,1
backstroke,1
return,10
identify,44
encounter,12
good,22
complex,10
simple,15
tape-recording,4
extraneous,1
cough,1
creaking,1
past,12
scratch,1
cigarette,1
insist,3
event,47
though,10
context,151
transcription,9
annotate,1
accord,7
interest,12
sort,17
transcribe,2
unless,8
fine-grained,1
phonetic,4
few,9
people,17
fluently,1
accent,3
pronunciation,1
normal,8
orthographic,17
phonemically,1
greipbritn,2
/,2
orthographically,1
grape,1
britain,4
hardly,5
normalise,2
insert,1
boundary,13
exist,12
acoustic,2
signal,8
gene,1
orthography,1
gon,1
na,1
peculiarly,2
american,5
association,2
gointuh,1
constantly,3
simplify,1
phonetically,1
stream,2
ch.,2
4,16
formality,1
specificity,1
misrepresent,1
segmental,1
pale,1
insignificance,1
compare,3
suprasegmental,1
intonation,6
rhythm,3
summarise,5
yet,15
kindly,1
sympathetically,1
brutally,1
harshly,1
sex,5
approximate,1
age,11
educational,2
status,4
aspect,26
state,9
health,1
personality,3
abercrombie,1
i968,4
laver,1
1980,13
customary,1
relate,23
indexical,2
rhythmic,3
temporal,13
structure,36
bind,1
group,7
closely,4
together,7
speed,1
slow,1
given,5
variable,8
little,13
idea,6
butterworth,1
capitalization,1
italicization,1
paragraphing,1
etc.,8
textual,6
include,15
surely,5
pitch,13
loudness,3
cicourel,2
three,8
classroom,1
ci,1
t,3
okay,1
yeah,3
right,12
now,30
ri,1
question,35
formally,3
comma,1
t(eacher),1
explicit,12
presumably,8
intonational,3
respond,1
transcript,1
italicise,3
increased,1
decide,9
equivalent,3
creation,1
appeal,22
mode,4
share,16
further/far,7
objective,1
define,6
'the,1
act',1
perception,1
essentially,5
subjective,1
idealise,1
variability,1
experiencing,1
schutz,2
reciprocity,1
perspective,2
whereby,1
grant,2
1953,2
amount,4
overlap,4
sufficient,3
allow,6
comprehension,7
bring,7
halt,1
critical,1
focus,2
ever,5
ephemeral,1
relatively,7
unimportant,1
working-out,1
prone,1
over-analysis,1
wide,1
impose,2
leisure,1
participant,69
once,14
recorded,4
literary,4
critic,2
remember,12
transitoriness,1
definition,6
hedge,1
involve,21
prior,9
hence,4
fragment,79
ii,4
shaky,1
handwriting,1
quaver,1
arbitrarily,1
quite,37
forcefully,1
propound,1
surprisingly,1
scholar,4
main,7
lie,2
anthropology,1
sociology,1
watt,1
1963,3
thinking,1
follow,29
setting,12
separate,14
syllogistic,1
reasoning,1
11,9
reflect,7
cognitive,2
non-literate,1
vygotsky,1
1962,3
examine,9
various,6
non-speech,1
classification,1
formula,1
recipe,2
17,7
storage,1
space,7
shift,4
visual,7
domain',1
highly,7
abstract,5
context',2
78,1
daily,5
life,11
literate,3
establishment,2
maintenance,1
detailed,5
noteworthy,1
symptom,1
architect,1
client,1
requirement,4
hansard,1
proceeding,1
parliament,1
',24
address,5
telephone,14
number,22
knit,1
expect,12
repeat,9
sometimes,5
typical,8
news,6
broadcast,3
headline,4
statement,12
expansion,2
repetition,4
spot,1
recapitulate,1
end,19
expectation,23
correctly,1
especially,4
extended,4
obviously,6
supremely,1
benefit,2
private,2
paraphernalia,1
nation,2
constitution,1
treaty,1
derive,19
transitory,1
exactly,2
d.,2
j.,2
enright,1
observation,2
plato,1
review,1
sunday,2
24,3
january,2
1982,8
geographical,2
area,10
dialectal,1
register,1
depend,15
topic,191
role,21
e.g.,11
trudgill,1
hudson,1
draw,5
influence,6
constant,5
immersion,1
uninfluenced,1
typically,20
middle-aged,1
spend,5
academic,2
majority,1
population,2
country,3
appreciate,2
apart,5
124,1
simplistic,2
norm,7
undergraduate,1
student,10
1.2.1,1
significantly,4
characteristic,11
richly,1
organise,5
densely,1
packed,1
interactive,1
marker,26
filler,5
quirk,3
greenbaum,1
leech,1
svartvik,1
1972,7
sinclair,1
coulthard,3
1975,21
chafe,2
1979,23
ochs,1
1981,4
goffman,1
means,9
syntax,5
structured,1
subordination,2
iii,1
sentential,10
declarative,2
50,2
hour,3
currie,1
kenworthy,1
passive,3
it-cleft,1
wh-cleft,1
crystal(1980),1
analyse,7
spontaneous,1
category,5
clause,7
brief,7
begin,18
new,17
complete,7
previous,26
nice,7
grassmarket,1
+,168
antique,1
em,6
bit,2
b,63
extensive,1
metalingual,1
complementiser,1
so-called,1
logical,5
connector,2
besides,1
spite,1
paratactically,1
organised,1
tired,1
walk,2
home,11
rhetorical,1
organiser,1
stretch,14
firstly,1
conclusion,6
rare,3
c,31
heavily,2
premodified,1
noun,5
premodifying,1
adjective,2
strong,1
tendency,2
short,3
predicate,4
attach,3
referent,10
case-frame,1
one-place,1
biggish,1
tabby,1
torn,1
ear,1
mcarthur,1
wee,1
chap,2
oh,18
small,7
eh,6
beard,2
pretty,2
stooped,1
packaging,1
concentrated,1
torch,1
ten,2
ago,3
snooze,1
locked,1
car,7
smoke,16
pipe,1
die,1
hospital,1
evening,4
edinburgh,13
22,5
april,1
d,22
subject-predicate,1
givo/1n,1
1979b,3
topic-comment,1
let,2
e,7
informal,2
occurrence,4
construction,7
infrequent,1
non-attribution,1
agency,1
absent,1
instead,3
indeterminate,2
agent,1
noticeable,7
everything,4
slowly,1
f,5
chat,6
environment,4
rely,5
gaze,2
supply,1
rain,2
frightful,1
g,2
replace,2
refine,1
along,5
h,2
generalised,5
vocabulary,2
lot,6
thing,22
stuff,1
syntactic,6
fairground,1
inspector,1
fire,9
extinguisher,1
exit,1
gangway,1
electric,1
cable,1
earth,2
cover,2
j,17
prefabricated,2
erm,1
rainbow,4
direct,5
comparison,1
strictly,2
non-comparable,1
blowing,1
cloud,1
band,1
faint,3
iridescence,1
colour,6
shadows,1
portion,1
hill,2
forget,1
startle,1
hovering,1
itself,7
gleam,1
fiercely,1
heart,3
anguished,1
hope,5
shadow,1
iris,1
bow,2
steadily,1
gather,1
mysteriously,1
nowhere,1
presence,3
vast,2
h.,1
lawrence,1
16,5
rich,2
lexis,2
well-organised,1
possibly,4
reconstruction,3
rewriting,1
final,6
product,9
frequent,2
modification,1
via,4
adverb,1
single,27
per,1
unit,14
tongue-slip,1
heavy,1
drive,2
road,4
er,3
series,13
stripe,1
arch,1
ah,2
seven,3
guess,3
try,15
kaz,1
hard,2
++,3
postgraduate,1
informally,1
here-and-now,1
threaten,1
himself,3
lexical,9
come,25
hunting,1
mot,1
juste,1
dense,1
density,1
pack,1
appropriate,13
comfortably,2
aloud,4
lecture,1
support,14
release,1
linear,1
experiential,1
escape,1
succession,1
backtrack,1
skip,5
who-done-it,1
except,5
obsessive,1
avant-garde,1
modern,5
dramatist,1
1977:124,1
propose,12
outline,2
convenient,2
fairly,5
non-technical,1
apply,4
language-behaviour,2
object,16
text-sentence,2
system-sentence,5
latter,5
occur,30
metalinguistic,1
customarily,1
cite,3
grammatical,7
1977:31,1
exemplification,1
overwhelmingly,1
employ,3
although,12
ultimately,1
aim,2
methodological,2
accurate,1
pursuit,1
goal,2
grammarian,8
exhaustive,2
economical,1
rule,22
account,38
mental,6
language-user,3
nor,6
physical,14
concern,3
data',1
inevitably,5
construct,23
procedure,10
overt,1
commitment,1
constructed-data,1
recently,3
invent,4
string,6
certain,14
intuitive,6
judgement,5
legitimate,2
research,2
gazdar,1
exemplify,3
base,15
output,1
someone,7
constructed,9
paradigm,1
towards,2
option,2
performance-data,1
hesitation,2
slip,1
non-standard,1
chomsky,5
1965,1
substantially,1
incompatible,3
extreme,8
isolation,3
insight,4
sentence-grammarian,9
remain,7
immure,1
dangerously,1
admissibility,1
evidence,15
over-extreme,1
count,1
sampson,2
generative,3
narrowness,1
could,41
immediately,13
autonomous,1
despite,2
undeniable,1
semantic,4
statistical,1
relevance,13
determining,2
1957,4
essential,2
constructed-sentence,1
resulting,2
test,1
introspection,3
occasionally,3
lead,12
regardless,2
arise,7
disagreement,2
source,3
153,1
narrow,3
restriction,1
non-testability,1
principle,41
outcome,1
concentration,2
artificially,1
contrived,1
isolate,1
preface,1
