item,cnt
chancery,1
division,1
in,84
re,9
a,59
debtor,25
no.,5
784,1
of,115
1991,8
1992,1
april,1
13,1
hoffmann,2
j.,2
bankruptcy,20
jurisdiction,16
carry,20
on,36
business,25
selling,1
and,31
leave,2
united,1
kingdom,1
more,2
than,2
three,9
year,13
before,7
presentation,5
petition,13
no,10
debt,18
outstanding,6
save,1
for,12
income,1
tax,9
liability,9
whether,6
within,9
preceding,1
to,59
make,10
order,9
insolvency,10
act,34
1986,13
c.,1
45,1
s.,1
265(1),6
c,6
ii,5
may,7
1987,8
the,198
who,2
have,30
run,2
nursing,2
home,2
sell,3
as,13
going,2
concern,2
go,2
live,3
canary,2
islands,2
remain,5
apart,2
from,11
excess,1
"£500,000",3
1988,2
an,8
offer,2
settle,2
which,29
be,88
not,21
accept,2
february,3
inland,7
revenue,7
present,7
registrar,7
allow,1
service,1
hearing,1
he,7
decide,2
that,54
england,7
wales,5
period,7
end,2
with,7
purpose,7
section,17
1986and,1
seek,1
's,4
appeal,11
hold,7
dismiss,3
there,14
nothing,1
policy,7
indicate,1
parliament,6
intend,5
give,8
word,9
meaning,10
different,5
they,12
bear,3
4(1),3
d,3
1914,10
do,7
cease,5
until,3
all,7
trading,1
pay,6
accordingly,1
right,2
since,3
discharge,1
still,2
post,1
pp.,1
122B–E,1
h,1
123a,1
theophile,7
v.,5
solicitor-general,4
1950,5
a.c.,6
186,4
h.l.,3
e.,3
apply,4
following,2
case,11
refer,2
judgment,2
1,10
1989,5
w.l.r.,5
271,2
2,5
e.r.,5
46,1
c.a.,3
smith,2
bankrupt,2
ex,4
parte,4
braintree,2
district,2
council,2
1990,2
215,2
3,2
1317,1
897,1
405,1
additional,1
cite,1
argument,1
bird,1
commissioner,4
1962,2
686,1
406,1
m'george,1
stevens,1
1882,1
20,1
ch.d.,1
607,1
sarflax,1
ltd.,1
1979,3
ch.,1
592,1
202,1
529,1
11,2
november,3
mr.,2
pimm,2
pursuant,1
against,1
although,1
8,3
basis,2
she,9
notionally,1
because,6
though,2
other,3
unpaid,3
over,5
by,15
notice,3
date,3
29,1
ground,5
court,13
or,10
prior,1
fact,2
state,1
richard,1
ritchie,1
nicholas,1
warren,1
this,8
decision,3
raise,2
question,6
country,2
course,4
incur,2
sum,1
about,2
january,1
tenerife,1
evidence,1
any,8
come,4
sole,2
under,8
265,5
set,1
out,1
various,2
including,2
domicile,2
residence,1
physical,1
presence,1
but,2
rely,1
namely,1
say,7
upon,4
continue,5
trade,10
include,1
construction,12
put,2
forward,1
one,8
adopt,1
respect,1
4,1
plainly,1
model,1
also,1
contain,2
when,4
personally,2
means,1
agent,1
manager,1
only,5
noticeable,1
change,2
language,4
extension,3
consider,2
house,5
lords,5
materially,1
too,1
otherwise,1
owe,2
lord,2
porter,1
deliver,1
speech,1
number,2
early,5
deal,1
separate,1
property,1
married,3
woman,3
relevant,1
statute,1
those,13
provide,2
simply,3
should,2
exist,1
separately,1
husband,1
arise,1
cessation,3
sense,2
shutter,1
up,2
immediately,2
deprive,1
it,20
while,1
will,2
observe,1
statutory,2
after,2
during,2
therefore,3
face,2
stark,2
choice,2
between,2
active,1
suspend,1
actually,1
wind,1
payment,1
intermediate,1
position,1
could,4
choose,1
circumstance,2
surprising,1
favour,1
latter,1
however,3
nearly,1
so,1
would,2
less,1
practical,1
difficulty,1
actively,1
far,1
nonetheless,2
applied,1
same,3
i,6
today,1
use,4
similar,5
consolidation,1
consolidate,1
1985,1
some,1
provision,8
entirely,2
new,7
code,1
relation,1
approach,4
footing,1
exhibit,1
intention,1
necessarily,1
require,2
legislation,4
concerned,1
rule,2
s.i,1
1925,1
7.55,1
proceeding,1
shall,1
invalidate,1
formal,2
defect,4
irregularity,3
unless,1
objection,1
substantial,2
injustice,4
cause,2
can,3
remedy,1
kind,2
such,2
reasonably,1
mislead,1
mere,1
render,1
nullity,1
even,1
calculate,1
refuse,1
follow,2
demand,1
puzzling,1
perplexing,1
statement,1
valid,1
know,1
precisely,1
what,3
failure,1
rise,1
presumption,1
unable,1
approve,1
jauncey,1
tullichettle,1
at,2
p.,2
238,1
view,1
show,2
feel,1
justify,1
construe,1
piece,1
without,1
regard,2
19th,1
century,1
authority,2
repealed,1
must,3
particular,1
attention,1
own,1
wary,1
uncritically,1
mean,2
free,1
intellectual,1
freight,1
phrase,2
time,1
quality,1
term,2
art,1
well,1
assume,1
bring,1
subsequent,1
example,1
ordinarily,1
resident,1
attribute,1
both,1
context,1
civil,1
procedure,1
generally,1
wealth,1
refined,1
difficult,1
suppose,1
equally,2
reason,1
why,1
seem,1
anything,1
suggest,3
attribution,1
really,1
matter,1
long,2
effect,1
prevent,1
quite,1
true,1
found,1
enable,2
petitioner,1
rank,1
creditor,2
significance,1
non-trade,1
last,1
instead,1
muir,1
hunter,1
personal,1
3037,1
para.,1
3–070,1
somewhat,1
artificial,3
unfetter,1
old,1
law,1
establish,1
appear,2
conclusion,1
tenable,1
accordance,1
think,2
already,1
discern,1
difference,1
cost,1
solicitor,2
binks,1
stern,1
