item,cnt
1,36
maxwell,17
's,78
equation,78
one,78
of,880
the,2439
chief,1
peculiarity,1
this,103
treatise,3
be,1155
doctrine,1
which,77
assert,1
that,330
true,8
electric,143
current,164
on,124
electromagnetic,11
phenomenon,10
depend,16
not,150
same,67
thing,13
as,247
conduction,1
but,102
time,47
variation,10
displacement,4
must,37
take,66
into,43
account,7
in,555
estimate,3
total,24
movement,1
electricity,6
james,1
clark,1
a,717
and,465
magnetism,2
oxford,1
1873,2
all,66
problem,69
we,567
shall,84
concerned,10
with,148
may,137
solve,24
by,187
call,14
upon,22
or,45
more,47
following,15
,336
where,76
do,74
above,34
come,20
from,111
they,56
contain,7
though,10
quite,10
form,48
system,11
unit,31
chapter,6
ix,1
publish,1
to,541
conclude,4
theory,17
have,183
make,30
no,56
advance,2
course,24
century,5
conclusion,10
would,30
essentially,1
correct,3
technique,4
improve,1
much,21
good,23
position,16
now,89
evaluate,4
material,69
constant,68
fundamentally,1
stand,4
it,220
ago,1
far,36
interrelationship,2
quantity,8
know,24
today,1
he,12
actually,3
suggest,4
communication,1
between,66
continent,1
aid,17
geostationary,1
satellite,2
if,118
ground-station,1
numb,1
astonishment,1
give,63
half,5
an,102
hour,1
get,69
over,26
shock,1
resurrection,1
quietly,1
sit,1
down,7
piece,12
paper,3
back,4
big,6
envelope,1
i,79
suppose,2
work,47
out,46
relevant,6
design,4
formula,28
lack,1
part,16
should,33
attribute,2
idleness,1
rather,5
genius,1
moment,10
conceive,1
idea,3
new,19
era,1
start,11
history,2
mankind,1
event,1
similar,9
importance,2
occur,7
often,15
newton,3
principia,1
einstein,1
first,33
relativity,3
qualify,1
perhaps,5
two,89
three,5
learned,1
about,33
assume,52
kind,6
being,2
will,139
still,26
around,8
few,13
millennia,1
hence,47
feel,2
certain,15
nineteenth,1
mainly,1
remember,11
when,61
formulate,3
what,53
so,104
extraordinary,1
contribution,11
example,65
reach,5
synthesis,1
basis,8
experimental,3
evidence,1
mathematical,15
intuition,7
prophetic,1
insight,1
term,28
 ,155
1.1,7
at,156
add,15
known,1
manage,5
describe,8
macroscopic,4
find,37
wanting,1
need,44
relativistic,1
correction,1
could,21
go,28
for,214
long,29
praise,1
unfortunately,8
little,15
digression,1
however,15
entertaining,1
might,9
before,14
say,39
word,9
defence,1
approach,13
choose,25
hard,2
anyone,2
accept,2
set,10
without,13
through,11
usual,6
routine,1
present,16
justification,1
seem,2
unreasonable,2
sight,1
believe,3
possible,12
under,18
circumstance,2
very,25
well,34
you,90
already,4
familiar,5
operation,2
curl,6
div,1
grad,1
prefer,1
use,63
vector-operator,1
introduction,3
