item,cnt
direct,98
file,631
organization,21
6.1,4
introduction,3
record,792
can,232
be,2265
retrieve,24
directly,32
from,147
that,499
have,284
organize,14
in,918
many,42
way,42
this,519
chapter,33
we,60
shall,10
deal,22
with,139
design,14
to,1048
make,80
retrieval,62
as,349
easy,6
and,673
rapid,18
possible,59
these,109
know,23
it,339
process,73
the,2624
a,1027
either,11
use,253
key,226
any,100
desired,14
order,70
or,215
serially,1
take,84
they,151
store,106
ignore,4
both,35
serial,26
processing,76
of,1357
sequentially,21
indexed,33
sequential,90
technique,76
cover,2
devote,1
those,26
type,37
often,37
random,47
bank,2
not,213
predict,9
which,146
customer,12
wish,7
withdraw,1
deposit,1
money,1
on,299
given,29
day,5
travel,2
firm,1
control,51
package,7
tour,1
will,406
book,4
at,110
particular,18
time,184
arrive,1
result,82
own,8
decision,9
an,217
dictate,3
by,231
agent,1
transaction,7
predictable,2
present,21
problem,17
when,138
immediate,2
response,2
require,117
collect,4
into,62
batch,12
sort,24
sequence,43
match,4
appropriate,9
master,11
however,70
if,234
wait,14
for,432
answer,11
there,106
no,70
check,15
once,10
see,40
booking,3
available,69
example,58
mean,43
reference,53
without,9
preparatory,1
sorting,1
predetermine,1
face,2
number,201
but,107
indication,4
location,11
storage,131
would,79
search,126
through,6
until,11
locate,33
more,114
refined,1
method,85
relationship,15
between,35
too,16
slow,11
need,46
most,48
enquiry,18
system,54
must,21
look,16
establish,3
address,159
rapidly,4
several,13
form,23
first,70
index,243
every,50
position,69
modification,2
lead,26
7,8
second,36
each,108
relate,9
e.g.,3
same,50
20,25
so,80
self-indexing,16
self-addressing,1
find,33
some,74
other,69
assign,3
usually,53
suitable,12
algorithm,62
convert,5
then,37
describe,38
randomized,5
call,18
randomizing,11
also,40
hash,7
application,15
discuss,35
detail,21
table,59
provide,78
aid,1
designer,39
follow,34
section,20
optimize,7
performance,31
practical,7
step,13
maximize,3
efficiency,4
operation,22
6.2,7
continuous,12
numeric,2
gap,11
allocate,34
base,14
simple,13
case,136
such,59
00,8
000,32
99,4
999,5
could,17
contiguous,2
set,62
100000,4
access,146
device,59
area,162
start,34
00001,1
storing,1
straightforward,6
conversion,3
user-address,1
term,17
cylinder,109
carry,26
out,59
manufacturer,29
's,22
software,67
thus,29
involve,17
overhead,6
primary,8
space,88
cpu,2
elsewhere,7
figure,45
outside,1
range,31
addition,146
subtraction,3
where,33
β,2
constant,8
additional,22
factor,18
arise,12
do,65
go,7
up,85
one,113
twos,2
threes,1
fives,1
tens,1
increment,3
allow,47
unity,4
become,15
α,7
might,33
003,1
00006,1
009,1
00012,1
etc.,8
00352,1
353,1
explain,20
2,65
disk,25
discontinuous,1
complex,9
format,21
ibm,42
basic,6
cchhr,1
cc,1
two-character,2
hh,1
head,29
r,17
one-character,1
1,85
track,195
0,11
because,44
nearest,1
obtain,22
miss,5
near-continuous,1
only,98
nine,4
per,175
good,33
under,11
consideration,8
normally,9
calculation,25
main,48
very,95
little,13
well,22
worthwhile,2
value,55
means,2
3380,3
fourteen,3
23,1
starting,7
14,3
836,1
15,8
302,1
calculate,24
i.e.,20
467th,1
fifth,3
thirty-fourth,1
fifteen,4
25,4
3,48
fourth,5
5,21
full,30
general,19
formula,1
here,24
consider,19
integer,7
part,39
division,38
remainder,19
let,11
r',1
may,85
cumbersome,1
effectively,5
arithmetic,1
should,60
avoid,25
approximate,5
necessary,18
considerably,3
justify,6
speed,19
internal,1
unbroken,4
exploit,5
relative,7
user,43
broken,6
inherently,1
although,26
new,23
soon,5
occur,24
turn,17
business,3
old,4
product,11
replace,4
advantage,24
able,10
balance,3
against,9
waste,9
normal,10
single,39
seek,24
relation,2
achieve,24
worth,6
accept,5
fairly,7
low,30
packing,53
density,57
retain,5
capacity,15
limitation,5
loss,9
cent,138
still,13
compare,36
pack,33
randomly,7
later,16
vital,1
criterion,7
abundant,1
50,8
justifiable,1
maximum,8
throughput,3
essential,7
even,36
average,71
p.,18
310,1
unused,4
fill,6
dummy,7
recognize,2
character,6
&,1
test,13
during,22
valid,2
corresponding,5
error,3
indicate,19
guard,1
invalid,1
fig.,80
applicable,2
fixed-length,5
apply,23
variable-length,9
padding,2
bucket,141
variable,9
previously,2
latter,2
probably,7
point,47
longer,9
detect,6
naturally,5
following,19
thirty-four,1
34,1
359,1
five,14
91,1
94,3
138,1
respectively,4
eliminate,9
show,139
below,22
typically,1
contain,28
separate,33
item,9
information,31
code,9
field,28
room,5
leave,13
factory,7
category,7
etc,5
series,19
interval,26
long,20
various,10
involved,7
01,5
11,3
37,2
001,2
147,2
large,75
required,17
vary,6
run,44
digit,26
represent,7
2849,2
give,77
above,28
least,20
84,1
combine,8
6.3,10
entry,34
cumulative,3
total,26
ensure,15
all,77
keep,8
together,5
arrange,12
come,3
precede,3
routine,3
write,6
programming,2
language,1
pl/1,1
algol,1
fortran,3
subscript,1
facility,10
cat,1
fac,1
prod,1
handle,51
different,26
almost,5
always,18
lack,2
fact,6
dynamic,3
load,73
prevent,4
before,33
subject,4
mention,4
perfect,7
function,12
generally,17
refer,9
jaeschke,1
develop,10
originally,2
propose,2
cichell,1
he,19
complicate,1
40,5
fit,4
exactly,1
about,27
1000,4
less,32
time-consuming,3
due,29
sprugnoli,1
small,45
size,108
sphere,1
useful,25
algorithmic,1
data,131
suit,4
transformation,9
what,19
yield,8
compression,1
diffuse,2
much,24
self-indexed,4
whatever,2
complexity,3
generate,12
depend,36
group,27
distribution,34
desirable,3
efficient,14
simplicity,1
event,2
estimate,7
amount,3
affect,12
requirement,15
enough,8
produce,11
generated,1
correspond,5
specified,5
lie,2
within,11
allocated,2
6.4,9
assume,19
n,39
ideally,3
just,18
associate,3
practice,14
neither,2
condition,30
likely,17
meet,12
determine,4
how,37
closely,2
ideal,4
approach,2
examine,37
synonym,162
sometimes,9
two,74
transform,5
home,87
subsequent,4
overflow,185
natural,1
already,14
situation,22
modify,4
hold,80
173,1
program,13
compute,2
far,32
reason,25
algorithmically,1
than,107
quickly,10
rest,7
minimize,9
reduce,30
effect,34
remain,13
seem,1
unlikely,4
spread,2
evenly,4
over,17
equal,23
probability,27
existing,4
improve,15
while,32
statistically,1
chance,10
altogether,1
vanishingly,1
heising,1
randomize,45
4000,1
5000,1
rule,5
trial-and-error,1
basis,7
qualitative,1
party,1
game,1
participant,1
guess,2
people,3
ask,1
birthday,4
365,2
366,1
365/2,1
183,1
safety,3
few,30
twenty-three,2
experimental,3
proof,1
surprise,1
cause,26
duplication,1
surprising,1
thousands,4
10–20,1
great,21
distribute,4
among,1
x,10
define,10
n.,2
symbol,2
equation,27
1/n,2
binomial,12
expression,8
precise,3
disadvantage,6
separately,3
poisson,18
approximation,4
derivation,3
statistics,6
textbook,1
assessment,2
closeness,1
169,2
p,4
now,16
ratio,4
n/n,2
independently,2
irrespective,1
evaluate,2
setting,1
expect,34
theory,1
