item,cnt
strict,27
liability,167
rule,131
in,968
ryland,4
v.,200
fletcher,62
have,500
consider,31
the,3407
tort,150
of,2007
nuisance,40
we,45
now,36
turn,7
to,1443
a,1228
far,22
which,280
it,662
origin,6
but,250
develop,12
such,108
way,35
that,711
be,2195
quite,12
distinct,6
from,169
this,240
rylands,58
fact,60
case,164
as,318
follow,18
b,173
millowner,1
employ,7
independent,9
contractor,9
who,98
apparently,5
competent,1
construct,5
reservoir,8
on,273
he,506
land,126
provide,47
water,35
for,508
mill,6
course,28
work,18
come,15
upon,50
some,81
old,14
shaft,5
and,686
passage,2
b's,16
they,273
communicate,3
with,294
mine,12
neighbour,17
although,18
no,187
one,110
suspect,1
appear,7
fill,3
earth,1
do,186
not,475
block,4
up,30
when,41
burst,5
through,20
flood,7
a's,15
find,30
negligent,14
sue,44
house,39
lords,26
held,6
liable,106
litigation,6
originate,5
an,279
unusual,4
begin,5
action,130
negligence,68
at,143
liverpool,2
assize,1
secure,6
verdict,1
subject,15
award,6
arbitrator,1
afterwards,2
empower,3
by,460
judge,8
's,168
order,39
state,17
special,14
instead,5
make,70
so,103
before,19
court,92
exchequer,5
majority,6
decide,9
favour,7
defendant,220
chamber,5
unanimously,1
reverse,4
decision,39
hold,84
affirmed,1
judgment,25
deliver,18
blackburn,13
j.,33
become,16
classical,1
exposition,4
doctrine,10
think,15
true,23
law,176
person,152
own,43
purpose,73
bring,44
collect,12
keep,26
there,202
anything,12
likely,33
mischief,6
if,242
escape,74
must,77
peril,6
prima,10
facie,10
answerable,2
all,51
damage,174
natural,26
consequence,26
may,179
regard,39
what,46
equally,5
important,13
can,107
excuse,9
himself,22
show,24
owe,6
plaintiff,212
default,10
or,455
perhaps,13
vis,1
major,2
act,272
god,9
nothing,11
sort,5
exist,11
here,14
unnecessary,2
inquire,2
would,118
sufficient,11
general,29
above,10
seem,54
principle,36
just,8
whose,19
grass,1
corn,1
eat,2
down,10
escaping,4
cattle,16
cellar,1
invade,1
filth,3
privy,4
habitation,1
unhealthy,1
fume,3
noisome,1
vapour,1
alkali,1
damnify,2
without,50
any,161
fault,16
reasonable,14
something,10
property,57
naturally,6
harmless,1
other,100
long,10
confine,11
know,32
mischievous,4
get,19
should,65
obliged,3
good,27
ensue,2
succeed,16
could,50
accrue,3
answer,15
anticipated,1
authority,47
establish,14
whether,58
thing,38
beast,3
stench,2
upheld,1
lord,24
cairns,4
l.c.,2
rest,7
ground,20
non-natural,31
use,77
though,59
reach,7
same,32
result,27
say,48
entirely,3
concur,2
well,21
therefore,22
two,31
fairly,1
closely,2
define,6
formulation,6
more,59
flexible,1
effect,19
subsequent,4
add,4
requirement,19
development,13
play,8
insignificant,1
part,33
restriction,7
form,59
genesis,1
applicable,8
extremely,2
simple,8
clear,23
common,72
face,6
new,14
problem,9
solve,2
merely,22
apply,33
existing,9
first,24
time,38
bulk,5
hitherto,1
those,21
indulge,2
practice,9
generally,14
powerful,3
body,4
like,17
railway,13
company,24
under,102
power,17
give,68
legislation,16
harm,24
statutory,34
several,3
path,1
lead,7
solution,2
none,3
go,16
whole,5
trespass,63
really,4
fit,5
because,60
consequential,5
direct,19
finding,7
realise,1
conduct,25
affect,11
even,66
serious,8
issue,11
nor,16
basis,18
reason,33
foresee,4
injury,55
look,6
how,11
lay,11
itself,31
might,34
pontifical,1
statement,7
rather,19
than,70
proposition,6
anticipate,4
holt,2
c.j.,5
160,1
year,13
early,9
tenant,10
goldwin,1
cite,2
instance,10
relate,11
cattle-trespass,3
animal,83
limit,14
nearly,2
sweeping,1
express,8
method,5
characteristic,13
judicial,11
creation,3
behind,1
screen,1
analogy,1
draw,7
whatever,10
view,34
about,21
generation,1
starting-point,1
wide,10
precede,1
scope,11
extension,4
unsound,1
then,42
dismiss,3
convenient,3
summary,4
theory,1
underlie,1
specific,3
1868,1
raise,4
high,13
substantial,2
advance,3
1,17
direction,5
occupier,40
