item,cnt
chapter,20
8,3
polymer,474
in,926
solution,186
8.1,3
thermodynamics,3
of,1818
the,3799
interaction,55
long,45
chain,327
molecule,104
with,241
liquid,56
be,2340
considerable,12
interest,5
from,278
both,55
a,1307
practical,10
and,1109
theoretical,12
viewpoint,2
for,397
linear,37
branched,3
can,434
usually,26
find,24
which,279
will,140
dissolve,15
completely,11
to,985
form,109
homogeneous,7
whereas,18
cross-linked,1
network,9
only,51
swell,3
when,156
contact,23
compatible,4
this,400
we,52
shall,4
deal,11
or,160
treat,9
swelling,3
14,2
an,193
amorphous,48
mix,21
suitable,8
solvent,162
it,214
disperse,1
behave,13
as,399
though,3
too,17
good,25
class,1
one,80
highly,18
liquid-polymer,1
expand,10
coil,34
unperturbed,12
dimension,34
proportion,2
extent,12
these,115
poor,13
fewer,2
expansion,21
perturbation,2
restrict,15
fundamental,11
thermodynamic,16
equation,113
use,148
describe,42
system,80
relate,48
gibbs,15
free,76
energy,107
function,48
g,113
enthalpy,17
h,17
entropy,50
s,36
i.e.,34
obtain,54
mixing,32
12,9
low,70
than,63
component,43
mixture,23
1,90
2,81
8.2,6
ideal,22
small,71
understand,4
behaviour,49
more,87
fully,8
knowledge,6
enthalpic,2
entropic,4
contribution,33
ΔG,6
m,112
essential,3
instructive,2
consider,36
first,39
establish,12
some,30
rule,4
concerning,1
non-ideal,10
raoult,1
's,15
law,18
useful,29
starting,2
point,52
define,37
activity,5
each,80
i,45
equal,20
mole,13
fraction,48
x,19
valid,12
comparable,2
size,63
where,145
intermolecular,12
force,46
act,13
between,90
like,19
unlike,3
latter,13
requirement,5
mean,23
that,296
species,3
interchange,4
position,23
without,10
alter,15
total,18
consequently,14
remain,14
ΔS,15
calculate,54
given,20
state,77
number,76
distinguishable,6
arrangement,13
adopt,5
boltzmann,6
w,20
statistical,3
microstate,1
available,27
begin,12
by,410
n,49
assume,39
take,59
place,57
on,184
hypothetical,7
lattice,41
contain,25
cell,41
although,17
formalism,2
not,83
strictly,3
necessary,12
analysis,16
spherical,6
near,7
neighbour,8
approximation,12
similar,22
regular,21
structure,41
so,55
framework,3
process,59
possible,28
way,42
arrange,6
increase,83
but,140
interchanging,1
another,17
indistinguishable,1
net,4
configurational,8
combinatorial,7
c,59
then,112
derive,21
large,67
value,94
stirling,2
factorial,3
viz.,3
8.3,4
become,43
divide,7
o,39
give,56
if,153
pure,20
change,107
write,9
two,76
expression,18
volume,127
b,34
all,55
have,184
same,36
d,25
motion,71
about,55
they,76
equilibrium,27
unchanged,3
thus,46
show,97
entropically,3
drive,7
spontaneous,2
any,45
deviation,14
assumption,9
constitute,1
ideality,5
rare,1
occurrence,3
several,23
realistic,3
type,24
identify,12
athermal,3
ii,12
iii,11
irregular,2
ΔH,15
deviate,1
tend,20
fall,6
into,58
category,6
attribute,4
existence,4
finite,4
heat,22
also,72
difference,34
regard,10
series,31
segment,52
covalently,4
bond,42
together,12
effect,53
connectivity,4
lead,29
assess,4
associate,13
different,28
demonstrate,7
differ,9
embody,6
theory,46
develop,7
flory,13
huggins,4
still,12
represent,40
there,42
other,57
non-combinatorial,5
come,4
much,24
hard,6
quantify,1
nevertheless,1
flory-huggins,9
cornerstone,1
worth,1
further/far,10
8.4,3
dissolution,3
stage,7
exist,18
initially,10
solid,12
many,19
conformation,24
isolated,6
pass,17
achieve,19
relative,18
freedom,9
now,57
rapidly,12
among,6
multitude,1
equi-energetic,2
dictate,2
partly,3
flexibility,16
formation,27
depend,37
transfer,5
perfectly,7
order,16
disorder,2
allow,56
randomly,8
flexible,12
convenience,2
following,11
method,63
outline,8
section,27
including,3
restriction,11
consist,9
r,44
whose,15
v,45
molar,93
add,15
impose,13
must,41
occupy,15
