item,cnt
article,2
immunogenicity,4
of,1739
a,809
supplemental,9
dose,80
oral,15
versus,7
inactivated,2
poliovirus,28
vaccine,30
in,1212
many,40
developing,12
country,26
the,2209
three,31
live,7
attenuate,2
opv,55
be,1796
low,40
than,115
that,416
industrialised,3
we,134
evaluate,5
serum,28
neutralise,6
antibody,47
response,62
368,1
child,72
aged,7
6,24
month,49
and,1422
346,1
9,12
Coôte,3
d'ivoire,3
who,122
have,453
previously,10
receive,58
at,218
2,83
3,57
4,31
age,51
then,28
randomise,10
to,876
or,247
enhanced-potency,2
ipv,47
time,48
measles,9
vaccination,38
although,66
both,50
increased,35
seroconversion,11
all,88
type,83
great,34
group,148
among,52
with,569
no,119
detectable,10
baseline,20
14,8
more,96
likely,23
induce,11
1,79
80%,5
vs,26
40%,4
p,60
<,31
0.001,13
81%,1
14%,2
76%,4
22%,2
67%,4
5%,3
1.4,1
7,15
elicit,2
4-fold,6
rise,19
titre,21
0.01,8
geometric,2
mean,44
gmts,12
also,91
consistently,5
high,71
recipient,16
when,56
measure,25
4–6,12
week,72
13–17,11
after,108
administration,15
which,89
require,18
additional,19
visit,15
change,60
existing,9
immunisation,6
schedule,7
might,31
improve,11
protection,3
against,20
paralytic,4
poliomyelitis,10
community,10
suboptimum,1
rate,71
introduction,8
widespread,2
use,137
trivalent,1
almost,7
eliminate,7
from,204
however,51
's,88
effectiveness,2
particularly,11
often,28
expected,4
there,102
outbreak,8
despite,19
uptake,3
suggest,41
strategy,17
rely,3
exclusively,3
on,213
routine,18
inadequate,6
achieve,20
global,7
eradication,6
by,285
year,43
2000,4
biannual,1
national,13
day,58
house-to-house,1
vaccinate,1
high-risk,2
area,20
successful,6
wild,10
infection,50
latin,1
america,1
become,22
cornerstone,1
current,9
nevertheless,9
supplement,4
regimen,12
hasten,1
should,58
one,70
option,5
would,47
inactivate,3
neutralising,2
because,38
important,24
limitation,3
compare,46
include,32
secretory,3
absence,11
secondary,12
spread,5
susceptible,6
contact,8
alone,21
polio-endemic,1
think,10
unlikely,12
combined,8
greatly,5
reduce,22
incidence,24
israeli-occupied,2
west,4
bank,2
gaza,2
but,102
cost,16
complexity,1
this,202
preclude,2
other,81
assess,22
relative,20
do,99
randomised,18
trial,66
abidjan,3
subject,30
method,21
population,27
study,158
design,17
consist,5
6-month-old,11
9-month-old,10
childen,1
between,89
october,2
1990,10
april,10
1991,22
attend,7
large,30
primary,14
health-care,9
centre,42
for,458
poor,10
abidjan.,1
enter,4
consecutively,1
they,139
clinic,11
standard-dose,1
schwarz,1
these,102
eligible,3
if,65
37,3
43,3
record,19
indicate,20
first,41
12,8
second,25
third,12
interval,17
24,18
30,21
immunise,2
as,246
above,10
computer-generated,1
list,1
code,1
400,8
406,1
randomly,3
assign,5
edmonston-zagreb,1
result,71
report,81
elsewhere,5
parent,7
staff,11
not,199
blind,5
give,55
informed,4
consent,6
before,28
know,35
active,22
follow-up,6
home,6
last,14
known,3
address,9
approximately,3
later,15
March–April,2
1992,21
single,15
lots,1
package,3
10-dose,1
vial,1
single-dose,1
syringe,1
potency,3
each,34
an,151
independent,7
world,8
health,65
organization,3
collaborate,1
6.52,1
5.50,1
5.93,1
log,1
50%,3
tissue,21
culture,9
infectious,4
tcid,2
5,22
respectively,16
per,24
8,17
d-antigen,1
unit,23
within,26
range,11
recommend,6
cold-chain,1
monitor,15
during,56
shipment,1
storage,5
keep,7
cold,5
room,5
limited,6
supply,7
refrigerator,1
temperature,6
twice,3
daily,12
site,13
accord,9
standard,14
procedure,9
break,2
chain,6
document,8
central,11
facility,6
discard,1
two,49
occasion,1
power,3
failure,25
several,30
hour,9
testing,10
specimen,12
collection,6
blood,40
obtain,17
venepuncture,1
13,5
17,11
sera,3
separate,6
centrifugation,1
h,34
transfer,2
another,16
container,1
label,3
unique,1
identification,3
number,40
so,38
assay,13
could,49
sample,34
store,4
-20°C,1
until,17
ship,1
dry,5
ice,2
center,1
disease,85
control,55
prevention,4
cdc,2
atlanta,1
modified,2
microneutralisation,2
80,7
100,10
virus,23
serial,2
dilution,1
1:8,1
1:1024,2
incubate,6
35.8c,1
2.5,1
7.5×10,1
hela,1
cell,80
add,14
well,42
incubation,4
35.8°C,1
microtitre,1
plate,1
stain,6
0.05%,1
crystal,1
violet,1
25%,3
ethyl,1
alcohol,3
optical,1
density,4
enzyme-linked,2
immunosorbent,2
reader,1
minimise,2
variability,4
interpretation,4
error,8
transcribe,1
run,6
triplicate,1
final,7
determine,10
spearman-karber,1
sensitivity,8
reproducibility,1
establish,9
direct,15
comparison,28
test,57
international,10
reference,26
statistical,10
analysis,42
difference,55
i,53
define,8
undetectable,2
<8,1
ii,38
seropositive,11
whom,13
reliably,1
neutralisation,1
upper,2
limit,8
ie,11
8–256,1
iii,4
type-specific,2
total,15
seroconvert,3
overall,24
seroprevalence,14
extrapolate,1
164,2
participant,3
locate,5
proportion,17
serological,6
state,23
subgroup,12
chi-squared,1
fisher,4
exact,4
student,3
t,16
kruskal-wallis,1
detect,19
significant,40
95%,11
confidence,3
ci,11
calculate,6
logit,1
scale,15
convert,1
original,1
normal,50
approximation,1
806,1
enrol,2
714,3
88.6%,1
23%,2
entry,4
into,30
75%,6
84%,1
92%,3
62%,3
table,29
find,52
similar,27
demographic,6
characteristic,6
data,60
show,96
paralysis,2
serious,9
adverse,8
event,14
fig,27
illustrate,7
effect,75
immune,8
whole,5
pre,2
post,3
increase,85
significantly,25
even,35
adjustment,1
minor,6
73%,1
94%,2
21%,4
93%,2
100%,9
7%,2
89%,2
',20
85%,3
9%,3
91%,5
4%,6
57%,1
65%,2
8%,1
97%,1
12%,3
16%,2
83%,2
2%,2
3%,2
small,27
those,53
equivalent,7
estimated,3
projected,5
remain,32
tend,6
few,15
statistically,5
estimate,9
96%,2
99%,2
p=ns,2
90%,5
extent,6
may,137
contribute,9
rapid,9
uncertain,4
since,42
clinical,50
virological,1
surveillance,10
stable,7
2.4-fold,1
reduction,28
see,41
seronegative,5
301,1
42.2%,1
only,66
53%,2
most,63
sufficient,2
selected,4
iv,1
256,1
take,54
post-vaccination,2
discussion,7
production,9
associate,30
large-scale,6
efficacy,19
case-control,2
cohort,2
conduct,3
correlate,10
reason,17
variable,11
unsatisfactory,1
concern,12
especially,10
tropical,1
where,28
endemic,1
percentage,8
present,23
increasing,7
evidence,43
10,16
leave,7
association,14
importance,6
eventual,1
administer,7
serotype,1
much,21
newborn,3
infant,25
20%,4
43%,5
maturation,3
system,32
priming,1
previous,19
interference,2
maternal,2
old,12
fourth,7
contrast,15
somewhat,2
booster,1
early,43
due,32
subpotency,1
non-polio,1
enteroviruse,1
enteric,4
pathogen,3
interfere,3
substantial,9
finding,24
delayed,7
peak,9
concentration,23
usually,15
attain,1
2–4,1
besides,1
exposure,9
explanation,9
seropositivity,2
period,14
hypothesis,7
support,23
beginning,2
natural,3
poliomyelitis-free,1
brisk,1
prime,2
antigen,12
parenterally,1
form,14
begin,14
decline,7
initially,2
persist,4
throughout,6
maximum,7
risk,67
occur,36
18,5
question,12
whether,19
subsequent,11
circulation,6
territory,1
follow,14
five,9
life,38
addition,24
sabin,1
observe,12
develop,12
challenge,8
excretion,3
