item,cnt
decide,32
what,265
to,1259
write,193
about,173
and,928
get,33
start,29
1.1,2
the,2409
purpose,22
of,1670
essay,319
as,441
prescribed,6
coursework,6
in,1111
literary,82
study,66
generally,40
require,8
you,1615
carry,14
out,75
two,72
related,11
task,7
first,82
they,242
invite,9
show,43
that,436
be,1860
familiar,9
with,285
basic,23
raw,3
material,51
which,414
make,181
up,52
subject,53
whether,25
this,394
a,1213
work,131
series,11
works,33
theory,15
historical,23
context,17
an,316
author,54
or,553
critic,9
have,416
say,76
something,61
secondly,2
can,293
manipulate,3
argue,27
case,79
way,108
consistent,10
established,11
framework,2
literary-critical,3
debate,16
many,47
student,14
',16
demonstrate,8
writer,84
know,53
relevant,24
however,41
do,216
not,288
knowledge,12
within,14
coherent,7
developing,5
argument,117
such,103
usually,30
judge,5
lack,5
necessary,16
dimension,3
for,357
achieve,12
high,6
mark,10
so,168
second,28
essay-writing,15
important,42
but,167
mean,51
much,23
book,112
devoted,1
detail,21
notion,5
will,151
recur,1
chapter,58
follow,36
here,47
we,221
need,95
only,58
establish,17
rough,7
preliminary,4
guide,8
involve,44
following,46
four,6
stage,12
identify,23
problem,63
issue,39
given,20
area,19
competing,3
point,81
view,35
associate,4
present,63
evidence,14
support,7
against,11
various,16
position,15
might,72
take,51
regard,4
reach,3
conclusion,27
it,559
fundamental,2
skill,8
problem-identification,1
analysis,36
perceive,1
by,240
examiner,9
potential,2
employer,1
main,35
achievement,10
persuasive,3
analytic,1
develop,24
apply,6
during,6
course,28
additional,5
value,10
potentially,3
transferable,1
other,145
circumstance,10
alongside,4
development,21
these,98
matter,27
offer,19
benefit,6
because,80
concerned,12
question,155
meaning,39
social,21
behaviour,1
structure,42
cultural,4
direct,13
towards,20
wide,4
range,14
example,175
writing,66
also,92
great,17
awareness,4
moral,3
underlie,1
technique,15
through,32
persuasion,2
once,17
tackle,3
clear,31
more,122
specific,33
face,7
answer,61
exam,26
devise,5
topic,63
begin,27
fall,4
into,79
place,35
large,16
objective,4
slightly,12
how,136
achievable,1
term,67
array,1
possible,57
define,12
yourself,40
1.2,2
sort,25
choose,41
most,53
when,86
largely,5
even,56
where,64
set,15
choice,22
between,108
alternative,18
pick,9
particular,64
exactly,14
ask,33
fit,13
genre,25
idiom,10
convention,41
discipline,1
general,69
challenge,4
if,167
wish,16
accordingly,11
look,76
at,140
different,103
type,38
consider,66
variety,6
focus,42
give,54
mode,32
adopt,22
literature,22
always,19
e.g.,42
on,245
novel,60
angela,1
carter,1
role,7
fool,1
character,24
drama,11
origin,4
free,1
verse,4
use,283
stylistic,7
contrast,10
comparison,18
contextualisation,1
then,52
kind,39
gain,8
sense,33
element,20
combine,13
together,37
i,70
life,8
edgar,1
allen,1
poe,1
woman,24
romantic,2
poet,6
ii,3
text,162
coleridge,5
's,165
kubla,1
khan,1
ralph,5
ellison,5
invisible,6
man,15
poem,57
sylvia,1
plath.,1
iii,3
generic,5
grouping,1
sonnet,13
eighteenth-century,7
pastoral,1
poetry,20
kitchen-sink,4
iv,1
relate,24
selected,4
group,31
specifically,5
nineteenth-century,6
idea,80
beauty,1
theatre,2
immediately,8
before,29
english,54
civil,1
war,4
representation,7
industrial,2
early,15
twentieth-century,8
v,4
theoretical,4
post-structuralist,2
approach,14
lyric,1
mental,3
process,24
involved,2
construe,1
metaphor,14
why,29
manipulation,2
point-of-view,1
narrative,23
now,36
new,37
interesting,20
from,152
revalue,1
reputation,1
assess,12
relative,3
extended,3
josephine,2
tey,3
major,10
scottish,4
she,48
neglect,3
detective,5
fiction,9
b,24
analyse,12
style,56
comment,23
aspect,25
language,50
shakespeare,23
end,39
comma,33
printed,9
edition,41
part,69
including,17
c,18
produce,25
read,81
dissertation,20
relation,16
spread,1
tourism,1
countryside,2
eighteenth,3
century,14
exemplify,2
wordsworth,1
lyrical,5
ballad,2
publish,19
near,2
d,14
aesthetic,2
tradition,7
emergence,1
form,54
thesis,7
robert,1
louis,1
stevenson,1
should,132
understand,38
modernism,2
rather,62
than,92
late,13
realism,4
e,7
describe,47
interpret,9
reinterpret,1
could,56
event,16
description,28
happen,8
apparently,6
realistic,4
level,8
symbolic,4
and/or,3
interpretation,11
include,21
some,114
activity,2
exercise,19
call,31
practical,2
criticism,18
entail,1
prose,8
passage,57
alasdair,1
gray,1
lanark,1
state,10
contemporary,11
scotland,3
f,5
side,10
ongoing,1
critical,44
differing,2
viewpoint,4
summarise,5
controversy,3
conclude,5
one,145
another,42
since,24
surround,3
virtually,1
any,49
movement,11
along,6
line,21
investigate,6
made-up,1
word,160
resemble,6
slip,3
tongue,1
joyce,3
finnegans,1
wake,1
compare,26
experimental,2
psychological,3
undermine,4
validity,2
g,3
classificatory,6
system,27
order,27
reflect,6
back,13
suitable,13
effective,3
descriptive,5
linguistic,4
conversational,5
help,31
conrad,4
control,6
each,53
interact,1
speech,8
simple,15
combination,9
outline,21
above,35
would,55
underrate,1
indicate,37
see,110
evaluation,5
while,26
single,19
draw,17
perspective,5
primary,6
organise,27
around,15
base,15
otherwise,2
may,89
obscure,3
fail,5
distinguish,9
overall,16
direction,9
suffer,2
address,14
damage,2
appear,14
opposite,3
actually,13
result,23
same,29
try,45
solve,8
respond,7
own,67
select,10
list,50
constrain,1
useful,43
bear,14
mind,21
find,81
appropriate,25
aim,10
section,49
strategy,6
sure,14
directed,1
examination,13
themselves,7
worth,11
learn,17
often,52
hide,5
inside,5
commonly,5
accord,9
thing,27
partly,10
sentence,173
someone,19
else,23
paragraph,82
all,82
possibility,15
classification,11
meantime,2
note,62
feature,16
discuss,46
reasoned,2
presentation,8
proposition,6
no,38
qualified,1
tentative,1
like,50
explain,34
justify,13
attention,11
causation,7
reference,33
less,18
concrete,5
illustration,8
quotation,57
paraphrase,27
episode,1
incident,2
summary,28
perform,3
response,21
evaluate,4
lead,12
1,24
2,18
match,4
balance,4
1.4,1
helpful,17
recurrent,1
instruction,5
etc.,21
contemplate,2
link,24
closely,10
whole,24
illustrate,12
recent,6
university,14
london,12
paper,7
exam-room,1
there,107
several,10
category,2
form/style,1
attempt,5
narrator,1
diction,1
rhythm,1
rhyme,15
