item,cnt
chapter,17
six,12
coexistence,8
and,1416
coevolution,1
at,169
it,338
simple,4
the,2990
relationship,21
between,62
animal,89
plant,235
with,413
exception,4
of,1992
carnivorous,3
which,212
be,2093
not,179
restrict,14
to,833
tropics,35
one,149
eater,5
edible,12
we,17
have,497
see,38
how,15
cycle,13
often,32
associate,46
activity,13
affect,14
gap,15
formation,7
mortality,10
now,39
time,98
examine,21
in,1569
more,129
detail,3
intricate,1
begin,10
predation,22
by,404
or,219
herbivory,17
extent,6
resistance,7
then,52
interaction,9
that,453
clearly,6
advantage,9
namely,2
dispersal,68
propagule,3
i.e.,16
genetic,5
material,23
diploid,1
level,51
pollination,43
flower,103
haploid,2
both,43
would,55
appear,28
evolve,11
from,269
6.1,2
some,210
earliest,2
know,45
fossil,6
vascular,1
those,77
rhynie,1
chert,1
devonian,1
370m,1
year,120
ago,18
show,38
damage,26
might,12
attributable,1
biting,1
arthropod,3
cockroach,2
dragonfly,1
upper,5
carboniferous,4
300,5
m,21
same,30
as,437
giant,1
clubmoss,1
fern,10
seed,183
beetle,18
permian,2
fly,11
wasps,6
end,9
jurassic,1
early,29
cretaceous,3
when,57
angiosperm,6
diverge,1
they,378
seed-fern,1
ancestor,9
accord,3
southwood,1
phytophagy,2
arise,7
saprophagy,1
consumption,6
decaying,5
least,34
dying,1
feed,32
on,253
fallen,5
including,27
spore,9
pollen,44
grain,8
lead,51
live,26
strobili,1
themselves,9
a,620
route,4
follow,10
extinct,9
insect,66
order,5
dictyoneurida,1
diaphanopterida,1
herbivorous,3
vertebrate,9
late,10
pelycosaur,1
edaphosaurus,1
other,193
herbivore,20
large,94
24m,1
length,1
suggest,33
size,30
an,95
adaptation,3
low-energy,2
food,66
small,72
generally,16
hold,12
there,239
70,4
million,36
origin,10
land,31
any,43
significant,7
either,5
invertebrate,9
compare,27
tissue,6
low,52
fat,5
protein,22
this,168
build,8
quite,6
differently,2
while,94
cellulose,1
almost,27
universal,2
phenolic,9
toughening,1
compound,17
lignin,2
find,91
all,78
woody,7
mechanical,8
pre-requisite,1
for,317
erect,3
growth,20
thus,35
tree,213
forest,315
effective,8
deterrent,6
tannin,22
another,30
derivative,1
common,14
outer,5
part,40
instrumental,1
inactivation,1
proteolytic,2
enzyme,4
inedibility,1
apparently,25
fungus,22
great,49
coal,2
measure,6
fuel,8
industrial,2
revolution,2
thence,2
technology,2
destruction,1
',16
successor,1
indeed,25
problem,21
digestion,4
rise,9
organism,12
kingdom,2
response,5
these,120
unused,2
resource,21
bacterium,10
well,64
perhaps,45
association,5
rumen,1
mycorrhiza,1
allow,15
only,101
efficient,5
re-cycling,1
nutrient,35
enhance,10
but,215
also,91
opening,2
pandora,1
's,20
box,1
term,30
exploitation,5
because,42
symbiotic,1
requirement,6
such,192
within,29
table,1
addition,4
concerning,1
particular,31
folivore,1
leaf-eater,1
may,183
satisfy,4
sodium,1
consume,8
soil,50
water,22
like,39
litter-feeding,1
amazonia,33
need,11
30–40,1
energy,5
litter,8
phosphorus,22
fact,11
eat,51
dead,4
today,17
crown,5
mature,21
lowland,14
rain,43
geographically,4
distinct,7
region,34
new,55
old,25
world,49
13.8–14.6%,1
loss,18
leafy,2
branch,5
consistently,2
less,60
epiphyte,14
ghana,3
rapid,9
flush,1
leaf,75
severely,1
attack,26
than,108
slow,4
production,23
long-term,2
observation,4
australian,3
use,72
labelled,1
shoot,7
contrast,18
usual,2
technique,3
occasion,1
give,14
much,46
high,76
particularly,21
temperate,32
since,12
measuring,1
do,62
account,19
totally,1
3,16
month,11
study,31
similar,33
trend,5
tropical,92
where,80
up,93
21%,2
record,12
closeness,3
conspecific,3
can,98
increase,40
rate,32
many,104
example,81
7,6
increased,7
seedling,17
mother,12
exclusively,5
phenomenon,6
chinese,3
elm,2
ulmus,1
parvifolia,3
under,43
canopy,24
albuquerque,1
mexico,8
suffer,11
580,1
pyrrhalta,1
luteola,1
beyond,4
due,24
phloem,2
feeder,5
substantial,3
miner,1
rasper,1
root,19
e.g.,45
larva,17
nematode,3
stem-miner,1
gall-former,1
allocation,1
pattern,27
over-ridden,2
moreover,12
just,16
bark,19
feeding,8
widespread,10
among,12
mammal,34
orangutan,1
elephant,11
rhinoceros,7
squirrel,9
besides,14
stomach,4
content,17
sundasciurus,1
lowii,1
siberut,1
island,48
west,22
sumatra,4
contain,18
average,5
4%,3
90%,6
represent,29
strip,6
merely,9
remove,30
flake,1
smooth-barked,1
hydrolysable,2
concentration,9
carbohydrate,5
calorific,1
value,4
different,72
species,390
seem,65
no,46
bearing,1
choice,2
non-flowering,1
argue,31
associated,6
fauna,17
though,98
long,31
bracken,1
number,50
costa,29
rica,28
three,36
genus,39
carry,17
rich,8
hyphae,2
body,15
wide,38
range,63
fleshy,10
soon,2
become,38
infested,1
maggot,1
snail,1
rasp,1
lie,1
egg,7
carrion-and,1
dung,6
take,77
foul-smelling,1
slime,1
phalloid,1
tortoise,1
rat,5
pig,8
deer,1
macaque,1
probably,34
malay,19
peninsula,17
6.1.1,1
course,7
carnivory,1
regime,5
weather,4
physical,11
feature,28
group,75
survive,10
onslaught,1
evolution,6
defensive,3
chemical,9
repair,1
inevitable,3
result,18
secondary,13
thicken,3
dicotyledon,1
die,6
thin,4
produce,49
beneath,3
coalesce,1
ormosia,2
nobilis,3
leguminosae,30
palm,28
monocotyledon,2
hard,8
wood,14
outside,9
hormone,2
analogue,1
anti-herbivore,1
overcome,6
certain,32
even,50
toxin,7
own,8
defence,17
asclepiadaceae,6
synthesize,1
cardiac,1
glycoside,1
danaid,2
butterfly,15
convert,5
against,14
carnivore,6
mainly,6
bird,122
turn,16
non-toxic,1
mimic,7
concentrate,10
trichome,2
ketone,2
hair,6
tomato,3
secretion,5
termite,8
caterpillar,3
again,25
male,24
adult,11
ing,1
withered,1
apocynaceae,4
before,18
mating,5
without,15
pheromone,6
system,33
unable,3
function,3
adequately,1
ensure,4
successful,10
dihydropyrrolizidine,1
odour,3
heterocyclic,1
moiety,1
pyrrolizidine,1
alkaloid,10
rubber,9
latex,7
insecticide,3
occur,21
unrelated,3
family,41
caricaceae,1
guttiferae,3
moraceae,8
sapotaceae,3
resin,10
gum,4
avoid,16
variously,3
lycorea,1
cleobaea,1
papaya,4
make,45
hole,5
isolate,5
distal,3
section,9
flow,5
therefore,22
negligible,1
work,11
fig,32
actively,2
collect,17
case,40
gather,8
euglossine,8
bee,62
basket,2
anacardiaceae,4
burseraceae,4
nest,32
construction,2
sometimes,33
added,2
fragment,6
leaf-cutting,6
malesia,15
dipterocarp,14
chalicodoma,1
pluto,1
line,8
tunnel,3
active,6
arboreal,12
attract,23
volatile,5
way,26
heartwood,5
borer,1
distance,13
2,35
km,20
felled,1
shorea,12
robusta,1
india,15
wound,3
trunk,5
inhibit,1
reduce,25
quality,10
subsequent,2
poplar,1
synthesis,2
52,2
hour,6
true,5
sugar,14
maple,1
claim,6
undamaged,2
near,16
damaged,2
hydrolyzable,1
condensed,7
airborne,1
cue,2
attractive,13
browsed,1
acacia,3
nigrescen,1
southern,15
africa,53
report,7
place,27
few,35
minute,9
ethylene,3
during,17
consider,13
promoter,1
advantageous,1
browser,1
move,26
away,22
wounded,1
certainly,7
tiny,2
weed,8
beloved,1
geneticist,1
arabidopsis,1
thaliana,1
cruciferae,1
stimulus,1
promote,17
expression,1
touch-induced,1
tch,1
gene,4
10–30,1
messenger,1
rna,1
four,13
100-fold,1
involved,14
product,10
calmodulin,1
type,25
metabolism,2
calcium,8
ion,2
