item,cnt
deixis,70
and,144
the,382
poetic,5
persona,3
keith,1
green,1
sheffield,1
city,2
polytechnic,1
uk,1
abstract,1
this,52
article,11
examine,5
function,21
of,219
in,120
a,150
specific,14
literary,8
genre,8
lyric,19
poem,30
opening,8
section,3
an,15
attempt,5
to,129
define,2
be,255
make,10
methodology,5
for,24
analysis,14
text,11
general,6
propose,3
see,17
as,55
fundamental,3
element,50
human,4
discourse,36
particular,15
discoursal,2
site,3
isolate,3
where,10
it,63
can,25
operate,4
way,12
theoretical,2
consideration,2
such,18
relation,13
semantics,12
pragmatics,7
various,4
type,2
deictic,68
meaning,20
discuss,5
cline,4
activity,6
point,13
on,15
which,46
any,6
must,11
describe,6
possible,14
taxonomy,4
term,33
follow,4
modify,2
build,1
previous,4
by,31
linguist,1
levinson,5
1983,7
between,16
these,10
then,6
final,6
part,15
two,5
henry,4
vaughan,7
retreate,8
wordsworth,5
's,11
nutting,2
occur,12
light,3
theory,4
previously,1
keyword,1
anaphora,1
context,36
distal,9
homophora,1
indexical,14
pragmatic,8
proximal,5
symbolic,10
utterance,27
1,5
introduction,1
aim,2
i,72
intend,2
shed,1
some,12
behaviour,5
linguistic,7
phenomenon,8
kind,16
main,2
demonstrate,1
present,9
coherent,1
shall,4
issue,2
relationship,5
non-literary,4
link,7
might,9
say,9
context-dependency,1
truth-conditional,2
thesis,1
rest,1
upon,1
belief,2
that,48
if,9
different,2
poetry,12
from,19
do,14
so,11
degree,1
not,33
there,21
no,5
special,1
or,23
find,3
lyons,4
1977,2
note,6
all,2
language,7
have,31
tense,12
but,31
they,13
investigate,1
one,7
account,4
could,2
apply,1
other,6
both,6
able,1
treat,3
same,3
partly,5
through,6
3,6
2,4
what,8
encoding,1
spatio-temporal,4
subjective,2
experience,3
encoder,8
primarily,2
with,19
speech,1
event,1
whereby,2
tripartite,1
system,5
subjectivity,3
contextual,6
factor,1
foreground,1
grammatically,2
lexically,1
example,10
well-known,1
meet,1
here,11
week,1
now,4
stick,1
about,5
big,1
certain,12
word,3
context-sensitive,2
also,7
perspective,3
utterer,1
thus,7
significantly,1
grammaticalise,1
inclusion,1
notion,1
above,6
definition,4
seem,5
surprising,1
equate,1
concept,5
stand,1
rough,1
opposition,4
objectivity,1
1982,1
english,1
pejorative,1
connotation,1
simply,3
provision,1
expression,16
attitude,1
russell,1
1940,1
call,2
egocentric,6
particulars,1
because,11
centre,6
orientation,3
invariably,2
zero-point,1
origo,6
use,28
Bühler,2
1934,2
terminology,1
set,14
nature,2
relate,5
speaker,5
surrounding,1
cognitive,2
environment,2
2.1,1
most,9
important,4
aspect,5
distinguish,2
order,2
clarify,1
should,4
like,1
begin,2
distinction,3
closed,4
include,3
personal,3
demonstrative,17
pronoun,4
adverbial,1
definite,10
refer,11
vocative,1
particle,1
full,3
5,2
syntactic,2
semantic,2
deictically,5
instance,3
verb,8
normally,1
themselves,1
except,2
those,12
fillmore,1
1971,1
notably,3
come,7
go,3
encode,11
movement,2
towards,1
generally,2
however,7
sentence,7
sun,5
shine,2
brightly,2
sense,1
nevertheless,2
entity,2
reference,15
number,4
necessary,1
time,22
likely,5
restrict,2
rather,5
progressive,1
form,3
would,4
more,9
occurrence,6
immediate,2
moment,1
morning,1
while,4
look,2
out,2
window,1
sky,3
blue,3
mean,2
statement,1
proposition,4
state,5
affair,1
generically,1
therefore,1
inasmuch,2
temporal,4
respect,2
we,40
notice,1
too,3
contextually,1
ambiguous,1
homophorically,1
at,11
place,7
repeat,1
powerful,2
base,3
non-deictically,1
anaphorically,1
non-demonstrative,1
despite,2
lack,2
vital,1
understanding,1
why,1
investigation,1
relevant,2
far,11
determine,5
central,2
question,1
whether,3
study,1
belong,1
domain,1
complex,2
clearly,3
accessible,1
purely,1
substantial,1
chapter,1
still,2
thorough,1
',20
volume,1
truth,1
condition,4
without,2
take,7
become,3
context-conditional,1
boundary,2
very,2
blurred,1
barwise,1
perry,1
formulation,1
situation,17
show,1
promising,1
move,3
contextualise,1
core,1
only,8
virtue,2
problem,4
itself,3
fore,1
4,3
three,3
something,3
wide,1
than,2
co-text,1
implication,1
extralinguistic,4
potential,1
early,15
knowledge,2
will,3
enable,7
decoder,2
interpret,3
either,1
generic,3
feature,4
suggest,9
reject,4
fuse,1
vast,1
range,3
communication,1
within,13
canonical,6
i.e.,1
face-to-face,2
s,1
f,1
c,1
transform,1
into,8
u,1
again,1
express,3
field,1
reciprocity,2
reciprocal,1
proceed,3
4.1,1
just,1
line,17
fuzzy,1
gloss,1
person,2
write,1
you,1
addressee/participant,1
wish,2
relatively,1
uncontroversial,1
although,6
realise,3
great,2
philosophical,1
involved,2
description,2
instance.3,1
exist,5
when,8
ascribe,2
referent,9
possibility,7
accommodate,3
view,2
outline,1
item,3
room,1
distance,2
actual,1
mental,1
coincidence,1
know,6
object,3
unlikely,1
manifestation,2
course,1
many,1
existing,1
clear,3
least,1
assist,2
prose,1
fiction,1
dialogic,1
shift,4
character,2
verify,1
intra-textually,1
pronominal,1
give,7
cataphoric,1
want,2
try,2
away,3
non-,1
regard,3
context-specific,1
situation-free,1
well,2
situation-bound,1
atomic,1
may,3
minimal,1
contain,1
sperber,3
wilson,3
1986,3
universe,4
interpretation,3
idea,1
pseudo-deixis,1
critic,1
culler,1
1974,1
frame,5
paradoxically,1
metacontextual,2
work,6
per,3
se,3
govern,1
sense-making,1
operation,2
danger,2
historical,2
sui,1
generis,1
absolute,1
assumption,2
consequence,1
match,1
up,5
6,1
category,6
so-called,1
traditional,2
social,1
new,2
classification,2
advantage,1
highlight,1
prominence,1
major,1
always,4
remember,2
every,1
depend,2
under,1
explanation,1
necessarily,2
brief,1
stage,3
7,1
procedure,2
before,2
along,2
draw,1
rauh,4
pole,1
non-egocentric,2
accompany,1
gesture,1
lead,2
oddly,1
pure,1
often,5
visible,1
being,1
immediately,3
audible,1
quality,2
assignment,2
first,5
related,2
accord,1
aid,1
replace,1
finger,1
whose,2
mobilisation,2
strongly,1
second,5
exclude,2
situational,1
imagine,1
throughout,1
written,1
create,2
space,2
indexically,1
means,1
unusual,1
finally,2
reflect,2
he,8
operating,2
relational,1
annul,1
relatum,2
prepositional,2
phrase,4
car,4
np,2
remove,1
true,1
consider,1
preposition,1
non-deictic,2
internal,2
residue,1
assume,5
shared,4
spatial,2
8,1
discern,1
small,1
already,3
choose,1
roger,1
sell,1
unstable,1
1987,1
interesting,1
poet,3
idiosyncratic,1
usage,1
once,1
fascinating,1
warning,1
against,1
unwary,1
generalisation,1
relative,2
proximity,1
plural,1
differ,1
initial,5
clause,5
happy,2
day,1
plunge,1
middle,1
much,1
ambiguity,2
read,4
i/shin,1
d,7
separate,3
post-modifier,1
daye,9
exclamation,2
mark,1
low,1
case,1
w,1
complete,1
impact,1
information,5
after,1
lessen,1
force,1
attention,1
presupposed,1
seemingly,1
outside,1
qualify,5
ellipted,1
past,8
copula,1
apparent,1
reading,1
notional,1
late,1
latent,2
imply,3
missing,1
get,1
picture,1
shin,2
'shin,4
control,1
happen,1
retrospectively,1
simple,1
direct,2
obviously,1
title,1
precise,1
enough,1
assign,1
proper,1
who,2
specify,2
co-ordinate,2
audience,2
etc.,1
alter,3
how,1
organise,1
structure,1
constantly,1
help,2
sort,1
reconstructed,1
mobilise,3
embody,1
expectation,1
world,2
further/far,1
engage,1
interaction,2
action,1
later,1
cultural,1
qualification,2
miss,2
orientate,1
focus,1
functioning,2
supplement,1
recur,1
appoint,1
race,1
amount,1
reader,8
naturally,1
thing,1
latter,2
though,1
tend,1
homophoric,2
anaphoric,1
straightforward,1
ancient,1
track,1
22,1
plaine,1
23,2
journey,1
24,1
25,2
closely,1
syntactically,2
cite,1
subsequent,2
fact,1
redundant,1
shady,1
palme,1
tree,1
conventionally,1
metaphorically,1
displace,1
dual,1
processing,3
effort,3
addressee,1
hand,3
somewhere,1
merely,2
crude,1
emphasis,1
extra,1
access,1
dust,1
reiterate,1
backward,1
bring,1
climax,1
huddle,1
return,2
semantically,1
opposed,1
progress,1
less,1
introduce,2
evident,1
backward-looking,1
continually,1
stress,2
construct,2
dense,1
represent,2
null,1
certainly,1
comprise,1
following,1
post-modified,1
q.,1
lower-case,1
q,1
expression{,1
ref,1
embed,2
qualifying,2
eight,1
fourth,2
indicate,1
8.1,1
comment,1
encourage,1
process,2
black,1
art,1
17,1
th,1
inlightned,1
spirit,1
urn,1
31,1
unmarked,1
continual,1
content,6
code,2
close,2
coding,4
9,1
relevance,5
voice,2
backwards,1
direction,1
reach,2
governing,1
receive,1
need,2
extent,1
analogy,1
pertinent,1
presuppose,1
utter,1
recognisable,1
post-renaissance,1
expect,1
scene,4
dramatise,1
feeling,1
frequently,1
couch,1
highly,1
formalise,1
conventional,1
affect,1
delimit,1
9.1,1
nut,1
long,1
quote,1
entirety,1
provide,1
suitable,1
contrast,1
incident,1
recall,1
bulk,1
modality,1
combine,1
compound,1
construction,3
die,1
possessive,2
cottage,1
door,1
ours,1
familiar,1
participant,1
frugal,1
dame,1
ease,1
hard,1
distant,1
wood,2
surroundings,1
pathless,1
rock,1
figure,1
intimate,1
implied,1
virgin,3
beauty,1
momentarily,1
cease,1
relaxed,1
push,1
hazel,1
replicate,1
synchronicity,1
omission,1
immediacy,1
10,1
conclusion,1
leave,1
open,1
insight,3
useful,1
stylistic,2
individual,1
lever,1
primary,1
purpose,1
gain,1
mindful,1
seek,1
overview,1
display,1
largely,1
hold,1
together,1
around,1
surprised,1
ordinary,1
design,1
capability,1
beyond,1
free,1
interrelationship,1
