item,cnt
detective,153
chief,462
the,172282
restaurant,160
inspector,146
chapter,555
john,1140
mcleish,304
gaze,181
one,16380
mark,1090
tom,251
pick,829
doubtfully,15
we,23149
o'neill,23
be,157896
up,10507
another,2640
dock,60
at,19787
come,7911
pack,264
evil,100
prologue,3
car,1883
saturday,624
friday,413
through,2955
from,14337
twelve,439
post-impressionism,1
evening,602
1937,7
plate,343
16,254
it,60785
september,249
to,86613
royal,444
book,1418
midday,29
no,15715
5,328
long,2766
tuesday,257
before,3506
3,578
joe,325
academy,16
very,4753
news,480
always,2044
first,4323
15,290
20,406
a,81379
revolving,6
when,9043
london,1058
of,89334
that,49282
door,1589
road,1275
orange/red,1
on,28471
stupid,201
he,57034
moment,1117
plant,860
deserted,21
fully,237
memory,293
after,4542
art,576
have,61577
monday,372
eight,1172
word,1510
and,86313
19,132
blast,107
once,1432
harry,144
july,151
day,3533
free,697
boatyard,13
home,2729
1965,40
drive,872
stand,1465
think,9692
helen,497
liamuiga,6
icy,13
1980,203
air,583
1619,3
she,33430
magpie,16
cia,14
sign,715
return,1036
hear,1749
same,2369
office,1054
swim,179
platform,78
hq,13
friend,872
step,750
knotted,7
sort,1989
deceitful,2
nothing,1721
tentacle,17
',1610
in,64354
i,65669
window,803
c.e.,2
langley,28
side,1693
out,9613
try,2526
hungry,97
heat,208
by,16795
explain,681
sorge,21
good,6030
m1,7
sense,751
other,6574
more,7681
past,1144
largely,218
eastern,92
meaningless,26
never,2544
well,11849
eating,35
west,627
elegant,70
there,17227
giles,155
now,7581
into,5963
house,2565
corner,424
carnaby,36
vicarage,8
suburb,46
dalgliesh,91
amorphous,53
handwriting,16
sycorax,104
ruth,624
diffuse,25
realize,275
alexander,122
make,7457
woolly,12
chateau,15
wedderburn,9
as,23539
claudia,183
january,172
catch,737
apply,497
buzz,198
22nd,6
bleakly,5
small,1787
's,16712
afraid,237
could,7607
self-contemptuous,1
blanket,64
commuter,8
north,531
time,6983
case,2538
see,9382
charter,119
love,1324
buckinghamshire,8
almost,1110
business,1215
turn,2288
town,668
everyone,465
what,15905
oppressive,22
actually,1189
twenty-one,23
off,3779
warmth,72
not,44956
whirlwind,4
mile,474
difference,914
heightened,6
vague,47
low,978
something,3106
motorway,54
idea,1073
condition,758
three,4072
say,18795
season,580
knowledge,513
outside,862
persist,73
so,12159
gradually,85
happen,1343
particularly,697
they,37048
peremptory,1
russian,161
work,4355
treacherous,17
expect,1230
height,139
service,1316
station,474
however,1749
might,3047
although,1213
but,20791
anywhere,184
enter,361
do,35916
grow,628
walk,1275
need,3721
letterman,74
shiver,64
two,7959
like,9445
vast,119
six,1845
majority,298
different,1942
people,4217
anything,1478
world,1722
main,729
rather,1697
back,5159
terrace,92
cutwater,9
than,5412
sixteen,187
mean,4636
9,162
even,3326
role,480
biting,18
a.m.,26
lydsett,7
physique,13
cold,580
slowly,335
yacht,51
village,374
mrs,1144
none,365
go,15770
ambiguity,29
peterson,23
over,5012
wisewoman,2
nowak,5
overflowing,3
here,4475
either,958
straight,514
narrow,190
about,8859
bridge,202
precisely,129
much,3579
right,6379
alike,42
for,30795
span,43
witch,30
both,2429
morning,1149
cholesterol,3
room,1454
table,1144
you,50565
stare,398
fast,421
summer,390
thick,221
iii,130
canteen,24
where,5330
flowing,13
take,7265
define,376
or,12781
stream,134
miraculous,11
swerve,11
which,11648
know,13225
stem,93
new,3724
stuff,537
gate,190
only,6057
european,615
then,9019
scotland,290
shoulder,375
mood,155
foyer,13
empty,314
river,357
yard,260
space,535
accept,581
ouse,3
kind,1124
seem,2455
put,4406
sit,1700
proprietor,24
shadow,123
who,7839
coastal,30
notice,593
provide,1308
guard,171
intellectual,105
with,23944
burning,63
such,3487
jackstand,1
find,3993
early,1649
british,1172
admirable,10
late,1133
chic,15
power,947
apron,16
massive,178
afternoon,450
way,4541
flock,63
useful,396
an,11549
promptness,3
sun,306
sleep,535
regularly,104
colouring,16
would,12266
except,415
soon,763
animal,686
attribute,151
coot,1
perhaps,1312
thank,806
imply,207
just,8049
tell,4056
water,1237
fly,358
cosmopolitan,14
god,975
little,3117
herself,767
story,633
insurance,284
thing,3930
underground,39
winter,205
building,640
while,2089
distinguished,34
public,938
car-park,8
savagely,9
centrally,13
month,1481
supernatural,11
why,3148
hair,616
these,4613
man,4356
show,2748
also,3763
artist,169
couple,694
ooze,15
thought,509
smoothly,24
black,1130
away,2292
macadamed,1
sheen,8
thirty-six,10
agree,602
steadily,36
track,498
whereas,232
call,2431
hour,1336
must,2909
normal,394
elinor,207
border,151
inspire,47
obediently,4
bareboat,2
duty,274
bit,2481
series,408
water-filled,2
ask,2632
husband,430
still,3149
ditch,28
pastry,31
since,1774
concealed,7
against,2071
vent,25
french,539
special,695
obviously,451
dark,516
sea,559
tomorrow,775
mother,1161
1880s,6
married,204
source,441
brown,419
mind,1525
fringed,5
waft,12
suppose,890
wavebreaker,90
matt,126
spend,773
thousand,707
cause,1133
ii,321
production,338
golden,141
runner,49
again,2809
fade,94
hitherto,24
haze,18
fall,1255
paying,5
james,348
fifties,43
sullen,12
1890s,4
sentence,588
bank,641
wong,3
every,1400
cabin,79
howe,18
reed,35
lead,1368
fill,415
jamaican,8
martin,404
grey,251
ritt,2
review,334
washington,86
complete,508
opposite,218
lumbered,1
