item,cnt
regur,1
regurgitate-arianism,1
you,204
watch,1
can,26
not,72
find,14
it,125
they,52
be,342
probably,5
look,5
out,37
or,21
something,15
the,219
key,3
well,28
hello,1
hiya,1
do,99
phone,1
call,4
make,6
international,1
longmans,1
dictionary,1
really,14
get,130
a,91
thing,14
have,78
any,4
i,170
think,21
actually,8
ask,2
oh,19
see,8
we,63
what,55
with,10
mileage,1
yeah,70
yes,10
right,41
mm,14
that,194
where,10
gon,14
na,15
ring,1
then,36
cos,16
stay,2
like,33
this,20
alright,6
sorry,4
tiggle,3
else,6
tickle,2
c,6
k.,1
g,1
very,9
flash,1
nice,5
three,58
piece,1
suite,1
for,17
take,7
lucky,1
sean,1
connery,1
on,41
there,38
mhm,2
good,7
come,20
through,7
disgusting,1
why,4
will,24
to,93
count,1
of,75
order,1
know,15
grow,1
erm,7
because,6
could,13
she,21
eye,1
woman,1
cover,1
mean,6
cut,2
so,54
give,13
five,63
around,5
darling,1
honest,1
hi,1
eric,1
nor,1
fun,1
dark,2
and,111
no,25
chance,2
he,43
in,41
than,5
yellow,3
someone,2
nothing,6
eh,13
shave,1
week,1
threaten,1
hard,10
god,2
funny,2
last,4
time,21
room,2
play,1
er,1
game,1
say,27
word,3
another,2
sound,2
if,35
loverk,1
bloverk,1
souverk,1
proper,1
large,1
imagine,1
down,24
when,19
smell,1
si,1
dave,1
jolly,1
colin,1
johnny,1
poxy,1
car,4
lunch,1
n,6
try,4
one,102
yesterday,1
would,12
road,3
sainsbury,1
's,7
might,11
mind,4
scramble,1
egg,3
toast,1
anyway,2
lovey,1
dovey,1
more,9
way,20
two,66
prefer,1
other,12
but,26
only,7
always,14
feel,2
hungry,1
point,16
diet,4
lose,2
half,7
stone,1
within,1
about,7
month,1
ha,4
work,19
special,2
plan,1
how,11
manage,1
keep,9
weight,2
off,9
bit,26
never,3
jealous,2
at,17
dig,1
pretty,4
cold,2
believe,1
aim,1
go,39
easy,5
here,12
put,7
back,15
pound,1
pardon,2
leave,2
all,32
lawn,1
horrible,1
hill,16
first,5
gear,2
power,2
need,1
push,3
behind,8
up,45
bloody,9
change,4
pay,1
four,46
hundred,14
quid,1
cor,2
hell,3
grass,1
everybody,1
buy,5
exactly,2
late,1
craze,1
course,1
bike,4
mudguard,2
bert,1
dopey,1
dick,1
ride,6
pair,2
track,1
own,1
least,2
still,7
glad,1
somebody,1
some,6
profit,1
just,28
show,3
tell,1
beat,1
andy,1
andrew,2
rough,1
similar,3
sort,7
round,9
ideal,1
bump,1
over,40
guard,1
suppose,8
run,7
ta,3
double,1
fit,2
help,1
quarter,4
an,9
hour,5
straight,7
lane,3
light,3
along,3
top,6
bad,3
night,2
far,3
old,3
long,3
trot,2
from,6
bell,3
until,3
hit,1
even,3
want,8
between,1
sport,1
job,1
man,1
comfortable,1
base,1
used,3
drive,2
leg,1
ache,2
bone,8
each,1
side,11
thumb,1
underneath,1
bottom,9
sit,7
tail,1
pelvis,2
hurt,1
bruise,1
after,2
while,1
blister,1
bruised,1
soft,1
saddle,1
problem,3
sore,1
anything,2
especially,1
crikey,1
paul,2
place,2
belmont,2
parade,2
past,4
pond,2
knackered,1
river,1
start,4
those,4
traffic,2
bus,1
slow,3
warm,2
now,20
couple,2
ready,1
set,1
struggle,1
bull,2
bend,1
drop,3
gradual,1
below,1
roundabout,4
next,5
level,4
too,3
across,1
scades,2
alton,2
high,4
