item,cnt
how,47
be,2124
it,1060
go,349
today,22
not,825
bad,23
good,149
that,685
all,157
but,230
now,103
he,650
i,1757
have,753
watch,26
video,7
most,11
of,240
the,779
day,31
you,1284
why,31
do,850
this,102
morning,18
a,719
on,225
evacuation,1
oh,524
really,111
especially,1
for,170
school,7
yes,286
know,461
mean,129
teach,2
with,109
chalk,1
and,707
talk,29
just,164
put,65
well,384
fancy,11
cos,73
there,213
er,354
only,42
half,28
an,41
hour,18
about,103
evacuee,2
german,2
evacu,1
condense,1
so,228
get,330
lot,42
information,2
like,197
draw,22
out,87
television,4
programme,1
would,138
to,470
see,135
people,46
relate,1
story,2
they,462
live,17
in,317
these,41
la,4
ca,6
slum,3
quote,2
lancashire,1
into,18
country,2
evacuated,1
think,225
absolute,3
heaven,4
mm,193
say,334
when,118
kid,12
dirty,5
head,15
louse,1
th,33
stunk,1
wa,4
terrible,20
state,1
shoe,16
fall,10
off,45
foot,9
take,73
clean,3
up,100
bloody,35
sheet,2
sort,38
yeah,518
allowance,1
from,44
government,1
right,113
new,15
clothes,1
then,128
regard,3
as,67
own,7
love,29
sa,20
wo,7
bath,5
can,147
we,362
every,15
something,45
never,47
before,21
probably,19
one,144
year,33
wait,18
house,8
bed,44
time,67
she,357
will,241
show,15
bedroom,8
two,50
sister,8
sleep,31
single,8
room,7
always,24
together,9
if,113
wake,5
night,44
someone,4
or,67
run,7
away,17
frightened,1
same,14
apply,1
other,27
way,18
stick,8
separate,2
here,44
at,136
home,30
five,27
true,7
enough,15
by,20
jiminy,1
down,38
undress,1
vest,1
knickers,1
lady,2
where,60
pyjamas,1
any,34
anybody,6
else,22
who,33
eye-opener,1
very,100
imagine,5
back,58
some,40
little,16
farm,1
nice,32
lace,2
curtain,4
open,15
field,2
paradise,1
must,24
di,7
bloke,10
anything,25
exist,1
no,360
everywhere,2
cobbled,1
street,3
yard,1
smoky,1
fo,3
lad,6
liverpool,1
evacuate,2
god,42
filthy,3
bodily,1
habit,1
fact,6
last,40
week,30
send,10
ooh,28
tha,9
million,3
old,22
blind,2
sick,3
dispatch,1
twenty,13
four,17
incredible,3
tremendous,1
achievement,1
course,22
parent,2
find,18
freedom,1
because,50
countryside,1
mother,18
father,8
dance,4
enjoy,2
ruddy,1
self,1
want,91
make,42
money,9
munition,1
big,23
income,2
come,106
feed,3
blow,4
raid,1
stop,20
quite,32
long,18
happy,4
amazing,3
aye,29
after,23
another,17
first,30
world,2
war,2
too,13
what,257
kind,1
visi,1
ye,9
educational,1
thing,52
se,8
few,16
deliberately,1
rather,2
slow,3
yo,19
usually,3
dark,5
haired,1
chap,1
re,6
bit,51
yorkshire,1
northern,1
accent,1
name,12
erm,112
james,2
place,8
deliberate,1
narrator,1
ah,29
look,102
alright,40
those,15
reduce,2
thirty,16
pound,26
fourteen,4
buy,16
presentation,1
box,3
everything,20
could,104
while,13
round,18
gordon,53
nothing,15
less,6
than,20
engagement,3
present,4
ideal,3
wine,3
glassware,1
price,5
le,2
more,33
should,45
microwave,10
carl,30
helpful,1
rackhams,3
bu,2
