item,cnt
be,3870
the,1756
heating,6
on,457
mm,412
yep,11
i,2524
think,334
jean,50
tonight,14
no,541
yeah,1558
nope,4
erm,300
have,1153
glad,2
you,2346
come,174
cos,217
this,318
as,245
far,15
can,425
get,882
well,715
it,2069
that,1318
other,78
cane,1
er,474
do,1171
say,371
put,128
right,277
next,35
time,109
take,105
a,1292
delivery,9
if,380
there,518
fucking,78
cellar,22
key,17
stop,19
outside,13
promenade,2
not,1120
lug,1
up,234
they,1031
flipping,3
stairs,2
again,40
who,75
oh,391
he,630
clean,8
light,19
out,189
alright,83
what,436
about,195
frightening,1
lie,4
why,58
all,345
because,80
bulb,1
back,115
in,774
brilliant,13
and,1492
shock,2
off,99
last,82
so,400
just,408
leave,49
inside,8
front,18
player,9
friday,34
course,36
stock,6
fill,15
open,67
at,280
eight,29
still,36
here,159
when,178
return,11
mean,584
to,906
one,254
o'clock,42
half,66
past,18
turn,16
michael,2
's,94
door,34
four,57
actually,115
spare,2
know,714
now,102
irrelevant,1
but,511
geoff,4
problem,32
with,214
transport,2
ring,14
b,5
disco,28
shout,2
scream,2
alistaire,6
sit,54
any,72
longer,1
gon,191
na,246
chip,4
frozen,1
change,33
ten,40
quid,56
worth,17
of,786
fifty,41
piece,7
could,176
we,909
from,102
night,122
very,48
little,62
eighty,11
five,75
pound,42
two,181
tenner,4
sort,178
go,349
shop,9
note,3
every,19
for,353
wait,5
till,32
hughey,15
suppose,7
anne,15
royal,3
will,414
nip,3
down,126
ken,15
family,2
work,36
party,25
thing,161
show,18
face,3
please,7
make,105
sure,22
before,48
bus,18
would,242
only,115
stand,38
first,49
hour,31
anyway,71
true,17
ab,2
number,8
offhand,1
book,28
sh,6
she,155
conference,29
tell,55
tt,11
blo,1
sportsman,2
dinner,8
charlie,9
or,220
bob,14
surely,4
rob,11
wonder,12
wander,9
roy,3
carlisle,2
kirby,2
lonsdale,1
morecambe,18
main,12
road,7
three,100
seven,47
co,14
read,5
sound,14
ah,46
name,12
barman,1
guy,24
tache,1
brother,5
young,6
hi,6
landlo,1
licensee,2
ma,12
yes,84
somebody,37
cha,8
how,94
carnarvon,1
usually,9
after,29
empty,13
machine,10
everything,48
drink,36
securicor,1
dance,34
cold,14
then,231
ta,50
cup,18
tea,7
enough,21
tee,1
run,17
home,16
some,119
eh,16
part,17
morning,16
finally,1
decide,4
bring,36
bloody,53
ant,3
week,64
big,78
talk,47
seventy,17
like,390
need,123
pils,6
never,43
today,12
deliver,2
yesterday,11
apart,3
few,41
bottle,11
barrel,13
carlsberg,2
crate,5
pa,7
day,62
thur,2
thursday,24
shelf,6
barry,31
hugh,4
anything,38
check,9
giro,2
stage,24
lad,17
hang,11
around,28
chrissie,1
chris,1
look,144
nine,35
moment,19
obviously,22
another,25
case,20
want,179
see,197
sec,2
might,50
able,26
th,79
while,12
give,82
money,44
cover,16
terri,14
whisky,2
office,23
stick,18
n,74
basically,17
