item,cnt
the,1343
two,136
company,7
concerned,3
be,3164
try,57
to,1000
record,5
spoken,1
word,13
we,437
do,1405
not,1473
want,323
you,2232
on,439
tape,19
so,283
thing,100
sort,71
of,533
dot,4
around,19
in,574
conversation,2
like,213
pre,1
antidisestablishmentarianism,1
and,810
hopefully,2
this,185
will,392
get,557
modern,2
usage,2
one,352
that,927
she,832
talk,27
about,113
people,32
have,1151
start,35
use,32
wicked,10
for,287
a,1057
normal,9
phrase,1
i,2242
mean,118
it,1671
what,511
say,217
dictionary,5
any,58
more,86
really,121
he,428
go,616
no,559
bad,26
think,330
as,111
good,136
cause,2
mandy,10
yeah,347
well,418
idea,15
anyway,21
round,59
favourite,3
sleep,40
eh,39
please,86
much,74
just,245
look,203
over,55
there,485
see,200
which,51
throw,10
up,208
who,69
gurgle,1
at,186
oh,704
uncle,20
brian,25
enough,29
grub,2
little,124
while,14
somebody,35
ginormous,1
only,72
come,243
give,67
auntie,1
pauline,5
nice,96
smile,5
lovely,23
if,185
hairline,1
pardon,30
able,13
far,15
might,50
blurred,1
shape,14
way,46
now,190
keep,41
know,257
definitely,2
mobile,1
drive,3
mad,2
music,5
but,233
er,100
would,189
mind,46
those,66
blasted,1
slightly,4
long,65
life,8
term,1
they,485
play,25
unfortunately,5
or,176
whatever,11
again,51
yes,384
short,8
concentration,1
background,1
all,220
lyric,2
course,22
last,44
half,63
hour,16
bit,127
lot,51
today,32
put,155
too,69
loud,1
why,60
baby,40
suck,10
milk,18
out,172
when,143
cow,1
love,37
o,21
k.,5
speak,13
very,81
relaxed,1
week,55
silence,2
can,352
stay,12
could,86
where,97
from,52
dear,55
middle,9
name,10
nearly,12
ready,17
five,57
minute,82
late,20
never,24
right,215
how,123
busy,17
news,2
wife,2
lay,6
bed,19
wrong,16
with,160
back,68
pain,1
allow,4
move,16
work,66
account,1
department,1
deal,3
child,16
take,83
then,202
run,10
business,4
home,39
lunchtime,2
some,143
food,14
aha,14
kind,22
pleasant,1
hungry,4
charlotte,166
anything,39
eat,32
dinner,22
buy,64
naughty,15
joelle,29
girl,78
yet,33
english,6
hate,3
video,3
voice,3
stand,17
bonk,2
listen,15
away,39
hear,28
once,18
twice,3
few,28
change,26
nappy,18
water,10
let's,40
these,57
chicken,9
yourselves,1
into,24
other,57
room,14
wake,17
kick,3
leg,16
ah,46
because,62
soon,14
shall,41
after,24
probably,58
arrive,5
till,14
virtually,2
turkey,2
steak,2
garlic,3
herb,2
miss,8
happen,12
smell,7
kiev,1
without,11
load,12
sloppy,1
butter,6
small,15
than,25
bang,3
crash,1
else,26
need,78
plate,7
make,94
tomorrow,21
night,23
eight,17
thirty,5
cos,143
an,45
early,13
erm,172
call,32
estimate,9
madame,1
off,77
jess,4
feed,10
cake,24
mm,282
colour,20
postman,20
pat,19
black,5
crayon,1
choosing,2
choose,6
walk,36
tesco,9
's,70
sit,69
pushchair,5
tell,61
truth,1
car,46
daddy,27
front,11
mhm,32
next,21
door,28
twenty,20
p,1
ride,2
shopping,3
aisle,1
mouth,8
full,15
sainsbury,3
yesterday,8
bean,3
finish,29
lovey,10
bank,6
morning,32
afternoon,13
croydon,16
exciting,3
tired,8
absolutely,8
should,53
happy,7
glad,6
poor,9
old,24
lady,12
moment,25
close,2
something,84
darling,42
manner,1
bring,17
pig,8
alright,125
stuff,20
bounce,2
same,20
time,94
shut,15
trampoline,2
mouthful,2
first,23
fault,2
swansea,1
hand,28
side,22
