item,cnt
present,1
off,17
you,546
aunt,1
and,249
it,467
be,687
er,75
like,90
a,160
little,9
baby,4
do,314
not,245
have,262
get,182
to,259
write,13
thank,12
letter,3
she,106
but,49
can,57
tell,40
that,262
lie,6
where,27
there,102
love,6
well,94
what,130
for,48
then,81
i,568
mean,17
invent,2
this,77
story,5
yourself,6
go,149
on,150
dad,24
watch,17
an,5
erm,49
walkman,2
own,4
personal,2
one,83
yeah,125
we,82
another,4
about,25
some,23
someone,3
kidnap,3
they,131
ha,8
somebody,4
find,3
out,49
rescue,2
the,269
oh,88
how,27
yo,4
listen,9
now,37
would,34
job,4
nothing,4
in,141
ear,1
la,1
leave,16
please,16
touch,3
stereo,1
let,7
of,74
really,16
anyway,13
put,73
te,1
television,3
hand,2
wash,4
help,10
dish,4
dinner,11
up,51
doctor,7
mum,16
work,18
all,54
these,14
tape,10
fill,2
see,40
market,1
research,1
people,11
speak,5
yes,74
english,1
language,1
so,77
turn,19
every,7
word,4
say,69
god,6
just,71
charming,1
gon,9
na,12
first,11
will,88
read,6
hope,6
suppose,4
want,58
hear,6
right,73
from,14
school,12
shop,7
town,1
look,45
at,41
clothes,4
when,45
suddenly,1
pull,3
back,26
changing,1
room,3
feel,7
something,17
horrible,5
press,1
against,1
head,3
talk,5
girly,1
history,1
immediately,2
know,97
man,3
daughter,2
he,81
walk,5
with,48
take,25
flat,4
which,6
quite,2
high,1
table,3
pile,2
paper,12
spell,2
d,1
u,1
g,5
h,4
t,3
e,3
r.,1
think,43
bit,23
short,1
pen,2
also,3
loaf,2
bread,3
sink,4
glass,1
eat,7
drink,1
water,2
play,7
clean,6
tooth,5
sure,4
emma,28
later,5
send,3
though,13
move,10
buy,5
no,110
lady,1
why,19
give,15
come,54
collect,2
week,8
's,16
time,42
mm,62
ready,5
away,15
should,13
quarter,2
six,52
ta,6
sorry,7
twenty,13
knife,5
fork,5
alright,36
essay,3
win,2
queen,2
could,10
thing,19
yesterday,6
mother,1
day,5
mr,4
if,29
chance,1
smile,1
home,4
wave,1
bad,7
rose,1
stir,1
gravy,4
as,22
okay,14
while,8
few,1
bean,3
microwave,1
baked,2
stand,3
hate,1
record,4
normal,1
must,14
wait,8
minute,12
until,2
mine,7
matter,10
blood,1
pressure,1
exactly,1
happen,4
excuse,1
turkey,5
oven,1
name,9
bernard,1
matthews,1
',1
roast,1
shut,10
nice,6
wish,4
never,7
hair,10
band,1
bedroom,4
tidy,3
thick,3
down,26
number,5
make,10
let's,5
quick,4
glue,2
duck,2
neighbour,2
seven,23
thirty,14
lick,1
o,6
sol,1
kissing,1
doll,1
here,31
ever,4
old,3
knock,2
since,1
linda,1
fifteen,4
taste,4
lovely,4
beautiful,2
beautings,1
martin,1
th,5
side,11
telephone,1
car,15
key,4
somewhere,6
chris,8
grab,1
cat,7
moment,4
or,20
without,2
spare,1
wee,2
puss,9
might,5
blame,2
even,6
everybody,4
le,1
lis,1
oi,1
door,7
drive,3
reverse,1
cold,12
warm,5
course,3
uniform,2
meat,5
stupid,2
salty,2
salt,2
any,14
stick,7
throat,2
cough,2
more,8
sewing,1
club,2
wednesday,2
