item,cnt
and,441
you,717
switch,7
it,1093
on,204
before,25
they,417
arrive,4
yes,372
mm,733
exactly,36
yeah,406
but,255
no,447
do,621
not,843
bother,9
i,1212
mind,20
know,307
camera,1
be,1682
video,1
anything,18
in,228
fairness,1
to,536
friend,7
larry,7
can,150
hardly,1
wart,1
all,83
oh,440
that,577
then,73
have,515
get,233
see,116
mike,13
robin,8
make,32
a,549
cake,9
necessarily,5
just,106
temperament,1
well,427
remember,64
go,192
out,81
shop,4
when,118
come,70
back,35
jill,9
of,373
there,244
nan,2
we,273
christmas,3
shopping,2
think,252
anyway,34
buy,16
one,160
those,40
m,5
packet,1
mix,3
would,171
ready,4
mixed,1
little,41
bun,2
very,79
nice,36
really,90
tribute,2
the,1008
state,3
kitchen,6
will,164
manufacturer,2
sure,24
rem,1
l,5
erm,221
carol,4
er,230
cabbage,5
revolting,1
horrible,4
terrible,4
though,33
vaguely,3
now,60
because,44
own,8
hazy,3
recollection,2
she,139
lot,53
young,13
surely,3
bit,71
than,23
mean,126
caroline,3
ken,13
look,106
at,119
chris,2
he,245
must,18
interested,4
cooking,4
fellow,3
today,9
more,47
course,41
into,26
flat,12
true,13
spend,6
quite,74
long,22
time,46
with,113
mhm,25
show,8
how,59
simple,3
dish,1
frankly,3
myself,3
ever,3
give,27
same,28
sort,29
circumstance,1
n,10
either,4
laughable,1
imagine,5
meet,3
cooked,1
dinner,1
by,31
yo,1
fair,16
candle,1
use,24
soldering,1
iron,1
or,90
blow,7
lamp,2
something,48
burnt,3
toast,3
ah,21
burn,13
way,54
like,95
admit,2
technically,2
used,20
smoke,3
speak,2
suppose,17
taste,1
agree,5
cos,46
s,12
scrape,5
some,70
off,34
over,32
if,113
char,4
certain,5
degree,2
grey,1
blackness,1
even,9
so,111
leave,13
too,45
ro,1
home,6
believe,6
from,59
an,38
electric,1
toaster,1
feel,8
sunday,2
any,32
sight,2
heron,6
flash,2
pan,1
much,47
about,88
nothing,7
honestly,4
may,19
resort,1
plastic,8
rest,4
pond,3
bloody,7
perch,2
side,25
round,35
corner,19
duck,3
flipping,2
might,33
deterrent,3
description,1
somehow,3
certainly,18
art,2
nouveau,1
gnome,1
interesting,5
comment,1
steve,4
postcard,1
bird,5
prey,2
silhouette,2
rather,14
effective,3
actually,20
read,11
what,202
business,6
could,65
work,29
working,3
only,41
as,93
lay,3
hose,1
amongst,1
flower,11
bed,5
for,134
cat,6
snake,2
still,24
prove,1
honest,10
damn,12
great,3
ours,3
across,10
lawn,3
samba,1
watch,4
warily,1
wait,6
walk,11
effect,4
short,5
live,8
pepper,3
useful,2
sprinkle,1
load,16
shower,1
rain,3
lose,2
put,48
netting,3
whole,4
garden,9
silly,3
next,15
year,21
this,93
leaf,4
start,14
fall,5
atten,1
attentive,1
thing,61
need,32
sca,1
means,2
percentage,3
grass,6
gon,13
na,13
say,95
problem,13
here,51
windy,2
want,58
tea,7
please,6
question,3
unnecessary,1
hand,3
top,10
window,8
two,48
screw,5
hold,4
moment,2
paint,16
outside,4
while,10
take,33
final,1
almost,1
impossible,1
once,7
bad,24
frame,3
opening,1
light,13
tremendous,3
amount,2
left,5
skirting,3
board,4
pipe,21
cover,6
casing,5
other,37
cupboard,6
possibly,12
edge,9
door,32
brilliant,3
clean,3
up,88
end,17
completely,5
easy,11
situ,1
piece,5
sandwich,3
together,3
good,69
try,9
kid,11
cut,22
wonder,33
usually,15
stuff,17
's,41
appointment,2
pro,1
afternoon,8
seem,24
confident,1
twenty,21
five,20
four,18
pick,9
heck,3
burning,8
god,30
tell,9
where,66
possible,7
sand,2
down,75
obviously,15
many,23
place,26
pile,5
woodwork,1
dust,2
fluff,1
rag,1
never,37
nail,1
paper,20
wall,15
furniture,4
first,21
surprised,4
aye,1
prefer,5
