item,cnt
have,152
you,128
try,4
it,160
no,33
yeah,41
i,240
can,31
not,126
even,5
the,236
doorbell,1
be,287
work,3
push,5
hard,2
hear,6
oh,31
go,74
get,55
ta,2
in,100
middle,1
on,48
ah,11
hi,1
we,51
to,83
crossing,4
up,39
car,7
park,6
and,192
across,2
that,83
handy,2
he,113
buy,6
himself,1
er,47
a,104
padded,7
shirt,10
know,33
like,17
alfred,1
for,43
christmas,18
mum,5
robert,7
one,65
do,83
well,32
ask,2
what,24
want,12
say,108
joycie,1
two,15
so,42
look,26
yesterday,15
they,166
sell,11
wrong,2
five,5
ninety,14
nine,15
mm,54
ten,4
pay,3
nice,12
thick,3
though,4
mind,3
see,22
tt,6
same,2
price,3
erm,23
place,4
opposite,3
woolworths,1
caerphilly,3
campaign,4
call,4
funny,1
enough,2
read,2
at,16
thing,18
sale,3
anyway,12
ca,1
polly,1
shop,12
anywhere,2
market,7
saturday,2
morning,9
as,13
come,22
from,5
there,75
think,28
case,1
else,5
will,13
here,12
twelve,5
town,1
following,2
week,28
then,30
forget,3
blouse,1
this,21
down,30
next,6
aye,6
window,11
somewhere,1
few,1
now,17
those,8
could,9
of,54
leisure,1
bloody,2
out,30
wonder,3
nan,17
yes,10
love,3
dig,1
mummy,3
cos,9
ken,3
first,1
all,36
find,4
any,2
perhaps,3
should,3
when,22
but,33
stall,1
three,15
rack,1
some,8
other,11
these,4
cake,2
by,7
stock,3
clearance,2
wallpaper,1
sales,1
where,6
stop,2
rain,1
bad,3
thursday,5
windy,1
cut,8
straight,1
through,7
di,11
paper,9
back,18
half,7
past,12
eleven,1
stay,3
cold,3
yippee,1
wan,6
na,15
another,7
towelling,1
dressing,1
gown,1
because,9
blue,3
caravan,1
bring,6
home,3
winter,1
wash,3
would,23
wear,9
really,2
with,16
only,12
silk,1
gon,9
tuesday,5
before,10
seven,2
size,3
whether,5
fit,3
last,13
send,10
away,4
white,3
lemon,1
pale,1
green,1
striped,1
peacocks,1
seventeen,1
pound,3
sixteen,1
reduce,2
let,1
after,4
close,5
holiday,1
mini,3
top,11
usually,3
bargain,1
about,10
headboard,2
sheet,2
pink,1
grey,2
while,1
stuff,5
must,1
take,9
bridge,1
street,2
round,5
corner,1
end,6
lane,2
if,15
how,8
much,4
lock,1
stocktaking,1
side,4
ruddy,1
counter,1
clear,4
nothing,3
shut,4
expect,3
still,6
ponty,2
great,1
big,5
double,1
always,1
chair,1
wicker,1
basket,1
outside,3
irene,1
she,69
jardiniere,1
downstairs,2
an'all,1
just,7
recession,1
rhys,7
match,5
today,5
ready,1
rob,1
matter,2
face,1
long,8
fiddle,1
everything,3
happen,2
friend,1
knock,2
door,14
play,2
football,4
dad,1
watch,5
cardiff,2
city,2
course,4
start,3
pull,4
leg,2
lose,1
again,13
right,8
twenty,5
nil,1
guess,1
hmm,1
alright,2
upstairs,2
bedroom,5
tidy,2
touch,1
mess,2
n,11
cerys,2
make,9
more,2
than,1
his,1
book,1
toy,1
clothes,4
put,23
anything,4
fling,1
drawer,3
floor,4
care,1
hang,5
coat,4
once,2
hundred,1
time,10
hanger,1
hook,2
give,4
kid,4
garden,1
army,1
jacket,3
many,2
room,3
keep,5
passage,1
tell,4
pick,2
chuck,1
used,2
terrible,3
shirley,2
clean,4
wardrobe,3
roll,1
under,2
bed,1
ai,1
lot,3
r,1
lorry,3
forward,1
over,7
seem,1
b,2
&,2
q,2
sort,4
curve,1
toward,1
behind,2
slope,1
warning,2
david,1
's,6
eileen,2
rattle,1
hell,2
bang,4
never,2
mean,10
siren,2
ooh,15
notice,3
definitely,1
due,2
off,11
wait,2
four,4
probably,2
telly,3
load,1
wind,1
blow,1
way,4
eat,3
ferrero,2
rocher,2
iris,2
box,1
full,4
odd,2
little,6
strip,1
taste,2
catch,2
day,9
bird,2
onto,2
',3
table,2
arthur,1
might,4
packet,2
barry,1
too,2
mine,2
expensive,1
silly,3
sweet,1
mouth,2
cery,1
party,5
chapel,1
dance,1
sing,3
girl,1
brigade,1
crisp,1
why,7
bother,1
debbie,3
daughter,1
sometimes,2
into,2
hospital,3
monday,1
operation,1
tonsil,1
or,9
supposed,3
night,5
op,1
tomorrow,6
talk,1
chest,1
open,6
since,3
actually,1
walk,8
road,2
break,1
death,1
father,1
outfit,1
every,3
most,1
bar,1
bit,6
ball,1
completely,1
betty,1
board,3
wine,1
store,1
piece,3
wood,1
surprise,1
church,10
closed,1
couple,3
year,3
sight,1
member,1
least,3
bramble,2
belong,2
something,5
such,1
state,1
fall,1
front,1
people,8
dump,3
bag,5
rubbish,1
tiny,1
respect,1
lately,1
ago,3
hedge,1
grass,3
inside,4
branch,1
blooming,2
van,1
tip,2
respectable,1
use,3
part,1
absolutely,1
excuse,1
shift,2
which,3
stick,3
path,1
somebody,3
who,1
cub,1
fire,4
leave,3
throw,1
patch,1
pea,1
hazard,1
old,1
police,1
station,1
broken,1
bet,1
sleep,2
someone,1
easily,1
building,1
gut,1
change,1
good,3
flat,2
very,1
ground,1
line,1
tea,3
towel,2
nanny,4
wipe,2
cleaning,1
desperate,1
pinch,2
quite,1
welcome,1
tack,1
remember,1
draw,2
curtain,1
damn,2
lucky,3
rugby,1
need,3
ladder,2
far,1
level,3
around,1
trip,1
hat,2
scarf,1
glove,1
hot,2
spirit,2
tape,5
measure,5
cor,1
pocket,1
hazel,1
rev,2
voice,1
sound,1
boot,1
o'clock,1
house,2
light,4
drop,1
listen,1
snoring,1
stupid,1
card,1
win,1
mother,2
yawning,1
yawn,1
mirror,1
echo,3
crack,1
careful,1
secondhand,1
brown,2
s,1
each,1
magazine,1
tree,1
shape,1
polythene,1
lift,1
altogether,1
island,1
water,1
vera,1
spain,2
spread,1
earth,1
until,1
daft,1
till,1
third,1
january,1
an,1
appointment,1
second,1
march,1
blood,1
test,1
awkward,1
wh,1
age,1
finger,1
mark,1
sky,1
october,1
washing,5
machine,5
november,1
phone,10
fortnight,1
fifty,1
pr,1
priority,1
special,1
coupon,1
number,1
redial,1
check,2
write,2
advert,3
repeat,1
letter,1
woman,1
post,1
office,1
meantime,1
month,2
sorry,1
afternoon,1
sticky,2
mitt,2
thank,1
god,1
dark,1
handle,1
cover,1
imagine,1
anybody,1
along,2
carolyn,3
herself,2
present,1
laugh,1
myself,1
remind,1
mick,1
jagger,1
man,1
bare,1
bum,1
rude,1
surprising,2
collect,1
press,2
trousers,5
moony,1
sudden,1
hide,1
tonight,1
stand,1
oi,6
soup,2
freezer,1
tin,2
chicken,1
turkey,1
dish,1
short,1
fun,1
whatever,1
head,1
kiss,2
hand,1
jump,1
whoooo,1
although,1
pass,1
sit,1
biology,3
instruction,1
school,1
neighbour,3
cody,2
boyf,1
boyfriend,1
name,1
todd,1
lesson,1
