item,cnt
do,493
you,1015
wan,20
na,96
dance,2
all,123
through,14
the,792
night,16
la,2
de,4
day,18
tonight,5
oh,207
baby,2
yeah,401
he,364
from,36
committee,1
watch,4
out,59
or,53
will,180
be,1585
have,655
down,66
at,87
stuart,11
as,73
star,2
turn,10
where,79
dad,36
go,199
mm,57
eh,21
she,224
act,3
stupid,4
know,186
we,140
gon,76
a,487
listen,6
to,326
coronation,3
street,2
try,16
shove,2
i,838
mother,39
again,20
herbert,6
every,20
time,31
walk,11
in,312
well,317
can,126
and,555
alright,42
cos,65
not,639
see,79
it,753
alison,25
er,108
that,472
but,180
say,148
they,434
pay,28
get,412
ta,39
for,170
machine,10
who,37
if,90
somebody,14
by,40
hand,7
of,176
could,45
what,215
hundred,20
people,21
tired,3
like,154
mean,70
peo,1
only,53
off,52
bad,10
maintain,1
with,106
put,58
petrol,3
diesel,1
whatever,3
make,24
check,2
oil,1
offset,1
labour,9
thing,48
cost,17
fortune,1
why,36
before,23
want,79
different,3
so,79
give,29
fertiliser,1
still,26
think,72
big,40
massive,1
would,108
take,62
suppose,4
more,22
economical,2
small,12
place,22
than,13
buy,20
thousands,1
pound,16
no,235
come,98
round,39
then,95
hire,1
just,83
instance,1
two,43
tractor,1
sprayer,1
chemical,1
on,172
top,8
whole,4
field,2
now,76
one,228
man,12
week,14
same,18
few,9
become,1
let's,8
fair,3
summer,2
weed,3
grow,2
wet,2
weather,1
warm,8
peooow,1
up,103
stop,12
bark,3
everywhere,3
way,20
lot,18
vegetable,2
fertilizer,1
care,4
less,4
iris,4
seven,10
aye,7
th,9
vote,21
always,12
secret,1
how,38
generation,1
many,14
youngster,1
any,18
notice,2
mam,3
offer,9
stand,11
young,5
person,2
run,11
sammy,1
bit,30
nuisance,2
stick,4
there,239
twenty,23
year,15
live,26
life,6
luxury,2
weekend,2
break,5
back,54
sort,10
mum,20
between,7
airport,1
cow,1
tea,6
long,29
sunday,6
pass,3
motorbike,2
edge,3
fish,2
everything,12
yes,90
his,1
name,28
church,2
some,22
special,2
ground,2
wait,9
arm,4
good,59
love,27
chris,1
wednesday,1
move,12
about,52
exercise,1
couple,10
fight,4
fit,13
john,2
major,2
elect,2
because,23
extra,4
thirty,14
five,31
pence,3
sixty,5
providing,1
vehicle,4
drinking,2
fine,1
suit,2
okay,12
course,6
even,10
when,63
car,14
road,32
once,4
engine,1
anything,21
leave,24
without,9
hard,3
monday,2
four,20
quid,9
new,19
bike,5
sinclair,1
bring,9
an,32
hour,7
battery,4
pedal,4
three,28
electric,8
ride,1
along,4
idea,2
odd,6
blooming,3
mountain,1
much,16
penny,6
recharge,2
here,87
work,16
plug,4
pull,2
lead,6
ready,9
home,11
rechargeable,1
gambia,4
able,5
resident,2
house,42
necessary,1
class,1
foreigner,1
englishman,1
these,30
pakistani,3
re,3
ah,15
british,9
passport,6
load,7
register,1
stamp,2
must,13
wash,2
either,6
eighteen,6
else,8
this,120
country,6
trouble,6
allow,6
empire,2
pakistan,1
commonwealth,1
indian,1
ten,18
thousand,15
open,12
nineteen,5
ninety,6
communist,1
block,1
germany,1
straight,5
into,8
job,10
catering,1
rough,1
family,3
fill,5
little,24
tiny,1
conservative,12
bill,1
start,12
first,26
kill,15
very,27
complicated,2
thingybob,1
erm,45
totally,1
confuse,1
weigh,1
read,8
manifesto,1
word,6
language,1
tell,35
lie,9
line,9
other,44
write,4
sit,7
suggest,1
girl,8
highly,2
honour,2
letter,10
length,2
usually,4
dear,8
whoever,4
mario,1
never,15
o,1
over,40
election,6
interested,1
quarter,2
news,2
pick,6
cut,2
wage,3
neil,3
kinnock,2
paddy,1
ashdown,1
which,21
dirty,4
ever,8
already,1
mu,1
throw,2
mud,1
everybody,5
gleny,1
wall,17
glenys,1
right,57
god,17
prime,2
minister,1
miracle,1
loaf,1
salt,2
vinegar,2
wine,3
white,6
red,1
true,1
though,26
complain,1
roger,1
brown,1
bread,3
draw,1
morning,9
collare,1
towel,1
shoulder,1
let,4
fetch,1
pool,4
carry,5
somewhere,5
side,14
patio,2
garden,28
pelican,1
beach,1
fiver,1
another,14
jimmy,2
drink,6
should,14
perhaps,2
bloke,3
funny,5
enough,7
fag,2
vest,2
liberty,1
bodice,1
's,43
longjohn,2
minimum,1
switch,1
front,12
light,14
shout,3
te,1
forget,5
taxi,1
guy,2
door,24
nobody,10
order,8
hold,5
stuff,6
yesterday,1
look,97
key,2
pardon,12
inside,11
floor,7
tablet,2
after,12
shall,4
piece,4
feel,5
late,3
last,13
'un,1
woman,2
handsome,1
lad,2
ger,1
shortly,1
snuggle,2
happen,6
double,21
exposure,1
aah,1
jason,1
witch,2
tan,1
supposed,1
sexy,1
adoring,2
agree,1
model,1
thursday,1
face,1
sneeze,1
barry,14
picture,4
embarrassed,1
photo,1
bloody,22
suzie,1
smart,6
fellow,4
smell,2
fa,2
keep,9
show,5
compound,1
bush,1
upside,2
eye,2
nice,26
knickers,1
full,3
sand,2
frightened,1
death,1
nose,2
study,1
end,9
boil,1
poster,1
probably,22
zoom,1
tree,4
might,18
leg,2
bend,2
dreadful,4
experiment,1
ba,4
belter,1
ow,1
wonderful,7
absolutely,3
photograph,2
father,13
chap,1
grand,1
answer,3
phone,9
ring,6
next,13
nan,6
anybody,3
interfere,1
change,10
ooh,11
away,9
comi,1
mention,2
yellow,3
use,7
herb,1
leaf,1
spice,1
alan,3
seventy,5
birani,4
twin,11
brother,10
half,19
second,5
wife,5
hang,5
suckling,2
suckle,1
