item,cnt
on,518
right,217
i,2612
will,466
go,785
and,649
get,1085
a,1106
video,5
okay,31
yeah,825
do,1101
not,1372
know,150
what,567
be,2685
alright,94
er,150
warm,11
this,200
food,7
up,306
again,93
you,2267
want,199
the,1142
telly,14
vick,7
eh,18
watch,33
play,38
with,173
teddy,5
ah,125
build,2
together,13
put,109
it,1295
back,135
then,273
show,12
mummmy,1
how,142
there,362
clever,4
girl,27
look,94
ooh,199
he,570
have,1438
fall,9
to,664
piece,4
ai,93
can,405
like,121
that,1227
no,757
oh,657
mummy,61
kettle,1
ee,9
lee,20
daddy,60
pick,12
yes,102
leaf,1
in,526
ha,62
where,63
chair,9
behind,7
hello,15
sausage,4
brother,11
cry,3
move,18
please,21
pour,1
here,114
ca,7
bib,2
see,122
if,162
gon,116
na,164
dinner,6
come,127
tea,26
s,6
good,72
so,261
eat,12
all,187
at,108
time,161
just,204
for,340
vicki,58
bacon,9
egg,4
hold,20
minute,42
well,314
still,60
try,32
leave,37
cos,202
funny,11
head,16
as,118
though,40
nappy,5
headache,1
his,5
now,202
ki,5
yours,20
any,51
fine,3
yourself,12
's,100
laugh,7
cheeky,10
collect,26
cup,4
stir,1
round,139
yep,29
dish,3
but,213
she,354
naughty,5
sister,2
tell,39
say,245
mm,242
over,40
smack,4
bum,5
we,378
shall,30
hey,5
much,68
very,30
ta,173
bit,46
thick,3
they,538
runny,1
aha,12
add,3
side,13
which,46
hard,4
only,172
thing,42
shut,8
some,55
of,460
away,23
n,167
first,64
week,25
bog,1
off,92
afterwards,2
mum,21
dad,20
obviously,4
gary,85
feed,2
without,4
blooming,2
rest,2
crisp,5
glass,5
lemon,4
or,188
lemonade,2
ask,30
bottle,14
ga,35
let's,14
stiffen,1
mine,60
da,13
mean,40
coffee,13
who,143
tomorrow,11
di,41
think,130
nanny,10
shop,4
ganga,2
granddad,19
car,23
when,96
down,112
lorry,4
water,4
need,145
washing,2
bath,19
later,5
take,74
after,25
bed,7
else,13
book,16
card,114
morning,10
birthday,13
from,56
nicky,2
one,928
bottom,33
nearest,1
stereo,1
unit,1
bell,1
next,45
out,112
couple,13
yet,81
day,14
supposed,6
second,20
march,1
lyn,1
would,111
stay,21
aye,33
might,31
too,15
hurt,4
decorate,2
another,72
two,542
three,410
already,19
start,47
kitchen,12
mate,29
ready,18
phone,7
other,44
night,45
tuesday,6
wash,2
lift,6
tile,1
wall,1
why,56
kevin,2
pop,6
tonight,7
seem,3
bedroom,4
drink,11
top,30
madam,1
touch,5
pass,28
ashtray,5
fag,4
thank,30
fact,1
stop,18
certainly,3
let,19
finish,9
wan,47
prefer,2
slipper,3
own,20
boy,28
little,24
red,5
toothbrush,3
those,25
miniature,1
sit,25
sound,14
dirty,10
through,7
shoe,9
hat,5
coat,10
everything,6
bag,5
turn,36
page,1
cat,6
ganny,1
granny,1
panda,2
pinka,1
choo,2
oops,7
train,6
baby,21
brush,2
comb,2
clean,7
tooth,4
dianne,2
most,10
people,9
sock,4
boots,3
boot,3
fly,2
carl,4
shish,1
spoon,4
cu,1
dolly,3
answer,21
ball,14
kick,13
cow,10
moo,2
fridge,5
spot,2
check,4
sod,12
sheep,2
horse,14
hen,1
dog,11
ke,3
uncle,11
kev,2
sa,6
aunty,9
samma,1
ang,2
de,3
sunday,5
shello,1
shelly,4
phil,130
mhm,14
pushchair,1
use,19
tree,3
outside,5
flower,6
buy,176
pam,5
coronation,6
carnation,3
pop-on,2
truck,3
brick,3
erm,72
key,7
clock,1
bus,3
orange,6
apple,2
pudding,1
nana,3
wait,25
duck,3
soap,3
bloody,108
hell,69
wind,5
boat,4
rabbit,6
bu,1
cuddly,3
christmas,2
darling,29
tickle,2
ickle,9
ick,1
frightened,1
thumper,1
pardon,5
edd,8
e,11
neighbour,3
abers,2
eye,5
sore,5
give,180
