item,cnt
black,9
velvet,1
gown,1
on,191
television,9
tonight,5
what,249
this,179
be,2143
the,928
second,16
of,276
series,1
catherine,1
cookson,1
bes,1
good,80
seller,1
oh,177
right,73
evening,9
we,250
have,738
janet,1
in,394
leading,1
part,4
that,544
helen,1
joe,1
yeah,425
do,794
not,915
know,569
she,295
play,13
rita,1
sackville-west,1
er,80
nigel,4
ibbotson,1
film,1
i,1857
se,1
read,9
book,9
see,200
well,355
think,270
you,1221
it,1265
no,608
can,209
remember,19
at,111
seven,18
fifteen,5
thirty,22
tinker,1
tailor,1
soldier,1
spy,1
nine,14
five,34
so,372
record,3
ending,1
would,179
like,251
alan,1
bleasdale,3
erm,99
g,4
some,96
something,67
h,3
three,64
letter,5
or,137
sunday,9
a,597
look,136
to,640
miss,5
call,32
b,3
heavily,1
star,1
get,122
actually,11
there,226
back,60
just,153
ya,15
seem,5
trailer,1
here,91
for,177
nothing,24
nope,1
tree,2
hand,6
ship,3
world,4
knight,1
rider,1
will,149
paper,7
gosh,10
he,378
ugly,7
who,57
fat,3
and,751
should,48
kennedy,2
why,93
brahms,1
tuesday,1
now,105
other,45
fella,1
strong,4
comparison,1
mix,2
up,73
with,122
diary,2
if,95
free,12
fifteenth,5
june,6
saturday,8
stella,1
artois,1
competition,6
suppose,17
shall,25
phone,8
ruth,2
go,262
berlin,2
month,19
first,33
dawson,1
same,31
day,49
yes,628
those,40
from,67
office,6
without,3
graphic,2
artist,12
's,26
exhibition,3
plaza,1
year,57
student,2
they,593
give,38
party,1
about,71
fifty,10
must,27
turn,3
mm,99
throw,8
away,15
pity,2
ban,1
bank,5
holiday,13
kathy,5
document,1
all,167
week,40
take,80
trouble,6
but,312
quip,1
poll,2
tax,2
iniquity,1
even,43
own,9
notice,5
when,120
where,78
say,144
battersea,1
park,2
somewhere,15
find,26
out,57
old,44
swiss,15
institution,1
britain,1
school,8
only,29
pupil,1
date,4
need,19
put,58
cos,16
fill,5
during,5
summer,4
assume,2
alright,40
tennis,2
ah,126
tell,44
monday,9
otherwise,6
somebody,6
else,15
stephan,3
stay,25
until,12
fourth,2
thirteenth,2
fourteenth,3
already,26
leave,18
saudi,1
arrive,6
mond,1
third,7
then,149
meet,10
heavy,3
suitcase,2
station,8
how,92
come,121
by,32
train,5
boat,2
plane,1
heathrow,2
london,9
every,37
any,37
more,74
philip,1
doubt,2
very,246
exciting,2
too,78
bad,23
sound,6
pretty,7
staid,2
anything,17
proper,1
anyway,16
lager,1
lout,1
hope,11
imagine,6
tha,1
construct,2
work,34
art,4
probably,25
an,58
explanation,1
cover,5
inside,9
pass,1
coffee,11
please,6
cork,1
cooler,1
over,24
never,60
these,38
thing,76
don,1
could,61
beautiful,41
really,208
pure,1
open,12
air,3
museum,3
bedroom,1
exactly,11
yours,3
except,10
live,15
lovely,12
grandmother,3
oven,1
stupid,12
gate,1
people,37
wooden,1
woo,1
coloured,1
colour,26
much,98
use,11
plasterboard,1
fraction,2
price,7
time,68
last,21
hundreds,5
hate,7
house,37
grandfather,1
hundred,25
ago,11
survive,2
winter,4
false,4
nobody,10
white,10
completely,4
beige,1
sort,36
maybe,23
force,3
surprised,3
flower,9
honestly,1
everything,18
round,14
tate,2
wednesday,3
before,32
long,26
ask,16
run,7
library,1
elbow,5
few,14
lady,7
way,34
may,10
send,2
though,10
because,104
stamp,2
fact,6
buy,46
switzerland,14
bring,8
mad,2
one,268
four,19
two,79
also,18
as,78
expensive,21
again,28
sit,12
down,30
patrick,14
nineteenth,1
question,7
which,68
celebrate,2
clown,1
mime,1
dimitri,1
national,2
asset,2
make,65
money,8
gabriella,1
sabatini,1
tremendous,1
argentine,1
becker,1
germany,6
gazza,7
england,6
gasgcoine,8
english,8
name,17
rather,21
word,5
boy,2
wh,1
french,31
invented,1
coin,1
origin,1
northern,2
gascony,2
ancestor,2
william,1
conqueror,1
norman,3
widely,1
ooh,7
change,13
into,13
daresay,1
neighbour,5
newspaper,6
big,46
difficult,7
street,6
corner,9
depend,4
wait,19
minute,12
course,17
chinese,2
outfit,1
mean,85
lot,32
typical,2
wonder,12
lord,2
hanson,2
pay,19
c,7
share,6
still,36
write,15
busy,1
buying,1
bill,1
man,28
beaumont,1
college,2
show,8
chairman,1
l.,1
saatchi,5
sign,5
recovery,1
brother,12
salary,2
cut,5
half,15
appoint,2
new,17
robert,1
louis,1
briggs,1
company,9
banker,1
mr,4
arnold,1
want,98
maurice,2
charles,3
such,17
ridiculously,1
large,8
state,1
absolutely,5
dreadful,5
ten,10
thousand,23
pound,11
compare,4
six,19
reply,1
quite,84
satisfied,1
involuntary,1
per,3
cent,1
lose,11
