item,cnt
and,961
i,2138
will,313
see,179
you,1638
next,28
let,58
just,163
make,59
a,815
note,1
of,277
this,209
on,463
form,3
green,37
another,36
one,459
that,883
be,1955
dribble,2
now,188
erm,220
it,1165
at,141
forty,12
eight,18
what,418
about,103
yeah,748
put,184
in,552
the,1222
bucket,5
can,285
have,894
no,439
do,1096
not,1036
want,303
er,120
three,89
p,39
m,10
or,80
thereabouts,1
kieran,9
try,16
to,690
remember,12
everybody,7
same,25
afternoon,4
collect,3
they,664
all,206
because,41
six,28
around,20
here,139
right,227
so,172
great,13
thanks,9
very,35
much,24
indeed,1
for,241
give,58
gift,1
voucher,2
week,46
okay,40
then,278
we,467
go,456
purge,1
marks,2
sparks,2
need,35
these,58
mean,52
if,165
lot,31
people,17
come,178
round,58
gon,114
na,188
tell,42
might,41
there,431
donald,10
where,106
man,17
drink,62
anybody,9
find,72
he,517
cup,7
oh,397
figure,1
out,188
up,238
with,161
young,6
today,29
biscuit,5
think,160
get,716
too,48
early,3
wait,16
minute,62
good,75
day,33
work,49
somebody,4
matter,29
love,21
like,186
since,8
catch,7
hold,34
ah,76
say,171
thank,12
little,151
misery,1
when,118
wake,6
ai,29
boy,30
anthony,49
anything,22
else,22
while,30
how,80
please,25
take,85
front,14
room,13
happy,49
two,119
charlotte,73
bring,18
sit,52
play,33
notice,7
button,15
presume,1
must,26
off,119
cardigan,1
yes,85
white,27
thing,61
down,137
pen,23
mm,195
suppose,9
bed,39
half,40
twelve,7
quarter,8
sound-o,1
way,37
ten,24
after,30
look,175
box,20
smart,3
cupboard,2
favourite,1
yummy,8
yum,4
sort,35
tea,4
towel,2
paper,6
happen,9
she,135
well,229
fair,6
enough,27
n,36
principle,1
breakfast,8
pass,5
plain,5
lazy,1
know,287
sink,2
leave,72
morning,44
decide,6
eat,82
booklet,1
fill,6
hundredth,1
seventh,1
person,1
tape,11
side,9
as,84
stranger,1
shall,28
sorry,10
would,69
scrubber,1
mummy,171
never,32
actually,23
scrub,2
kitchen,8
maybe,14
probably,23
brothel,1
lose,13
bloody,9
occupation,1
occupational,1
hazard,1
washer,2
upper,2
oxford,1
dictionary,1
alex,25
secretary,2
spell,1
s,15
e,29
c,21
secret,1
r,11
y,20
before,17
why,79
fighting,3
show,36
depend,3
toy,8
home,57
hey,9
mum,245
milk,25
fridge,6
more,58
der,1
choose,6
busy,3
old,15
canteen,2
bad,33
hundred,19
fifty,10
odd,1
meal,1
alright,90
fifteen,6
quite,24
some,87
really,64
everything,18
menu,1
messy,1
absolutely,4
age,14
clean,10
dish,20
pot,6
but,194
chili,1
con,1
carne,1
tuna,1
celery,1
pie,3
seafood,1
vol,1
au,1
vent,1
problem,7
something,39
easy,9
veggy,1
salad,1
by,19
nothing,24
burn,1
into,24
regional,1
accent,2
cos,104
relate,3
any,64
england,2
anyway,29
empty,7
buy,24
juice,11
run,30
bit,97
hardly,1
again,40
seem,2
food,5
pudding,3
cover,12
taste,1
time,50
larna,4
until,9
tooth,5
bite,4
other,55
grab,4
nose,16
charming,1
mouth,12
nearly,11
through,26
roof,1
tin,3
away,48
lid,2
ooh,7
bib,8
spoon,12
mind,26
table,20
hand,24
still,37
truth,1
who,31
bag,33
phone,10
hour,12
call,7
definitely,3
bottle,19
single,4
even,19
tired,24
baby,21
sleep,14
only,60
kip,1
forget,8
doubt,3
though,43
could,42
coat,10
tuesday,1
first,26
stuck,3
feed,4
sometimes,8
funny,5
freak,1
yet,28
hate,4
water,10
stand,8
yours,18
worry,11
's,71
hat,52
own,14
wash,16
onto,2
name,9
talk,15
vicky,3
new,19
live,11
far,4
excuse,1
pardon,6
over,77
car,27
till,10
interrupt,1
bounty,1
pack,4
usual,1
believe,5
keep,31
packet,5
obscure,1
place,9
case,9
used,8
handy,4
smack,2
gooey,2
b,13
watch,37
dirty,6
nappy,9
climb,10
pick,10
face,10
carefully,1
careful,10
understand,2
enormous,1
always,27
jordan,18
full,11
fat,9
cream,8
calorie,1
stuff,16
pasteurize,1
thick,4
darling,59
start,44
whinge,6
lie,4
late,8
wrist,1
ta,9
arm,3
let's,29
speak,6
friday,7
tomorrow,28
quick,11
wrong,12
care,4
excited,1
pocket,4
check,2
fall,19
