item,cnt
when,16
it,98
say,31
about,14
erm,17
she,26
alice,1
go,9
to,46
florida,2
yeah,31
and,38
we,9
have,39
not,51
be,161
talk,3
sa,1
the,131
one,14
write,2
but,18
i,53
think,9
you,35
know,12
fact,1
that,58
wri,1
nothing,3
unusual,1
as,11
far,1
concerned,1
on,24
christmas,1
card,4
tell,3
anxious,1
hear,1
trip,1
there,28
no,10
reply,1
er,16
mean,8
speak,2
over,3
telephone,1
so,9
quiet,1
anyway,2
well,23
if,12
shirley,1
marguerite,2
off,2
they,39
could,5
now,7
february,2
in,36
t,2
two,19
week,1
this,12
january,1
probably,4
might,2
get,12
a,31
from,8
hello,1
wrong,1
number,1
phone,1
wind,3
chill,2
factor,2
twenty,13
below,11
temperature,1
otherwise,1
gale,1
force,1
or,7
thirty,3
mm,4
ten,4
degree,1
above,1
zero,5
very,1
cold,4
wish,1
see,9
shot,1
john,2
take,5
he,24
carry,2
portfolio,2
with,11
out,6
work,3
blow,1
up,3
round,1
various,1
house,1
photograph,1
of,28
room,5
before,3
do,25
all,4
changing,1
suppose,2
absolutely,2
upholstery,2
curtain,2
whatever,3
show,4
zeros,1
freezing,2
mark,1
right,6
down,5
here,11
under,1
look,6
what,16
another,2
bottom,2
gauge,1
scale,1
much,3
oh,14
realize,4
yes,2
eighteen,3
time,3
remember,2
boy,1
mind,2
difference,1
between,5
n,1
back,3
these,4
snap,4
picture,3
alter,1
put,3
new,1
decor,1
th,1
furnishing,1
alre,1
already,1
deal,1
curt,1
drape,3
soft,1
cover,1
couple,1
for,4
living,1
can,5
somebody,1
else,1
's,3
must,4
hunting,2
deer,2
mention,1
though,2
just,5
imagine,2
an,3
enlargement,1
kill,1
harry,1
age,1
cos,1
forget,2
old,3
than,1
who,4
ha,2
gon,1
na,2
start,1
learn,2
play,4
chinese,2
patience,3
game,2
own,1
quite,3
good,5
actually,1
next,2
will,6
try,2
either,1
american,1
gin,1
rummy,1
alright,2
would,10
change,4
cribbage,2
beat,1
ah,2
maybe,1
afternoon,2
wet,1
enough,1
should,2
provide,1
too,2
loud,1
read,5
funeral,1
northern,1
ireland,1
minister,1
let,1
flag,1
coffin,2
r,1
into,1
church,1
insignia,1
top,1
then,3
protestant,1
pastor,1
blame,2
seventeen,1
year,3
death,1
fellow,1
young,1
man,2
video,3
shop,2
shoot,2
father,1
british,1
government,2
dead,1
at,11
belfast,1
happen,3
england,2
street,1
london,4
response,1
totally,1
different,2
shooting,1
bombing,1
understand,1
wonder,2
deduce,1
where,4
b,1
q,1
slanging,1
match,1
texas,1
cut,1
price,2
paint,1
tool,1
outdo,1
whole,1
page,2
paper,2
throw,6
rock,1
each,1
fleet,1
bridge,2
watford,7
gap,4
family,9
discover,4
how,5
divide,4
north,9
south,28
narrow,4
northampton,6
mile,6
bedford,10
never,4
class,4
live,11
yet,1
definitely,1
midland,9
same,1
east,5
imaginary,1
line,1
used,3
call,4
birmingham,1
wash,1
anything,1
more,1
southern,1
cla,1
people,2
hundred,1
forty,1
three,6
along,1
road,1
certainly,2
wigan,2
life,1
other,3
after,1
property,2
slump,1
home,3
county,1
easy,1
leap,1
by,2
move,3
itself,1
service,1
station,2
m,1
come,3
shall,1
direction,1
knutsford,1
stratford-upon-avon,1
since,1
stratford,6
avon,6
again,1
lay,1
middle,1
those,1
side,2
bloody,1
ridiculous,1
technically,1
given,1
point,1
scotland,1
anywhere,1
expect,1
any,1
wan,1
further/far,1
lovely,1
place,3
expensive,2
nice,2
because,3
pay,1
near,1
bard,1
pretty,1
tina,3
turner,3
tonight,3
wogan,2
watch,1
kenny,2
everett,2
lorna,2
luft,2
mary,2
pleased,1
wayne,1
sleep,1
seven,1
o'clock,3
clash,3
fortune,1
tape,1
which,2
gloria,1
hunniford,1
long,1
brookie,1
only,1
thing,1
eight,1
alf,1
garnett,1
speaking,1
announcer,1
matter,2
priest,1
even,1
rape,1
still,1
baby,1
terrible,1
switch,1
touch,1
sport,2
winter,1
olympic,1
first,1
run,1
four,4
bobsleigh,1
represent,1
britain,1
bright,1
medal,1
hope,1
woman,1
figure,1
skate,1
championship,1
joanne,1
conway,1
part,1
boyfriend,1
catchword,3
five,4
o,2
instead,1
follow,1
countdown,1
course,1
usually,1
v,1
leave,1
bit,1
day,3
cheer,2
australian,1
welcome,1
queen,3
sidney,1
banner,1
proclaim,1
betty,4
anybody,1
sort,1
respect,1
disrespect,1
like,2
royalty,1
smiling,2
feel,1
thousands,1
pack,1
city,1
centre,1
fervour,1
surprised,1
republican,1
criticize,1
visit,1
republic,1
sooner,1
later,1
thousand,1
ooh,2
make,3
want,2
whether,1
let's,3
parcel,1
morning,1
night,1
water,1
music,1
love,1
dance,1
darling,1
bud,1
may,1
illustrate,2
preface,1
end,1
book,1
properly,1
minute,2
free,2
gift,2
away,5
eat,3
d,1
supposed,1
object,3
desiccant,1
silica,1
gel,1
why,2
box,1
stupid,1
ob,1
wait,1
perhaps,1
attached,2
carton,2
contain,1
surprise,1
handsome,1
acacia,1
wood,2
salt,1
cellar,2
sturdy,1
traditional,1
design,1
finish,1
attractive,1
shade,1
enhance,1
natural,1
grain,1
chunky,1
equally,1
kitchen,1
dining,1
breakfast,1
tray,1
value,1
matching,1
pepper,1
mill,1
packet,1
letter,1
afterwards,1
