item,cnt
oh,11
and,20
you,70
do,44
not,35
have,38
to,40
worry,2
about,4
the,17
volume,3
by,2
way,3
cos,3
like,1
anything,2
it,52
record,2
whatever,4
then,11
will,30
can,4
be,70
up,9
or,4
down,6
whichever,1
want,10
yeah,17
so,2
because,2
get,25
gee,1
mm,9
twenty,1
one,5
what,9
sorry,1
i,40
should,1
say,8
incidentally,1
that,33
when,2
they,6
transcribe,1
if,7
a,35
name,3
come,20
just,5
write,1
erm,1
cup,2
of,9
tea,3
pam,1
right,7
find,1
bickie,1
we,17
need,2
put,14
even,3
proper,2
conversation,1
grunt,1
two,4
three,1
see,5
next,1
week,3
in,13
evening,1
wish,1
lot,1
catch,1
as,2
move,1
finger,1
well,13
sh,1
leave,2
able,1
away,5
hope,3
these,3
here,5
where,1
somewhere,3
dad,1
problem,1
now,11
goodbye,1
marcus,3
bye,6
there,7
on,21
okay,1
sweetie,1
go,15
good,13
boy,11
hey,1
stop,1
play,2
with,7
phone,1
again,2
pain,1
every,1
time,3
aye,1
try,2
summat,3
nice,1
doggy,4
int,2
ah,9
brush,3
eh,12
washing,2
some,6
warm,4
soapy,1
water,4
over,2
only,1
thing,1
think,4
odd,1
ear,2
label,1
give,5
he,36
fully,3
washable,2
ow,2
pure,1
poly-foam,1
thirty,1
six,1
other,1
word,1
launderette,1
would,3
dry,4
clean,6
gon,3
na,3
bloody,3
washer,1
ta,2
hand,1
take,7
age,1
this,7
stick,1
bath,1
an,2
idea,1
shampoo,1
whee,1
tonight,1
all,2
woo,1
must,1
how,3
ribbon,1
sticky,1
sit,1
wash,6
little,4
squirt,1
keep,4
out,4
touch,2
filthy,4
dog,1
tip,1
handy,2
no,10
for,6
weekend,1
off,6
reasonably,2
muck,1
completely,1
spotless,1
might,1
anyway,3
bit,4
dirt,1
tell,2
whether,1
dust,1
colouring,1
use,1
back,2
daddy,5
while,1
wet,2
nose,1
round,2
head,7
at,4
least,2
look,6
paw,1
stuff,1
fetch,1
everybody,1
owt,1
she,12
er,2
first,4
after,1
really,1
fall,1
hold,1
tight,1
dizzy,2
feel,1
spin,1
ha,6
lose,1
his,1
shoe,2
somebody,1
bed,1
shortly,1
hear,1
arm,2
hurt,2
urgh,8
but,4
know,2
watch,3
neck,2
more,1
than,1
paul,2
sleep,1
poorly,4
alright,4
recover,1
sort,2
friday,3
start,3
wait,4
report,1
wednesday,1
shame,1
terrify,1
liquid,1
everything,1
poor,1
great,1
though,2
bitter,1
mate,1
careful,1
could,1
dungy,3
chair,3
meat,1
pair,1
whoops-a-daisy,1
dirty,2
thank,1
let's,5
coat,1
jam,1
tart,1
coaty,1
hat,1
yes,2
ooh,2
nappy,1
who,1
jade,19
jadey,5
big,1
girl,1
nearly,2
ee,7
's,4
party,6
stand,1
slipper,1
mum,1
new,1
show,1
invitation,1
aunty,1
sharon,1
yet,1
yours,1
pram,3
minute,1
cakey,4
pick,1
floor,2
whoops,1
bib,1
oi,1
mummy,1
