item,cnt
if,134
i,737
get,248
he,152
to,434
go,105
in,160
there,105
and,387
do,403
a,392
bit,49
of,240
plaster,4
on,146
mm,327
eh,21
what,227
be,1003
think,81
have,368
aye,24
you,1081
know,143
builder,1
merchant,1
pick,10
up,57
some,33
it,433
wet,1
day,19
start,19
plastering,1
yeah,163
well,91
look,32
through,18
erm,32
need,18
use,31
soon,2
not,305
reckon,2
the,496
trouble,7
depend,4
how,28
thing,67
next,16
couple,8
week,29
can,122
opposite,1
as,48
many,8
within,3
original,3
firm,3
anybody,6
that,411
right,219
see,85
this,66
gon,28
na,41
cost,11
lot,30
money,47
put,39
phone,31
but,145
because,38
just,70
one,108
line,38
then,71
different,16
no,88
they,240
come,35
separate,2
cut,6
charge,7
pair,6
will,92
here,20
with,102
four,27
connection,1
per,3
talk,45
desmond,2
about,103
once,11
muck,2
quite,32
few,3
dunne,1
work,42
like,75
oh,37
same,19
number,16
alright,28
want,90
out,48
people,17
at,69
time,37
course,16
mean,92
exactly,10
sort,55
front,2
room,5
kitchen,5
extension,1
yes,8
dear,3
probably,31
we,104
cord,1
five,14
for,132
minute,21
bring,6
or,77
down,34
any,17
reason,6
why,8
canne,1
another,13
even,11
still,12
purpose,1
could,35
run,14
all,61
end,7
really,24
somebody,29
british,2
telecom,4
true,2
wrong,3
cos,38
basically,24
call,14
since,3
christmas,3
sure,6
bill,7
december,2
january,1
february,1
er,67
quarter,8
three,13
month,14
period,3
so,78
fortnight,2
bear,5
mind,6
june,3
anything,9
only,33
last,5
hopefully,2
business,5
fact,8
volume,1
bind,6
high,3
top,4
result,9
step,2
new,2
would,75
these,30
generate,1
before,10
first,12
drop,3
matter,5
whether,8
hundred,23
costing,1
lose,6
make,35
more,29
either,8
supervisor,1
's,14
job,7
whoever,1
capable,4
now,64
judge,1
let,11
say,146
instance,6
six,7
two,33
rental,3
gain,2
back,17
carry,1
yourself,4
stupid,1
place,8
twice,1
size,2
pound,24
thirty,6
quid,6
accord,2
tell,22
year,14
pay,8
ta,13
take,43
due,1
far,7
gather,2
imagine,2
where,29
minimum,3
rent,3
actual,2
nee,1
spare,3
cheap,3
fifteen,3
decent,5
tax,3
towards,4
ideally,1
chat,9
yet,4
headphone,1
much,22
good,34
system,4
date,2
keep,7
rabbit,1
clever,1
mercury,2
near,3
frankly,1
something,35
twelve,2
sixteen,4
should,23
saying,1
bob,2
double,3
ten,12
by,12
also,8
check,1
ah,7
general,7
term,5
give,22
an,30
idea,2
when,49
target,1
percentage,2
everything,6
while,5
piece,3
spend,3
over,13
presume,1
might,14
various,3
key,8
word,25
motivate,1
certain,7
extent,1
assume,4
from,17
clue,3
basis,3
excuse,1
everybody,4
accept,4
nay,2
after,13
nice,5
michelle,2
cathy,1
adel,1
push,5
amount,9
own,8
imagination,1
information,2
unless,1
feed,2
follow,34
lay,2
other,16
who,15
listen,10
strength,3
concentrate,1
selling,3
cover,16
stuff,6
product,6
knowledge,3
reasonably,2
together,1
too,17
bad,9
obviously,10
along,9
able,5
sales,3
comparative,5
question,14
never,10
close,54
roughly,3
let's,10
sake,1
discussion,1
way,15
closing,8
thousands,1
variation,3
each,3
scope,1
multiple,1
away,11
eight,1
again,5
early,4
canvas,3
notice,5
difference,1
between,7
canvass,3
least,1
activity,5
activ,1
discuss,1
action,2
sit,21
script,1
customer,32
mouth,5
sound,3
parrot,1
centre,1
cu,1
punter,3
interact,5
allow,4
frightened,3
case,3
open,8
sell,19
appointment,4
enthusiasm,1
pass,1
across,5
else,11
interaction,1
office,2
objection,27
prepared,6
decision,6
tonight,14
n,6
ob,1
happy,3
window,28
style,7
win,1
agree,6
find,11
repeat,1
try,19
suggest,4
area,3
pop,2
hour,8
point,6
house,16
treat,3
twenty,6
kill,1
precise,1
exact,1
maybe,5
yours,1
ago,1
wan,13
understandable,2
debt,1
evening,1
effect,1
realize,2
carefully,1
order,13
choice,8
property,7
clarify,2
thinking,3
feel,6
space,3
likely,1
anyway,6
problem,6
chance,3
clear,2
design,1
colour,2
until,4
ask,20
volunteer,1
final,6
load,4
rubbish,2
study,1
learn,1
which,20
hard,5
person,7
deal,12
night,6
thousand,4
most,5
ev,1
actually,22
miss,2
glass,4
bathroom,4
handle,8
understand,8
pauline,4
wife,2
prepare,4
sorry,10
stock,2
shut,1
move,5
hit,4
comfortable,1
dance,3
process,1
always,9
quote,3
possible,4
price,14
