item,cnt
he,939
might,62
try,61
and,1782
come,277
down,206
again,61
what,611
before,69
then,239
but,562
you,2400
know,708
it,2319
depend,2
yeah,1067
cos,170
be,5159
this,494
friday,23
take,173
a,1477
group,21
erm,787
youngster,3
to,1554
paris,1
that,1969
have,1743
book,41
see,394
in,833
fact,38
also,16
at,315
easter,4
go,727
the,2509
florence,1
could,148
not,1484
cancel,2
someone,13
else,42
get,920
obviously,28
place,34
either,18
or,215
i,3263
would,339
imagine,10
people,76
sort,188
of,1037
do,1404
as,274
say,560
er,317
we,835
up,311
dinner,7
time,173
on,502
next,68
day,87
because,192
back,148
after,58
morning,78
daniel,4
there,775
station,9
christopher,20
pick,22
off,85
they,969
so,768
hear,53
anything,63
presume,1
alright,136
how,209
carris,5
all,236
anyway,75
now,288
mm,420
well,765
seemingly,1
she,545
bit,94
resign,1
more,81
resigned,1
another,53
possibility,7
mean,338
if,355
sell,12
house,52
quickly,8
course,84
here,219
look,232
for,419
something,125
likely,6
no,589
travel,13
marilyn,2
stay,17
year,85
with,274
timothy,6
move,24
gcse,1
due,6
oh,789
think,524
gon,123
na,133
def,1
ta,21
everything,23
equal,39
thing,147
yes,600
can,358
will,479
want,162
separate,5
twelve,31
month,13
each,22
weekend,17
happen,29
when,179
worried,8
about,256
whether,34
job,16
need,53
second,63
income,6
should,94
problem,9
always,52
agency,2
general,1
midwifery,1
like,193
used,36
an,178
old,40
person,18
's,131
home,26
night,43
actually,65
just,312
paid,2
travelling,4
probably,70
great,25
consideration,1
short,11
term,11
until,12
herself,2
full,13
regular,1
post,34
mostly,4
every,26
summer,6
some,140
ideal,4
really,165
september,5
right,721
most,12
o,73
level,5
during,5
by,158
end,31
june,3
finish,30
those,98
start,48
july,2
august,2
any,70
settle,4
moment,19
chris,10
very,192
much,95
happy,14
meet,12
bob,12
office,20
thought,8
away,43
rather,11
nev,1
begin,12
idea,21
expect,18
quite,88
marvellous,1
set,12
fantastic,3
b,36
e,188
week,66
write,71
rest,9
lecture,1
royal,2
college,11
out,255
from,182
temporary,2
basis,2
lecturing,1
nice,95
able,21
contact,4
help,34
necessary,2
difficult,8
situation,4
keep,30
little,64
while,14
friend,9
than,62
enemy,2
panel,1
board,3
six,183
living,4
allowance,6
save,7
into,93
account,3
tiredness,1
factor,1
work,58
long,57
train,22
question,12
drive,10
least,14
fair,12
enough,28
removal,1
expense,1
nor,5
phone,38
certainly,17
nosy,1
even,45
father,35
ring,21
ever,38
funny,21
sunday,15
wonder,39
child,29
alive,3
anybody,11
talk,35
bridget,5
moor,7
hell,4
fortnight,3
answer,44
tomorrow,38
pardon,13
tell,81
perhaps,48
surprise,3
put,173
foot,7
conversation,4
feel,27
free,12
play,27
ear,1
way,100
must,70
first,70
together,22
lunch,11
n,84
plenty,8
around,23
tonight,14
thank,62
goodness,7
twenty,202
five,301
mile,87
over,106
change,48
subject,4
completely,8
saint,9
mary,3
church,23
club,3
bank,21
door,18
bell,7
ding,5
normally,8
only,115
one,713
who,80
bill,12
missus,1
remember,43
caretake,1
school,70
caretaker,3
wonderful,3
man,28
absolutely,12
god,17
wrong,49
which,97
make,83
himself,4
good,200
lord,3
two,452
number,157
his,2
painting,3
cat,13
fiddle,2
strewth,2
name,46
past,45
fred,8
wife,11
call,55
joan,3
town,7
torquay,4
gosh,24
police,13
ooh,30
butt,1
hospital,16
c,84
ray,2
mum,15
mother,11
nurse,5
clinic,1
son,13
fire,17
service,10
orlando,3
hysterectomy,1
three,270
leave,53
live,31
locally,1
newton,6
abbott,4
bloke,1
ah,40
lovely,29
lady,11
sit,18
wait,21
give,99
bloody,2
mrs,8
pat,8
same,58
prevention,2
richard,9
ai,2
both,40
dreadful,4
christian,1
angela,2
girl,14
embarrassed,1
box,15
gracious,10
last,66
sorry,31
kick,2
guess,3
fine,22
these,88
describe,3
virtually,1
too,34
dissimilar,1
road,38
object,7
planning,13
application,1
knock,11
husband,13
die,5
dear,43
committee,17
monday,24
happily,1
ten,101
o'clock,14
allow,9
watch,5
wan,11
never,69
yours,12
trouble,19
ours,12
sure,32
soon,10
within,8
foolscap,3
letter,13
nine,138
point,209
somebody,29
architect,2
bother,9
afterwards,11
late,10
appeal,11
against,11
almighty,1
present,7
mayor,1
holiday,9
officer,4
deal,14
single,3
member,2
environmental,4
health,5
offer,8
objection,2
smell,5
stinking,1
disagree,1
slight,1
proposal,1
ahead,4
shall,41
ask,21
speak,11
personally,1
rubbish,10
controllable,1
let,26
wash,10
interested,6
council,2
reject,1
ground,14
highway,2
traffic,9
although,6
authority,4
department,4
other,127
local,9
issue,1
unsuitably,1
unsuitable,1
environmentally,1
area,22
grateful,1
limb,1
thin,3
ice,10
nothing,38
consult,1
far,44
pretty,7
access,1
lot,83
few,14
sway,1
side,61
four,296
shop,8
jean,4
seven,148
eight,145
guy,2
ginny,1
',2
certain,2
wish,6
knowledge,4
assume,5
life,14
justice,2
ombudsman,2
pass,10
produce,3
evidence,2
malpractice,1
prove,4
stage,6
complete,9
parliament,1
everybody,10
patrick,1
coffee,21
village,3
keen,1
law,1
decision,5
third,11
party,7
whose,2
jane,15
length,6
find,63
sympathetic,1
undoubtedly,1
favourable,1
apply,7
option,1
usage,1
considerable,2
use,50
okay,106
send,12
still,68
ridiculous,7
hope,17
helen,14
hard,21
mock,1
yet,27
accept,6
cardiff,5
wednesday,43
cs,3
university,1
york,5
leicester,7
acceptance,3
stop,21
listing,1
degree,1
history,4
bristol,7
governor,2
avoid,1
meeting,6
chairman,1
building,23
site,2
ha,25
date,1
early,16
part,19
march,9
different,27
compare,1
note,11
honestly,2
fir,1
swear,2
southampton,2
harold,2
daughter,7
horrified,2
accommodation,3
appointment,4
since,9
suppose,63
october,1
hundred,214
pound,65
worth,13
cheque,4
earth,3
crown,6
fifteen,16
shilling,1
new,53
plate,4
tooth,7
drop,27
fitting,1
purpose,5
pin,3
darling,3
abscess,3
top,30
push,8
catch,17
naughty,5
abscessing,1
underneath,3
painful,3
filling,1
relieve,1
pressure,2
drill,1
through,46
root,23
ash,6
rid,4
once,8
load,8
penicillin,2
strong,5
drug,1
pay,33
tax,15
mind,46
cost,8
fifty,161
paul,6
waste,3
danger,1
damage,2
head,10
lay,2
grade,2
maths,14
where,116
intermediate,3
buy,35
revision,1
smith,4
chemistry,1
biology,1
physics,1
ma,7
cherry,2
french,10
serious,3
confident,3
high,11
run,34
examination,2
exam,3
cuthbert,1
main,5
qualify,1
argue,2
qualified,1
matter,11
supply,4
tony,7
hall,41
clear,8
tuesday,16
stag,2
definitely,3
wind,3
whole,31
tent,16
comparatively,1
big,53
jumble,8
sale,7
raise,3
thousand,36
under,14
scout,7
multi,1
storey,2
ago,22
flag,3
andre,3
ferchase,1
diary,2
kay,15
touch,6
retire,4
ivor,2
sixty,70
seventy,17
upset,8
surprised,2
district,2
executive,1
height,7
slightly,3
slim,1
slimmer,1
badge,2
lapel,1
tie,3
notice,11
process,1
spend,12
maybe,6
bet,11
commit,2
myself,15
unfair,1
money,28
patrol,4
particular,1
decent,1
roll,3
fairly,4
thick,6
sound,9
margaret,10
tina,1
jim,1
marcus,1
kid,11
camping,2
equipment,3
fellow,6
altogether,3
involve,2
adventure,4
section,4
successful,2
respect,1
attach,1
cub,3
pack,9
many,46
stall,2
seventh,5
mutant,1
disenfranchise,1
create,1
buckland,1
instead,8
joseph,3
buckinary,1
warrant,1
neck,2
wood,4
hang,8
onto,13
resurrect,1
hold,17
wicked,2
cupboard,4
pair,6
walking,1
boot,4
beginning,5
saw,2
lad,5
eighty,50
gaiter,3
