item,cnt
be,237
that,63
nice,7
yeah,45
i,144
do,90
not,75
realize,2
how,11
long,4
ago,1
it,115
till,1
have,70
eat,3
but,16
forget,2
t-shirt,1
on,18
no,20
mean,7
open,1
to,50
switch,1
think,16
would,19
work,1
erm,13
jill,7
can,15
see,13
please,3
philip,1
the,67
she,91
alright,3
people,10
belch,4
in,29
this,17
house,6
they,38
next,1
thing,6
know,28
you,95
will,9
tell,4
fart,1
a,51
naughty,1
boy,1
let,2
oh,35
god,5
what,27
say,30
well,11
snog,2
meet,3
anyone,2
mhm,2
aha,1
most,2
there,21
turn,1
off,3
aye,1
nightmare,1
because,17
and,81
like,37
of,27
rachel,7
we,17
get,31
wait,1
for,12
very,6
when,7
phone,1
order,1
twenty,3
past,5
really,6
arrive,1
at,10
quarter,1
bit,6
early,3
mm,8
just,18
even,1
attempt,1
make,7
before,1
then,18
mind,2
so,23
might,4
everything,2
sort,8
go,26
stuff,5
good,8
much,3
cost,2
borrow,1
minute,1
blimey,1
ooh,1
fancy,1
shall,1
nip,1
round,6
some,4
want,8
any,6
if,6
all,8
believe,1
afternoon,5
sorry,3
lasagna,2
dish,2
right,8
about,12
wide,1
deep,1
thursday,1
big,2
by,1
myself,1
one,31
annoying,3
n,6
try,7
night,5
dead,1
with,23
walkman,1
microphone,1
gon,12
na,14
take,3
tape,1
test,1
two,9
three,3
lee,1
never,5
dictionary,2
put,3
under,1
b,1
shit,1
expect,3
letter,3
obviously,2
teach,1
manner,1
somerset,1
from,6
cos,15
perfect,1
notational,1
quality,1
come,6
more,4
could,4
look,6
stupid,1
back,3
wedding,1
bell,1
after,3
wheyey,1
should,3
why,9
choose,2
set,1
up,11
someone,2
else,8
or,12
something,7
other,9
burk,1
old,3
fifty,1
cheek,1
madge,1
still,2
across,2
time,7
half,7
seven,3
eight,2
grief,1
different,3
always,3
find,2
confectioner,1
w,1
buy,5
far,2
sweet,1
yes,6
add,1
er,4
sugar,1
whereas,1
straight,1
taste,1
's,6
artificial,1
rape,2
seed,2
field,1
behind,1
yellow,1
crystallize,1
watch,2
whole,2
mine,2
bag,1
little,2
leave,2
nick,1
yours,1
through,3
shopping,1
feel,2
enjoy,1
lie,1
he,59
quite,5
actually,2
late,2
thirties,1
hair,6
thin,1
short,1
s,2
smart,1
dresser,1
trendy,1
interesting,2
speak,4
load,3
conversation,3
here,5
everybody,1
same,3
transcript,1
though,4
home,3
lecture,1
idea,1
louise,3
now,3
sure,3
c,1
contact,1
tall,2
john,4
piss,1
who,18
break,1
leg,1
sarah,6
remember,5
listen,1
another,1
guy,2
talk,4
stay,1
dave,4
drink,1
odd,1
girl,2
perhaps,2
spend,1
live,8
wan,2
stand,2
against,1
racial,2
stereotype,1
purple,1
programme,1
woman,1
hangup,1
problem,1
marion,3
hate,9
cathy,4
angie,4
hear,1
tonight,1
away,1
ours,1
way,3
desperate,1
state,1
affair,1
shelley,1
quiet,3
quieten,1
down,2
egg,1
first,1
week,2
corrinne,5
susannah,5
into,1
room,3
lock,1
door,2
sally,5
smoke,3
hash,3
corinne,1
dark,1
friend,1
sit,1
each,2
apparently,1
extremely,1
tight,1
money,2
fussy,1
begin,1
give,2
telly,2
lounge,1
offer,1
every,1
use,1
remind,1
sell,2
picky,1
lucy,2
lift,1
blonde,2
ruth,1
seem,2
bitchy,1
pair,1
together,1
compare,1
nine,1
nicole,2
shower,2
cold,1
shelly,1
word,3
exactly,1
talkative,1
sh,1
stylish,1
age,1
used,6
pullover,1
lot,3
furious,1
annoyed,1
steve,3
drop,2
donger,1
sing,2
frere,1
jaque,1
ding,1
dong,2
whatever,1
call,2
couple,2
neither,1
jeff,1
where,3
school,6
dinner,2
concrete,2
chip,2
soggy,2
semolina,2
sick,1
toilet,1
quick,1
too,2
plate,1
proper,1
song,1
junior,1
keep,2
pardon,2
eileen,2
grey,2
skirt,1
jumper,1
l,1
job,1
yet,2
london,1
poly,1
year,2
electric,1
electrici,1
electrical,1
h,2
d.,1
d,1
imagine,3
catherine,2
frustrate,1
sister,1
flirt,2
reading,1
vogue,1
laura,2
ashley,2
surprised,1
horrible,2
suppose,1
cater,1
such,3
range,1
size,2
sixteen,3
reject,1
box,1
mark,7
rid,1
wear,2
green,1
black,2
t,1
top,1
sleeve,2
v,1
neck,2
anything,3
gorgeous,1
scarf,1
shoulder,1
pick,1
hole,1
as,1
love,3
knitting,1
until,1
mistake,1
crochet,1
table,1
mat,1
striptease,1
deny,1
girlfriend,2
only,4
ever,3
netball,1
queen,1
many,1
lisa,1
out,2
supposed,1
red,1
lion,1
wednesday,2
pay,3
over,1
fifteen,3
pound,4
usually,1
thirty,2
those,1
expensive,1
must,2
hers,1
dress,1
slit,1
knickers,1
line,3
waste,2
basically,1
spoil,1
gross,1
eye,1
person,1
obvious,1
maybe,1
openly,1
admit,1
day,2
eh,1
fucking,1
hell,1
front,2
sandwich,1
queue,1
purl,4
bump,1
knit,2
hold,1
stitch,4
needle,1
backwards,1
voice,1
distract,1
last,1
course,1
understand,1
prime,1
minister,1
norman,1
lamont,1
sack,1
new,1
ex-ch,1
ex-chancellor,1
tory,1
party,1
mcqueen,2
hang,1
sylvester,1
stallone,1
film,1
brilliant,4
absolutely,2
fantastic,1
today,2
group,3
change,1
timetable,1
mess,1
rather,1
an,2
hour,1
learn,1
which,1
true,1
politics,1
teacher,1
mum,1
vote,1
life,1
dad,2
neighbour,1
both,1
marry,3
greece,1
gayle,1
robinson,1
des,2
melanie,3
romance,1
educate,2
rita,2
tidy,1
charles,1
bronson,1
donald,1
pleasance,1
richard,1
attenborough,1
james,2
garner,1
coburn,1
david,1
mccallum,1
