item,cnt
er,159
get,334
they,272
last,23
week,29
from,44
freeman,1
hardy,1
and,481
willis,1
ooh,17
oh,381
i,1239
know,159
what,218
forget,4
to,397
in,229
town,2
damn,2
a,451
comb,3
do,504
classic,1
pocket,1
the,586
other,37
day,24
drop,2
all,101
dinner,6
down,58
no,236
put,49
it,757
on,178
arm,1
chair,1
be,1449
try,26
clever,1
sit,12
have,485
like,207
material,2
there,161
catch,4
just,207
sort,48
fall,3
here,40
lovely,40
smell,6
wah,1
wurgh,1
of,238
god,23
mushroom,9
tomato,3
yuk,2
alright,35
you,736
erm,127
or,87
brush,3
not,455
anything,25
travelling,1
hair,7
so,226
must,21
one,166
somewhere,3
then,103
yeah,406
thing,71
that,421
tired,3
shop,7
up,111
fact,21
reasonably,1
near,7
at,82
hand,10
fine,11
if,78
walk,13
little,21
while,6
okay,36
will,140
stuff,22
first,15
anyway,12
give,24
car,16
can,114
move,9
well,235
when,77
drive,7
along,7
any,34
music,3
nice,63
without,1
stereo,3
leave,35
aha,5
room,14
actually,59
we,325
marion,19
might,26
these,17
think,143
open,18
but,130
float,4
bath,7
plug,11
right,75
which,23
buy,28
two,34
secondhand,1
book,9
yesterday,13
she,197
want,54
see,112
only,27
pack,5
where,47
t,4
v,4
aerial,1
connection,1
go,220
some,31
monkey,6
though,35
cancer,4
research,1
mm,124
ready,3
yes,74
should,26
hope,9
need,15
adaptor,2
out,86
n,25
fit,2
ca,3
lead,2
whatever,15
wind,4
walkman,1
winding,1
ah,43
table,5
how,41
come,73
use,11
this,97
cath,3
tie,2
round,17
ta,24
se,2
end,10
both,3
same,6
now,45
for,122
excellent,10
darn,1
way,31
dad,9
set,5
adjust,1
bit,52
with,103
as,71
small,3
mhm,4
screwdriver,1
fire,3
such,14
fright,3
lie,3
bed,5
sud,1
soot,2
th,13
suddenly,7
shoot,1
whatsername,2
cos,77
keep,17
expect,8
bird,1
fly,3
usually,1
thank,27
probably,18
clean,5
least,10
look,44
too,23
scared,3
bloody,15
hell,7
why,38
luck,1
yet,8
take,41
good,65
broad,1
edging,1
screw,1
apparently,6
reach,2
into,24
living,1
around,8
house,27
quite,40
picture,5
until,7
play,6
telly,1
something,37
appear,1
let's,8
find,19
side,5
nothing,14
ever,7
simple,1
hooray,3
perhaps,4
zippy,1
doo,5
case,4
back,42
wire,1
connect,1
those,22
bad,26
believe,9
james,9
could,43
even,22
dentist,1
happy,5
h,2
s,3
crap,6
really,148
money,18
free,3
prescription,1
much,43
pay,30
would,80
corner,3
gon,65
na,79
shove,1
behind,6
top,12
wardrobe,2
make,20
run,11
hold,4
let,10
undo,3
wee,2
floor,6
chuck,2
over,21
hang,5
love,6
crate,1
cupboard,1
wedge,1
curtain,1
hook,1
hammer,1
pin,1
wrong,11
underneath,5
fuse,1
box,1
low,2
cheers,6
decent,1
turn,17
saturday,5
hey,3
watch,6
doctor,2
change,17
half,24
photo,1
still,12
wall,3
home,27
wonder,6
few,4
clear,2
football,1
shall,3
tt,3
perfect,1
wan,14
whe,3
goal,1
tape,5
arsenal,1
nil,3
manchester,1
city,2
england,1
chronic,1
terrible,9
badly,1
graham,3
taylor,2
ferdie,2
he,190
sad,2
difference,1
front,2
wi,2
defence,3
mottley,1
very,54
old,14
's,32
mate,7
realize,11
slow,2
who,24
merson,1
also,6
platt,2
mean,37
pull,2
next,20
job,6
agenda,1
yo,17
trouble,7
radiator,4
heat,2
angie,17
boiling,5
hot,15
susanna,2
work,35
lukewarm,1
pu,2
say,95
upstairs,4
worth,5
mess,3
more,23
real,3
stop,15
water,14
pour,6
washer,1
tap,1
rather,7
once,6
nip,2
place,19
check,3
twickenham,4
fair,5
enough,10
normally,3
ride,4
bike,3
easy,10
by,12
about,82
tick,1
ya,3
ticket,6
four,21
pound,11
hour,20
alternative,1
si,3
key,6
boy,8
worry,12
lot,16
spanner,2
sa,5
kinda,1
ratchet,1
type,4
otherwise,4
time,30
thingie,1
bleed,3
completely,3
air,5
idea,3
seem,15
effectively,1
obviously,8
off,30
dry,8
whereas,2
longer,1
hello,4
pressie,1
meal,5
teddington,1
li,3
italian,2
chicken,18
mexican,2
pasta,2
smart,1
hopefully,1
great,8
win,4
hear,10
gre,1
whoopee,1
ne,1
stejskal,1
save,4
penalty,1
minute,12
dear,10
ring,4
live,8
sheffield,5
office,1
moment,6
da,6
mind,16
phone,18
ha,18
seven,6
seventeen,1
meet,5
julie,1
joe,1
ray,1
lord,2
garage,1
twenty,18
six,3
practically,1
far,5
count,2
trust,3
night,21
an,23
agreement,1
course,12
pizzaland,1
crazy,1
tomorrow,4
quick,4
goodbye,2
sure,20
because,35
friend,14
egham,1
boyfriend,6
again,11
monday,9
journey,3
basically,8
away,11
breather,1
sense,2
q,2
p,7
r,2
team,1
r.,1
match,1
dirt,2
kitchen,2
paper,4
tea,2
towel,3
confidence,1
drinking,2
lock,2
properly,1
happen,16
later,6
early,13
ye,5
cash,2
yourself,9
another,17
help,7
susannah,2
permission,3
pardon,1
ask,12
post,7
always,14
c,5
v's,1
print,1
send,5
cheque,2
le,2
landlady,3
feel,19
massive,14
sackful,1
forwarding,1
address,1
court,1
summons,1
man,6
bloke,3
used,4
three,16
hundred,2
visa,1
bill,5
sue,1
debt,1
bank,6
statement,1
thousand,3
overdrawn,1
ke,1
anybody,7
glass,2
somebody,3
coat,2
contact,3
lense,2
catherine,8
blue,4
colour,4
eye,3
scratch,1
noise,2
matter,4
evelyn,1
most,5
eh,7
martin,6
eight,6
o'clock,4
crowded,3
entire,1
planet,1
gutted,3
annoying,3
upset,1
brother,8
sell,1
sharon,3
girlfriend,2
essex,1
australia,1
allow,4
reason,3
forgive,1
bear,1
country,2
banish,1
dip,2
loo,3
occasionally,1
cold,10
morning,10
freezing,2
cycle,4
horrible,3
definitely,6
tell,44
pick,5
detour,3
stand,4
line,3
mum,21
mary,2
guess,1
lisa,5
lecture,3
mike,6
exam,3
many,11
people,26
either,5
ridiculous,3
announce,1
david,1
anna,3
understand,3
point,7
urgh,7
never,15
gill,10
balloon,8
shame,4
oi,1
wash,2
every,13
glue,7
beryl,1
flop,1
sketch,1
ours,5
vicky,3
please,13
clue,10
tha,1
lose,7
mine,9
excuse,3
bubble,1
everywhere,6
toy,1
drink,10
bir,1
mo,3
wen,1
friday,8
ill,5
sick,4
rachel,5
ro,1
rough,1
punch,1
party,6
disgusting,1
mouthful,1
drunk,2
long,18
knock,2
diamond,1
white,1
laugh,11
coke,12
middle,4
annoyed,1
helen,3
ten,11
board,1
under,2
dryer,1
whole,3
absurd,1
surprised,4
naughty,1
stick,5
five,19
month,3
wait,4
till,6
build,1
wet,2
before,13
layer,2
basket,1
cut,7
bottom,3
bonfire,1
garden,3
rid,2
invite,3
guy,4
finish,7
lawn,2
impressed,4
summer,2
sarah,6
london,5
christmas,3
u,3
across,9
year,24
excited,2
mail,2
everybody,4
else,14
big,17
sack,2
gut,1
load,9
theirs,1
student,2
diary,2
read,13
bollock,2
everyone,5
show,7
ach,1
new,10
desk,4
drawer,1
card,2
page,3
girl,8
eighteen,5
funny,5
po,3
porno,2
magazine,2
yurgh,1
baywatch,1
gorgeous,5
pretty,4
blonde,1
bung,1
yours,5
bob,2
pose,1
pornography,1
charming,1
sweet,9
peculiar,1
bunch,2
choice,3
shakespeare,4
bother,6
alchemist,1
dunn,2
bet,3
blair,1
fault,1
poetry,3
chaucer,3
chau,1
paradise,2
question,1
english,4
afternoon,3
borrow,2
note,3
miss,5
thursday,3
ba,2
interim,1
report,2
shocking,1
mass,1
parcel,1
girly,1
postage,1
leaflet,1
bundle,1
group,4
nah,1
wave,1
tony,1
whatchamacallit,1
sorry,20
interesting,4
mark,12
blimey,3
lo,1
lucy,1
weekend,7
easily,1
bong,1
hi,1
intend,1
aunty,4
stress,1
problem,9
cagey,1
baby,3
after,14
polio,1
sugar,1
cube,1
tetanus,1
psych,1
myself,6
dream,1
brain,1
scan,1
form,3
imaginable,1
wha,4
everything,13
pregnant,4
nearly,7
die,8
sock,1
pill,3
already,2
cathy,8
blow,1
sleep,6
wake,4
sleeping,1
lucky,3
honestly,6
awful,3
than,15
bored,5
wear,2
best,1
kingston,5
navy,1
grey,1
seriously,2
quid,4
polo,4
neck,4
slight,1
rib,1
jumper,5
gross,1
pair,1
life,2
own,8
personally,1
thirty,5
gillian,2
cover,6
sixteen,1
cheap,4
bar,1
busy,4
quiet,3
mistake,2
matron,1
order,3
paint,1
boring,2
blood,2
knackered,1
carl,1
convoy,3
college,6
route,1
left,3
soon,5
couple,11
mile,4
roundabout,2
news,5
straight,9
through,15
car.gonna,1
presume,2
wednesday,2
nerdo,1
cousin,1
reg,3
fiesta,2
reckon,3
cost,7
impulsive,1
shopping,1
precinct,1
shut,3
major,3
trauma,3
write,4
darren,1
moan,2
male,1
exciting,1
tonight,6
late,4
christ,1
suppose,10
rotten,1
claire,7
stay,6
awake,1
matthew,7
sunday,3
sneaky,1
feeling,2
door,10
road,16
flower,3
mouth,2
huge,1
present,4
birthday,5
wrap,3
surely,3
true,3
glove,1
ge,3
maybe,5
pet,8
whale,1
attach,4
ai,1
shower,5
twelve,2
pence,1
novelty,1
kiev,2
veggie,1
burger,1
louise,2
midnight,2
stuffed,2
herself,4
sober,1
pi,3
ee,3
mention,2
pissed,1
supposed,5
joke,2
melt,2
merry,1
pas,1
tortilla,2
odd,2
chip,1
cajun,1
bone,1
rice,15
spicy,2
remember,8
afterwards,1
pub,9
ben,5
alison,5
mi,1
crumb,1
weird,2
hate,3
jealous,2
black,1
felt,1
tip,2
pen,2
sometimes,2
spend,8
mobile,1
chi,1
huh,1
subtle,1
delicately,1
able,3
art,1
plan,2
assignment,1
anyone,2
drama,2
continuing,1
class,2
likelihood,1
sheet,1
degree,1
mad,4
begin,1
anymore,1
waargh,1
cook,2
food,5
washing,2
mow,1
organize,1
v.,1
decide,1
tuna,2
corn,3
prawn,12
yum,1
potato,1
salad,2
pro,1
processor,2
sound,1
sour,4
freezer,1
cinema,5
decision,1
ado,3
sleepless,2
seattle,2
tina,2
turner,2
story,1
leigh,1
nobody,3
editorial,1
call,7
being,1
frightened,1
popcorn,1
treat,2
pop,2
cheer,1
sev,1
fifty,2
ninety,8
nine,9
trolium,1
ma,6
rail,1
whereabouts,1
clothes,4
sweater,1
quality,2
prefer,1
macdonalds,1
pint,1
bottle,2
wine,1
joy,1
eighty,1
whenever,1
guilty,3
enjoy,3
spending,2
saving,1
pot,2
posh,1
jeans,1
cowboy,1
expensive,3
clog,1
exchange,1
cardigans,1
cardigan,1
bedside,1
cabinet,1
sale,1
pine,1
thi,2
sister,2
start,15
ealing,1
tavern,1
local,5
d,1
bre,1
break,7
brown,1
leg,5
michelle,1
nab,1
prat,1
transcription,2
african,1
may,7
wahey,2
forty,2
pity,1
fucking,2
nutter,2
clare,2
blooming,1
warm,4
speak,4
game,1
sainsburys,1
argue,1
brand,1
toothpaste,1
eleven,1
charge,1
signature,2
yings,1
ying,4
yang,3
china,1
yongs,1
yong,1
cantonese,1
lemon,12
