item,cnt
be,1142
this,93
the,482
wine,7
that,336
you,614
bring,11
where,31
do,368
get,140
hawk,2
something,27
yep,4
new,5
zealand,1
mm,331
excuse,6
i,863
who,40
make,30
noise,1
oh,163
look,44
at,81
nankypoo,1
he,365
have,417
tongue,1
hang,2
out,60
know,161
and,446
always,12
sleep,4
like,102
michael,26
lovely,33
not,384
plan,6
on,101
but,152
awful,20
everything,12
well,139
it,432
agree,2
just,98
stay,7
there,94
then,85
twos,1
cooking,3
rather,3
than,11
go,148
depend,4
yeah,134
sonny,1
she,292
buy,18
those,14
god,14
rachel,13
ask,8
to,371
take,29
glass,3
through,10
alright,12
a,328
bit,29
under,4
belt,3
need,12
another,8
coat,1
hanger,1
see,57
what,118
put,30
up,49
with,89
sorry,21
anne-marie,1
will,91
all,56
change,5
when,42
own,9
flat,2
interesting,3
we,173
knuckle,1
down,40
se,2
now,33
so,141
about,55
ready,1
mhm,12
miss,3
come,51
okay,14
dog,5
in,194
right,29
top,2
here,29
light,4
no,101
ah,13
shame,1
more,25
romantic,2
think,140
swallow,1
atmosphere,1
candlestick,1
they,195
give,31
off,36
much,23
though,25
purely,1
decorative,1
paper,3
one,103
might,3
ignite,2
because,37
candle,2
inside,3
shape,2
of,192
holder,1
translucent,1
also,4
some,34
nice,28
thank,22
grey,2
er,31
sure,18
brush,2
hair,9
bath,4
laser,1
beam,1
how,32
bon,1
appetit,1
today,1
yes,92
try,18
yet,1
gearoid,14
cheers,3
chap,4
long,13
as,56
wait,1
day,19
very,70
thanks,1
for,99
super,3
weekend,13
both,7
leave,17
love,10
never,28
before,20
drive,10
anywhere,2
tonight,4
twiddle,1
after,15
gin,4
martini,3
oak,3
mature,1
delicious,15
beautiful,6
dish,3
ma,2
patrick,1
walk,11
pickled,6
ginger,28
eat,15
gosh,4
absolutely,13
wonderful,12
pick,8
melon,2
cos,39
erm,73
ham,2
or,63
notice,2
melon-baller,1
delighted,2
me,1
baller,1
yum,26
surely,4
sell,6
dublin,3
thing,40
yourself,7
exactly,3
zester,1
molly,5
good,37
idea,1
gorgeous,7
hook,1
taste,2
lime,1
chris,2
discover,1
blakes,1
really,109
first,7
can,65
mean,53
cold,4
meat,2
roast,5
chicken,24
pork,1
would,107
mikey,1
mother,10
must,15
es,1
especially,2
which,26
th,5
cashew,1
nut,1
root,7
powdered,3
strong,3
subtle,4
packet,1
actually,34
many,5
people,14
decipher,1
margaret,1
understand,2
word,2
two,41
pound,20
peel,4
chop,2
philadelphia,5
cheese,5
into,19
cavity,2
outside,5
lightly,1
rub,2
oil,3
ounce,2
sprinkle,1
over,18
oven,2
fifty,11
minute,8
white,5
melt,2
stir,1
crushed,1
sauce,3
serve,2
side,6
tell,25
anything,15
could,40
tail,1
keep,14
say,137
expensive,6
used,8
popular,1
strangely,1
enough,3
tea,6
oops,1
drunk,2
sound,9
again,12
yo,6
mix,4
most,11
normal,5
half,5
crush,1
whole,6
bash,4
if,59
full,2
moist,2
ground,2
stuff,5
cook,7
only,20
fifteen,2
longer,1
talk,4
ro,1
still,11
pretty,4
short,3
an,22
hour,5
want,32
overcooked,1
