item,cnt
you,304
get,92
nineteen,5
out,25
of,28
twenty,8
in,36
a,89
geography,1
test,1
mr,5
yeah,71
be,324
sir,10
i,344
have,110
just,27
record,15
need,11
the,88
blue,2
something,3
say,33
oh,74
let,6
talk,21
to,91
do,159
it,144
minute,1
no,75
seriously,3
he,101
twen,1
hundred,2
ninety,3
ni,2
think,22
that,94
why,22
can,34
sorry,6
turn,6
on,51
right,17
unfortunately,1
time,10
come,23
pack,1
thing,13
up,40
dear,3
and,80
leave,4
classroom,1
oi,2
not,168
bad,2
though,11
still,2
fancy,3
julia,1
speak,1
then,21
wan,12
na,32
cos,15
go,53
please,17
n,5
if,22
would,19
like,46
this,33
smell,1
wee,1
really,11
other,1
people,7
what,67
again,3
young,1
lady,1
help,3
she,15
look,20
tomorrow,5
sh,1
ah,31
ever,4
flood,1
make,8
any,8
gorge,1
stink,2
kid,2
mum,10
robin,14
know,32
we,23
meet,3
anyone,4
well,39
they,43
norway,1
er,37
ya,1
letter,1
stuff,3
all,13
about,18
erm,17
study,1
voice,1
way,4
change,1
different,2
how,14
talking,2
from,5
yes,23
exactly,3
now,18
with,9
but,24
swot,1
never,2
as,11
nice,8
lie,7
quite,7
sillily,1
thanks,6
very,10
much,12
loudly,1
zoe,3
will,39
sweet,2
there,34
nothing,3
macdonalds,4
stuck,1
here,9
mind,2
ha,9
see,23
call,7
white,2
man,2
jump,1
gon,20
ben,3
fifteen,2
for,31
someone,6
already,1
yourself,1
mo,1
film,1
yet,1
's,12
gavin,4
too,7
also,1
another,4
video,2
bug,1
good,30
one,52
yo,2
mean,10
wou,1
put,9
coat,1
little,2
bit,3
between,2
take,5
long,6
learn,2
song,2
sure,3
black,1
eye,2
ollie,17
pardon,1
play,10
snooker,1
push,1
back,12
queue,1
feed,1
lot,3
chair,1
conversation,1
afraid,1
steven,12
aha,1
else,8
must,3
mm,23
tell,17
rip,1
eastern,1
world,1
ta,4
show,2
clear,1
book,2
practise,1
rob,3
ro,2
cathy,3
true,1
silly,1
could,14
tonight,6
so,22
love,2
sensible,1
cath,1
away,2
bag,11
mrs,1
even,3
worth,1
such,3
square,1
alright,16
want,21
these,8
keep,5
enough,4
eh,3
quiet,1
when,18
sign,2
buy,10
crisp,2
money,6
supposed,2
th,3
care,3
wait,2
down,3
realize,1
start,10
listen,4
ask,3
beat,18
every,4
ronald,1
homework,3
or,13
anything,4
mine,1
two,13
pound,10
somebody,3
spend,2
friend,11
tt,1
ho,1
hey,2
jimmy,1
four,5
consider,1
an,2
english,2
teacher,1
fair,1
pick,3
whisper,1
jessie,1
probably,7
actually,8
gym,1
most,1
hopefully,1
okay,4
check,3
walk,1
wall,4
far,3
where,15
before,1
picture,1
bo,2
boxing,1
punch,5
those,3
clip,1
step,2
machine,1
matter,1
hard,3
try,5
up-to-date,1
by,3
next,5
lesson,1
worrying,1
find,2
chase,1
point,4
at,11
bet,6
use,2
word,1
once,1
riddance,1
som,1
child,1
idea,4
should,6
everyone,3
over,4
stop,3
let's,2
shut,10
romeo,2
juliet,1
yesterday,6
lo,1
might,6
lucky,1
off,5
bleeding,1
boring,1
round,5
corner,1
cry,1
happen,4
microphone,1
magic,1
music,1
certainly,1
course,5
immediately,1
darling,1
may,2
re,2
only,5
seven,2
six,1
name,1
boy,2
today,2
who,15
penny,4
shiny,1
gold,1
chew,1
gum,1
bloke,2
answer,1
wow,1
some,6
give,4
woman,2
imagine,1
mother,1
listening,1
hit,2
harder,1
ow,2
diddle,4
weeow,1
hint,7
wicked,5
pretty,2
hold,1
suppose,1
reckon,8
wire,4
because,5
plug,1
type,1
arm,3
stretch,1
mouth,1
cigarette,1
hand,1
inside,1
si,1
dead,1
ee,2
doo,2
ooh,3
muffled,1
sort,3
id,1
catch,5
scott,6
close,2
literally,1
toss,1
notice,1
complete,1
gullible,1
arsehole,1
honest,1
feel,7
shoulder,1
funny,7
da,14
ba,8
open,6
hello,7
audio,1
which,7
reducer,2
big,12
ga,1
small,6
stereo,6
mono,2
difference,2
channel,2
mhm,2
reduce,1
extension,1
lead,1
cost,1
fifty,3
saturday,2
closed,1
sunday,2
morning,4
collect,1
forty,3
nine,4
thank,10
bye-bye,1
bye,3
hi,1
ian,14
sudden,1
appearance,1
day,4
fine,2
hurt,3
room,2
wham,1
purpose,2
lost,1
fact,5
stimerol,2
original,2
precise,1
moment,1
whe,2
less,1
gareth,1
ice,1
cream,1
twix,1
anyway,1
fu,1
coke,3
bottle,3
trust,1
jolly,1
sa,2
carrier,1
five,6
p,1
softie,1
shop,3
profit,1
run,1
chicken,7
believe,3
god,6
ready-cut,1
great,4
tray,1
first,2
case,1
beautiful,1
kentucky,1
fried,1
place,1
harrow,3
price,1
line,4
bu,1
bottom,1
sound,2
remember,5
monday,2
piece,1
fry,1
bomb,1
obviously,1
forget,1
definitely,2
pe,1
tuesday,2
decent,1
wish,1
luck,1
door,2
pizza,4
hut,3
fast,1
bike,1
drink,6
customer,1
always,3
sick,1
card,8
dad,3
birthday,2
wednesday,3
dentist,1
decide,2
visa,1
american,1
express,1
choose,1
poodle,1
appropriate,1
husband,1
maybe,1
hurry,2
ach,1
anyhow,2
home,1
f,1
l,1
hell,1
favour,1
sixty,2
pence,1
fanta,1
rio,4
ri,1
riva,3
tooth,1
aargh,1
rid,1
nearly,1
finish,3
worry,1
king-size,3
mars,2
father,1
act,1
three,2
thirty,3
eighteen,1
snickers,1
urgh,2
unless,1
bother,5
indeed,1
cor,1
blimey,2
seat,1
harm,1
box,1
seventy,1
eight,1
pay,1
pocket,1
till,1
melting,1
lovely,1
shit,1
st,1
paul,10
fault,1
giant,1
threat,1
everything,1
jamie,1
craig,1
bring,9
neil,5
allow,1
load,1
hear,1
touch,2
oliver,2
nosy,1
kill,2
fight,6
pride,1
die,1
fighting,1
massive,1
sword,1
stupid,2
thick,2
family,2
michael,4
understand,1
himself,2
admit,1
kiss,3
juicy,1
last,1
night,1
head,1
read,2
own,1
bed,1
asleep,1
cat,2
fun,3
sarcastic,1
nick,1
pearl,1
earring,1
tyre,2
completely,1
order,1
ill,1
miss,6
chuck,1
life,1
annoy,1
philip,1
annoyed,1
mehmet,1
bacon,1
burp,1
disgusting,1
ricky,1
yours,1
sec,1
than,1
paint,2
colour,1
simon,1
melanie,1
hate,2
laura,1
pete,1
house,1
tape,1
stay,2
underneath,3
stairs,5
under,1
behind,1
outside,1
complain,1
blurgh,3
starving,1
week,2
eighth,1
cassie,1
ticket,2
nil,2
lose,1
team,1
except,1
wr,1
sweep,2
system,3
wrong,1
ally,1
mccoist,2
header,2
power,1
into,1
allie,1
favourite,1
arsenal,1
player,1
merson,1
butterfinger,1
drop,3
git,1
fall,1
tony,2
adams,2
after,1
break,5
thin,1
career,1
leg,1
person,1
crystal,1
palace,1
eno,1
more,1
danielle,1
manchester,1
match,1
taste,1
wimbledon,1
vinnie,4
jones,4
girlfriend,1
heart,1
transplant,1
rubbish,1
eric,1
cantona,3
nor,1
mark,1
hughes,1
hang,1
knickers,1
quarter,1
