item,cnt
the,397
twenty-third,1
of,136
fourth,2
what,193
who,35
be,781
it,394
then,65
we,91
will,58
have,199
to,199
put,35
somewhere,2
with,58
you,667
gr,1
great,11
knee,9
under,12
table,7
miss,8
not,261
i,454
she,45
must,7
try,7
again,4
do,306
get,261
remember,7
dark,2
why,57
erm,66
aw,1
like,93
way,8
basically,1
anyone,5
duncan,1
can,102
mine,4
might,15
yeah,248
in,148
a,327
minute,3
sit,4
down,25
where,29
case,4
for,87
pen,7
ask,6
ai,15
so,82
no,123
did,1
there,98
here,23
illiterate,5
band,1
ah,34
look,43
that,285
know,92
ann,1
baby,4
yes,12
nah,5
he,126
oh,63
come,53
on,107
this,67
and,307
dean,1
hurry,2
up,50
want,28
sister,1
think,45
say,56
shakespeare,1
because,29
feel,6
dribbling,1
mum,14
his,1
cut,1
hand,9
shut-up,1
philip,1
read,12
more,22
notice,1
move,14
they,144
man,36
take,20
all,60
space,7
horse,2
right,35
go,84
whatever,6
stop,4
now,36
nothing,6
yet,9
sir,19
fix,1
work,32
lie,1
gon,67
na,74
play,18
water,12
'cos,7
annie,1
let,9
drive,10
post,1
sing,1
part,8
but,75
touch,3
mouth,6
straight,2
open,3
other,12
word,10
when,40
broken,1
silly,2
bastard,3
break,5
mm,34
about,47
one,88
per,21
cent,21
air,1
gun,3
ninety-nine,1
summat,2
round,6
er,57
touched,1
inside,2
excellence,1
let's,13
bleeding,1
tell,24
hurt,4
still,11
dun,2
n,17
finger,1
shut,9
idiot,3
wonna,1
prat,1
first,15
question,5
line,11
even,9
write,16
from,36
crap,4
sell,16
back,16
supposed,4
scene,3
book,8
suppose,2
how,42
start,9
act,2
four,26
such,4
an,22
bum,3
just,42
depend,2
or,63
okay,51
nobody,1
would,37
at,35
nose,2
lean,1
over,8
unless,4
elbow,1
by,10
everybody,4
bag,3
actually,7
out,48
mark,7
whole,1
folder,5
correct,3
some,31
than,4
anyway,9
review,4
mean,25
well,45
apparently,1
base,3
superstition,1
supernatural,2
give,23
pardon,6
sound,4
really,17
need,21
black,2
impression,1
'ere,1
remain,1
bit,14
couple,3
page,4
rough,2
only,16
hey,4
guy,2
listen,3
quiet,1
those,9
bring,4
finish,4
face,5
six,12
hundred,72
turn,9
alright,24
good,68
teenage,1
conversation,2
chat,1
girl,7
t,8
v,6
series,1
hear,4
talk,7
lot,15
rubbish,5
eh,1
ha,11
dad,5
president,2
london,2
shire,1
also,6
sixty-five,1
magnum,1
shoot,3
whenever,1
someone,4
rottweiler,1
ten,5
pit,1
bull,1
mess,5
till,3
pass,5
test,5
if,55
oi,2
could,22
rap,1
simple,1
as,29
