item,cnt
right,59
hello,3
yeah,97
we,106
be,324
back,9
erm,31
miss,1
try,6
to,87
get,71
rid,1
of,41
sunbthe,1
even,7
though,6
there,26
ai,20
not,166
no,75
sun,2
sunbathe,1
at,23
er,24
and,160
can,24
you,213
hear,9
i,263
wait,10
lis,2
the,102
thing,8
on,36
hold,5
then,42
tell,37
billy,70
that,104
now,24
ca,3
alright,20
look,10
gon,25
na,39
go,145
soon,2
cos,37
like,52
do,197
n,10
what,78
else,2
say,97
have,73
crush,1
everything,3
use,4
but,36
forget,5
make,5
another,1
tape,7
well,33
will,21
able,1
richard,10
's,23
sort,6
take,10
school,3
wednesday,1
if,18
a,71
home,29
or,8
so,18
record,6
yourself,2
send,3
it,105
address,8
lisa,34
anyway,9
anyone,4
write,17
letter,1
please,3
first,2
class,1
jammy,1
stingy,1
cunt,2
they,70
really,14
want,37
think,21
oh,63
he,120
jump,3
chance,1
goodbye,1
ah,11
again,2
worth,1
turn,1
over,18
some,5
for,29
seven,1
hour,1
she,306
an,2
arsenal,4
top,4
good,8
know,75
watch,6
f,1
cup,1
woo,6
ooh,16
lie,4
sit,10
next,4
sure,2
arnold,1
schwarzenegger,1
aargh,4
cut,2
head,3
put,9
russell,17
imagine,3
see,8
out,44
give,13
picture,5
all,43
yous,5
believe,1
just,20
load,4
listen,8
pic,1
little,4
scott,3
sweet,1
bye,13
ta,2
cutey,1
blow,10
job,10
come,35
let's,2
here,17
later,4
carolina,2
thumper,2
thump,1
how,16
something,24
inform,1
other,3
one,24
oth,1
which,2
river,1
sorry,4
ba,1
about,45
concert,1
end,6
definitely,1
where,10
elisha,3
two,4
jason,2
sister,2
three,5
stop,7
ha,3
those,1
who,34
only,8
notice,1
fifteen,2
mm,25
ow,1
ben,8
when,28
new,4
trainer,5
age,7
because,6
spray,2
buy,12
yo,2
dad,2
da,4
fork,1
fifty,1
quid,1
depend,1
this,20
could,7
afford,1
call,5
white,1
bag,1
man,4
would,30
super,1
orgasm,1
dream,1
with,36
fuck,3
off,13
wa,7
wherever,2
mean,13
mum,22
talk,6
funny,1
train,1
in,51
big,3
hole,1
ride,1
mercedes,1
skoda,3
beetle,1
mini,2
tunnel,1
third,5
base,6
nothing,4
run,24
chunky,8
oi,3
ever,10
fourth,3
hu,1
te,2
gossip,1
whatsername,1
kno,1
may,1
sam,2
fool,1
natalie,4
someone,7
kel,2
matter,2
mummy,9
minute,2
why,22
as,4
reckon,3
nah,4
especially,1
wo,1
cock,1
rich,6
okay,8
magnifying,1
glass,1
microscope,1
vis,1
visible,2
naked,1
eye,2
undress,1
wonder,1
twenty,1
marry,1
me,1
married,3
fourteen,1
prat,3
rocky,6
boss,1
sleep,2
second,3
ju,1
thingy,2
sta,1
ask,26
kiss,8
fa,2
baby,2
carl,1
play,2
rounders,1
boy,3
ge,2
yes,6
shh,7
shush,2
cry,1
near,1
down,17
throat,1
wan,13
while,3
wind,1
nick,2
sod,1
russ,1
li,1
let,7
most,1
probably,3
enough,7
bad,3
everyone,9
way,2
nuffink,8
listening,1
o,1
k.,1
ready,2
point,1
emma,52
nice,7
e,2
shock,1
james,1
party,2
remember,7
ago,2
cheek,3
leigh,17
gorgeous,5
work,5
chip,3
shop,7
bo,2
birthday,1
present,1
from,4
house,3
wha,1
geezer,1
old,3
walk,2
sh,3
jus,1
muc,1
muck,3
lot,8
serve,1
die,1
punch,1
quite,2
god,5
sue,1
tonight,1
squash,1
pull,1
drag,7
up,25
grab,1
hey,1
hang,8
amy,13
debbie,2
girl,1
mhm,2
knuckle,3
should,3
free,1
badly,3
real,1
game,1
round,7
book,9
mate,2
hayley,1
ugly,1
actually,3
word,1
still,4
recording,1
bet,2
start,9
sand,1
bike,1
tomorrow,3
easy,1
fat,1
medium,1
clothes,6
ten,7
brother,1
pencil,1
case,1
never,5
realize,1
till,1
today,3
frances,3
rub,1
jenny,1
mine,6
name,12
boffin,1
clean,1
moan,3
always,9
splatter,1
tippex,1
trouble,2
by,4
teacher,5
table,1
mr,3
english,1
show,4
fancy,1
embarrassing,1
sir,1
laugh,7
embarrassed,1
people,1
caravan,1
leighs,2
tony,2
shall,1
eastleigh,1
surely,1
tea,1
science,2
bunk,1
lesson,1
hit,2
break,1
into,2
learn,1
th,3
feel,1
rush,1
none,1
mention,2
arou,1
bill,3
b,10
j.,5
note,1
j,4
ash,1
stand,1
fu,1
jane,1
floor,3
after,2
find,4
shout,4
recognize,1
anything,1
initial,1
time,5
understand,1
dirty,1
mind,3
darren,1
change,2
before,4
waste,2
upwards,1
francais,1
shoe,2
long,5
bushy,1
hair,2
hate,1
such,1
greaseball,1
co,2
phone,18
through,1
myself,2
daryll,4
borrow,2
portable,1
money,13
much,10
night,3
ma,1
pound,5
each,1
spend,5
speak,1
nine,1
any,2
ring,1
yesterday,2
ee,1
roman,1
indoors,1
worry,1
bash,1
window,1
wish,1
shy,2
thanks,2
thirty,2
saturday,3
win,3
these,2
scratch,1
card,1
thousand,4
roughly,1
posh,1
ev,1
tin,2
paint,2
sport,1
drop,3
day,5
every,4
silly,1
body,1
pay,2
urgh,4
t-shirt,1
millwall,1
kit,1
wear,2
shorts,1
sock,2
leg,1
tenner,1
stuff,1
shit,2
leftover,1
shitty,1
normally,1
water,12
bomb,5
stevie,1
once,1
throw,2
fight,3
corner,2
pour,2
fucking,3
balloon,8
jan,1
across,1
road,1
box,2
bathroom,1
fill,1
tie,1
soaked,2
everywhere,3
mat,1
lo,1
cover,1
fact,1
allow,1
last,2
si,1
tania,1
hurt,1
both,1
su,1
soak,1
ours,1
roof,2
di,2
gun,1
rest,1
mong,1
keep,2
knock,3
door,1
sound,1
number,3
val,1
front,2
horribly,1
since,2
around,3
park,1
grass,4
either,1
liar,1
subject,1
marathon,3
joke,1
pole,1
bother,1
mrs,1
cinema,4
exactly,2
bore,2
boring,3
help,1
whe,1
order,1
close,1
dun,1
more,2
hard,1
hardly,2
move,1
own,1
chuck,3
outside,1
pretend,1
themselves,1
holiday,2
karate,4
beat,1
woman,2
paul,1
great,1
hump,1
bed,1
supposed,1
laura,4
sa,2
ursula,1
argument,1
Français,3
danny,1
quiet,1
leave,1
used,1
am,1
wimpy,2
lucky,1
pain,1
hamburger,1
drink,1
spill,1
milk,1
shake,1
burp,1
mad,1
extra,2
dinner,1
seat,1
hoo,1
bark,1
five,1
model,2
catalogue,1
modelling,1
avon,1
might,2
red,1
bye-bye,1
