item,cnt
detective,10
chief,18
inspector,15
john,47
mcleish,302
gaze,11
doubtfully,2
at,347
the,1720
plate,6
before,61
he,1391
have,924
think,114
be,1784
hungry,1
now,58
realize,27
that,531
actually,15
need,48
anything,21
rather,32
than,56
overflowing,1
of,818
cholesterol,1
canteen,3
new,33
scotland,14
yard,26
provide,5
with,364
such,8
admirable,2
promptness,1
sleep,11
would,208
perhaps,18
make,88
more,53
sense,9
after,45
thirty-six,4
hour,28
straight,14
on,329
duty,6
much,60
it,547
spend,14
a,918
sullen,2
jamaican,1
who,139
kill,17
landlady,1
and,1093
she,1161
three,30
child,27
in,572
crowded,2
kitchen,10
house,23
behind,15
westway,2
take,101
an,95
experimental,1
mouthful,2
fried,2
egg,3
wait,38
to,1149
see,129
if,127
go,213
suit,18
then,69
progress,1
baked,2
bean,3
cautiously,8
finish,11
all,153
one,134
sausage,1
but,263
decide,63
bread,1
tempting,1
fate,1
push,16
aside,5
reach,16
for,269
cup,15
tea,18
rest,12
both,44
elbow,5
table,19
lift,12
hand,37
off,66
weary,3
salute,1
sergeants.,1
very,92
dark,18
scot,3
crumpled,2
grey,5
walk,39
over,62
from,121
counter,1
man,75
altered,2
course,57
sit,40
opposite,3
how,57
bruce,28
davidson,35
accompany,3
last,47
posting,2
c1,5
division,3
concerned,5
exclusively,3
murder,8
they,320
work,54
together,19
four,18
year,55
cid,7
get,244
tottenham,2
case,27
weigh,1
nae,3
bother,8
i,783
hear,19
you,447
job,20
head,33
down,72
look,195
rough,4
nod,13
glance,24
washroom,1
mirror,1
not,492
reassuring,5
sight,8
big,17
six,13
foot,15
inch,4
sock,2
good,83
fourteen,2
stone,1
always,24
mildly,4
untidy,6
this,166
morning,25
wear,9
same,27
clothes,7
day,51
half,12
like,107
football,1
supporter,1
night,15
cell,1
thirty-two,1
young,39
enough,15
completely,4
haggard,1
even,37
only,43
odd,5
's,207
hair,26
plaster,1
brown,13
eye,47
sink,2
back,102
redden,1
smoke,3
exhaustion,3
too,53
catherine,110
sergeant,43
crane,51
fall,18
asleep,4
as,324
amused,12
hopeful,2
proprietorial,1
air,6
join,11
month,16
ago,22
create,1
major,4
upheaval,1
slight,5
woman,39
twenty-seven,2
whose,4
dazzling,2
delicate,1
blond,4
conceal,2
ferocious,2
intelligence,1
attack,2
every,21
vicinity,1
find,77
himself,63
put,47
forward,4
do,373
wonder,19
sartorial,1
standard,4
notoriously,1
uncaring,2
though,19
admiring,3
unaffected,1
love,11
little,26
old,27
clever,8
francesca,83
rising,4
star,4
department,10
trade,5
industry,3
plan,12
celebrate,1
thirtieth,1
birthday,2
skiing,2
holiday,7
due,7
start,28
two,52
week,43
',20
time,60
smile,24
cheer,2
immeasurably,1
by,115
thought,18
plane,1
chat,3
few,14
minute,31
longer,6
office,51
secretary,9
plumpish,1
infinitely,1
competent,6
middle-aged,2
mother,15
phone,26
stand,30
silently,2
fill,5
doorway,2
raise,8
eyebrow,7
motion,1
stay,8
thanks,6
jenny,2
will,159
there,138
say,162
brighten,2
watch,39
jealousy,5
hurry,7
desk,16
darling,9
horrendous,1
problem,9
can,87
possibly,7
duck,2
out,118
coffee,16
caff,1
ten,21
voice,11
other,52
end,22
slightly,10
husky,1
clear,18
tristram,19
arrest,2
york,15
well,120
talk,45
we,247
oh,22
christ,4
no,117
meet,23
rattle,6
much-loved,1
come,115
brother,14
whom,14
eldest,3
widow,1
consider,36
herself,26
responsible,5
talented,3
musician,1
difficult,18
people,39
varying,1
degree,2
twenty-four-year-old,1
twin,2
prove,3
most,20
because,33
grit,1
tooth,5
try,27
implication,2
what,155
tell,74
quick,8
call,33
across,16
road,14
café,3
which,77
usual,10
full,15
workman,1
engage,4
rebuild,1
area,7
stop,33
buy,13
paper,17
catch,15
through,36
window,14
perch,2
bar,4
stool,2
totally,6
unconscious,3
next,21
long,40
leg,5
moment,17
when,79
know,126
ask,78
acquiesce,1
some,64
lunatic,1
scheme,3
pull,9
trouble,9
position,5
detachment,2
tall,9
twenty-nine,6
nose,6
arched,2
particularly,14
uncompromising,4
today,8
tired,7
pale,13
short,10
spike,2
up,134
cry,8
observe,35
resignedly,1
door,24
right,43
heavily,7
beside,14
careful,11
measure,3
sidelong,2
bail,6
backing,1
group,7
band,1
nick,2
charge,7
possession,4
cocaine,2
understand,28
jesus,3
just,94
begin,5
success,4
perry,8
simply,2
leave,62
could,107
water,4
irritated,1
memory,3
frannie,4
why,30
manager,2
studio,1
sigh,10
so,115
whole,11
ribcage,1
move,28
extent,1
home,27
ground,8
reluctantly,7
mike,6
michael,4
o'brien,5
help,17
spot,4
hold,17
temper,6
remind,9
publicized,1
affair,4
senator,4
reason,14
send,12
early,20
tour,3
embassy,1
washington,4
previously,2
london,15
dti,13
colleague,18
maliciously,3
feel,42
fraternization,1
american,4
carry,12
far,19
characteristically,1
line,16
foreign,2
ought,8
glad,6
someone,32
staff,11
closely,1
involved,4
political,3
establishment,3
hardly,7
into,59
bed,9
certainly,5
another,24
incumbent,2
senior,19
close,17
whichever,1
way,43
slice,2
want,91
bugger,3
or,95
beat,1
jail,3
classically,2
diction,1
become,11
under,15
stress,1
statement,8
emerge,6
metallic,1
clarity,1
dub,1
film,1
clientèle,1
small,30
obviously,19
appreciate,2
since,27
unaware,1
audience,2
selfconscious,1
expect,17
achieve,3
these,13
circumstance,3
legal,3
system,6
deport,1
custody,2
disaster,2
s,6
ban,1
us,2
ever,8
presumably,5
least,14
interfere,1
unspeakable,1
drug,4
hope,17
evidently,13
must,46
verge,1
suggest,13
thoroughly,1
unpleasant,2
might,36
succeed,5
cure,1
where,56
method,1
including,5
exhortation,1
loving,1
family,19
support,7
spell,1
comfortable,7
private,7
hospital,4
devon,1
fail,3
shuttered,2
miserable,2
face,28
nowhere,2
along,19
those,14
mum,8
boy,23
bronchitis,1
manage,20
place,25
friday,3
true,6
score,1
point,34
charlie,11
baby,2
tomorrow,13
japan,2
jeremy,4
alone,2
any,61
deploy,2
receive,10
rescue,5
feed,3
sharply,8
blush,5
scarlet,2
blood-pressure,1
about,116
use,23
wretchedly,2
really,20
hang,15
seem,23
age,21
scowl,3
round,28
fascinated,1
return,9
customer,2
chip,1
anyway,8
busy,6
honest,1
acknowledge,6
important,5
sorry,55
inside,6
anyone,23
else,29
mean,50
let,31
lean,7
defeat,1
heavy,10
cost,3
still,37
anxiously,7
indrawn,2
breath,11
spectator,1
unsettle,1
nearly,6
laugh,14
expression,5
sober,1
let's,9
here,58
slide,3
obediently,1
bid,1
civil,11
good-morning,1
owner,3
willingly,2
sweep,9
plump,1
italian,5
embrace,2
gate,6
ring,44
worried,2
profile,2
