item,cnt
mark,246
pick,6
up,100
another,30
car,18
at,232
the,2507
london,13
plant,102
and,839
drive,19
m1,3
to,1135
he,1240
home,48
in,555
north,2
buckinghamshire,4
turn,24
off,43
motorway,3
service,10
station,4
enter,16
a,632
different,12
world,44
very,50
slowly,13
over,73
narrow,2
bridge,4
span,1
fast,3
flowing,1
stream,2
which,160
stem,2
from,178
river,7
ouse,1
notice,6
that,505
massive,6
flock,4
of,701
coot,1
have,665
fly,7
while,20
be,1482
away,31
there,76
must,16
two,49
or,77
three,11
thousand,13
on,302
bank,5
water,7
pull,15
country,53
lane,7
press,3
button,1
activate,1
power-operated,1
window,5
it,427
early,19
evening,15
still,19
soft,2
white,8
cloud,3
remain,7
motionless,2
against,29
an,92
azure,1
blue,3
sky,1
between,11
many,20
break,13
ray,1
thin,3
sun,1
shaft,2
down,55
acute,1
angle,2
spotlight,1
pastoral,1
scene,5
west,10
canada,2
goose,1
head,59
descend,2
one,100
large,14
lake,2
distance,4
foreground,1
small,9
take,104
little,14
south,7
side,16
squawk,1
madly,1
what,149
appear,9
family,7
squabble,1
direction,6
they,287
should,31
suddenly,7
close,14
rank,2
as,199
if,112
by,175
order,8
form,6
perfect,2
vee,1
behind,9
leader,5
then,45
wheel,3
unison,1
into,58
light,12
hold,11
for,283
second,14
so,117
before,59
soar,2
stand,22
shallow,1
amongst,2
tall,1
reed,1
count,2
eight,5
heron,1
all,131
neck,1
incline,1
upwards,1
precisely,5
same,29
silent,1
prayer,1
east,9
mallard,1
teal,1
peck,1
undercarriage,1
meadow,1
flank,4
hare,1
square,3
high,11
overhead,2
barely,1
visible,1
audible,1
jumbo,1
jet,4
begin,24
gentle,1
descent,1
heathrow,3
look,50
tiny,3
speck,1
stratosphere,1
imagine,1
could,94
hear,25
air,15
hostess,3
request,6
passenger,2
fasten,2
seat,8
belt,2
again,31
beautifully,1
unspoiled,1
countryside,2
great,38
leisurely,2
ascend,1
hill,3
bear,4
left,8
along,13
escarpment,1
tuck,1
fold,2
surrounding,1
always,32
experience,13
feeling,13
contentment,1
when,89
straight,9
today,7
feel,35
particularly,17
pleased,7
back,53
gently,2
nose,3
village,2
road,10
gravelled,1
lead,12
eighteenth-century,1
stone,3
barn,2
gravel,2
young,31
golden,4
retriever,1
bitch,3
honey,4
litter,1
harriet,4
bound,3
through,23
hall,5
get,109
good,66
view,18
intruder,1
dining-room,1
hind,1
leg,10
with,247
front,9
paw,1
rest,6
deep,3
sill,1
see,51
out,102
go,154
berserk,1
race,5
tail,4
wag,3
furiously,2
almost,9
knock,5
georgina,15
she,283
also,29
come,62
porch,1
open,19
heavy,5
oak,2
door,13
dog,7
sweep,1
past,10
across,13
master,7
who,101
boot,5
remove,5
luggage,1
just,60
together,19
huge,3
leap,3
strike,29
chest,2
backwards,2
where,38
sit,12
dangle,1
both,26
arm,15
wrap,1
around,29
excited,1
standing,3
welcoming,1
smile,44
hello,3
darling,10
call,34
wave,1
right,57
hand,38
try,8
keep,22
bay,3
welcome,2
sweetheart,5
fling,3
such,30
long,40
time,67
gasp,7
ear,10
hug,3
each,14
other,44
tightly,1
retire,5
respectful,1
watch,3
homecoming,1
swish,1
excitedly,1
i,491
miss,12
you,523
much,28
this,70
tell,72
breathlessly,3
can,61
not,374
think,66
why,30
really,42
forget,5
like,80
let's,10
hum,1
bad,18
consider,13
age,4
everything,11
suppose,19
s,11
too,35
whisper,8
do,286
know,94
way,70
spring,2
during,12
's,155
absence,2
spain,7
mole,2
fred,27
klepner,38
spend,8
countless,2
hour,19
ten,28
year,73
business,30
plan,117
subject,17
presentation,26
give,63
nate,38
cocello,30
next,31
planning,36
committee,33
meeting,43
study,6
sense,7
shock,3
arrive,11
europe,27
nothing,15
about,75
european,117
motor,38
industry,13
continent,11
political,13
economic,19
environment,5
except,6
read,10
harvard,2
school,7
detroit,49
central,7
office,35
report,7
under,31
erroneous,1
impression,1
big,16
common,6
market,16
similar,10
size,3
united,53
states,23
operate,10
free,12
trade,35
concept,2
law,10
rule,18
