item,cnt
chapter,9
one,150
tom,37
o'neill,16
come,96
through,39
the,1874
revolving,1
door,45
on,292
a,906
blast,1
of,875
icy,1
air,10
and,1135
step,13
out,140
other,46
side,13
into,102
blanket,1
almost,40
oppressive,1
warmth,8
outside,13
london,24
might,56
be,1788
shiver,4
in,534
biting,4
cold,15
january,3
morning,14
here,43
foyer,3
british,9
cosmopolitan,8
insurance,16
building,8
centrally,1
heat,2
ooze,1
steadily,2
from,135
series,2
concealed,3
vent,1
to,1110
waft,5
summer,5
every,23
corner,14
unbutton,2
he,868
overcoat,3
fish,1
pocket,7
dark,15
suit,18
which,74
scathingly,2
refer,3
as,267
city,1
uniform,8
for,340
identity,1
card,2
flash,2
it,679
at,265
uniformed,1
security,5
man,41
do,376
not,551
like,106
wear,38
collar,9
tie,6
even,58
less,15
far,24
more,72
home,54
jeans,3
sweater,3
or,72
favourite,3
scuff,1
old,31
flying,2
jacket,17
have,884
inherit,1
father,30
who,97
spitfire,1
pilot,1
war,3
they,268
whenever,4
could,153
occasionally,1
job,31
private,6
investigator,13
allow,13
this,97
privilege,2
but,328
there,141
occasion,5
call,19
dress,39
formally,1
visit,8
head,28
office,22
company,9
that,417
use,12
service,3
response,1
an,94
urgent,2
summons,1
without,34
wait,26
nod,9
wave,5
stride,1
past,16
block,1
six,4
lift,11
beyond,7
just,91
arrive,17
ground,4
floor,25
level,6
follow,3
two,29
girl,66
clerk,2
press,11
button,6
fifteenth,3
feel,86
rather,9
than,56
saw,2
glance,17
appraisingly,1
take,86
no,137
notice,16
over,50
foot,13
with,324
thick,10
curling,2
brown,5
hair,25
eye,59
owe,3
startling,1
blueness,1
irish,3
ancestry,1
used,5
object,3
female,1
appreciation,1
whilst,8
slightly,12
puzzled,5
by,81
never,76
think,128
reflection,3
look,129
back,78
each,9
shaving,2
mirror,13
particularly,4
handsome,5
nose,3
too,69
large,4
little,70
crooked,1
since,16
devastating,3
straight,10
leave,41
boxing,1
ring,10
when,156
fifteen,2
year,39
chin,6
irregular,2
woman,35
certainly,8
seem,58
course,53
compensation,1
reach,18
ripe,1
age,5
twenty-nine,1
discover,8
quite,38
few,21
halt,1
twelfth,3
get,117
then,100
whisper,7
towards,14
open,21
again,66
emerge,4
corridor,2
thickly,2
carpet,5
grey,10
glimpse,4
wall,13
cover,7
pale,8
lemon,1
wash,8
unlike,5
hang,10
picture,19
master,3
boots,1
chemist,1
either,12
print,2
hunting,1
scene,4
ship,4
beautiful,19
soft,15
sunset,1
bay,2
st,1
ives,1
deem,1
suitable,1
executive,5
great,19
international,4
pass,13
very,78
end,23
knock,4
briskly,1
bidding,1
go,174
secretary,5
seat,12
behind,21
desk,17
outer,3
up,151
accusingly,2
she,1956
feature,4
soften,2
faint,4
pink,4
flush,6
colour,6
cheek,11
lucy,2
i,783
understand,6
white,25
chief,1
want,89
see,125
right,61
will,123
buzz,2
depress,4
mr,15
swansborough,8
regretfully,1
say,198
thanks,6
watch,22
disappear,8
inner,2
sanctum,1
sigh,4
why,53
gorgeous,1
so,135
fleetingly,2
while,21
paunchy,1
moist-palmed,1
vic,1
tatum,1
marine,1
claim,4
always,39
manage,17
delay,2
ogle,1
leer,1
make,143
suggestive,1
remark,4
probably,8
sexual,2
harassment,1
tribunal,1
if,148
mind,20
roger,4
half,17
rise,3
chair,16
hold,37
hand,56
greeting,2
big,16
bluff,1
receding,1
hairline,1
aggressively,2
triple,1
somehow,23
powerful,4
fat,11
row,6
rugby,1
player,2
already,22
remove,6
cloying,1
shirt,7
immaculate,1
across,18
catch,22
gleam,1
gold,7
cufflink,1
against,24
stiff,1
cuff,3
message,1
you,605
urgently,2
coat,10
off,51
place,22
hot,7
day,38
would,185
window,13
gesticulate,1
expanse,4
glass,14
surround,2
sky,5
lower,2
shroud,1
roof,1
filter,1
dull,1
half-light,1
onto,19
street,14
distant,2
river,3
view,6
panoramic,2
unfortunately,1
also,15
infinitely,1
depressing,1
bid,1
heavy,9
carved,1
stand,35
what,184
try,47
swindle,2
time,89
ask,74
smile,14
wryly,2
cynical,2
grimace,2
we,82
fait,2
accompli,2
bloody,8
sting,1
water,5
copy,6
paper,15
lie,21
tooled,1
leather,7
top,21
push,25
stab,2
story,20
manicured,2
index,1
finger,13
remember,12
martin,31
business,20
happen,30
twenty,14
ago,7
still,57
short,8
trousers,2
luxury,9
cabin,1
cruiser,1
blow,7
coast,1
italy,3
people,17
aboard,2
greg,42
owner,1
financier,5
pie,2
care,11
name,17
paula,233
varna,34
wife,11
hugo,67
fashion,39
designer,17
boat,7
glory,4
nothing,39
ever,30
find,46
except,6
bit,17
debris,2
all,172
intent,1
purpose,1
both,8
occupant,1
insurer,1
presume,2
only,67
life,34
peanut,1
policy,1
can,85
imagine,8
model,48
leg,17
alone,10
insure,4
five,4
figure,10
sum,2
enough,30
bankrupt,1
small,30
1970,1
good,74
thing,58
risk,5
work,41
well,83
long,59
everyone,5
play,10
rule,3
someone,22
read,9
newspaper,15
upside,1
down,45
much,44
success,5
's,154
ball,10
fist,1
bring,21
slam,3
loose,4
paperclip,1
jump,5
crystal,2
ashtray,2
pay,15
bastard,3
dead,20
live,20
australia,10
whistle,2
softly,4
sure,30
sydney,2
under,19
assumed,2
michael,1
trafford,1
italian,3
heiress,1
maria,3
vincenti,3
part,9
himself,11
martino,1
originally,1
until,12
decide,18
drop,7
o,1
americanise,1
american,4
citizen,1
bear,10
states,4
shrug,5
tell,67
dare,11
slippery,4
reason,7
fair,9
mess,2
way,69
sail,4
close,30
wind,7
everything,14
about,103
face,45
turn,46
scan,1
echo,6
exactly,11
attention,4
photograph,8
alongside,1
three,13
obviously,5
leisure,2
thin-faced,1
balding,1
neck,14
reveal,1
chain,1
spite,17
quality,4
scarf,2
princess,3
grace,18
style,5
another,26
mediterranean,1
whose,7
partially,2
obscure,2
sunglass,1
point,11
third,2
yes,48
trip,3
presumably,2
disaster,2
drily,6
those,19
fortune,3
become,14
something,47
recluse,1
fact,18
death,11
marry,3
young,17
sister,30
sally,246
matter,15
hmm,3
study,3
mrs,10
real,10
stunner,1
accident,9
insist,7
need,28
holiday,3
unable,8
away,33
friend,22
family,13
partner,4
happy,7
draw,8
own,38
conclusion,1
english,8
explain,9
choose,6
doubtful,1
honour,1
fool,6
how,52
hell,15
investigate,1
damned,7
thoroughly,1
tap,3
file,2
front,18
wad,1
protrude,1
tooth,2
doubt,11
fisherman,1
report,3
hear,29
explosion,6
month,9
afterwards,8
appear,8
survivor,2
plenty,8
witness,1
swear,2
board,3
yacht,3
know,136
marina,1
where,32
keep,20
highly,2
visible,1
character,1
thinly,1
treat,5
tragedy,1
former,4
die,12
mystery,1
headline,2
emphasis,1
internationally,1
talented,3
heaven-sent,1
especially,10
sensational,3
mother,49
child,14
four,10
ferrete,1
world,30
fake,4
successfully,1
fork,1
entitle,2
beneficiary,1
suppose,19
somewhere,2
snap,5
salon,6
imperial,1
hotel,6
intercontinental,1
paris,13
harriet,129
brace,1
statuesque,1
pillar,2
viewfinder,2
camera,13
concentrate,4
subject,1
fiercely,1
oblivious,3
electric,3
atmosphere,4
bounce,2
viennese,1
décor,2
sumptuous,1
rococo,1
ceiling,2
along,15
light,16
house,52
saint,3
laurent,3
move,28
gracefully,2
hundred,3
yard,2
catwalk,12
display,4
new,35
season,6
couture,15
collection,12
constant,3
clicking,3
shutter,1
army,1
photographer,7
intermittent,1
burst,5
rapturous,2
applause,4
break,17
expectant,2
hush,2
afternoon,14
yves,1
important,16
couturier,2
show,36
manner,2
mood-setting,1
background,5
music,11
late,10
sixties,1
declare,1
instead,10
off-the-peg,1
later,11
revival,1
stunning,3
nostalgic,1
long-term,1
wealthy,3
nouveau,1
riche,1
flock,3
crave,1
glamour,4
excitement,23
seek,3
prestige,2
gown,14
specially,1
individually,1
theirs,1
after,49
hour,15
masochistic,1
fitting,4
now,101
sit,29
eagerly,2
brittle,1
gilt,1
red,5
velvet,4
exquisitely,1
made-up,1
carefully,7
devoid,1
expression,9
brief,1
note,4
programme,3
pretend,7
sometimes,19
direct,3
whom,6
photo-call,1
session,5
previous,2
society,4
america,2
circuit,2
bored,2
charity,6
conscious,3
businessman,1
famed,1
actress,2
stage,5
screen,1
occasional,2
european,1
frequently,1
loan,6
free,14
charge,2
publicity,3
gain,1
among,3
consider,5
themselves,5
above,11
order,7
video,1
nowadays,3
replace,6
week,18
stay,12
determinedly,1
vie,2
tempt,2
lend,7
presence,6
recognisable,1
amongst,7
anonymous,1
none-the-less,1
editor,6
buy,20
power,5
room,38
rock,4
empire,1
profit,1
loss-leading,1
advertisement,2
mark,36
none,7
these,8
train,5
however,9
zoom,2
lens,1
rear,3
apprentice,3
highly-strung,1
huddle,2
publicised,1
lead,8
particular,2
interest,9
cut,10
gamin,1
expressive,1
reflect,3
emotion,1
feeling,12
midinette,2
baste,1
hemline,1
stitch,3
hook,6
positioned,1
trimming,1
sew,5
such,15
tiny,8
invisible,1
naked,1
hardly,4
blink,1
terrify,1
miss,14
moment,41
daring,1
romantic,3
navy,1
blue,8
silk,7
crepe,1
appearance,3
alive,17
sparkle,2
raise,9
parted,1
lip,14
halfway,3
between,25
exultation,1
tear,9
joy,1
before,25
begin,32
clap,1
furiously,2
swiftly,2
perfect,4
unguarded,1
unforced,1
totally,6
natural,4
reaction,2
lowly,1
unfold,1
fairytale,1
artificially,2
breath,7
fresh,5
experience,12
glow,6
triumph,1
minute,15
longer,17
pan,2
professional,6
pleasure,6
shot,2
instinctively,1
frame,7
breadth,1
depth,1
complete,5
let,51
fall,17
strap,1
around,41
rub,8
aching,2
run,22
fringe,2
blonde,2
barely,4
skim,2
mannequin,2
elongated,1
clothes-horse,1
bely,2
tight-drawn,1
nerve,6
drown,1
persistent,1
lean,7
clothes,25
grow,17
childhood,3
graduation,2
first,48
hate,13
enjoy,18
hers,8
because,27
stupendous,3
wonderful,5
reel,2
beauty,6
wonder,12
slip,12
unnoticed,2
heresy,1
likely,4
last,32
least,20
famous,6
length,6
bind,7
most,33
fearful,1
crush,1
hesitate,4
impatience,4
win,5
quietly,3
exit,3
apart,10
tall,13
grey-haired,1
atelier,1
instantly,2
mouth,17
theatrical,1
gesture,1
somewhat,3
imperfect,1
french,7
hastily,2
cochon,1
disgust,1
wine,3
drink,25
lunch,5
rue,1
castiglione,1
hit,3
slap,1
ease,5
zipper,3
sky-blue,1
ski,4
ear,4
some,51
inside,22
flick,3
careless,2
even-featured,1
should,42
stylist,2
once,21
mane,1
tame,1
advise,1
besides,7
simply,17
dry,3
naturally,3
start,18
valuable,1
waste,4
mean,25
must,27
telephone,9
hurry,6
bend,2
nick,44
bag,19
whether,8
post,3
film,4
jiffy,1
fly,5
myself,9
thought,14
give,42
fillip,1
focus,7
magazine,8
edit,1
corker,1
bone,2
visualise,1
lay-out,1
discuss,2
no-one,2
position,2
photo,5
page,2
tug,4
thoughtfully,1
gingery,1
beard,1
sprout,1
angular,1
different,11
let's,5
meet,19
cousin,2
bristow,7
son,6
career,3
free-lance,1
talent,9
lot,5
determination,2
money,15
help,15
sub-editor,1
huge,6
corporation,1
strike,2
instant,1
rapport,1
assistant,3
on-off,1
affair,3
suspect,4
love,34
seriously,5
any,31
yet,26
mock-serious,1
tease,3
scottish,3
burr,3
sound,12
mournful,1
sharp,6
guilt,3
whatever,15
shortcoming,1
prospective,1
lover,1
hard,10
reward,3
paul,3
leeman,1
publishing,1
tycoon,1
launch,2
land,1
enthusiasm,3
infectious,1
fold,6
protest,9
classic,1
though,46
argue,5
imitator,1
believe,21
mag,1
same,28
line,20
sunday,4
supplement,1
slant,1
perhaps,28
social,3
angle,3
exciting,6
journalism,1
handle,2
apparent,2
self-confidence,3
twenty-five,2
best,3
ingenuousness,1
spring,4
yearning,2
prove,6
herself,59
contemporary,1
whole,15
wide,4
advantage,4
spawn,1
deep,16
create,5
oneself,1
plate,2
opportunity,5
really,29
express,2
yourself,9
kind,12
idea,9
starter,1
tone,5
scathing,1
rich,7
closet,2
full,17
silly,1
brainless,1
bitch,3
outdo,1
bore,1
interested,6
anything,24
industry,4
facet,1
mix,1
centre,3
sun,2
satellite,1
revolve,1
seventh,2
avenue,6
sweatshop,2
korea,2
kuwaiti,1
merely,2
hide,13
abaya,1
cry,10
usually,12
depict,1
fascinating,2
click,3
dutifully,1
dictate,2
unexpected,1
provide,4
spice,2
enthuse,1
sweat,3
blood,1
roar,3
clear,7
leather-strapped,1
patek,1
philippe,1
preference,1
elegant,8
cartier,1
unless,3
circumstance,1
force,9
evening,16
phone,2
airport,1
enquire,3
flight,5
nice,14
hail,2
cab,1
traffic,4
usual,11
break-neck,1
pace,3
spot,7
public,1
dive,3
anxious,6
would-be,1
caller,1
beat,2
endless,3
conversation,5
search,4
change,17
recall,1
dialling,1
code,1
number,7
connected,1
bypass,1
busy,6
switchboard,1
childish,2
habit,3
several,6
cool,1
contain,1
efficient,1
admit,7
second,4
attempt,3
connection,2
voice,27
unmistakable,1
hello,3
holmes,1
finish,10
luck,2
able,18
tonight,7
maybe,7
slight,13
awkward,2
pause,1
fraction,2
pique,1
keen,1
fend,1
talk,33
forthcoming,3
glad,1
odd,1
tremendous,1
anyway,15
today,5
interrupt,3
laugh,8
shortly,5
joke,3
haute,1
frown,3
discomfort,4
pore,2
else,17
oh,63
fumble,2
coin,1
slot,1
bang,5
receiver,4
stare,16
cloud,1
gauloise,1
smoke,9
aware,9
stamp,2
brush,6
vendor,1
stall,3
nearby,1
entrance,5
metro,4
station,1
curse,1
linguist,1
heaven,6
sake,9
struggle,3
foreign,1
language,1
item,5
tuck,6
yesterday,7
praise,2
pull,15
remaining,2
retreat,2
leap,6
daddy,1
mom,20
unexpectedly,3
tremble,7
return,13
fax,1
allege,2
inch,5
wanting,1
breathing,1
ragged,2
dart,1
newsprint,2
unseeingly,1
ceaseless,1
thunder,1
intersperse,1
honking,1
horn,1
precious,1
spool,1
sling,1
forget,12
belong,4
shadowy,1
scarcely,5
mention,8
rare,1
speak,7
terrible,3
financial,6
crisis,1
root,2
cause,2
episode,2
horrendous,1
traumatic,2
wipe,3
clean,3
superficial,2
perfume,8
evocative,1
memory,9
haunting,2
teasing,2
sweet,4
smell,9
garden,4
dusk,1
possess,1
conjure,1
image,5
pillow,5
night,21
sob,2
vain,1
