item,cnt
the,2697
restaurant,1
be,1295
pack,7
saturday,1
evening,3
always,7
fully,7
book,7
at,258
magpie,2
good,32
eating,1
house,5
in,539
small,15
commuter,1
town,1
twenty-one,1
mile,10
north,2
of,870
london,4
six,10
people,15
a,827
corner,29
table,6
well,16
know,104
to,771
proprietor,3
who,26
see,107
they,494
regularly,1
winter,4
month,4
two,38
couple,4
obviously,7
married,1
and,787
early,3
fifties,1
but,151
sit,11
opposite,4
end,27
length,9
silver-haired,1
woman,14
still,45
show,17
some,67
beauty,2
that,397
have,472
help,21
make,73
she,624
famous,2
actress,1
forties,3
broad-shouldered,1
young,7
man,87
from,184
facial,2
resemblance,1
there,146
no,97
doubt,8
he,1129
son,3
feature,1
carve,1
strong,6
stuff,3
mouth,25
wide,12
beneath,11
nose,5
break,17
though,18
straight,12
jaw,3
thrust,1
enough,9
if,77
not,241
thick,5
set,24
with,292
dark,24
hair,16
short,13
wavy,1
touch,8
premature,1
grey,9
temple,1
only,91
thing,34
entirely,2
common,2
both,9
good-natured,2
warmth,4
brown,5
eye,80
crinkle,1
skin,5
especially,4
when,77
laugh,3
candlelight,1
reflect,8
on,291
gold,3
wristwatch,1
as,345
hold,46
lighter,1
cigarette,4
one,132
chester,1
barrie,1
suit,28
cut,20
flannel,1
blue,8
silk,47
handkerchief,2
flow,2
breast,3
pocket,9
match,2
shirt,2
tie,3
all,97
successful,2
scene,10
duplicate,1
success,4
city,2
whitehall,7
ivory,1
tower,4
great,18
teaching,1
hospital,8
lincoln,1
's,152
inn,1
whereas,2
face,93
around,62
pale,2
or,61
smooth,3
golden,2
bronze,1
holiday,1
chase,1
sun,4
his,6
ruddy,1
weather,7
crease,2
radiate,1
suggest,7
life,31
soak,2
up,149
glare,6
wind,22
it,728
out,167
place,21
room,47
suburban,1
dweller,2
pull,48
then,114
blow,16
smoke,11
away,70
into,167
air,21
an,103
exaggerated,1
abandonment,1
say,75
something,72
give,41
mock,2
slap,2
arm,44
relaxed,1
happy,3
birthday,3
party,2
mother,7
family,1
friend,9
for,212
john,22
delaney,420
now,60
thirty-three,1
year,9
age,3
about,41
select,2
sweet,4
trolley,1
nod,40
dim,5
houselight,1
waitress,2
bring,16
surprise,3
cake,1
reflection,3
candle,1
throw,16
warm,2
relief,7
sing,2
pretend,1
back,138
i,140
god,16
quip,1
blazing,1
inferno,3
do,170
forget,7
wish,1
call,20
lots,1
bantering,1
take,91
over,88
serve,3
portion,1
come,139
whisper,4
frown,12
napkin,1
lap,1
lay,9
stand,39
shrug,15
apologetically,2
seem,43
indicate,5
kind,6
happen,29
before,68
time,72
doctor,17
qc,1
use,33
sudden,5
unsocial,1
look,109
vanessa,1
watch,37
edge,17
way,58
through,57
tinge,1
such,3
mundane,1
event,3
could,118
disguise,4
fear,18
like,113
this,58
three,19
knowledge,1
sas,4
once,14
ulster,1
never,25
find,62
last,37
turn,64
walk,11
wild,2
side,62
argentina,1
eugene,7
forster,162
bath,2
draw,21
contentedly,2
cigar,3
tumbler,1
whisky,4
water,55
hand,79
languidly,1
along,17
tiled,1
border,2
close,36
perceive,3
pleasure,2
sense,15
except,11
sight,10
richness,1
havana,1
leaf,1
sound,28
beethoven,1
second,42
romance,1
violin,1
orchestra,1
stereo,1
speaker,5
bedroom,2
t,3
ouch,1
luxurious,1
all-enveloping,1
soapy,1
lightly,2
move,77
across,18
chest,9
finger,14
caress,1
downwards,2
hard,10
muscle,2
stomach,6
tough,4
flat,4
ten,10
ago,3
eighteen,1
open,35
pin-point,1
slate,3
bushy,2
eyebrow,5
long,30
large,19
aquiline,1
splash,4
leave,48
intruder,4
arrest,4
grip,13
girl,5
beside,21
wince,2
hey,1
gene,10
cry,4
hurt,3
grin,7
expose,4
tooth,8
tip,4
anything,19
telephone,7
grecian,1
plinth,1
near,29
muted,3
double,9
purr,1
pick,11
receiver,4
soap,1
sud,1
stream,5
cover,27
hello,2
listen,13
bewildered,2
somebody,11
g9,15
pause,18
raise,20
slowly,31
deliberately,6
wisdom,1
previous,3
experience,7
finish,8
plunge,7
hiss,9
phone,5
anderson,23
busy,2
casualty,4
just,66
complete,1
suturing,1
six-inch,1
gash,1
policeman,2
bleeper,4
top,20
white,27
clinical,2
coat,2
emit,3
plaintive,2
switch,8
off,57
carry,17
work,39
eight,2
minute,17
later,6
sister,2
office,4
almost,24
immediately,17
discarded,2
lie,18
startled,2
duty,4
registrar,1
shocked,3
stare,20
disbelievingly,1
receding,2
wonder,10
what,132
contain,7
message,5
member,8
staff,1
drop,30
everything,19
unprofessional,1
public,1
bar,4
east,3
indiaman,1
full,15
atmosphere,1
noise,18
incredible,4
sizable,1
electronic,8
organ,2
moon,4
river,2
player,1
prematurely,2
bald,2
sweat,9
polished,1
head,79
wear,10
open-necked,1
checked,1
jeans,1
occasionally,3
reach,54
pint,1
lager,1
crowd,2
cockney,1
rock,2
wife,3
stack,6
glass,18
bottle,2
litter,1
ashtray,2
empty,23
crisp,1
packet,2
uniform,1
sergeant,7
constable,1
appear,14
doorway,2
sore,1
thumb,7
cause,4
more,71
than,32
ripple,1
interest,2
somewhat,1
less,9
friendly,2
clientele,1
densely-packed,1
throng,2
finally,32
organist,2
play,8
same,20
bend,6
down,140
