item,cnt
friday,5
16,1
september,5
to,1100
tuesday,1
20,1
once,25
free,16
of,989
the,2285
knotted,1
tentacle,1
eastern,5
suburb,2
dalgliesh,91
make,95
good,40
time,91
and,1144
by,120
three,29
he,1465
be,1679
drive,27
through,27
lydsett,7
village,7
here,41
a,912
right,44
turn,39
take,65
off,16
coastal,2
road,25
on,278
what,132
little,46
more,90
than,75
smoothly,1
macadamed,1
track,6
border,3
water-filled,1
ditch,1
fringed,1
golden,6
haze,2
reed,2
they,401
lumbered,1
head,18
strain,4
in,481
wind,10
now,99
for,275
first,53
think,126
that,585
could,182
smell,21
north,13
sea,41
potent,2
but,333
half-illusory,1
tang,5
evoke,3
nostalgic,3
memory,15
childhood,8
holiday,10
solitary,1
adolescent,2
walk,43
as,253
struggle,3
with,318
poem,1
aunt,13
's,179
tall,7
figure,11
at,236
side,22
binoculars,4
round,22
she,992
neck,6
stride,5
towards,23
haunt,1
beloved,2
bird,3
bar,10
familiar,11
old,46
farm,2
gate,5
still,39
place,16
it,764
continued,1
presence,5
always,35
surprise,14
since,20
serve,5
no,136
purpose,7
see,114
except,14
symbolically,1
cut,11
headland,45
give,65
traveller,2
pause,12
consider,3
whether,30
really,13
want,66
continue,2
swing,5
open,40
touch,11
close,17
difficult,13
lug,1
half,22
lift,12
into,85
slip,5
circle,2
wire,1
over,63
gatepost,1
sensation,2
have,967
back,76
workaday,1
world,22
enter,7
country,6
which,149
matter,21
how,47
frequent,2
visit,16
would,259
alien,2
territory,2
across,27
fringe,3
pine,3
tree,12
only,67
house,22
left,9
victorian,9
rectory,24
square,5
red-brick,1
building,8
incongruous,2
behind,14
struggling,1
hedge,3
rhododendron,1
laurel,2
ground,6
rise,13
gently,6
southern,3
cliff,13
dark,14
mouth,17
concrete,6
pillbox,3
undemolished,1
war,5
seemingly,2
indestructible,1
great,21
hulk,2
wave-battered,1
remnant,1
fortification,1
lay,3
half-submerged,1
sand,11
along,10
part,16
beach,10
broken,2
arch,3
stump,1
ruined,5
benedictine,2
abbey,12
gleam,4
afternoon,20
sun,11
against,37
crinkled,1
blue,9
breast,4
small,48
ridge,2
glimpse,6
topsail,1
larksoken,33
mill,18
beyond,10
skyline,4
grey,3
bulk,4
nuclear,20
power,62
station,41
veer,1
lead,8
eventually,3
know,167
seldom,7
use,33
normal,3
traffic,1
all,93
heavy,8
vehicle,2
new,28
access,3
empty,6
almost,43
bare,1
few,25
straggling,2
distort,1
keep,34
precarious,3
hold,24
uncompromising,5
soil,2
pass,13
second,14
dilapidated,1
strike,6
whole,12
desolate,2
look,95
an,140
battlefield,1
corpse,1
long,42
cart,1
away,23
air,14
vibrate,2
gunfire,2
long-lost,1
battle,1
while,16
loom,1
like,106
grandiose,1
modern,8
monument,2
unknown,6
dead,10
previous,9
martyr,17
cottage,59
spread,2
out,107
beneath,9
when,115
stand,30
survey,3
from,138
top,15
room,36
under,30
cone,1
never,59
up,59
again,43
description,1
hardly,31
appropriate,4
substantial,1
two-storey,2
l-shaped,1
east,6
wall,20
partly,4
flint,6
render,2
enclose,1
rear,2
courtyard,4
york,3
stone,11
uninterrupted,1
view,23
fifty,5
yard,6
scrub,2
grassy,2
dune,7
one,110
appear,6
draw,10
before,38
hand,48
bell,2
read,12
word,32
plaque,3
embed,1
door,52
this,107
site,3
live,30
agnes,4
poley,4
protestant,1
burn,5
ipswich,5
15th,1
august,2
1557,1
aged,2
32,1
year,49
ecclesiastes,2
chapter,2
3,1
verse,4
15,1
unadorned,1
letter,9
deeply,3
carve,3
elegant,5
script,3
reminiscent,1
eric,1
gill,1
remember,30
tell,47
there,158
owner,7
late,24
twenties,1
originally,3
extend,3
advantage,1
religious,6
education,3
ability,2
identify,3
least,23
better-known,2
text,4
scripture,1
need,46
