item,cnt
from,159
the,1786
very,43
first,38
moment,31
of,699
she,1930
return,20
to,1155
vicarage,2
ruth,545
be,1842
catch,13
up,101
in,555
a,725
whirlwind,1
work,28
when,144
walk,43
at,247
back,77
door,16
mrs,168
peterson,23
say,341
you,702
then,110
well,88
put,37
on,304
apron,2
just,49
time,108
make,96
bit,21
pastry,3
against,24
tomorrow,13
suppose,19
it,643
's,210
way,46
take,128
mind,37
off,38
sad,1
event,4
last,43
week,11
but,273
would,261
surprised,3
think,145
astounded,1
horrify,2
if,167
know,152
what,137
other,35
thought,20
race,4
young,17
servant,41
could,181
glimpse,2
vivid,1
memory,5
have,792
happen,35
with,280
dick,17
parker,2
go,202
about,80
task,3
dream,8
preoccupied,1
state,5
naturally,4
attribute,1
grief,4
only,61
two,53
now,108
mistress,26
confinement,1
remind,5
we,229
start,13
clean,7
through,32
house,52
top,23
bottom,4
so,181
lark,1
i,840
girl,18
speak,25
as,262
away,37
holiday,4
and,933
must,81
therefore,2
abounding,1
strength,13
energy,3
florrie,6
will,193
bad,31
than,63
useless,1
continue,16
give,70
notice,9
leave,72
living-in,2
job,13
skipton,5
no,137
long,61
interested,2
do,384
here,59
that,453
turn,42
out,124
true,17
play,12
around,40
twice,2
complete,2
every,33
full,10
talk,16
new,65
post,4
sight,12
more,63
lively,2
there,208
plenty,8
i',6
enough,35
right,44
tell,82
sharply,4
glad,11
help,25
condescend,2
look,91
surprise,11
hark,1
come,130
funny,3
mood,10
get,81
into,59
oh,26
nothing,35
much,46
retort,5
father,16
dead,7
stepmother,5
ill,8
worried,1
sick,10
grandfather,43
all,171
really,19
hardly,15
most,33
he,863
already,27
wensleydale,1
promise,18
free,12
sunday,4
conscience,3
trouble,6
over,49
not,631
because,28
they,386
together,19
wonderful,4
whenever,3
body,16
ache,2
breast,6
tingle,2
experience,6
again,53
day,99
after,45
bring,26
home,21
man,63
want,91
marry,11
strange,10
sexual,3
union,2
which,130
desire,4
should,64
clarify,1
still,43
yet,30
might,46
totally,4
dismiss,6
idea,11
married,4
able,11
renew,2
often,5
wish,26
course,25
child,40
unlike,3
maria,38
limit,1
number,3
eventually,3
bear,15
shock,5
such,22
cool,10
analysis,2
situation,4
alone,12
far,26
love,31
fair,4
for,320
decision,3
deceive,2
agree,18
offer,13
affection,2
duty,5
loyalty,1
decide,15
whether,10
hard,17
drive,18
hear,34
exchange,3
fund,1
saying,1
this,79
prove,4
maddeningly,1
by,77
monthly,2
nurse,6
install,1
once,34
longhill,21
deliver,1
second,13
daughter,9
name,17
prudence,1
almost,29
cease,3
or,77
anything,29
bed,36
end,22
goal,1
absorb,3
baby,30
birth,2
lying-in,1
rest,13
household,3
sign,11
anyone,8
place,34
choose,9
inconvenient,1
full-time,1
who,49
share,14
bedroom,6
prospect,2
please,17
seem,29
country,18
grumble,1
can,59
understand,10
vicar,15
considerate,1
fortunately,2
thrive,4
sleep,34
night,28
without,21
drop,8
laudanum,1
dose,2
infant,1
benjamin,2
month,8
find,37
himself,7
less,10
welcome,12
mother,9
room,37
follow,14
like,105
pet,3
lamb,1
ever,41
herself,66
too,63
spite,13
begin,27
little,60
weight,4
quite,32
mature,1
figure,6
remark,9
bust,1
fill,15
nicely,2
occur,4
how,57
possibly,2
good,89
reason,9
miss,94
period,2
mean,25
never,58
regular,3
morning,33
occasionally,1
nausea,1
sweep,4
easily,9
down,68
fatigue,1
something,35
eat,18
refuse,4
believe,18
one,83
intercourse,1
kitchen,18
few,37
pleased,12
ellen,16
hardcastle,1
fourteen-year-old,1
wisp,1
mousy,1
hair,14
pale,6
blue,7
eye,45
hill,13
high,9
part,13
littondale,1
silent,3
native,4
dale,5
family,26
badly,6
ready,12
own,34
afore,5
heart,17
fact,9
quiet,6
mouse,2
later,11
thankful,3
christmas,19
approach,4
entertaining,2
wrong,13
early,20
december,5
actually,2
discuss,4
refreshment,1
party,14
intend,3
remember,21
position,8
society,10
firmly,3
bless,2
blind,1
obligation,2
nor,19
cause,4
lower,1
standard,3
large,13
establishment,3
london,1
instead,5
wife,21
remote,2
yorkshire,10
marriage,3
completely,3
change,17
caroline,1
friendship,1
barnswick,10
simply,6
pertly,1
keep,41
three,12
an,49
old,23
woman,43
seventeen,2
raw,2
fourteen,2
reprimand,1
throughout,3
slave,4
least,11
apart,5
disinclined,1
show,21
age,3
capable,1
sustained,1
effort,2
hand,54
pudding,3
stir-up,1
busy,11
perhaps,42
collect,6
anyway,7
rich,5
mixture,2
stir,5
recite,1
meanwhile,1
before,40
advent,1
beseech,1
thou,14
o,2
lord,3
faithful,1
people,32
plenteously,2
forth,2
fruit,1
works,1
may,12
reward,1
add,9
prayer,4
eatable,1
since,41
death,8
write,25
regularly,2
word,38
reply,45
hester,38
also,17
beg,9
news,10
infinite,2
regret,1
flowery,1
style,2
affect,3
unable,2
visit,11
childhood,2
many,16
diversion,1
fly,4
wing,2
recently,1
performance,1
mr,52
handel,1
messiah,1
west,2
yeomanry,1
hold,25
regimental,1
ball,1
year,24
building,9
real,7
late,14
letter,21
inform,4
mention,5
afterwards,5
unusual,2
twenty-third,2
between,13
dining-room,2
extra,4
spit,4
polish,2
usual,6
asleep,14
within,7
minute,29
though,64
deadly,2
tired,3
curiously,2
wakeful,1
feel,59
finger,12
fall,20
pain,10
waken,11
insistent,2
demand,10
even,26
rapidly,2
circle,2
belly,1
sharpness,3
cry,32
matter,18
sit,36
rub,2
knuckle,2
sleepy,1
meat,6
pie,3
daresay,16
ask,66
drowsily,1
suddenly,9
except,9
small,27
reminder,1
settle,9
sharpe,1
split,3
agony,2
fetch,7
protest,8
afraid,17
savage,1
concoction,2
ground,18
ginger,1
hot,16
water,38
beat,7
shift,3
wind,9
ease,4
engulf,1
successive,1
wave,7
each,17
strong,15
tear,20
guts,1
chamberpot,1
try,33
relieve,2
blood,4
voice,30
total,3
concentration,1
shall,41
die,13
gasp,3
send,16
dr,3
baxter,2
hurriedly,1
neither,13
until,39
half-past,3
five,11
next,22
doctor,12
arrive,10
urgently,1
summon,4
sexton,1
whom,6
horseback,2
annoyed,4
drag,3
kettlewell,1
eve,2
especially,9
drench,1
sweat,4
exhausted,3
brusque,2
miscarriage,4
another,18
drink,5
some,37
raspberry,1
leaf,1
pennyroyal,1
these,9
wide,10
horror,3
face,63
drain,2
colour,2
sway,1
foot,18
steady,3
dear,10
lady,32
distress,2
yourself,15
sometimes,11
certain,11
pregnant,2
whisper,3
cross,2
basin,4
pour,8
ewer,2
wash,6
lose,12
bastard,2
world,23
bitter,2
anger,9
count,6
thank,18
call,30
sound,18
weak,5
croak,1
same,22
passion,3
hate,14
countenance,2
rude,1
amongst,2
lonely,1
life,21
near,14
view,3
hellfire,2
sure,31
unpunished,1
obliged,4
deputise,1
god,10
clear,12
question,14
longhills,4
care,21
ah,3
while,27
clutch,1
newly,2
grave,8
plumb,1
depth,1
depravity,1
grace,1
distant,1
let,27
picture,4
during,4
whole,10
lie,31
church,2
wonder,13
surely,8
pretext,1
service,5
footstep,1
greeting,3
ride,11
clip-clop,1
horse,27
hoof,4
bell,2
cold,15
air,23
communion,1
miserable,1
sinner,1
dinner,2
bowl,3
oatmeal,4
gruel,1
discover,8
sister,8
used,5
sorry,20
see,123
merry,1
chill,5
kidney,1
stop,31
nervously,2
season,1
tempt,4
any,40
comfort,4
wall,7
housekeeper,1
mutter,2
ingratitude,1
thirtieth,1
pronounce,1
fit,17
dress,34
downstairs,4
stay,24
why,44
scurry,1
frightened,7
dull,2
feeling,14
pit,1
stomach,5
wait,32
fifteen,2
scared,1
study,7
announce,3
throw,12
mercy,2
forgive,1
need,33
forgiveness,1
coldly,1
implore,1
enter,4
desk,6
mahogany,1
green,4
leather,2
loving,3
wednesday,1
piece,5
best,6
raise,13
head,24
short,11
interview,1
fix,3
clasp,3
bony,1
unclasped,1
push,16
packet,2
across,9
towards,20
wage,5
generous,4
insistence,2
deduct,1
penny,2
spend,12
under,10
roof,3
health,5
kindness,1
step,13
forward,11
pick,4
instinct,1
irresistible,1
fast,8
learn,3
impulse,1
person,7
afford,7
dry,8
blow,5
deal,3
welfare,3
wantonly,1
cruelly,1
pack,10
belongings,4
half-hour,1
smooth,3
prefer,5
shout,12
stupidly,1
employ,1
where,45
