item,cnt
we,246
dock,11
at,251
midday,2
the,2075
deserted,2
boatyard,13
be,1531
swim,2
in,398
heat,10
it,394
well,33
into,108
charter,36
business,16
's,382
low,11
season,7
so,188
vast,3
majority,1
of,828
cutwater,9
yacht,9
have,627
either,11
go,110
north,8
for,274
summer,12
or,74
sit,9
on,261
jackstand,1
out,88
water,35
a,984
couple,6
bareboat,2
still,41
sea,54
and,1135
wavebreaker,90
one,116
more,52
paying,2
to,1023
complete,5
but,293
otherwise,9
mcillvanney,125
yard,21
torpor,1
tropical,6
about,66
even,63
stella,1
long-suffering,1
secretary,1
take,85
day,46
off,58
leave,28
office,12
lock,2
which,91
mean,47
i,1713
walk,21
town,3
find,39
public,2
telephone,6
from,161
call,41
bahamian,16
police,8
tell,82
they,194
hirondelle,11
add,8
that,557
rescue,5
chart,15
handful,4
cartridge,7
stricken,1
boat,92
sound,38
surprised,4
bother,4
back,59
feel,36
strangely,1
foolish,5
ellen,210
laugh,29
punctiliousness,2
doubtless,11
respond,9
by,100
sharpen,2
cutlass,1
charge,6
musket,1
she,531
mock,4
readiness,1
an,133
invasion,1
murder,15
cay,25
do,309
not,421
mention,2
say,234
just,133
bullet,3
damage,6
now,51
you,512
single-handedly,1
win,5
war,2
drug,49
perhaps,8
can,91
something,16
useful,5
like,114
scrub,6
deck,35
only,63
this,66
resupply,1
prepare,5
last,36
schooner,4
refuel,2
provision,1
carpet,1
must,25
vacuume,1
bilge,4
poison,1
against,15
rat,1
cockroach,1
galley,6
make,69
spotless,1
brightwork,1
polish,1
middle,1
afternoon,8
when,53
seem,49
work,28
would,117
never,33
time,57
bellybutton,34
arrive,7
foreman,1
few,26
second,19
dare,6
hope,10
he,1018
come,43
help,23
instead,32
thirty-three-footer,1
trouble,9
man,85
radioe,1
engine,14
break,9
grumble,2
fetch,6
idiot,4
starkisser,12
pretend,8
errand,1
nuisance,1
though,76
same,11
grin,12
with,254
pleasure,12
thought,8
brand,1
new,23
sportsboat,3
midnight-blue,2
hull,23
metalflake,1
embed,1
fibreglass,2
sleek,3
scintillate,1
internal,1
infernal,1
dark,11
blue,18
light,26
fast,5
production,1
island,51
twin,44
big-block,1
could,100
hurl,4
three-ton,1
wedge-shaped,1
over,58
eighty,2
mile,4
hour,13
worry,5
neither,6
nor,18
such,32
speed,4
hear,28
himself,28
scream,13
small,31
wave,18
shake,24
bone,2
right,23
flesh,4
there,63
ai,12
girl,33
creation,1
who,114
melt,1
after,20
ride,4
boast,3
real,18
name,32
benjamin,2
no,74
ever,29
ben,1
whole,7
rumour,2
earn,9
nickname,2
bite,4
navel,1
clean,19
whore,3
displease,1
all,107
too,32
believable,1
pleasant,3
fact,8
black,36
version,4
rangy,1
know,100
tall,12
sarcastic,1
mr,18
mac,7
want,90
see,91
tonight,2
leer,2
as,272
suspect,8
enjoy,7
meeting,1
place,17
sundown,2
why,38
today,6
ask,88
indignant,2
voice,52
question,21
impugn,1
honour,4
care,19
miami,3
give,58
key,8
maybe,5
miss,9
dangle,1
enticingly,1
will,121
long,51
obscenely,1
pump,2
lean,3
hip,1
offensive,2
shit,9
very,69
friendly,4
already,14
turn,55
attention,2
away,52
because,85
car,14
suddenly,36
appear,10
white,36
lincoln,5
black-tinted,1
window,17
slide,5
quietly,1
between,14
cradled,1
stop,32
short,8
pier,1
apart,3
crunching,1
tyre,5
approach,6
silent,8
oddly,4
sinister,3
passenger,5
door,13
open,32
black-skinned,1
climb,11
slowly,3
sunlight,6
friend,12
yours,2
eye,35
widen,1
mutter,3
curse,1
answering,1
dash,1
frantically,1
towards,28
pontoon,3
emerge,4
dress,10
three-piece,1
suit,3
look,98
incongruously,3
heavy,10
hot,6
wear,12
elegantly,1
cut,12
shirt,6
old,20
etonian,1
tie,5
impressively,1
build,12
thin,9
hipped,1
wide,5
shoulder,4
boxer,1
punch,9
hard,27
dance,6
lightly,3
calmly,3
around,14
then,186
put,29
pair,8
mirrored,1
sunglass,4
before,45
slam,3
shut,8
throw,11
line,9
let,25
float,1
unclipped,1
jet-black,1
cockpit,14
cover,8
plainly,1
frantic,1
escape,2
elegant,5
life,18
echo,2
motor,3
crackle,1
nearby,3
building,3
battle-tank,1
fire,11
up,102
action,3
scared,5
pelican,3
flap,2
what,112
cause,7
commotion,1
along,5
shove,4
tachometer,1
way,23
red,11
zone,1
powerboat,5
stand,25
tail,5
devil,3
guilty,7
conscience,3
terrible,5
thing,19
chuckle,3
saunter,1
across,29
gangplank,5
once,24
admire,1
brief,2
shorts,4
faded,3
tank,5
top,5
glorious,1
hair,14
scrape,4
loose,5
bun,2
hand,44
face,37
smear,4
soap,1
sweat,3
exertion,1
stove,3
utterly,5
beguiling,2
momentarily,2
examine,1
closely,1
cynical,2
full,10
breakspear,38
yes,11
deacon,10
billingsley,45
pause,18
should,22
recognise,2
officer,8
arrival,1
satisfaction,2
treat,2
seriously,4
sense,16
policeman,9
offer,37
any,37
speak,21
flatly,6
introduction,1
threat,5
sun,13
mirror,3
obsidian,1
brightness,2
glass,11
dazzle,5
passage,2
british,8
accent,5
stay,11
conversation,6
where,65
lady,8
hey,5
count,2
ok,5
goddamn,8
cavalry,1
anything,19
nick,82
twist,13
contemptuously,1
companionway,11
watch,21
american,31
amused,6
rather,12
than,24
offend,2
defiance,2
confirm,8
drop,12
sight,7
screw,5
astonished,4
sudden,11
gape,1
lay,4
rephrase,1
insolent,1
understand,24
first,33
tone,9
bland,1
might,27
opinion,3
sea-keeping,1
quality,1
answer,15
finally,7
fuck,5
cigar,5
yellow,13
band,4
read,6
word,15
cubana,1
tip,10
succession,1
match,7
carelessly,3
provocatively,2
scrubbed,1
use,30
toe,1
expensive,5
brogue,1
grind,2
each,11
dead,5
teak-wood,1
charred,1
carbonised,1
streak,3
wood,3
bone-whiteness,1
draw,8
discard,1
final,3
raise,6
stare,43
surge,2
fear,8
physical,1
size,2
provoke,4
profession,2
aura,1
incipient,1
violence,3
radiate,1
blast,5
furnace,2
mess,6
deceptively,2
mild,2
rip,4
spine,1
asshole,5
damn,10
if,95
show,16
warrant,2
card,2
think,69
hit,4
reach,15
jacket,7
pocket,6
bring,20
wallet,2
unfold,3
thrust,3
enough,17
hold,22
rank,2
chief,3
inspector,2
high,15
force,21
snap,7
move,5
close,16
smell,2
smoke,10
breath,4
down,58
below,4
dismissively,1
obey,1
dry,4
stiff,2
fold,2
also,26
these,10
case,12
ignore,15
outstretched,2
sister,10
puzzle,2
defence,3
pencilled,1
yet,13
somehow,4
connect,1
mysterious,5
threateningly,1
anywhere,2
near,6
protest,5
check,4
yourself,4
report,4
co-ordinate,2
radio,3
those,23
twenty,2
north-west,1
get,70
nothing,37
unsettle,1
anger,6
direct,2
here,17
misunderstanding,2
believe,23
within,5
clearly,10
visit,4
realise,12
senior,2
enquire,2
crime,2
owner,8
glibly,1
decide,5
fly,22
home,19
despairing,1
sell,6
glutted,1
market,3
simply,5
abandon,5
someone,11
evidently,6
hulk,2
target,1
practice,3
suggest,10
airily,2
naval,2
exercise,4
progress,4
machine-gunned,1
issue,2
green-lacquered,1
steel,10
casing,1
keep,31
silence,9
purpose,3
serve,3
demonstrate,4
disbelief,4
outrageous,1
explanation,6
challenge,11
resist,4
own,39
strong,8
grasp,1
spill,2
left,11
palm,12
toss,7
overboard,3
bahamas,16
flat,4
statement,3
ketch,2
masquerade,42
presently,4
marooned,2
straker,19
under,21
repair,10
emendation,1
continue,9
gunwale,3
how,48
list,5
undesirable,1
alien,1
ban,3
enter,2
probably,12
again,37
effective,2
blunt,1
soon,11
similarly,3
destroy,1
blow,9
butcher,1
insist,8
taste,4
sourness,1
humble,2
pie,1
suspicious,1
circumstance,1
surround,3
discovery,1
mocking,2
intend,2
humiliate,1
humiliation,1
fault,4
lie,16
hate,9
myself,20
untruth,2
standing,2
prop,5
sand,6
lavish,2
love,9
pour,5
try,45
imagine,8
rotting,1
paint,23
peeling,1
plank,2
timber,4
riddle,1
termite,1
detect,1
untoward,1
bullet-riddled,1
awash,2
victoriously,1
patronisingly,1
gently,4
pat,1
cheek,1
cold,9
touch,7
gold,6
ring,2
good,75
boy,12
derisively,1
brother,7
pick,6
bastard,13
whenever,3
choose,4
feed,5
head,31
cane-shredder,1
abruptly,5
wait,17
bounce,3
confident,4
step,12
quay,4
without,15
ostentatiously,1
incriminating,1
burn,3
tear,6
tiny,11
scrap,6
warm,12
wind,15
breathe,1
moment,13
crew,7
disappear,5
driver,4
uniformed,2
constable,1
disparagingly,1
main,6
guess,11
listen,7
saloon,2
skylight,3
beside,13
drive,7
waste,2
sod,1
angrily,5
course,27
quite,6
unfazed,1
impertinent,1
whether,7
sleep,8
together,4
translate,2
particular,7
curiosity,5
general,1
confirmation,1
innate,1
tackiness,1
irritate,1
truth,9
truthful,1
swear,4
herself,10
celibacy,2
while,42
cook,5
decision,1
eccentric,1
both,16
incomprehensible,1
frustrating,1
arrogant,1
empty,8
god,19
ought,2
bloody,6
belgian,5
embassy,3
stupid,3
genuinely,1
frightened,4
week,26
end,17
entirely,6
blind,6
country,5
power,6
likely,2
remain,2
undisguised,1
sufficient,1
societal,1
depth,1
conceal,1
reality,3
institutionalised,1
brutality,1
beneath,8
respectable,2
fiction,2
professor,2
disgust,3
stench,3
cling,3
sulphurous,1
reek,2
pit,2
linger,2
realisation,1
dishonesty,3
easily,3
length,2
rope,2
coil,1
hank,1
evil,3
beauty,3
forty-foot,1
mahogany,1
oak,2
construct,2
hampshire,1
world,15
craftsman,1
pride,3
wooden,3
redundant,2
rot,1
river,3
exe,1
weapon,1
instructor,1
royal,4
marine,15
',13
lympstone,1
camp,1
devon,3
buy,10
song,1
spend,11
fortune,5
restore,2
term,2
service,7
expire,1
afford,3
become,27
gypsy-sailor,1
always,18
year,17
knock,1
mediterranean,1
sail,38
atlantic,8
voyage,6
leg,8
planned,2
circumnavigation,1
dream,24
brutally,2
shatter,2
steal,10
anchorage,3
florida,5
keys,1
ten,9
later,7
strand,2
coral,12
reef,10
most,19
gear,4
starboard,10
half,10
savage,2
thief,3
theft,2
recovery,1
ago,5
laboriously,1
