item,cnt
evil,4
be,1512
a,934
stupid,1
word,21
it,663
have,1121
the,1995
same,23
sort,29
of,958
sense,3
largely,3
meaningless,1
amorphous,1
diffuse,1
woolly,1
as,231
apply,4
to,925
love,11
everyone,4
vague,2
idea,14
what,131
mean,33
but,242
none,10
could,142
precisely,2
define,2
seem,27
in,660
way,71
imply,1
something,41
supernatural,1
these,29
thought,13
inspire,1
she,319
husband,7
's,187
mind,26
by,126
sentence,1
from,146
review,1
on,310
cover,11
paperback,1
novel,3
lili,22
manjusri,3
buy,24
at,246
salzburg,2
airport,3
brooding,1
cloud,5
commentator,1
write,6
hover,1
over,38
this,152
dark,25
and,1162
magnificent,1
saga,1
first,35
page,3
astonishing,1
denouement,1
because,41
only,74
work,18
english,11
find,57
bookstall,1
whenever,2
shiva,37
consider,9
he,1589
see,88
eye,33
grinning,2
mephistopheles,1
with,250
small,22
curly,4
ram,1
horn,1
caper,1
frock,1
coat,4
event,7
own,29
past,9
never,59
think,111
rather,35
mistake,6
immensely,1
regrettable,1
bring,19
about,131
fear,6
greed,2
most,25
folly,1
world,8
call,48
if,129
result,7
purposeful,1
calculation,1
deliberate,1
wrongdoing,1
show,18
ignorance,2
human,10
psychology,1
that,525
when,101
side,19
they,524
suitcase,2
trolley,2
would,248
abandon,4
tube-station,1
entrance,2
look,114
up,140
meet,19
adam,344
verne-smith,16
no,112
doubt,15
european,1
do,256
not,470
specially,3
all,161
alike,1
rufus,231
fletcher,12
for,243
instance,14
though,56
both,11
white,21
caucasian,1
more,73
or,207
less,15
anglo-saxon-celtic-norse-norman,1
ancestry,1
very,66
dissimilar,1
appearance,5
slight,3
white-skinned,1
lot,22
bushy,2
now,57
recede,1
hair,15
while,32
burly,1
fair,7
curiously,3
sharp,3
pointed,2
feature,1
so,92
fleshy,2
man,61
some,71
year,51
before,44
absolutely,6
certain,9
either,7
recognize,4
equally,3
sure,11
know,119
perfectly,2
well,49
who,88
begin,23
smile,12
exactly,4
motive,1
attribute,1
desire,6
ingratiate,1
defend,1
himself,71
turn,35
away,33
wrath,1
bear,14
england,3
india,1
speak,16
cradle,1
tongue,3
forget,14
hindi,1
ever,27
learn,1
immigrant,1
protective,1
reaction,3
self-consciousness,1
indeed,4
since,20
ecalpemos,13
thing,71
get,127
bad,16
then,65
there,203
gradual,1
slow,3
decline,3
fortune,4
fate,3
happiness,1
prosperity,2
prospect,2
glare,3
back,88
course,49
want,57
i,273
ask,34
chap,2
used,10
ago,7
use,20
like,116
kiddy,2
indian,14
sound,14
true,10
brit,1
once,27
you,204
go,189
say,209
hallo,2
alas,1
alack,1
poor,6
kind,27
bloke,1
wish,8
coloured,4
brother,6
talk,18
sadly,1
why,33
unfair,2
agree,2
leave,34
separate,5
it.was,1
each,21
other,63
live,41
together,9
future,3
must,44
stranger,2
than,61
adhere,1
probably,15
girl,11
quality,3
fatalistic,1
resigned,1
might,71
deceive,2
incapable,1
pretend,5
deny,4
occur,7
attempt,6
forgetfulness,1
inhibit,1
memory,14
ecalpemo,14
remember,40
every,7
day,79
place,61
tell,65
one,142
group,3
we,34
better,1
ticket,1
right,24
an,103
east,4
london,16
near-ghetto,1
tuck,4
two,63
slip,3
green,20
cardboard,1
into,84
fold,3
sari,3
half,10
mother,19
viennese,1
woman,26
come,120
au,1
pair,7
marry,8
doctor,11
darjeeling,1
surgical,1
registrar,1
bradford,1
hospital,10
grow,18
die,9
home,36
settle,1
sell,33
glockenturm,1
beer,2
mug,2
souvenir,1
shop,16
summer,21
holiday,18
fare,1
pay,17
sabine,1
schnitzler,1
revert,2
maiden,1
name,49
native,1
sometimes,18
wear,19
surprised,8
even,44
