item,cnt
1937,1
joe,193
and,1141
harry,43
stand,51
on,303
the,1673
platform,4
side,54
by,90
there,222
be,1844
now,214
no,180
difference,5
in,519
they,402
height,3
although,12
twenty-one,6
sixteen,4
even,40
physique,1
very,43
much,28
alike,2
both,26
thick,7
shoulder,25
almost,32
of,608
same,21
colouring,1
except,9
that,483
's,108
hair,18
show,18
a,809
black,7
sheen,1
whereas,2
dark,14
brown,5
matt,1
it,584
only,78
when,169
you,856
look,147
at,262
face,79
see,117
age,7
expression,6
round,18
he,1795
eye,50
merry,1
while,21
feature,6
inclined,1
to,918
length,5
grey,8
which,37
time,86
seem,65
colourless,1
have,787
depth,3
touch,18
melancholy,1
deepen,2
with,194
year,43
start,18
elbow,2
catch,4
rib,2
as,340
say,357
i,845
wonder,8
if,143
illustrious,1
brother,15
will,187
insufferable,3
during,10
christmas,6
holiday,6
martin,130
never,62
course,24
all,121
those,27
fellow,14
who,64
get,117
oxford,1
become,21
used,11
do,389
law,1
moderation,1
purse,4
lip,22
wag,5
head,95
but,295
these,10
last,28
couple,3
read,9
for,317
final,1
gosh,1
how,42
sick-making,1
envious,1
know,195
most,24
concerned,7
lose,6
fever,1
anyway,19
love,39
about,91
make,85
jovial,1
retort,1
nature,4
stop,29
screw,3
up,170
thing,52
come,129
out,134
not,556
people,25
why,30
well,113
just,47
because,63
what,182
mick,88
once,16
yes,129
ago,7
tell,50
yet,41
many,11
think,111
should,36
whom,6
oh,104
lad,15
step,25
back,79
from,144
poke,5
forward,15
under,9
breath,11
ask,29
like,134
school,17
damn,7
good,79
job,8
laddie,13
or,76
could,108
haul,2
before,84
old,30
man,88
watch,27
nearly,6
fifteen,3
minute,20
late,6
bet,4
divert,1
london,2
grin,10
must,31
marvellous,2
today,12
upwards,6
bunting,1
stretch,6
across,20
girder,1
then,145
little,26
imagination,1
dismiss,2
coronation,1
take,104
this,129
affection,1
begin,12
whistle,1
accompany,3
shuffle,1
foot,28
bring,36
wide,8
serious,10
moment,66
appreciate,2
leave,55
home,30
twenty-first,2
easily,1
go,240
into,133
enjoy,8
jollification,2
some,53
around,15
homestead,1
tonight,14
nobody,7
trip,4
light,10
fantastic,1
than,38
wor,1
drop,10
geordie,1
twang,1
after,35
laugh,36
down,92
we,100
one,108
expect,10
passenger,2
glue,1
wireless,6
set,21
suppose,18
speak,33
king,1
amazing,2
move,30
slowly,28
here,59
again,83
twenty,2
report,2
train,7
puff,1
five,12
alight,1
male,6
among,8
tall,10
young,35
so,106
fair,1
distance,8
appear,13
white,8
wave,5
turn,83
carriage,1
lift,8
case,6
together,20
clap,2
each,30
other,45
arm,25
shake,16
hand,65
grip,3
happy,7
day,50
ahead,8
thanks,11
answer,37
low,6
sounding,1
way,86
along,9
through,39
small,21
waiting-room,1
road,14
where,60
horse,7
trap,2
wait,18
rein,3
cry,24
gee-up,1
flibbertigibbet,1
recognise,6
voice,71
toss,2
off,33
spanking,1
pace,1
would,184
believe,5
prefer,2
stink,3
machine,2
tug,1
arrive,4
god,19
murder,7
promise,4
birthday,1
present,5
thickhead,1
kind,17
mouth,20
lean,19
over,71
gripping,1
mad,14
hate,6
damned,4
aw,2
always,35
an,60
ajs,1
quickly,9
excitedly,2
ever,23
such,25
mine,2
spend,10
money,6
something,45
smile,31
thoughtful,3
tone,15
call,36
need,17
encyclopedia,1
writing,3
aim,10
english,2
lit,1
point,12
reading,3
hardly,5
any,44
least,6
want,61
poetry,5
scornful,2
note,10
fact,27
politics,1
enough,18
trouble,8
without,13
kipling,1
place,37
switch,1
conversation,3
address,9
next,14
remark,5
duke,2
feel,46
still,47
exchange,3
worth,3
sure,7
she,1204
presently,2
romantic,1
novelist,1
can,62
pity,4
game,3
material,1
past,14
besides,3
romance,1
princess,1
juliana,1
marry,24
german,2
prince,1
bleached,1
beauty,10
miss,22
jean,1
harlow,1
tooth,5
shut,7
thump,3
notice,17
wish,17
half,8
matter,17
rest,16
journey,5
listen,20
talk,16
future,6
particularly,6
june,2
engineering,1
third,3
college,2
science,1
newcastle,11
approach,1
gate,5
away,33
left,3
towards,91
hill,15
walk,30
smith,20
an',8
month,12
work,16
factory,4
promote,1
department,1
surprising,2
wizard,1
continue,14
figure,6
mere,1
speck,1
sight,9
house,72
ellen,22
jebeau,16
standing,5
terrace,3
draw,17
standstill,2
meet,15
hold,20
kiss,3
cheek,9
aunt,31
new,15
extend,5
derisively,1
nursery,1
play,11
toy,2
bike,3
two,47
push,16
mount,2
son,7
habit,6
whenever,2
company,12
aware,8
recover,1
uncle,18
death,8
whether,9
put,51
imagine,15
outside,6
camaraderie,1
strange,17
lay,3
claim,3
action,6
embarrass,2
unobtrusive,1
doubt,7
anyone,11
else,13
hall,26
table,42
upstairs,3
hurry,4
dining-room,2
exclaim,3
genuine,1
appreciation,3
beautifully,1
decorate,1
flower,5
glass,2
silver,2
wonderful,1
beautiful,10
comically,1
aggressive,1
second,18
accommodate,1
lady,11
friend,6
fault,3
acquire,1
charm,1
presence,2
exaggerated,2
pose,2
spoil,2
throw,8
centrepiece,1
doltons,2
nod,26
wink,1
especially,6
rachel,1
betty,5
married,10
pull,25
hallidays,2
too,34
cousin,3
stay,13
crosbie,8
sister,6
nell,1
nineteen,2
marion,10
eighteen,4
emphasis,1
add,26
neither,8
crane,1
collar,7
cut,7
book,2
unless,5
entertaining,1
witty,1
rich,3
march,4
room,39
sense,7
change,16
thoughtfully,1
awful,3
pause,21
fraction,2
mother,82
mind,44
thought,16
o'clock,6
afternoon,2
sky,4
high,6
air,11
clear,8
end,23
earth,4
sit,45
top,13
deep,22
desire,6
remain,7
forever,6
somehow,7
feeling,28
brain,7
churn,1
question,12
mostly,3
lot,16
everything,10
meaning,3
aloud,2
insult,2
education,4
straight,12
silent,3
often,14
master,11
boarding,1
envy,1
more,60
grind,1
certain,4
thinking,4
careful,2
stuck,1
life,33
class,5
opinion,4
let,22
manner,2
gentleman,2
mean,27
accord,1
receive,5
cage,4
follow,28
return,12
gaze,13
far,17
silence,12
between,22
real,6
give,47
every,18
different,18
view,3
subject,2
idea,11
realise,9
world,8
find,32
streak,2
so-called,2
saint,1
heaven,1
hell,7
ourselves,1
parson,1
three,15
sunday,7
eeh,4
fear,5
spread,2
wet,6
pants,4
morning,10
true,6
bow,5
night,18
happen,15
himself,47
word,50
farmer,2
bolton,2
burn,2
pig-sty,1
choke,2
laughter,7
pig,3
scratch,1
hole,1
clapboard,1
sick,4
smell,3
bottom,3
prize,1
sow,1
bear,12
litter,1
space,3
atween,1
belly,3
ground,11
tremble,4
leaf,1
behind,18
bump,5
wake,3
scream,5
charlie,1
bad,10
try,8
smother,3
pillow,1
survive,6
rock,1
tear,10
run,31
another,21
spasm,1
alongside,1
later,9
wrist,2
regret,3
guest,1
four,7
long,43
week,14
morrow,1
soon,9
cottage,10
cram,1
visiting,2
stare,26
carrie,49
weekend,5
bed,17
stan,4
alice,12
secretarial,1
really,29
bright,5
lass,8
funny,11
mention,3
taboo,1
press,6
conjure,3
tinge,3
shame,7
centre,3
scene,1
bedroom,6
rage,3
girl,35
secretary,1
seventeen,3
sometimes,5
tongue,7
agree,3
tomorrow,10
right,42
station,6
fix,3
estate,7
boy,14
hopeless,1
forbid,3
sorry,20
rather,6
attitude,2
big,7
lock,3
slant,2
remember,12
immediately,8
dare,5
indeed,6
may,9
charge,2
short,11
hear,44
war,27
army,4
keep,21
repeat,12
crossroads,1
defy,1
choice,3
pattern,6
break,7
thread,1
tie,6
cause,11
whole,8
body,16
quiver,2
either,10
permission,1
freely,1
trembling,2
slight,3
colour,8
rise,18
sweep,4
temper,3
flare,1
demoniac,1
corridor,2
door,42
gasp,2
fright,1
emerge,2
canyon,1
wooden,7
kitchen,17
chair,16
mrs,21
carver,14
flit,1
forth,2
stove,2
term,3
comfortable,3
thin,4
nose,4
sharp,2
describe,4
broad,3
warm,3
heart,4
fling,5
cloth,7
puttin',1
meself,4
meal,7
open,27
front,14
pile,1
crockery,1
ten,9
twelve,4
dot,3
few,18
shop,4
cold,13
tea,27
waitin',1
abruptly,1
surprise,3
stammer,3
thank,16
dinner,8
chest,6
chin,9
thumb,3
whose,6
scarlet,2
solemnly,1
aye,12
bloomin',2
woman,35
slap,2
force,20
cough,3
bein',1
confront,4
whale,1
gon,1
na,1
swallow,4
manage,3
bite,4
slightly,11
pass,16
test,2
oven,4
tin,2
roast,2
potato,1
flick,2
expertly,1
buy,4
typewriter,1
practise,1
noise,3
candyman,1
trumpet,1
shorthand,3
pitman,3
gauge,1
refer,5
reference,1
ready,11
check,2
belong,2
dawn,1
picture,5
smart,4
business,15
likely,12
wear,10
three-inch,1
heel,2
perm,1
plain,10
near,13
live,20
merely,2
replica,1
hit,4
knock,9
memory,2
sharply,2
focus,2
dig,2
event,2
thick-set,2
medium-sized,1
strangely,5
resemble,1
wife,14
sharp-edged,1
obvious,1
though,10
straightaway,2
mr,30
greeting,1
family,14
indicate,4
hello,5
introduce,2
conventional,1
pleased,2
welcome,5
sink,3
corner,9
wash,5
fireside,1
plate,9
enter,16
automatically,2
seated,1
someone,17
smartly,1
dress,7
slack,2
coat,13
reach,15
halfway,1
calf,2
hat,8
hang,6
loose,5
unusual,1
naturally,2
red,5
make-up,2
fresh,1
country,6
until,26
ear,7
deny,2
ordinariness,1
clothes,6
simplicity,1
suggest,5
powderless,1
lying,2
crisp,1
unlike,3
northern,2
inflection,1
pronounce,3
syllable,1
however,4
meeting,3
first,30
keen,2
glance,11
greet,4
boss,1
anybody,11
earn,1
incline,2
quite,13
understand,21
bend,14
salutation,2
response,2
pat,2
visitor,3
allow,5
heat,6
seep,4
finally,1
since,15
soften,2
statement,4
further/far,10
grow,6
actually,5
situation,2
save,2
crying,2
seat,11
nothing,27
bid,1
nor,9
carved,1
leather,1
honour,1
parlour,1
hope,9
clean,4
shyly,1
knife,2
fork,1
eat,11
difficulty,3
embarrassed,6
finish,13
spot,5
dick,18
rice,1
blink,4
please,12
spotted,2
mary,32
currant,1
pudding,2
boiled,1
fruit,1
suet,1
raise,11
presumably,1
scullery,7
backyard,2
sound,22
part,14
grace,2
perhaps,12
might,14
upon,5
food,7
main,2
object,3
swipe,1
laughingly,2
mash,1
alone,12
pour,6
boiling,1
water,9
earthenware,1
teapot,2
softly,4
hers,7
fine,4
rude,1
widely,3
bit,13
surprised,3
arrange,2
possess,1
dad,3
mam,2
jerk,16
backwards,4
twice,2
remove,2
reflection,1
successor,1
rebuilt,1
indoor,1
sanitation,1
running,5
town,4
bob,2
yourself,18
decent,6
direct,4
bitterness,4
blame,3
position,7
surroundings,3
magnificent,2
description,2
contradict,1
herself,15
miserable,1
sin,1
dorm,1
apologise,2
yarp,1
china,2
high-pitched,1
help,19
spell,3
disaster,1
doorway,6
thrust,7
elongated,2
0,1
cup,18
goodness,1
shortly,1
floor,2
gulp,2
mutter,11
experience,4
disappointment,1
escort,1
propose,1
dinnertime,1
conventionally,1
goodbye,8
hesitate,4
warmth,1
flow,2
injection,1
transmit,1
palm,2
spring,7
unnoticed,2
lead,5
also,8
direction,11
ta-rah,1
cover,4
aside,9
tray,3
dirty,4
saucer,2
3rd,1
september,1
1939,1
rant,1
declare,3
care,4
anything,14
witch,2
ominous,2
utter,3
authentic,1
hiss,1
stupid,4
kill,7
build,3
frustration,2
scum,5
advance,2
breast,3
practically,3
die,12
hail,1
unable,2
glare,2
infuriated,1
countenance,3
example,1
paragon,1
witless,2
servant,1
above,7
crafty,1
doubtless,1
establish,1
forearm,1
ridiculous,2
housekeeper,3
suddenly,4
stagger,1
throat,3
drain,2
sort,11
reaction,6
usually,1
burst,3
border,7
grope,1
his,6
none,6
warn,1
dead,12
visibly,1
own,19
window,6
sill,1
hastily,1
unsay,1
stairhead,1
news,2
stairs,11
let's,5
drink,10
blow,3
smithereen,1
bomb,2
pop,6
bind,3
tyneside,1
early,5
target,1
already,10
organise,1
air-raid,1
precaution,1
child,13
evacuate,1
everybody,4
busy,1
whisky,1
sherry,2
cabinet,2
frighten,2
mama,1
stride,4
fully,4
fledged,1
pilot,2
lucky,7
dog,2
join,15
partner,7
sadness,3
clink,1
engaged,1
widen,1
naive,1
niece,3
dark-haired,1
raven-haired,1
sudden,5
thankful,2
principle,1
less,2
worry,8
regard,2
mistress,6
england,1
general,1
fizzle,1
spent,1
squib,1
fortnight,3
hullabaloo,1
raid,3
siren,1
shelter,2
half-heartedly,1
exciting,1
