item,cnt
twelve,3
it,453
be,1885
no,87
news,10
that,413
memory,13
deceitful,1
i,1196
have,680
try,55
to,1070
explain,19
in,779
claudia,167
's,184
case,4
particularly,7
treacherous,1
but,232
letterman,74
like,160
the,2616
idea,35
of,1069
ambiguity,1
he,1180
see,171
as,293
european,8
a,1131
kind,10
intellectual,3
chic,4
useful,5
we,239
story,14
come,90
long,35
way,76
since,11
work,31
production,3
runner,1
with,320
james,2
wong,1
howe,1
and,851
martin,4
ritt,2
coal-mining,1
village,13
pennsylvania,1
suspect,4
own,34
little,49
unreliable,1
telling,1
right-hand,1
man,114
sean,1
connery,1
golfing,1
partner,1
after,48
just,49
one,106
week,11
self-deprecating,1
ail,16
anecdote,1
feature,2
achievement,4
whatever,3
ostensible,2
subject,11
matter,16
clapper,1
loader,1
assistant,6
director,8
co-author,1
executive,1
producer,11
emerge,4
from,191
narrative,3
undergrowth,2
muddle,1
festoon,1
foliage,1
sometimes,12
even,38
bloody,5
always,22
victorious,1
muthaiga,7
club,26
where,52
stay,11
release,5
forgotten,1
gust,2
those,19
lily,5
which,183
only,43
exhale,1
they,524
sweet,1
perfume,2
at,183
night,21
father,28
happy,7
place,34
this,246
love,35
wardroom,1
pre-dinner,1
drink,21
discreet,1
signing,1
chitty,1
smiling,2
elderly,9
waiter,12
class,2
almost,29
extinct,1
now,100
who,84
live,33
serve,10
other,55
remember,18
arrive,12
pontiac,2
sweeping,1
not,317
silently,2
car,26
old,54
down,63
front,13
door,10
deposit,1
greet,7
call,26
sir,35
by,207
black,6
run,25
on,276
rolling,1
lawn,6
kikuyu,2
grass,14
before,33
dinner,16
noise,11
exceptionally,1
vocal,1
african,8
insect,9
life,81
strike,12
up,104
quickly,10
grow,9
dark,16
unrol,1
ground,15
upwards,2
bullfrog,1
fact,28
all,96
manner,4
rana,1
bufo-frog,1
size,2
pair,4
roiled-up,1
rugby,1
sock,3
toad,1
great,27
horned,1
eyebrow,2
tiny,8
reddish,1
dart,3
amphibian,1
start,22
howl,1
shriek,1
growl,2
purr,1
backdrop,1
terrace,2
summon,4
stirring,2
thrilling,2
beating,1
gong,2
hang,22
tusk,1
sit,37
straight,6
elbow,4
tuck,2
endless,3
soup,4
spoon,1
fish,2
knife,5
butter,2
deal,5
gentleman,5
use,23
when,64
wife,7
home,12
say,133
two-thirds,1
joking,1
itself,7
ritual,12
many,48
course,31
begin,18
relay,1
swing,3
kitchen,6
food,6
bland,1
unexceptionable,1
plentiful,2
somehow,7
sanctify,1
immaculate,1
sash,2
glove,1
so,112
instantly,2
familiar,12
room,25
look,71
out,95
over,48
croquet,2
end,14
pond,3
thickly,3
plant,9
papyrus,1
eponymous,1
mention,6
school,7
teacher,1
any,36
history,6
written,1
language,6
know,110
certainty,2
hell,4
will,112
break,8
loose,1
dusk,3
fall,15
high,19
wall,7
near,18
open,15
window,14
wait,13
for,264
light,20
gecko,2
cling,3
hopefully,2
knobbly,1
plaster,2
unlike,1
member,4
reptile,1
family,28
benign,2
creature,4
cheery,2
opportunistic,1
patently,1
trouble,14
thought,18
world,44
into,86
able,19
slip,6
without,15
moment,33
readjustment,1
vanishing,1
write,37
style,3
magazine,5
model,3
photograph,7
head,36
often,10
surround,10
nearly,10
naked,4
masai,167
warrior,42
fashion,10
advertising,3
victoria,31
quite,23
make,99
she,456
escape,3
someone,10
boot,1
stick,17
deep,7
mud,9
unable,3
move,33
either,9
theme,1
new,24
or,74
inspiration,2
lifestyle,1
s.,14
o.,14
something,36
similar,5
mind,27
re-creation,1
colonial,5
africa,17
santa,1
monica,1
boulevard,1
right,35
here,72
do,255
self-consciously,1
blithely,1
child,29
aware,8
anyone,4
change,7
go,104
earn,1
living,4
observe,6
comment,2
realize,14
how,56
much,26
time,65
pass,16
small,48
boy,19
used,8
set,21
off,53
function,1
probably,11
hear,37
read,19
phrase,6
beetle,4
drive,18
adult,1
yet,30
noticeboard,1
under,28
list,3
aspirant,1
duly,1
propose,3
second,9
post,6
announcement,2
aid,5
library,2
fund,1
notice,7
sign,16
thomas,9
fairfax,142
hon.,1
secretary,5
committee,1
frenzy,2
wing,5
leg,8
stubby,1
pencil,2
cry,5
powdering,1
nose,3
soda,4
siphon,2
fizzing,1
proust,5
neighbour,1
acquaintance,2
Léon,6
