item,cnt
prologue,1
post-impressionism,1
royal,2
academy,1
of,911
art,10
london,1
1980,3
he,789
sign,4
the,1639
friend,12
',17
book,25
in,612
elegant,5
handwriting,1
alexander,93
wedderburn,6
january,1
22nd,1
she,836
have,537
say,185
peremptory,1
as,207
always,28
that,300
be,1177
to,715
go,88
straight,7
room,22
iii,2
where,36
miraculous,2
stuff,5
find,22
early,12
so,83
here,37
a,844
distinguished,1
public,5
man,54
also,33
an,111
artist,6
kind,21
step,7
obediently,1
through,22
i,391
french,22
1880s,2
and,1200
ii,1
british,4
1890s,1
on,262
lead,1
grey,12
morning,5
pale,27
classical,4
quiet,2
place,28
bright,24
light,42
shine,4
sing,15
off,34
pigment,5
phrase,3
seem,29
merely,2
accurate,1
one,101
long,38
wall,17
hang,5
row,8
van,42
goghs,1
including,1
arles,11
poet,7
garden,15
not,392
see,127
before,25
but,118
recognise,11
from,129
small,30
photograph,1
charged,1
description,7
painter,11
's,242
letter,13
sit,35
down,49
bifurcated,1
path,3
simmering,1
with,325
gold,18
heat,9
round,28
under,31
rising,1
spread,4
blue-black-green,1
down-pointing,1
vane,1
great,20
pine,4
still,38
widen,1
frame,2
interrupt,2
it,334
soaring,1
two,52
decorous,1
figure,7
advance,3
hand-in-hand,1
suspended,1
thickness,1
beyond,10
green,27
grass,4
geranium,2
like,100
splash,5
blood,18
worried,3
about,129
whether,12
frederica,183
would,87
turn,30
up,98
no,118
longer,4
habit,6
late,8
life,28
school,14
temporal,1
accuracy,1
perhaps,26
considerate,1
himself,27
at,191
sixty-two,1
feel,36
quite,11
accurately,1
now,60
too,43
old,28
settle,4
put,36
out,83
by,136
or,151
anyone,4
else,7
think,100
warmth,3
certain,9
approach,5
there,135
pattern,12
only,55
discernible,1
repetition,4
event,6
relationship,2
into,58
which,116
ruggedly,1
refuse,4
fit,7
nuisance,2
threat,3
torment,1
suggest,3
they,330
look,72
gogh,40
together,13
set,14
another,27
form,20
deliberate,3
contrived,1
aesthetic,4
play,20
yellow,41
chair,47
first,29
present,14
1957,1
do,238
