item,cnt
book,16
3,2
15,2
monday,7
19,5
july,6
1965,7
from,132
she,1311
office,28
window,28
in,532
the,1681
west,2
corner,4
of,680
chateau,3
buzz,177
could,126
see,87
what,160
be,1548
happen,30
anywhere,2
on,264
two,63
main,4
terrace,5
now,83
stare,17
out,86
only,81
at,209
empty,7
space,5
shadow,1
by,137
late,18
afternoon,11
sun,8
soon,20
thank,6
god,10
thing,39
would,189
return,20
to,1220
normal,6
elinor,207
sit,32
there,70
again,76
and,817
they,264
have,676
usual,6
glass,16
champagne,7
before,56
lunch,12
day,52
anxiety,11
concern,6
almost,20
over,61
's,247
recovery,1
course,34
slow,3
but,199
that,538
do,356
not,602
matter,15
warn,9
clare,270
no,101
more,66
argument,3
all,77
get,104
well,60
briskly,2
efficient,2
care,11
spend,14
one,87
second,13
than,40
necessary,10
it,411
nothing,25
superfluous,1
sparsely,1
furnished,1
room,39
hold,28
file,2
cabinet,1
bookshelve,1
a,900
desk,18
upon,15
which,64
an,111
unused,1
ibm,1
typewriter,1
crouch,3
like,94
grey,14
electronic,1
cat,8
behind,16
stand,28
sturdy,1
swivel,2
chair,13
front,14
nineteenth-century,1
metal,3
conservatory,1
for,328
visitor,7
very,41
comfortable,10
people,35
stay,12
too,58
long,36
look,120
watch,21
if,140
adam,333
arrive,15
he,632
telephone,37
call,33
open,31
door,30
gaze,3
down,41
splendid,1
vista,1
reception,3
into,80
next,31
learn,10
typical,2
grand,1
french,9
house,15
appear,7
distance,2
hurry,7
through,19
bar,9
summer,7
salon,6
television,2
finally,10
reach,10
privacy,1
contain,5
extension,4
leave,56
aggressive,3
operator,2
inform,6
first,50
delay,2
as,310
wait,31
impatiently,4
glance,2
bookcase,1
edition,1
swiftly,5
read,27
title,1
most,16
romantic,3
word,11
love,62
heart,18
arrow,3
passionate,3
fire,11
dream,6
kiss,8
enchant,1
particular,3
catch,18
eye,23
unlike,2
many,19
man,57
regard,4
subject,1
joke,4
remember,35
conversation,2
once,22
with,245
brother,16
who,87
tease,3
about,97
interest,9
works,1
dove,7
earnestness,1
surprise,6
mike,45
respond,4
forcefully,1
you,801
wrong,13
intellectual,1
deride,1
romance,8
novel,6
i,924
can,125
we,140
guidebook,2
woman,52
want,137
often,13
because,58
supply,2
lack,5
relationship,18
yearn,1
just,69
sex,15
or,66
even,27
also,34
need,50
so,116
least,7
when,85
fall,21
up,136
pay,33
any,42
attention,10
other,58
fellow,1
think,113
then,109
gradually,6
reality,8
start,32
intrude,1
embarrassed,2
sensitivity,1
show,16
push,14
away,36
deny,2
part,3
nature,2
trap,16
something,35
change,14
until,31
equal,3
partner,9
understand,16
how,74
particularly,3
married,4
women-feel,1
will,179
always,36
able,18
twist,3
around,42
little,35
finger,8
truthfully,1
tell,74
every,19
write,14
find,37
absorb,2
this,132
use,12
coldly,4
work,39
each,23
give,36
level,3
knowledge,2
become,15
successful,10
seduction,1
answer,3
ring,6
great,19
hear,23
new,44
bike,5
know,143
london,23
laugh,13
rather,12
nifty,1
ducati,1
three,38
fifty,6
single,5
overhead,2
cam,1
handle,13
bit,31
unreliable,1
trouble,10
twice,1
week,39
old,36
voice,29
serious,7
much,42
talk,21
scatter,1
ash,1
mediterranean,2
moonlight,1
enough,20
make,71
someday,1
risk,9
scene,4
glad,5
good,71
say,331
kid,3
lend,3
money,54
triumph,2
speed,3
twin,2
lot,15
poke,3
size,3
go,129
repay,1
accept,7
why,64
speak,15
urgently,1
discuss,14
health,4
unfortunately,3
toby,4
sutch,1
fast,14
after,99
pause,2
giles,2
last,23
wednesday,7
milroy,1
-browne,1
seven,6
year,53
prison,2
embezzlement,1
longer,17
exactly,9
run,25
short,12
patience,1
fix,7
already,12
gambling,3
debt,4
wish,34
south,6
france,5
beach,4
everyone,17
else,19
without,35
winningly,1
keep,34
off,40
back,83
few,19
let,27
may,10
minute,16
imply,1
might,39
fund,10
deep,3
shit,3
produce,9
hundred,13
thousand,12
pound,18
replace,9
receiver,3
drum,1
tug,1
hair,12
left,6
jerk,2
head,42
flip,2
gesture,1
reveal,2
smoke,1
cigarette,6
suck,4
hard,6
johnny,4
briar,1
member,3
insurance,5
syndicate,2
lloyd,7
news,17
bad,11
boy,11
unbelievable,1
luck,3
seem,32
involved,3
natural,4
disaster,2
american,6
service,3
release,2
final,4
estimate,1
chile,1
earthquake,1
reinsure,1
cut,9
premium,1
still,40
lose,20
sixteen,3
million,6
dollar,1
figure,6
yet,16
tornado,1
tidal,1
wave,2
pakistan,1
reckon,4
kill,7
eventually,12
ask,68
loss,6
probably,19
far,20
frankly,4
clean,3
sell,22
curse,1
famous,2
unlimited,1
liability,1
mean,27
declare,1
bankrupt,2
payment,7
cash,11
nail,1
arbitrator,1
settlement,2
reputation,1
add,25
worth,6
mess,4
ever,25
touch,10
ned,2
sinclair,2
financial,8
director,6
supplykits,16
effort,3
steady,3
take,88
another,35
carefree,3
proposal,1
duty-free,1
airport,9
shop,19
assemble,1
package,1
stock,9
option,7
newly,2
issue,9
share,37
inducement,2
convince,2
key,2
manager,6
persuade,4
stitch,1
together,7
cheerfully,3
sigh,5
hand,44
time,83
feel,116
tingle,1
anticipation,1
definite,2
feeling,9
success,5
deal,15
plenty,9
perhaps,16
play,12
trump,1
card,3
sleeve,1
never,43
position,6
reinsurance,1
annabel,85
scott,86
come,55
saracen,23
dinner,15
announce,3
race,1
upstairs,5
apartment,7
throw,12
herself,31
bedcover,1
welsh,1
patchwork,4
quilt,6
soft,6
pattern,3
cream,9
pink,6
pick,17
visualize,1
tv,6
station,7
clearly,25
impress,1
overwhelming,2
glamour,3
worship,1
sometimes,10
studio,3
face,35
spray,1
ready,1
roll,5
control,26
faintly,4
line,10
angel,10
bite,2
agency,1
avanti,2
decide,19
renew,2
contract,6
suddenly,13
mind,14
spiral,1
forehead,1
clammy,2
begin,5
shake,16
difficult,11
swallow,7
thump,2
loudly,1
wonder,24
fleeting,2
whether,8
ribcage,2
small,17
pant,1
air,10
sudden,4
massive,2
drop,4
pit,1
stomach,4
place,41
where,46
self-confidence,2
dwell,1
thousands,1
mile,2
gulp,2
reassuringly,3
end,15
world,13
exhaust,3
emotion,3
bed,54
early,13
thirty-foot-long,1
dark-panelled,2
bedroom,23
lie,33
jacobean,1
four-poster,1
crimson,3
brocade,2
canopy,1
strip,1
petticoat,1
tired,9
undress,2
further/far,2
someone,19
invent,2
button,3
press,5
shazam,1
tuck,3
washed,1
tooth,2
brush,3
languidly,1
turn,40
west-facing,1
neighbouring,1
mountain,2
high,10
above,11
hill,6
build,4
negatively,1
gran,26
emphatically,1
against,25
trust,40
knock,7
slowly,22
doorway,2
craggy,1
outline,4
husband,5
sam,55
sheepish,1
apologetic,2
moment,13
rush,4
put,25
big,17
chest,5
strong,10
stroke,12
worrying,2
sight,2
would-be,2
starlet,1
fight,8
impulse,1
angrily,2
instead,13
here,41
ill,19
tribune,1
couple,7
ago,12
goodbye,5
touching,2
welcoming,1
recover,5
right,22
pointedly,1
family,12
lawyer,8
devious,2
bastard,6
lady,5
reliable,3
built-in,1
detector,1
retort,3
chap,2
paul,15
littlejohn,14
same,16
firm,11
under,18
thumb,2
realize,20
cry,12
scornfully,1
criticize,1
suppose,7
straightforward,1
hurtle,1
halfway,3
round,7
estranged,1
wife,15
grandmother,15
nod,19
josh,59
asleep,5
sourpuss,2
nurse,22
hall,6
charisma,1
bypass,1
surgery,1
should,40
vex,3
stiffen,2
shut,7
step,11
towards,16
hopefully,1
advance,2
dark,7
disturbing,2
masculine,1
presence,4
forward,9
backwards,2
four,15
contrite,4
cold,7
retreating,1
bump,2
spanish,2
walnut,3
table,19
arm,23
lean,15
inviting,1
fold,1
scowl,1
worry,12
crossly,5
please,20
morning,36
march,7
wheedle,1
way,31
half,17
hour,25
stupid,5
real,6
ego-boosting,1
pseudo-relationship,1
admit,5
past,13
storm,3
affair,9
disturb,4
cheat,3
dishonest,2
attitude,1
hell,11
genuinely,1
perplex,1
goad,1
some,36
failing,1
cause,6
complaint,1
screw,1
clear,7
conscience,1
treachery,4
deceit,1
parody,2
happy,13
life,44
promise,9
both,18
history,1
repeat,2
itself,3
nibble,1
biscuit,2
tin,1
forget,17
stop,19
quickly,10
alone,9
recognize,4
girl,28
actress,1
daughter,1
neighbour,1
kind,3
shapiros,1
move,37
glare,5
frightened,1
shrink,1
headboard,1
knee,4
draw,8
hide,9
slim,1
naked,10
body,30
continue,9
scuttle,1
patio,1
hesitate,7
nakedness,1
desperate,1
cast,1
backward,3
flee,2
hairy,2
exposed,2
helpless,3
pleading,1
naughty,2
jam,3
pot,2
scream,3
these,25
fling,4
bitter,1
accusation,1
black,12
lingerie,1
torment,1
fury,2
despair,1
forgive,1
disastrous,1
episode,1
entirely,1
own,33
fault,2
easily,6
avoid,6
someplace,1
beyond,5
olive,2
tree,8
rustle,1
hot,5
breeze,1
tighten,1
relive,1
painful,3
hate,7
hurt,8
humiliation,2
self-esteem,2
disappear,4
worthless,2
although,28
myself,5
attractive,5
sexually,2
inadequate,3
exasperation,1
settle,11
problem,27
demonstrate,1
during,12
sexual,6
separate,2
rest,11
occur,3
ignorant,1
