item,cnt
part,14
two,71
now,82
hatred,2
be,1579
by,122
far,21
the,2781
long,37
pleasure,4
man,226
love,7
in,524
haste,1
but,120
they,407
detest,1
at,356
leisure,1
lord,2
byron,1
have,545
moral,1
of,946
alley,2
cat,1
and,751
mind,22
like,85
sewer,5
neville,1
heath,1
convicted,5
murderer,12
on,382
woman,32
41,1
door,83
crash,8
open,54
slam,12
back,117
against,37
wall,27
with,237
such,8
force,5
it,615
seem,34
would,117
come,87
off,66
hinge,2
michael,1
robinson,48
blink,2
sit,54
up,155
stare,19
blearily,1
direction,11
noise,6
he,2193
rub,4
eye,70
peer,22
down,100
from,188
top,24
bunk,13
uniformed,9
figure,17
stand,49
doorway,3
occupant,9
cell,38
impassively,7
move,57
say,398
slop,11
out,163
yawn,2
swing,9
foot,48
over,76
side,36
i,575
think,59
this,118
we,164
alarm,1
call,54
rod,9
stretch,6
below,12
porter,46
grunt,6
turn,61
as,334
if,151
to,966
resume,1
peaceful,1
sleep,7
which,40
just,75
disturb,4
yourself,6
brusquely,1
fuck,36
you,628
murmur,16
under,17
breath,14
jump,6
interrupt,8
dream,2
mr,37
swain,14
haul,5
himself,45
bed,23
get,150
a,778
blow,21
job,17
michelle,1
pfeiffer,1
only,42
likely,2
bike,2
pump,3
arse,3
yourselves,1
both,34
snap,20
retrieve,1
small,40
plastic,14
bucket,9
one,183
corner,12
wander,7
onto,20
landing,22
smile,120
lift,11
cover,9
reveal,3
lump,4
excrement,3
shove,6
's,123
face,56
watch,53
recoil,2
stench,3
mine,5
little,26
bit,10
underdone,1
perhaps,33
ought,2
word,27
kitchen,15
staff,9
front,16
grin,6
officer,18
do,309
not,362
appreciate,5
joke,8
push,26
where,53
already,15
steady,5
file,26
spill,4
join,8
line,11
either,15
make,51
way,45
toilet,3
whitely,41
prison,72
life,28
above,5
same,17
routine,1
practice,1
follow,17
every,22
morning,7
continue,24
until,26
sentence,15
shuffle,3
along,12
cold,12
floor,7
some,51
dressed,1
grey,12
prison-issue,1
pyjamas,1
other,125
bare-chested,1
or,62
boxer,3
shorts,2
each,21
hold,43
most,20
fill,9
much,22
exercise,8
work,58
for,251
fortunate,2
visit,6
know,181
well,46
enough,22
share,5
last,43
year,32
ten,13
armed,2
robbery,3
while,13
companion,19
half-way,1
through,75
twelve-year,1
similar,5
crime,14
extra,2
about,106
because,19
shoot,6
security,2
guard,5
leg,21
twelve-bore,1
mid-thirties,2
spend,6
institution,3
raise,12
child,11
home,22
time,66
old,15
run,43
away,55
repeatedly,1
never,20
anywhere,2
go,108
anxious,5
free,21
confining,1
restrictive,1
atmosphere,2
progress,4
series,6
petty,1
see,131
remand,11
borstal,2
finally,32
usually,13
experience,1
more,80
stable,2
upbringing,1
married,1
couple,24
kid,7
stealing,1
necessity,1
than,42
anything,22
else,21
wife,3
expensive,2
taste,2
always,8
want,137
new,5
clothes,9
game,3
strangeways,1
wandsworth,3
large,19
proportion,1
inmate,12
also,17
via,1
gaol,4
throughout,3
country,7
could,107
handle,6
adequately,2
many,26
case,11
resort,1
dumping,1
ground,15
whichever,1
choose,3
look,236
drain,6
dregs,1
filth,1
exude,1
all,119
land,5
gather,2
together,11
human,3
refuse,1
brush,6
aside,4
lock,17
an,58
that,360
dustbin,3
unwanted,1
unmanageable,1
locate,2
heart,7
derbyshire,2
countryside,1
surround,3
four,12
hill,4
monument,1
backwardness,1
penal,3
reform,2
massive,3
stone,12
victorian,1
building,10
house,8
1600,1
twice,4
allotted,1
amount,5
