item,cnt
the,2792
long,38
road,38
home,24
cia,6
hq,2
langley,6
sorge,21
have,681
never,42
be,1757
to,1076
before,70
it,642
not,486
something,43
a,624
russian,38
expect,28
do,366
after,63
9,1
a.m.,2
when,130
nowak,5
drive,22
he,1712
through,87
gate,15
past,21
guard,17
and,1010
into,150
vast,5
underground,4
car-park,7
why,77
ask,79
on,330
way,57
out,227
of,702
washington,5
they,808
want,93
show,13
you,540
that,434
trust,16
i,525
will,115
see,135
much,20
laugh,23
damn,16
right,54
we,430
park,13
in,628
catch,13
special,4
lift,16
fifth,1
floor,18
walk,34
across,47
corridor,11
conference,3
room,76
executive,3
director,36
already,22
meeting,7
welcome,5
hold,33
hand,55
introduction,1
complete,4
exec,24
dda,22
ddi,31
settle,10
themselves,13
round,41
small,31
table,21
new,40
problem,10
kick,10
off,62
english,11
operative,3
who,90
trimmler,30
take,101
also,25
an,76
agent,16
ours,4
with,263
as,282
hostage,4
woman,19
believe,26
still,66
orleans,16
concerned,3
know,188
yet,13
what,163
about,90
goodenache,48
decide,19
turn,61
pressure,3
flight,10
frankfurt,6
then,131
hire,6
car,45
but,196
find,63
abandon,2
outskirts,2
try,41
missing,1
scientist,14
now,95
german,37
authority,3
involve,2
no,154
own,49
means,5
look,69
up,159
eyebrow,2
raise,2
suddenly,27
both,34
method,4
even,39
independent,1
germany,45
all,175
death,24
people,63
these,33
situation,6
bring,29
together,19
shrug,12
bastard,11
old,34
trick,2
ignore,7
pointed,2
give,32
think,63
good,69
if,81
operation,6
run,40
down,97
place,33
sit,33
back,155
let,33
full,14
report,16
including,5
trip,10
voodoo,1
ceremony,1
follow,41
stir,2
mention,4
gruesome,2
spectacle,2
's,123
arm,34
fold,1
sign,11
swastika,8
convinced,2
anything,23
there,177
definite,1
link,8
might,11
clear,21
finish,16
undisguised,1
curiosity,2
1942,2
gru,1
network,4
name,17
rote,3
kapelle,2
red,18
orchestra,1
nazi,23
call,28
because,37
radio,6
operator,2
code-named,1
musician,2
leader,12
chef,1
leopold,1
trepper,3
this,133
group,11
radioe,1
warning,3
blue,4
attack,3
stalingrad,1
lead,20
hitler,10
big,26
wartime,2
disaster,3
front,29
feed,2
information,13
high-ranking,3
official,5
military,11
government,5
damage,8
disagree,1
aim,6
only,65
war,33
could,112
win,4
early,15
1941,1
some,62
open,57
line,19
communication,3
british,21
get,140
sort,13
stuff,3
till,3
late,9
1944,3
say,163
european,8
century,1
contact,18
fall,13
for,309
bravery,1
resourcefulness,1
often,4
waste,7
stalin,5
difficult,11
anyone,5
more,72
sophisticated,3
radio-tracking,1
equipment,2
start,50
track,12
capture,1
wind,10
at,172
end,25
continue,26
while,27
doubtful,1
origin,1
interrogate,1
by,93
gestapo,2
become,21
double,8
lot,11
misinformation,2
receive,5
moscow,6
lean,16
coffee,9
need,50
overall,1
source,5
inside,23
drei,1
please,7
decipher,1
first,30
word,12
code-name,3
three,28
base,9
switzerland,3
transmitter,1
use,23
most,25
important,9
from,174
under,37
rudolf,1
roessler,3
lucy,22
ring,18
or,42
swiss,6
intelligence,8
officer,16
extraction,1
many,26
four,16
main,8
major,3
general,6
oster,1
head,42
abwehr,1
admiral,1
canaris,1
later,32
hang,7
part,11
bomb,4
plot,1
carl,1
goehdeler,1
opposition,4
colonel,1
boetzel,1
commanding,1
evaluation,1
other,76
disclose,1
any,37
disband,2
1943,1
responsible,5
invaluable,1
work,45
go,175
success,4
substantial,1
involved,4
advanced,1
break,15
cypher,1
enable,1
