item,cnt
orange/red,1
twelve,5
liamuiga,6
1619,3
c.e.,2
in,734
the,2758
past,15
sycorax,104
have,630
be,1309
afraid,3
of,1096
she,1624
knowledge,3
gradually,5
however,11
grow,26
into,106
role,2
as,330
wisewoman,2
and,1477
witch,3
come,96
to,1120
accept,5
power,28
other,90
attribute,1
agree,8
that,340
might,30
special,8
source,3
cause,8
but,205
now,93
fall,34
from,229
cabin,15
cut,14
off,30
all,92
understanding,2
no,97
strength,6
kick,3
against,33
darkness,8
down,78
around,34
pelvis,2
crack,2
on,427
right,25
side,46
back,83
break,11
though,45
neither,5
nor,10
ariel,120
know,111
this,143
yet,28
they,666
attention,7
burn,17
receive,4
when,143
gently,4
lift,16
old,45
woman,73
move,22
own,29
quarter,11
up,147
path,4
forest,17
give,62
a,907
huge,3
cry,18
folding,1
body,20
's,235
arm,31
shoot,9
fiery,2
river,4
pain,16
through,49
for,306
while,30
swallow,3
suffer,5
weep,4
nearly,5
stumble,3
leg,23
sore,2
too,67
keep,44
go,73
determined,1
take,96
away,39
man,124
who,108
camp,6
compound,10
draw,17
water,57
stream,14
building,6
fire,38
hearthstone,1
begin,48
roast,1
spitted,1
shoat,1
eat,11
faint,1
bend,9
cheek,8
discoloured,1
lick,3
salt,8
tear,10
reach,23
inside,29
where,91
rush,6
screen,4
would,169
fly,7
wound,4
make,131
comfortable,1
could,144
ground,28
with,375
fresh,7
dressing,1
cool,7
soaked,2
cloth,7
forehead,5
sing,13
hoarsely,1
struggle,13
exhaustion,3
grief,5
find,50
breath,6
so,145
vigil,3
night,36
day,49
four,13
hundred,13
year,21
ago,10
everything,9
change,19
steal,11
habitual,3
velvet,2
gentleness,1
low,6
hoarse,2
hole,7
i,506
net,2
fine,7
catch,27
moon,9
there,98
always,25
quarry,1
great,26
by,163
far,24
tendere,1
fruit,16
soft,12
fur,1
can,78
you,369
honey,1
tree,38
hear,46
song,9
mouth,30
shell,6
voice,21
wall,10
try,36
recall,2
some,73
thing,21
once,31
murmur,2
do,248
stop,17
not,395
remember,17
out,110
loud,5
save,6
retrieved,1
piece,9
scraping,2
girl,47
love,26
interrupt,5
starburst,1
never,38
see,79
before,57
explosion,3
noise,10
even,38
depth,2
crater,2
kind,21
slow,4
sly,2
laughter,4
erupt,1
scream,6
at,244
these,45
people,39
used,10
talk,16
about,43
time,68
volcano,4
also,18
spit,5
flame,9
rock,10
sky,13
like,147
stranger,14
',30
gun,19
black,22
strand,2
northern,2
promontory,1
island,48
form,9
mountain,4
spew,1
think,75
pray,11
lip,19
entreaty,3
what,82
say,103
seem,25
